numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9238286864041391,0.9446201015617515,0.895468046373479,0.10127431254191818,0.9638542665388303,0.9714285714285714,0.9604985618408437,0.10038350910834132,0.9238286864041391,0.9446201015617515,0.895468046373479,0.10127431254191818,0.9270750493816066,0.9038471075475089,0.8428548232396039,0.04256288269691068,0.4103547459252157,0.4228187919463087,0.37420901246404603,0.39424736337488014,0.1800211808813481,0.1678877733420582,42.764436296975255,0.020791415157612403,0.9654242685292829,-1.0070070988445075
2,0.929002586950273,0.9681900929385839,0.823608316566063,0.10127431254191818,0.9671140939597316,0.986097794822627,0.9337488015340364,0.10038350910834132,0.929002586950273,0.9681900929385839,0.8236083165660629,0.10127431254191818,0.9284581722173065,0.9573700625888496,0.7688053957968886,0.04256288269691068,0.6403643336529242,0.6615532118887824,0.7607861936720998,0.8159156279961649,0.36457618701995004,0.31530467959148795,188.0949152542373,0.03918750598831089,0.45644951246784726,-0.5348245244444689
3,0.9795918367346939,0.9803583405193063,0.9291942128964262,0.10127431254191818,0.9943432406519654,0.9951102588686481,0.988686481303931,0.10038350910834132,0.9795918367346939,0.9803583405193063,0.9291942128964262,0.10127431254191818,0.9673722970002401,0.9657558456598182,0.920885122915522,0.04256288269691068,0.7768935762224353,0.7899328859060403,1.173058485139022,1.2197507190795782,0.5208050839138189,0.4799104388366535,0.16225165562913907,0.0007665037846124045,0.32916369783518706,-0.330696705404412
4,0.9816039091693015,0.9820829740346843,0.9186547858580052,0.10127431254191818,0.9954937679769894,0.9954937679769894,0.9882070949185043,0.10038350910834132,0.9816039091693015,0.9820829740346843,0.9186547858580052,0.10127431254191818,0.9789717972497312,0.9654846621876702,0.9084439265989168,0.04256288269691068,0.8605944391179291,0.8647171620325983,1.5804410354745926,1.5885906040268456,0.6888225053520955,0.6881787671785696,0.06324110671936758,0.00047906486538273896,0.2475079865931682,-0.24846611632393373
5,0.9881191913385072,0.9847657372808278,0.9531474561655648,0.10127431254191818,0.9979865771812081,0.9972195589645254,0.9968360498561841,0.10038350910834132,0.9881191913385072,0.9847657372808278,0.9531474561655648,0.10127431254191818,0.984733589365652,0.9715050124262675,0.9488139921093971,0.04256288269691068,0.909587727708533,0.9062320230105465,1.9951102588686482,1.9667305848513903,0.8528079810701247,0.9144903384321232,6.682080924855492,-0.0033534540576793948,0.20182432869679584,-0.195117420581437
6,0.9869694356615886,0.9843824853885216,0.9473028648078949,0.10127431254191818,0.9975071907957814,0.9978906999041227,0.9970278044103548,0.10038350910834132,0.9869694356615886,0.9843824853885216,0.9473028648078949,0.10127431254191818,0.9813101605540067,0.9689216023692956,0.955416185035935,0.04256288269691068,0.9349952061361457,0.9321188878235858,2.380536912751678,2.3656759348034515,1.0713931682292752,1.1081423585251764,4.047904191616767,-0.00258695027306699,0.16834761697500147,-0.16317371642886755
7,0.9896521989077322,0.9870652486346652,0.959758551307847,0.10127431254191818,0.9983700862895494,0.9984659635666348,0.998849472674976,0.10038350910834132,0.9896521989077322,0.9870652486346652,0.959758551307847,0.10127431254191818,0.9836990259171102,0.9744408241293754,0.9520149255025108,0.04256288269691068,0.9530201342281879,0.9476510067114094,2.784563758389262,2.7364333652924255,1.2642032512332047,1.3534744865311623,5.24031007751938,-0.00258695027306699,0.1447204509579776,-0.13954655041184366
8,0.9884066302577369,0.9884066302577369,0.9485484334578902,0.10127431254191818,0.9986577181208054,0.99856184084372,0.9981783317353787,0.10038350910834132,0.9884066302577369,0.9884066302577369,0.9485484334578902,0.10127431254191818,0.983194617983605,0.9758735003598068,0.9487186716899875,0.04256288269691068,0.9605944391179291,0.9603068072866731,3.152732502396932,3.1508149568552253,1.506664245410101,1.539420545197597,0.0078125,0.0,0.12462464009370607,-0.12462464009370607
9,0.986873622688512,0.9882150043115838,0.9571716010347802,0.10127431254191818,0.9989453499520614,0.999137104506232,0.9987535953978907,0.10038350910834132,0.986873622688512,0.9882150043115838,0.9571716010347802,0.10127431254191818,0.9825945252709385,0.9766303928788828,0.959225524122934,0.04256288269691068,0.9683604985618408,0.9667305848513902,3.548034515819751,3.5309683604985618,1.729248739023877,1.7679470703033742,1.456896551724138,0.0013413816230718467,0.10957026808987097,-0.1122530313360145
10,0.9896521989077322,0.9880233783654306,0.9624413145539906,0.10127431254191818,0.999137104506232,0.999137104506232,0.9990412272291467,0.10038350910834132,0.9896521989077322,0.9880233783654306,0.9624413145539906,0.10127431254191818,0.9855971909528005,0.9760935577964046,0.9625706916454643,0.04256288269691068,0.9733461169702781,0.9728667305848514,3.9745925215723874,3.9369127516778524,1.925681083099355,1.9858136200420742,2.226086956521739,-0.0016288205423015123,0.10164292312776563,-0.09838528204316277
11,0.9893647599885025,0.9890773210692728,0.9748970010539427,0.10127431254191818,0.9992329817833173,0.9992329817833173,0.9999041227229146,0.10038350910834132,0.9893647599885025,0.9890773210692728,0.9748970010539427,0.10127431254191818,0.9850781525705151,0.9768511661685207,0.9744896183711987,0.04256288269691068,0.9771812080536912,0.9761265580057527,4.358581016299137,4.31725790987536,2.1763789384060437,2.249673849571825,0.04040404040404041,-0.0002874389192296656,0.09124687715643347,-0.09067199931797414
12,0.9897480118808086,0.9888856951231196,0.9717351729424164,0.10127431254191818,0.9995206136145733,0.9993288590604027,0.999712368168744,0.10038350910834132,0.9897480118808086,0.9888856951231196,0.9717351729424164,0.10127431254191818,0.9859052637785749,0.9766137939791539,0.9730252806990816,0.04256288269691068,0.9786193672099712,0.9796740172579099,4.748993288590604,4.734228187919463,2.4427090900289206,2.4424109981285334,0.6464646464646465,-0.0008623167576889967,0.08439757767052483,-0.08267294415514684
13,0.9908019545846508,0.9896521989077322,0.9742263102424068,0.10127431254191818,0.999424736337488,0.9993288590604027,0.9995206136145733,0.10038350910834132,0.9908019545846508,0.9896521989077322,0.9742263102424068,0.10127431254191818,0.9868246030080366,0.9777200594841312,0.9729972964667937,0.04256288269691068,0.9814956855225312,0.9812080536912752,5.1516778523489934,5.118312559923298,2.6959385307822004,2.738734075541392,1.4069767441860466,-0.0011497556769186623,0.07827603535331268,-0.07597652399947538
14,0.9904187026923446,0.9890773210692728,0.9725016767270288,0.10127431254191818,0.9996164908916587,0.9993288590604027,0.9998082454458294,0.10038350910834132,0.9904187026923446,0.9890773210692728,0.9725016767270288,0.10127431254191818,0.9868711596427219,0.9774689834443651,0.9708819168352671,0.04256288269691068,0.9829338446788112,0.9829338446788112,5.564046021093001,5.519846596356664,2.925914685131612,2.9831034970834174,1.797872340425532,-0.0013413816230717357,0.07316228831548884,-0.07047952506934531
15,0.991185206476957,0.9904187026923446,0.9721184248347227,0.10127431254191818,0.9996164908916587,0.9995206136145733,0.9999041227229146,0.10038350910834132,0.991185206476957,0.9904187026923446,0.9721184248347227,0.10127431254191818,0.9870158895956704,0.9857966400774149,0.9739576970150416,0.04256288269691068,0.9844678811121764,0.9823585810162991,5.969223394055609,5.9330776605944395,3.164037953279344,3.228546553477128,0.7424242424242424,-0.0007665037846124045,0.06762554900456456,-0.0660925414353397
