numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.936763437769474,0.9303439685733448,0.8730478106735652,0.10127431254191818,0.9721955896452541,0.9684563758389262,0.9541706615532118,0.10038350910834132,0.936763437769474,0.9303439685733448,0.8730478106735652,0.10127431254191818,0.9058110166303623,0.906249085561292,0.7963633315843217,0.04256288269691068,0.425503355704698,0.4199424736337488,0.39769894534995204,0.388398849472675,0.166775723419254,0.1727712724058785,4.037071362372568,-0.006419469196129235,0.9925893624583425,-0.9797504240660843
2,0.9462489221040529,0.9398294529079237,0.8658618376928237,0.10127431254191818,0.975647171620326,0.97392138063279,0.9486097794822627,0.10038350910834132,0.9462489221040529,0.9398294529079237,0.8658618376928237,0.10127431254191818,0.9206574510380582,0.9388044569602618,0.8290423064805451,0.04256288269691068,0.6582933844678811,0.6519654841802492,0.7968360498561841,0.7884947267497603,0.33097014436515126,0.34153291294554194,5.534942820838627,-0.006419469196129124,0.5016891753021993,-0.4888502369099409
3,0.9767174475423972,0.9776755772731628,0.9198045415349239,0.10127431254191818,0.9943432406519654,0.9944391179290508,0.9883029721955896,0.10038350910834132,0.9767174475423972,0.9776755772731628,0.9198045415349239,0.10127431254191818,0.9528201792341803,0.9739126626578626,0.9170047268347341,0.04256288269691068,0.7918504314477469,0.783796740172579,1.209875359539789,1.1946308724832215,0.49925038599081983,0.5080209321354839,0.253125,0.0009581297307655889,0.3290679381797311,-0.3309841976412622
4,0.9793043978154642,0.9728849286193351,0.9436619718309859,0.10127431254191818,0.9958772770853308,0.9934803451581975,0.9923298178331735,0.10038350910834132,0.9793043978154642,0.9728849286193351,0.9436619718309859,0.10127431254191818,0.9566622309294145,0.9706710055021296,0.9408972474167744,0.04256288269691068,0.8672099712368169,0.8558964525407479,1.6281879194630873,1.5697027804410355,0.6593927576201294,0.7221907049295965,14.097087378640778,-0.006419469196129124,0.2547228730403157,-0.2418839346480574
5,0.9844782983615982,0.9836159816039092,0.9602376161732299,0.10127431254191818,0.9973154362416108,0.9972195589645254,0.9968360498561841,0.10038350910834132,0.9844782983615983,0.9836159816039092,0.9602376161732298,0.10127431254191818,0.9732849670850997,0.9790380847353868,0.9519912491360913,0.04256288269691068,0.9104506232023011,0.9046979865771813,2.008916586768936,1.9816874400767017,0.8720703114309479,0.8819109631368355,0.3033175355450237,-0.0008623167576889967,0.19959022402217344,-0.19786559050679545
6,0.9843824853885216,0.9846699243077512,0.9408833956117658,0.10127431254191818,0.9976989453499521,0.9977948226270373,0.9965484180249281,0.10038350910834132,0.9843824853885216,0.9846699243077512,0.9408833956117658,0.10127431254191818,0.972092641368364,0.9808565240000741,0.9360838836338085,0.04256288269691068,0.9372962607861937,0.9330776605944391,2.4189837008628956,2.386768935762224,1.0640017714614842,1.062964345369936,0.023391812865497075,0.0002874389192296656,0.16550161832059865,-0.16607649615905798
7,0.9869694356615886,0.9888856951231196,0.9557344064386318,0.10127431254191818,0.99856184084372,0.998849472674976,0.9979865771812081,0.10038350910834132,0.9869694356615886,0.9888856951231196,0.9557344064386318,0.10127431254191818,0.9744536933560471,0.9861022005549205,0.9475074373088158,0.04256288269691068,0.9533077660594439,0.9505273250239693,2.804026845637584,2.7966442953020136,1.284679022010465,1.2632097251839962,2.5785714285714287,0.0019162594615310669,0.1403060464521241,-0.1441385653751863
8,0.987735939446201,0.9861071189038996,0.95439302481556,0.10127431254191818,0.9987535953978907,0.9989453499520614,0.9983700862895494,0.10038350910834132,0.987735939446201,0.9861071189038997,0.95439302481556,0.10127431254191818,0.9747063799231714,0.9822019333550108,0.9544064129476495,0.04256288269691068,0.9625119846596356,0.9601150527325024,3.2053691275167786,3.166059443911793,1.4938797289373875,1.5065329247066341,2.1880341880341883,-0.0016288205423014013,0.1261603573909446,-0.12290271630634177
9,0.9886940691769666,0.9884066302577369,0.9550637156270959,0.10127431254191818,0.9989453499520614,0.998849472674976,0.9989453499520614,0.10038350910834132,0.9886940691769666,0.9884066302577369,0.9550637156270959,0.10127431254191818,0.9839323084032775,0.9855362368389394,0.9428894169520867,0.04256288269691068,0.9688398849472675,0.9672099712368168,3.5862895493767977,3.5573346116970277,1.7347103877350822,1.7565834670009308,0.0380952380952381,-0.0002874389192296656,0.11110064571283639,-0.11052576787437705
10,0.9881191913385072,0.9876401264731245,0.9713519210501101,0.10127431254191818,0.9992329817833173,0.9990412272291467,0.999137104506232,0.10038350910834132,0.9881191913385072,0.9876401264731245,0.9713519210501101,0.10127431254191818,0.9837136959180115,0.9850388079244642,0.9730567143286826,0.04256288269691068,0.9728667305848514,0.9737296260786193,3.9675934803451582,3.951006711409396,1.971902707649237,1.981828561529533,0.16161616161616163,-0.00047906486538273896,0.10034760847851226,-0.09938947874774673
