numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.94021270480023,0.9076362939542014,0.8377886365813931,0.10127431254191818,0.9720038350910835,0.9569511025886864,0.939980824544583,0.10038350910834132,0.94021270480023,0.9076362939542014,0.8377886365813931,0.10127431254191818,0.9379869402733588,0.8903961392417966,0.7743765122982427,0.04256288269691068,0.4262703739213806,0.40882070949185045,0.398274209012464,0.36577181208053694,0.1671557291262469,0.1921669274305516,99.24093264248705,-0.03257641084602858,1.0189973973426822,-0.9538445756506251
2,0.929864903707962,0.8984382485388521,0.8375011976621635,0.10127431254191818,0.9679769894534995,0.9513902205177373,0.9391179290508149,0.10038350910834132,0.929864903707962,0.8984382485388521,0.8375011976621635,0.10127431254191818,0.9250390178119875,0.8842723020612993,0.8001714602866116,0.04256288269691068,0.6500479386385427,0.6226270373921381,0.7684563758389261,0.711601150527325,0.36184970832552754,0.40912539058054037,90.15935919055649,-0.03142665516910992,0.5279219950459924,-0.4650686847077726
3,0.9617706237424547,0.9458656702117467,0.9186547858580052,0.10127431254191818,0.9904122722914669,0.987248322147651,0.986960690316395,0.10038350910834132,0.9617706237424547,0.9458656702117467,0.9186547858580052,0.10127431254191818,0.9595031529896968,0.9358292028900587,0.9006453068407123,0.04256288269691068,0.7744007670182167,0.7512943432406519,1.1483221476510068,1.0953020134228189,0.5624298352475189,0.612168607958653,42.013888888888886,-0.015904953530707977,0.3473617892621247,-0.3155518822007085
4,0.9677110280732011,0.958033917792469,0.9381048193925458,0.10127431254191818,0.9937679769894535,0.9927133269415148,0.9908916586768935,0.10038350910834132,0.9677110280732011,0.958033917792469,0.9381048193925458,0.10127431254191818,0.9683645866803182,0.9452211048991447,0.9206301837164071,0.04256288269691068,0.8523489932885906,0.8323106423777564,1.544391179290508,1.4955896452540747,0.7468673252538718,0.7909420017507912,20.120724346076457,-0.009677110280732037,0.25886779703524765,-0.23951357647378363
5,0.9759509437577848,0.9734598064577944,0.9518060745424931,0.10127431254191818,0.99712368168744,0.99712368168744,0.9963566634707575,0.10038350910834132,0.9759509437577848,0.9734598064577944,0.9518060745424931,0.10127431254191818,0.974749496933416,0.9629202385280101,0.9407256280975855,0.04256288269691068,0.8989453499520613,0.8857142857142857,1.9450623202301054,1.893959731543624,0.9364994592991578,0.9757836343174647,1.816860465116279,-0.002491137299990398,0.2019745143853224,-0.19699223978534156
6,0.9795918367346939,0.9761425697039379,0.9343681134425601,0.10127431254191818,0.9979865771812081,0.9980824544582934,0.9952061361457335,0.10038350910834132,0.9795918367346939,0.9761425697039379,0.9343681134425601,0.10127431254191818,0.9774672706560595,0.9646741345780679,0.9077402007781386,0.04256288269691068,0.928379674017258,0.9176414189837009,2.367785234899329,2.2861936720997122,1.0885737700775149,1.1743698103448703,4.166666666666667,-0.003449267030755987,0.17000326680414854,-0.16310473274263662
7,0.9802625275462298,0.9801667145731532,0.958704608604005,0.10127431254191818,0.9990412272291467,0.9981783317353787,0.9986577181208054,0.10038350910834132,0.9802625275462298,0.9801667145731532,0.958704608604005,0.10127431254191818,0.9784014377592293,0.9682935853343126,0.9568834769680002,0.04256288269691068,0.9426653883029722,0.9350910834132311,2.7436241610738255,2.657334611697028,1.3406210646309713,1.4290108165543882,0.0,-9.58129730765922e-05,0.1431297091959386,-0.14293808324978546
8,0.9836159816039092,0.9768132605154738,0.9679984669924308,0.10127431254191818,0.9990412272291467,0.9981783317353787,0.9986577181208054,0.10038350910834132,0.9836159816039092,0.9768132605154738,0.9679984669924308,0.10127431254191818,0.9819624708042819,0.9747496034129025,0.9609620100763321,0.04256288269691068,0.9564717162032599,0.9458293384467881,3.1503355704697986,3.0201342281879193,1.5508808512162116,1.6945797831441176,19.215686274509803,-0.006802721088435382,0.13230438031321284,-0.11869893813634208
9,0.9864903707962058,0.9798792756539235,0.9662738334770528,0.10127431254191818,0.9993288590604027,0.9987535953978907,0.9996164908916587,0.10038350910834132,0.9864903707962058,0.9798792756539235,0.9662738334770528,0.10127431254191818,0.9840388106239533,0.9774013292276482,0.9566846328785289,0.04256288269691068,0.9644295302013423,0.9536912751677852,3.5584851390220518,3.4036433365292424,1.762546577466357,1.9609933311574752,20.370044052863435,-0.006611095142282308,0.11833221876574758,-0.10511002848118305
10,0.986873622688512,0.9794002107885408,0.9668487113155121,0.10127431254191818,0.9993288590604027,0.998849472674976,0.9996164908916587,0.10038350910834132,0.986873622688512,0.9794002107885408,0.9668487113155121,0.10127431254191818,0.9849327921995115,0.9764812985098289,0.9686750173342772,0.04256288269691068,0.9715244487056568,0.960019175455417,3.9532118887823584,3.782070949185043,1.9815925935941427,2.2255216197870467,27.449074074074073,-0.007473411899971194,0.10823712206791905,-0.09329029826797655
