numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9327392929002587,0.961291558877072,0.8232250646737568,0.10127431254191818,0.9706615532118887,0.9829338446788112,0.9345158197507191,0.10038350910834132,0.9327392929002587,0.961291558877072,0.8232250646737568,0.10127431254191818,0.9276504841054116,0.8561171095309755,0.8186681607152334,0.04256288269691068,0.42070949185043144,0.4355704697986577,0.39137104506232023,0.41850431447746883,0.16904101328255383,0.1496011260185213,90.93711340206185,0.028552265976813263,0.9573221230761834,-1.0144266550298098
2,0.9448117275079045,0.9465363610232825,0.8738143144581776,0.10127431254191818,0.9749760306807287,0.9764141898370087,0.9490891658676893,0.10038350910834132,0.9448117275079045,0.9465363610232825,0.8738143144581777,0.10127431254191818,0.935793425783368,0.9085950799402744,0.8303666183327998,0.04256288269691068,0.6583892617449665,0.664333652924257,0.8036433365292426,0.8013422818791947,0.32458154207583717,0.32854757516705557,0.3424170616113744,0.0017246335153779935,0.49373118101359087,-0.49718044804434686
3,0.9717351729424164,0.9783462680846987,0.93158953722334,0.10127431254191818,0.9945349952061362,0.9950143815915627,0.989837008628955,0.10038350910834132,0.9717351729424164,0.9783462680846987,0.93158953722334,0.10127431254191818,0.9630417473080938,0.956371018487407,0.8953086953467091,0.04256288269691068,0.7874400767018217,0.7941514860977948,1.183221476510067,1.211313518696069,0.5113443312865512,0.5001668820814777,12.200527704485488,0.006611095142282308,0.32371371887392947,-0.336935909158494
4,0.9766216345693207,0.9805499664654594,0.9486442464309668,0.10127431254191818,0.9950143815915627,0.9961649089165868,0.9942473633748802,0.10038350910834132,0.9766216345693207,0.9805499664654594,0.9486442464309668,0.10127431254191818,0.9734327463261643,0.9723026556254167,0.9449969226840089,0.04256288269691068,0.8592521572387344,0.8717162032598275,1.5877277085330777,1.6231064237775648,0.6996884085296997,0.684468646884676,4.984423676012461,0.003928331896138726,0.2444371079338436,-0.25229377172612105
5,0.9824662259269905,0.9845741113346748,0.9586087956309284,0.10127431254191818,0.997411313518696,0.9984659635666348,0.9964525407478427,0.10038350910834132,0.9824662259269905,0.9845741113346748,0.9586087956309284,0.10127431254191818,0.9792483663488661,0.9814608488739439,0.9477573842608926,0.04256288269691068,0.9037392138063279,0.9126558005752636,1.9671140939597316,2.017641418983701,0.8892770932776949,0.8769918348989254,2.0416666666666665,0.0021078854076842513,0.1966523992927521,-0.2008681701081205
6,0.9839992334962154,0.9846699243077512,0.9477819296732778,0.10127431254191818,0.9978906999041227,0.998849472674976,0.9963566634707575,0.10038350910834132,0.9839992334962154,0.9846699243077512,0.9477819296732778,0.10127431254191818,0.9821815038618213,0.981092633722984,0.9375099134753931,0.04256288269691068,0.9299137104506232,0.9378715244487057,2.338926174496644,2.41006711409396,1.11528814501784,1.077370243270523,0.16901408450704225,0.0006706908115358123,0.16540342756609044,-0.16674480918916218
7,0.9870652486346652,0.9879275653923542,0.9572674140078566,0.10127431254191818,0.9986577181208054,0.9993288590604027,0.999137104506232,0.10038350910834132,0.9870652486346652,0.9879275653923542,0.9572674140078566,0.10127431254191818,0.9838123493710048,0.9854644529157274,0.9567077721454139,0.04256288269691068,0.9499520613614574,0.9539789069990412,2.740843720038351,2.8148609779482263,1.3060180585851882,1.2712336159580926,0.41830065359477125,0.0008623167576889967,0.14146061856375242,-0.1431852520791304
8,0.9863945578231292,0.9863945578231292,0.9626329405001437,0.10127431254191818,0.99856184084372,0.9990412272291467,0.9987535953978907,0.10038350910834132,0.9863945578231292,0.9863945578231292,0.9626329405001437,0.10127431254191818,0.9834422800841857,0.9837380649819084,0.956861587169743,0.04256288269691068,0.9603068072866731,0.9604985618408437,3.129338446788111,3.1818791946308727,1.5466489297793662,1.5041636840639871,0.006493506493506494,0.0,0.12483045514478701,-0.12483045514478701
9,0.9887898821500432,0.9881191913385072,0.9753760659193255,0.10127431254191818,0.9990412272291467,0.999424736337488,0.999712368168744,0.10038350910834132,0.9887898821500432,0.9881191913385072,0.9753760659193255,0.10127431254191818,0.985323422513542,0.986071160155413,0.9765224386227684,0.04256288269691068,0.9679769894534995,0.9697027804410355,3.546116970278044,3.581783317353787,1.741365479271215,1.7128239102814145,0.3025210084033613,-0.0006706908115359234,0.11160820454548653,-0.11026682292241477
10,0.9871610616077416,0.9884066302577369,0.9636868832039858,0.10127431254191818,0.9989453499520614,0.9996164908916587,0.999712368168744,0.10038350910834132,0.9871610616077416,0.9884066302577369,0.9636868832039858,0.10127431254191818,0.9843906378634104,0.9857075966315154,0.9535662970304356,0.04256288269691068,0.9733461169702781,0.9741131351869607,3.921380632790029,3.9880153403643335,1.9783956674889212,1.924559673400707,1.170731707317073,0.0012455686499952545,0.09883729829682443,-0.10132843559681486
