numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9566925361693973,0.9503688799463448,0.8452620484813643,0.10127431254191818,0.9787152444870566,0.9775647171620326,0.9395973154362416,0.10038350910834132,0.9566925361693973,0.9503688799463448,0.8452620484813643,0.10127431254191818,0.9277041763845926,0.9367862323950251,0.7423700159055673,0.04256288269691068,0.4293384467881112,0.4264621284755513,0.4080536912751678,0.4040268456375839,0.1561083807725575,0.15781634502571334,5.348101265822785,-0.006323656223052532,0.9916033486529666,-0.9789560362068613
2,0.9624413145539906,0.9308230334387276,0.8809044744658426,0.10127431254191818,0.9838926174496644,0.9696069031639502,0.9559923298178332,0.10038350910834132,0.9624413145539906,0.9308230334387276,0.8809044744658426,0.10127431254191818,0.945408118710072,0.9170459551520577,0.8567587329466487,0.04256288269691068,0.6642377756471716,0.6473633748801534,0.8205177372962608,0.7725790987535954,0.30732919394841035,0.35529525771395837,134.6281094527363,-0.03161828111526299,0.5269775845222139,-0.4637410222916879
3,0.9796876497077704,0.9676152151001246,0.9137683242311009,0.10127431254191818,0.9950143815915627,0.9903163950143816,0.9857142857142858,0.10038350910834132,0.9796876497077704,0.9676152151001246,0.9137683242311009,0.10127431254191818,0.9745603913755282,0.954443049874019,0.8972911860541283,0.04256288269691068,0.7927133269415149,0.7803451581975072,1.186960690316395,1.161169702780441,0.5117369067281251,0.5525460711162369,41.555851063829785,-0.012072434607645843,0.34238790933092667,-0.31824304011563487
4,0.9791127718693111,0.9708728561847274,0.8987256874580818,0.10127431254191818,0.9945349952061362,0.9925215723873442,0.9848513902205177,0.10038350910834132,0.9791127718693111,0.9708728561847274,0.8987256874580818,0.10127431254191818,0.9747611947927778,0.955681611789588,0.8849173845269306,0.04256288269691068,0.8660594439117929,0.8537871524448706,1.5746883988494726,1.5601150527325025,0.7036299785851967,0.7415467936385092,20.88150289017341,-0.00823991568458371,0.2567366506443975,-0.2402568192752301
5,0.9809332183577656,0.9800709016000767,0.953530708057871,0.10127431254191818,0.9967401725790987,0.9957813998082454,0.99712368168744,0.10038350910834132,0.9809332183577656,0.9800709016000767,0.953530708057871,0.10127431254191818,0.9774965760939565,0.966748261011254,0.9409381770698623,0.04256288269691068,0.9083413231064238,0.898274209012464,1.950431447746884,1.9525407478427612,0.9172640336956283,0.9421519934937879,0.2471042471042471,-0.0008623167576888857,0.19988461122821063,-0.19815997771283264
6,0.9828494778192968,0.9812206572769953,0.9370508766887037,0.10127431254191818,0.9972195589645254,0.9972195589645254,0.9955896452540748,0.10038350910834132,0.9828494778192968,0.9812206572769953,0.9370508766887037,0.10127431254191818,0.9791791436136806,0.9741367777388804,0.9323560521743227,0.04256288269691068,0.9345158197507191,0.924352828379674,2.3641418983700864,2.326366251198466,1.0950060614471098,1.1687407015897684,1.248780487804878,-0.0016288205423015123,0.16765112814898622,-0.16439348706438336
7,0.9862029318769762,0.9831369167385264,0.9585129826578519,0.10127431254191818,0.9984659635666348,0.99712368168744,0.9992329817833173,0.10038350910834132,0.9862029318769762,0.9831369167385264,0.9585129826578519,0.10127431254191818,0.9817122439574285,0.9770380883684594,0.9503521630267912,0.04256288269691068,0.9505273250239693,0.9428571428571428,2.7610738255033556,2.7029721955896453,1.2917912421325977,1.3948262665414375,5.522988505747127,-0.003066015138449729,0.14554387887146386,-0.13941184859456435
8,0.9873526875538948,0.9840950464692919,0.9715435469962633,0.10127431254191818,0.9986577181208054,0.9975071907957814,0.9986577181208054,0.10038350910834132,0.9873526875538948,0.9840950464692919,0.9715435469962633,0.10127431254191818,0.9834901505741308,0.9789661008807258,0.9587789765967215,0.04256288269691068,0.9609779482262704,0.9537871524448706,3.1711409395973154,3.0815915627996167,1.494126825095134,1.6561454178352049,7.458904109589041,-0.0032576410846029136,0.1280276182447304,-0.1215123360755247
9,0.9861071189038996,0.9852448021462106,0.9609083069847657,0.10127431254191818,0.9987535953978907,0.99856184084372,0.9990412272291467,0.10038350910834132,0.9861071189038997,0.9852448021462106,0.9609083069847657,0.10127431254191818,0.9818142828926572,0.980377400611346,0.9535918207241462,0.04256288269691068,0.9688398849472675,0.961169702780441,3.55647171620326,3.4689357622243526,1.734398682891286,1.8897686962749212,0.460431654676259,-0.0008623167576889967,0.1119653193088023,-0.1102406857934243
10,0.9884066302577369,0.9853406151192872,0.9685733448308901,0.10127431254191818,0.9989453499520614,0.9986577181208054,0.9990412272291467,0.10038350910834132,0.9884066302577369,0.9853406151192872,0.9685733448308902,0.10127431254191818,0.9845649323795748,0.9817886274500127,0.9587114868985975,0.04256288269691068,0.9746883988494727,0.9683604985618408,3.966059443911793,3.8705656759348033,1.9483525831917594,2.115297505895977,7.75,-0.003066015138449729,0.10315802137979947,-0.09702599110289999
