numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9256491328925937,0.9159720226118616,0.9275653923541247,0.10127431254191818,0.962607861936721,0.961169702780441,0.972770853307766,0.10038350910834132,0.9256491328925937,0.9159720226118616,0.9275653923541247,0.10127431254191818,0.9122167399284377,0.9072795992506291,0.8936685941722318,0.04256288269691068,0.411888782358581,0.4069031639501438,0.374496644295302,0.36807286673058487,0.18234196057140378,0.18446807577497187,8.340283569641368,-0.009677110280732037,0.9961824041353292,-0.9768281835738651
2,0.9399252658810003,0.9169301523426272,0.8531187122736419,0.10127431254191818,0.9689357622243528,0.9625119846596356,0.9479386385426654,0.10038350910834132,0.9399252658810003,0.9169301523426272,0.8531187122736419,0.10127431254191818,0.9172610143430387,0.9017436751679849,0.841020518568675,0.04256288269691068,0.6470757430488974,0.6349952061361457,0.7810162991371045,0.7401725790987536,0.3474019787907935,0.3778999908842954,59.62526096033403,-0.022995113538373135,0.5188243341317907,-0.47283410705504453
3,0.9673277761808949,0.9690524096962728,0.9381048193925458,0.10127431254191818,0.9902205177372962,0.9931927133269415,0.991275167785235,0.10038350910834132,0.9673277761808949,0.9690524096962728,0.9381048193925458,0.10127431254191818,0.9527873347953381,0.9584633913412001,0.9263479957760041,0.04256288269691068,0.7782358581016299,0.7720997123681688,1.159156279961649,1.1573346116970278,0.557592997534989,0.5397368886682855,0.6784037558685446,0.0017246335153778825,0.3288181870396928,-0.3322674540704488
4,0.9642617610424451,0.9704896042924211,0.921912426942608,0.10127431254191818,0.9919463087248322,0.9925215723873442,0.9868648130393097,0.10038350910834132,0.9642617610424451,0.9704896042924211,0.921912426942608,0.10127431254191818,0.9531137149541721,0.9673038308800064,0.9004489921468951,0.04256288269691068,0.84928092042186,0.848418024928092,1.5409395973154363,1.544295302013423,0.7757971551749977,0.7341813734403954,9.592505854800937,0.0062278432499760505,0.24265455507101424,-0.25511024157096635
5,0.9796876497077704,0.9757593178116317,0.9476861167002012,0.10127431254191818,0.9965484180249281,0.9966442953020134,0.9963566634707575,0.10038350910834132,0.9796876497077704,0.9757593178116317,0.9476861167002012,0.10127431254191818,0.97006994689424,0.9726757739809736,0.9405411083669845,0.04256288269691068,0.89712368168744,0.8930009587727709,1.9516778523489933,1.906903163950144,0.9525199054287454,0.9590407080376956,5.614035087719298,-0.003928331896138726,0.20309954552534168,-0.19524288173306423
6,0.9811248443039188,0.9761425697039379,0.9704896042924211,0.10127431254191818,0.9970278044103548,0.9970278044103548,0.9979865771812081,0.10038350910834132,0.9811248443039188,0.9761425697039379,0.9704896042924211,0.10127431254191818,0.971105842720315,0.9737639601794067,0.9442242323427492,0.04256288269691068,0.924065196548418,0.9207094918504315,2.354745925215724,2.293959731543624,1.138287023797313,1.181947481577137,10.74793388429752,-0.004982274599980907,0.17123855141686084,-0.1612740022168992
7,0.9829452907923732,0.9824662259269905,0.9581297307655456,0.10127431254191818,0.9978906999041227,0.9981783317353787,0.9978906999041227,0.10038350910834132,0.9829452907923732,0.9824662259269905,0.9581297307655456,0.10127431254191818,0.9796414863846871,0.9792644709649568,0.9510446804215058,0.04256288269691068,0.9427612655800576,0.9409395973154362,2.7413231064237777,2.7161073825503355,1.3707161940576045,1.3596388115945879,0.08121827411167512,-0.00047906486538273896,0.1431148872460879,-0.14215675751532236
8,0.9842866724154451,0.9845741113346748,0.9628245664462969,0.10127431254191818,0.9981783317353787,0.9987535953978907,0.998849472674976,0.10038350910834132,0.9842866724154451,0.9845741113346748,0.9628245664462969,0.10127431254191818,0.9814017568782633,0.9817689900634945,0.9637288803097143,0.04256288269691068,0.9543624161073826,0.9544582933844679,3.1341323106423777,3.128379674017258,1.5882746642707437,1.565823581490258,0.023952095808383235,0.0002874389192296656,0.1246393932586697,-0.12521427109712902
9,0.9862987448500526,0.9869694356615886,0.9704896042924211,0.10127431254191818,0.9989453499520614,0.9989453499520614,0.9993288590604027,0.10038350910834132,0.9862987448500526,0.9869694356615886,0.9704896042924211,0.10127431254191818,0.9826749405835536,0.9840995118567842,0.9665301722970558,0.04256288269691068,0.9655800575263662,0.9630872483221476,3.549568552253116,3.5311601150527325,1.7727992362518998,1.7828272846257331,0.26277372262773724,0.0006706908115359234,0.1104163014505816,-0.11175768307365336
10,0.9862029318769762,0.9871610616077416,0.9772923253808565,0.10127431254191818,0.99856184084372,0.9992329817833173,0.9998082454458294,0.10038350910834132,0.9862029318769762,0.9871610616077416,0.9772923253808565,0.10127431254191818,0.981188650531386,0.9843512465507261,0.9666923739433383,0.04256288269691068,0.9701821668264621,0.9709491850431448,3.955992329817833,3.9459252157238733,1.9844271668430251,2.005937400252692,0.6639344262295082,0.0009581297307654779,0.0991161979187409,-0.101032457380272
