numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.8568554182236274,0.8900067069081153,0.9028456453003737,0.10127431254191818,0.9352828379674017,0.9532118887823586,0.9632790028763183,0.10038350910834132,0.8568554182236274,0.8900067069081153,0.9028456453003737,0.10127431254191818,0.8400774455107293,0.8705835599686688,0.8752374122371304,0.04256288269691068,0.38360498561840845,0.39789069990412274,0.31888782358581014,0.3511025886864813,0.23017759713018607,0.1979816422369255,62.44753410283316,0.03315128868448791,0.955071984459184,-1.0213745618281598
2,0.8662450895851298,0.8900067069081153,0.8604963112005366,0.10127431254191818,0.9412272291466922,0.9532118887823586,0.9423777564717162,0.10038350910834132,0.8662450895851298,0.8900067069081153,0.8604963112005365,0.10127431254191818,0.8362068385911726,0.8705835599686688,0.8384576257783879,0.04256288269691068,0.5971236816874401,0.5989453499520614,0.6416107382550336,0.6259827420901246,0.4694081682597631,0.4680176985016462,34.159574468085104,0.02376161732298554,0.4741878203737277,-0.5217110550196987
3,0.9275653923541247,0.9304397815464214,0.9194212896426176,0.10127431254191818,0.9830297219558964,0.984372003835091,0.9890699904122723,0.10038350910834132,0.9275653923541247,0.9304397815464214,0.9194212896426176,0.10127431254191818,0.8941474194959919,0.9187939710622645,0.8769950559132819,0.04256288269691068,0.7270373921380633,0.7192713326941514,0.9884947267497604,0.9570469798657718,0.690871070666419,0.7173512511204748,0.800952380952381,0.002874389192296656,0.32987772987781905,-0.33562650826241225
4,0.9311104723579573,0.9468237999425122,0.9615789977963016,0.10127431254191818,0.9851390220517737,0.9905081495685523,0.9942473633748802,0.10038350910834132,0.9311104723579573,0.9468237999425122,0.9615789977963016,0.10127431254191818,0.9136964883632387,0.9377054455624497,0.9382977355392544,0.04256288269691068,0.8013422818791947,0.7948226270373921,1.3069031639501438,1.2953978906999042,0.9609628600903374,0.9780340810533598,29.920045045045047,0.015713327584554904,0.23489090462506995,-0.26631755979417987
5,0.9452907923732874,0.9520935134617227,0.9427996550732969,0.10127431254191818,0.9920421860019175,0.9945349952061362,0.9946308724832215,0.10038350910834132,0.9452907923732874,0.9520935134617227,0.9427996550732969,0.10127431254191818,0.9337326932657491,0.9423074445113665,0.9320394310338945,0.04256288269691068,0.8451581975071908,0.8386385426653883,1.625215723873442,1.5970278044103547,1.2454891448903191,1.265972955248696,7.03012912482066,0.006802721088435271,0.19415688516822133,-0.2077623273450921
6,0.9488358723771199,0.9485484334578902,0.9611957459039954,0.10127431254191818,0.9938638542665388,0.9953020134228188,0.9977948226270373,0.10038350910834132,0.9488358723771199,0.9485484334578902,0.9611957459039954,0.10127431254191818,0.9414308806873875,0.9396995090512554,0.9560484210042995,0.04256288269691068,0.8731543624161073,0.8619367209971237,1.9356663470757431,1.8682646212847556,1.5655085933069233,1.6251203429404337,0.005873715124816446,-0.0002874389192296656,0.168521428256961,-0.16794655041850168
7,0.9615789977963016,0.963878509150139,0.9654115167193638,0.10127431254191818,0.9972195589645254,0.9978906999041227,0.9990412272291467,0.10038350910834132,0.9615789977963016,0.963878509150139,0.9654115167193638,0.10127431254191818,0.9632995565284888,0.9589217795675283,0.9663726374478804,0.04256288269691068,0.8983700862895494,0.8885906040268456,2.2941514860977947,2.232502396931927,1.786502157402022,1.8798823792424606,1.084016393442623,0.0022995113538373246,0.1418492156183535,-0.1464482383260281
8,0.9588004215770816,0.9669445242885887,0.9588004215770816,0.10127431254191818,0.9973154362416108,0.9976989453499521,0.99856184084372,0.10038350910834132,0.9588004215770816,0.9669445242885887,0.9588004215770816,0.10127431254191818,0.9615728877707911,0.9602612313719073,0.9528543291760648,0.04256288269691068,0.9088207094918505,0.9052732502396932,2.585234899328859,2.5647171620325984,2.166613459488368,2.2070999460317813,14.370672097759675,0.008144102711507117,0.1185200540355876,-0.1348082594586019
9,0.9579381048193926,0.967519402127048,0.955255341573249,0.10127431254191818,0.9980824544582934,0.9984659635666348,0.9990412272291467,0.10038350910834132,0.9579381048193926,0.967519402127048,0.955255341573249,0.10127431254191818,0.9593242167910696,0.9611927997648594,0.9429201611302137,0.04256288269691068,0.9169702780441036,0.9179290508149569,2.853020134228188,2.9227229146692233,2.5827438842263697,2.5483748555717898,21.032188841201716,0.009581297307655445,0.1033656599381842,-0.12252825455349511
10,0.9591836734693877,0.9725016767270288,0.9687649707770433,0.10127431254191818,0.9986577181208054,0.9986577181208054,0.9992329817833173,0.10038350910834132,0.9591836734693877,0.9725016767270288,0.9687649707770433,0.10127431254191818,0.960216715997583,0.9635652945393547,0.9621206026433057,0.04256288269691068,0.9258868648130393,0.9315436241610738,3.1924256951102588,3.296164908916587,2.927803270749669,2.8264241098364047,45.45107398568019,0.013318003257641098,0.08853451472055195,-0.11517052123583411
11,0.9635910702309093,0.9748011880808661,0.9719267988885695,0.10127431254191818,0.9992329817833173,0.999137104506232,0.9995206136145733,0.10038350910834132,0.9635910702309093,0.9748011880808661,0.9719267988885695,0.10127431254191818,0.9655409393828166,0.9636744091523113,0.9644257820956925,0.04256288269691068,0.9335570469798657,0.9410354745925216,3.513614573346117,3.67823585810163,3.3088243324892135,3.10184716803957,36.664850136239785,0.011210117849956847,0.08148481858157475,-0.1039050542814885
12,0.9659863945578231,0.9752802529462489,0.9714477340231867,0.10127431254191818,0.999137104506232,0.9990412272291467,0.999712368168744,0.10038350910834132,0.9659863945578231,0.9752802529462489,0.9714477340231867,0.10127431254191818,0.9676986429380706,0.9645870080744273,0.9623553561004119,0.04256288269691068,0.9425695110258868,0.9488015340364334,3.89137104506232,4.034419942473634,3.61545768020103,3.4249631968995518,27.026392961876834,0.00929385838842578,0.07584521744207602,-0.09443293421892761
13,0.9685733448308901,0.9791127718693111,0.9713519210501101,0.10127431254191818,0.9995206136145733,0.9996164908916587,1.0,0.10038350910834132,0.9685733448308902,0.9791127718693111,0.9713519210501101,0.10127431254191818,0.9699584575973258,0.9688506847978858,0.9620847290363295,0.04256288269691068,0.9453499520613614,0.9543624161073826,4.192138063279003,4.397027804410355,4.022153734557961,3.7543172071959914,38.080128205128204,0.010539427038421034,0.06816843878171366,-0.08924729285855568
14,0.9671361502347418,0.9794002107885408,0.979783462680847,0.10127431254191818,0.999424736337488,0.9995206136145733,0.9996164908916587,0.10038350910834132,0.9671361502347418,0.9794002107885408,0.979783462680847,0.10127431254191818,0.969745346353078,0.9681811194337352,0.9705313402666467,0.04256288269691068,0.948418024928092,0.9567593480345158,4.485330776605944,4.741035474592522,4.561993605011026,4.156985264391697,52.366883116883116,0.012264060553799028,0.061040088883594384,-0.08556820999119236
