numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.8919229663696464,0.9005461339465364,0.8475615598352016,0.10127431254191818,0.9511984659635666,0.9533077660594439,0.9406519654841803,0.10038350910834132,0.8919229663696464,0.9005461339465364,0.8475615598352018,0.10127431254191818,0.8415422214249465,0.8534302163206973,0.7841381748959741,0.04256288269691068,0.3989453499520614,0.4061361457334612,0.350143815915628,0.3594439117929051,0.20176065507467603,0.19853544424124003,4.883477188655981,0.008623167576889967,0.9789418455738452,-0.9961881807276252
2,0.8847369933889049,0.9225831177541439,0.8844495544696752,0.10127431254191818,0.9456375838926174,0.9660594439117929,0.9610738255033557,0.10038350910834132,0.8847369933889049,0.9225831177541439,0.8844495544696752,0.10127431254191818,0.8278091306555259,0.8565254095038907,0.8689987488217471,0.04256288269691068,0.6179290508149569,0.6392138063279003,0.6883988494726749,0.7701821668264621,0.42767135235117654,0.3566708292945774,113.06336489439184,0.03784612436523904,0.4591501555406953,-0.5348424042711735
3,0.9381048193925458,0.9613873718501486,0.9221998658618377,0.10127431254191818,0.9850431447746884,0.9904122722914669,0.9873441994247364,0.10038350910834132,0.9381048193925458,0.9613873718501486,0.9221998658618377,0.10127431254191818,0.9126838789964206,0.9335340257306637,0.9002961245228279,0.04256288269691068,0.7396931927133269,0.7627037392138063,1.0409395973154363,1.1253116011505273,0.6565084263823769,0.5759334163661434,72.75031055900621,0.0232825524576028,0.30873097815461437,-0.35529608306981986
4,0.9551595286001725,0.9685733448308901,0.913097633419565,0.10127431254191818,0.990124640460211,0.9929050814956856,0.9878235858101629,0.10038350910834132,0.9551595286001725,0.9685733448308902,0.913097633419565,0.10127431254191818,0.9585110689017697,0.9438269847595578,0.898894975736078,0.04256288269691068,0.8179290508149568,0.8403643336529243,1.4244487056567594,1.4953978906999041,0.8569077599574535,0.7790682778287977,33.896491228070175,0.013413816230717579,0.2360770700486825,-0.26290470251011777
5,0.9607166810386126,0.9764300086231675,0.9480693685925075,0.10127431254191818,0.9938638542665388,0.9967401725790987,0.9949185043144775,0.10038350910834132,0.9607166810386126,0.9764300086231675,0.9480693685925075,0.10127431254191818,0.9525981192155685,0.9663742868777914,0.9151008032285034,0.04256288269691068,0.862320230105465,0.8864813039309684,1.7287631831255992,1.8632790028763182,1.1537685037461947,1.0044110369915231,57.50865800865801,0.015713327584554904,0.1843343809623878,-0.21576103613149772
6,0.9641659480693686,0.9760467567308614,0.9568841621155505,0.10127431254191818,0.9952061361457335,0.9967401725790987,0.9966442953020134,0.10038350910834132,0.9641659480693686,0.9760467567308614,0.9568841621155505,0.10127431254191818,0.9309434729898669,0.9704081083100998,0.9484500215778348,0.04256288269691068,0.8925215723873442,0.9116970278044103,2.0801534036433367,2.2128475551294344,1.424857368540335,1.2644666819776316,35.18372093023256,0.01188080866149277,0.1553533572492339,-0.17911497457221945
7,0.969244035642426,0.9839034205231388,0.9716393599693398,0.10127431254191818,0.9963566634707575,0.9989453499520614,0.999137104506232,0.10038350910834132,0.969244035642426,0.9839034205231388,0.9716393599693398,0.10127431254191818,0.9596883184238405,0.9790545590574599,0.9744611102923436,0.04256288269691068,0.9117929050814957,0.9349952061361457,2.4381591562799616,2.609875359539789,1.711749265848579,1.4644869024371179,67.75366568914956,0.014659384880712834,0.12881982926381386,-0.15813859902523958
8,0.97441793618856,0.9851489891731341,0.9615789977963016,0.10127431254191818,0.9981783317353787,0.9990412272291467,0.9990412272291467,0.10038350910834132,0.97441793618856,0.9851489891731341,0.9615789977963016,0.10127431254191818,0.9668188019850428,0.9811688585591282,0.9599179456872529,0.04256288269691068,0.9305848513902205,0.94928092042186,2.8285714285714287,2.9857142857142858,1.9047210191705926,1.6693591135985726,43.691489361702125,0.010731052984574108,0.114929248042725,-0.13639135401187322
9,0.9758551307847082,0.9873526875538948,0.9668487113155121,0.10127431254191818,0.9984659635666348,0.999424736337488,0.9995206136145733,0.10038350910834132,0.9758551307847082,0.9873526875538948,0.9668487113155121,0.10127431254191818,0.9668484514999739,0.982980967001108,0.957137775623099,0.04256288269691068,0.9409395973154362,0.9574304889741131,3.1913710450623203,3.3683604985618407,2.210676915479909,1.8993647307530785,53.640151515151516,0.011497556769186623,0.10045057700672849,-0.1234456905451016
10,0.9755676918654785,0.9863945578231292,0.9646450129347514,0.10127431254191818,0.9980824544582934,0.9996164908916587,0.9993288590604027,0.10038350910834132,0.9755676918654785,0.9863945578231292,0.9646450129347514,0.10127431254191818,0.9671813960898348,0.9842699677790524,0.9669097123581311,0.04256288269691068,0.9478427612655801,0.9632790028763183,3.5429530201342283,3.732790028763183,2.515329581853309,2.1638401300765895,48.432432432432435,0.0108268659576507,0.09020251290815227,-0.11185624482345359
