numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.7732106927277953,0.8588674906582351,0.8583884257928523,0.10127431254191818,0.8942473633748802,0.9348034515819751,0.9477468839884947,0.10038350910834132,0.7732106927277953,0.8588674906582351,0.8583884257928523,0.10127431254191818,0.7021196927271042,0.8019153626680566,0.8310331204428644,0.04256288269691068,0.33998082454458295,0.3846596356663471,0.2342281879194631,0.3194630872483222,0.3062915551407291,0.23120266888827848,298.44648203592817,0.08565679793043979,0.904188624524327,-1.0755022203852067
2,0.8559931014659384,0.8397048960429242,0.8671074063428188,0.10127431254191818,0.9307766059443912,0.9256951102588686,0.9508149568552253,0.10038350910834132,0.8559931014659384,0.8397048960429242,0.8671074063428188,0.10127431254191818,0.7863128901794648,0.8165687296085059,0.8226369701787472,0.04256288269691068,0.5677852348993289,0.5814956855225312,0.6116970278044104,0.6001917545541706,0.4789814795021623,0.5080107162623115,15.438378378378378,-0.016288205423014235,0.5143715487491428,-0.48179513790311435
3,0.9191338507233879,0.9021749544888378,0.9352304302002491,0.10127431254191818,0.9801534036433365,0.974784276126558,0.9902205177372962,0.10038350910834132,0.9191338507233879,0.9021749544888378,0.9352304302002491,0.10127431254191818,0.9149531958520455,0.8978622302568038,0.91046832596345,0.04256288269691068,0.6946308724832215,0.7000958772770853,0.9239693192713327,0.8999041227229146,0.7389513545423796,0.7957277047766641,24.333071484681852,-0.016958896234550158,0.35033376315271164,-0.3164159706836113
4,0.934176487496407,0.9177924691003162,0.9459614831848232,0.10127431254191818,0.9867689357622244,0.9820709491850431,0.9920421860019175,0.10038350910834132,0.934176487496407,0.9177924691003162,0.9459614831848232,0.10127431254191818,0.9274606493018401,0.9150994619758556,0.9452338336843426,0.04256288269691068,0.7810162991371045,0.7725790987535954,1.2726749760306808,1.22320230105465,0.9737297469527186,1.0796557861215317,27.97676669893514,-0.016384018396090827,0.2674279381670602,-0.23465990137487852
5,0.9524767653540289,0.9365718118233208,0.9540097729232538,0.10127431254191818,0.9942473633748802,0.9907957813998083,0.9960690316395014,0.10038350910834132,0.9524767653540289,0.9365718118233208,0.9540097729232538,0.10127431254191818,0.9452140667434098,0.9314484262759964,0.9444181833076469,0.04256288269691068,0.8349952061361458,0.8186001917545541,1.6082454458293385,1.5593480345158197,1.2213693327943562,1.35166750984412,36.3,-0.015904953530708088,0.21705693271764098,-0.18524702565622486
6,0.9556385934655552,0.9443326626425218,0.9591836734693877,0.10127431254191818,0.9962607861936721,0.9927133269415148,0.99856184084372,0.10038350910834132,0.9556385934655552,0.9443326626425218,0.9591836734693877,0.10127431254191818,0.9494957943303021,0.9387993303962464,0.9472485700441077,0.04256288269691068,0.8690316395014381,0.8540747842761266,1.946979865771812,1.8948226270373922,1.4847562169394353,1.6486405967794062,21.322429906542055,-0.011305930823033439,0.1794024625819795,-0.15679060093591263
7,0.9664654594232059,0.9550637156270959,0.968381718884737,0.10127431254191818,0.9975071907957814,0.9957813998082454,0.99856184084372,0.10038350910834132,0.9664654594232059,0.9550637156270959,0.968381718884737,0.10127431254191818,0.9678306692445303,0.9525804438437792,0.9598322408397476,0.04256288269691068,0.8972195589645254,0.8788111217641419,2.3129434324065197,2.217066155321189,1.7320521781687368,1.9504591929385604,26.026168224299067,-0.011401743796110031,0.15575092283689318,-0.13294743524467323
8,0.9669445242885887,0.9547762767078662,0.9600459902270767,0.10127431254191818,0.9975071907957814,0.9960690316395014,0.999137104506232,0.10038350910834132,0.9669445242885887,0.9547762767078662,0.9600459902270767,0.10127431254191818,0.9702892841446921,0.9553537529081609,0.9514283948646741,0.04256288269691068,0.9180249280920422,0.8969319271332694,2.6604985618408437,2.5302972195589644,1.9881549901987512,2.295073561795029,30.707930367504837,-0.012168247580722436,0.13894460274250856,-0.11460810758106368
9,0.9706812302385743,0.9575548529270863,0.9684775318578136,0.10127431254191818,0.998849472674976,0.9976030680728667,0.9998082454458294,0.10038350910834132,0.9706812302385743,0.9575548529270863,0.9684775318578136,0.10127431254191818,0.9739059139514583,0.9589817593877651,0.9673411615848727,0.04256288269691068,0.9305848513902205,0.9079578139980825,2.996836049856184,2.8416107382550337,2.3022803281641284,2.6730036676950224,38.938947368421054,-0.013126377311488024,0.12611586937198677,-0.09986311474901081
10,0.9733639934847178,0.961483184823225,0.9670403372616653,0.10127431254191818,0.9987535953978907,0.9983700862895494,0.9992329817833173,0.10038350910834132,0.9733639934847178,0.961483184823225,0.9670403372616653,0.10127431254191818,0.976242985895487,0.9634303431102703,0.960689987147115,0.04256288269691068,0.9419942473633749,0.9209971236816874,3.3831255992329816,3.1844678811121763,2.5326827908797838,2.9933235417354696,36.54347826086956,-0.01188080866149277,0.11370863217569513,-0.08994701485270959
11,0.9801667145731532,0.9643575740155217,0.9777713902462394,0.10127431254191818,0.9995206136145733,0.9986577181208054,0.9999041227229146,0.10038350910834132,0.9801667145731532,0.9643575740155217,0.9777713902462395,0.10127431254191818,0.9816103108247464,0.9640547310236159,0.966865818681025,0.04256288269691068,0.9508149568552253,0.9285714285714286,3.768744007670182,3.5264621284755515,2.7850415700664093,3.335198272869542,73.68767123287671,-0.015809140557631496,0.10850063545461594,-0.07688235433935292
12,0.9791127718693111,0.9679984669924308,0.9716393599693398,0.10127431254191818,0.9993288590604027,0.9987535953978907,0.999424736337488,0.10038350910834132,0.9791127718693111,0.9679984669924308,0.9716393599693398,0.10127431254191818,0.9820933015067886,0.9677806113621759,0.9719193119225248,0.04256288269691068,0.9554170661553212,0.9378715244487057,4.102588686481304,3.8961649089165866,3.1353921339415427,3.642461977626678,39.36011904761905,-0.011114304876880365,0.09622987981428113,-0.07400127006052049
13,0.9792085848423877,0.9730765545654881,0.9757593178116317,0.10127431254191818,0.9995206136145733,0.999137104506232,0.999712368168744,0.10038350910834132,0.9792085848423877,0.9730765545654881,0.9757593178116317,0.10127431254191818,0.9819431131274046,0.9721174875565927,0.9681237770600739,0.04256288269691068,0.9571428571428572,0.9448705656759347,4.41006711409396,4.25810162991371,3.562041318872097,3.9690573588862277,13.142384105960264,-0.006132030276899569,0.0847822672594788,-0.0725182067056798
14,0.978921145923158,0.9750886270000958,0.9742263102424068,0.10127431254191818,0.999424736337488,0.9995206136145733,0.9995206136145733,0.10038350910834132,0.978921145923158,0.9750886270000958,0.9742263102424068,0.10127431254191818,0.9824988457950309,0.9748063724735601,0.9647018422100987,0.04256288269691068,0.9605944391179291,0.9497603068072866,4.762320230105465,4.609971236816874,3.9358364550513345,4.3537093760501895,5.208904109589041,-0.0038325189230622447,0.07704237667445421,-0.06937733882832983
15,0.9800709016000767,0.9758551307847082,0.9748970010539427,0.10127431254191818,0.999712368168744,0.9996164908916587,0.9999041227229146,0.10038350910834132,0.9800709016000767,0.9758551307847082,0.9748970010539427,0.10127431254191818,0.9827771083819338,0.9751795076567255,0.9772663947524293,0.04256288269691068,0.9638542665388303,0.9539789069990412,5.083509108341323,4.9529242569511025,4.336851316986614,4.688738654644765,7.455645161290323,-0.0042157708153685025,0.07250758378905643,-0.06407604215831962
16,0.9795918367346939,0.9756635048385551,0.9750886270000958,0.10127431254191818,0.999712368168744,0.9996164908916587,1.0,0.10038350910834132,0.9795918367346939,0.9756635048385551,0.9750886270000958,0.10127431254191818,0.9826909159651919,0.9748227463170278,0.9664326477240555,0.04256288269691068,0.9661553211888783,0.9555129434324066,5.448993288590604,5.258676893576222,4.7031159563402385,5.196963830837174,6.22568093385214,-0.003928331896138726,0.06818983276536322,-0.060333168973085764
17,0.9823704129539139,0.9760467567308614,0.9805499664654594,0.10127431254191818,0.9998082454458294,0.999712368168744,0.9999041227229146,0.10038350910834132,0.9823704129539139,0.9760467567308614,0.9805499664654594,0.10127431254191818,0.9845906737458122,0.9758189416836996,0.9709295704350942,0.04256288269691068,0.9697027804410355,0.960019175455417,5.83039309683605,5.617545541706615,5.022110195363406,5.584493744630914,18.055555555555557,-0.006323656223052532,0.06684596281080747,-0.05419865036470227
18,0.9836159816039092,0.9761425697039379,0.9750886270000958,0.10127431254191818,0.9999041227229146,0.999712368168744,1.0,0.10038350910834132,0.9836159816039092,0.9761425697039379,0.9750886270000958,0.10127431254191818,0.9857514703908371,0.9748017609362912,0.9681641364146573,0.04256288269691068,0.9719079578139981,0.9604985618408437,6.1824544582933845,5.945158197507191,5.4024259157431285,6.087460093842799,26.00438596491228,-0.007473411899971305,0.06475709750151168,-0.04981027370156917
