numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.857813547954393,0.8281115263006611,0.8063619814122832,0.10127431254191818,0.934228187919463,0.9162991371045063,0.9244487056567593,0.10038350910834132,0.857813547954393,0.8281115263006611,0.8063619814122832,0.10127431254191818,0.8598080678418986,0.7658712698412843,0.7927993934726576,0.04256288269691068,0.388398849472675,0.3696069031639501,0.32262703739213805,0.2859060402684564,0.23267187157340344,0.26582242263866473,39.29259259259259,-0.029702021653731925,1.0189768263345758,-0.9595727830271119
2,0.8810961004119958,0.8300277857621922,0.9028456453003737,0.10127431254191818,0.9459252157238734,0.9191754554170661,0.9627037392138064,0.10038350910834132,0.8810961004119959,0.8300277857621922,0.9028456453003737,0.10127431254191818,0.8474388263692082,0.7615157088723383,0.8650902080739028,0.04256288269691068,0.612176414189837,0.5705656759348035,0.6938638542665388,0.5761265580057526,0.41165371502406045,0.5498520228148166,154.74248223072718,-0.05106831464980366,0.5491591812911242,-0.4470225519915171
3,0.9383922583117754,0.89738430583501,0.9317811631694931,0.10127431254191818,0.9851390220517737,0.9754554170661554,0.9897411313518696,0.10038350910834132,0.9383922583117754,0.89738430583501,0.9317811631694931,0.10127431254191818,0.9087356881689677,0.8643704285800315,0.9170146869751035,0.04256288269691068,0.7346116970278044,0.6859060402684564,1.0080536912751679,0.8848513902205177,0.6775227210798401,0.8293321031424656,154.25465313028764,-0.041007952476765364,0.3741787582261911,-0.2921628532726604
4,0.928140270192584,0.9023665804349909,0.9537223340040242,0.10127431254191818,0.9851390220517737,0.9783317353787152,0.9941514860977948,0.10038350910834132,0.928140270192584,0.9023665804349909,0.9537223340040242,0.10127431254191818,0.9172835249963299,0.8914388243237039,0.9486169450443999,0.04256288269691068,0.802301054650048,0.7569511025886865,1.2735378715244488,1.1687440076701823,0.998956135148616,1.1517254039253924,64.07136485280999,-0.0257736897575932,0.27708067860437435,-0.22553329908918804
5,0.9399252658810003,0.9122353166618761,0.9480693685925075,0.10127431254191818,0.9921380632790029,0.988111217641419,0.9960690316395014,0.10038350910834132,0.9399252658810003,0.9122353166618761,0.9480693685925075,0.10127431254191818,0.9300090335324588,0.909216984457973,0.9346872655443709,0.04256288269691068,0.8411313518696069,0.8007670182166826,1.5817833173537872,1.420038350910834,1.3046941153687261,1.5174343645785346,87.58606124604013,-0.027689949219124266,0.2294933507282582,-0.17411345229000966
6,0.9451949794002108,0.9185589728849286,0.9574590399540098,0.10127431254191818,0.9931927133269415,0.9903163950143816,0.9970278044103548,0.10038350910834132,0.9451949794002108,0.9185589728849286,0.9574590399540098,0.10127431254191818,0.9360263674625572,0.918915555667533,0.9485157197252448,0.04256288269691068,0.8734419942473634,0.8310642377756472,1.9187919463087248,1.7145733461169703,1.5877503005682307,1.872124411280392,91.7811004784689,-0.026636006515282196,0.19542313001584086,-0.14215111698527652
7,0.9508479448117275,0.9250742550541343,0.9551595286001725,0.10127431254191818,0.9964525407478427,0.9942473633748802,0.99856184084372,0.10038350910834132,0.9508479448117275,0.9250742550541343,0.9551595286001725,0.10127431254191818,0.9508042350232923,0.919441651646752,0.9600720165611379,0.04256288269691068,0.8942473633748802,0.8530201342281879,2.238255033557047,2.0001917545541708,1.908356601373783,2.2621507866560466,98.79504814305365,-0.0257736897575932,0.17086123907106074,-0.1193138595558744
8,0.955255341573249,0.929673277761809,0.9617706237424547,0.10127431254191818,0.9966442953020134,0.9944391179290508,0.9983700862895494,0.10038350910834132,0.955255341573249,0.929673277761809,0.9617706237424547,0.10127431254191818,0.9567198359516272,0.9299644665971215,0.9665286284089952,0.04256288269691068,0.9117929050814957,0.8708533077660594,2.590987535953979,2.290699904122723,2.2073760270520926,2.6443159618872474,104.8237037037037,-0.025582063811440015,0.1529857037295676,-0.10182157610668746
9,0.959758551307847,0.9387755102040817,0.9747053751077895,0.10127431254191818,0.9981783317353787,0.9969319271332694,0.9995206136145733,0.10038350910834132,0.959758551307847,0.9387755102040817,0.9747053751077895,0.10127431254191818,0.9604668573289473,0.9421426290425222,0.9785850399265853,0.04256288269691068,0.9213806327900288,0.8853307766059444,2.9146692233940557,2.610642377756472,2.5620808560741457,3.0070650480765555,83.5219683655536,-0.020983041103765365,0.1343695542920223,-0.09240347208449141
10,0.9599501772540002,0.9396378269617707,0.9639743221232154,0.10127431254191818,0.9980824544582934,0.9967401725790987,0.9989453499520614,0.10038350910834132,0.9599501772540002,0.9396378269617707,0.9639743221232154,0.10127431254191818,0.9611673741694919,0.9407563528863573,0.9637428040210515,0.04256288269691068,0.9315436241610738,0.8961649089165867,3.2465963566634706,2.903835091083413,2.89790381815575,3.4338173868207855,82.4462962962963,-0.020312350292229553,0.12269364065010444,-0.0820689400656453
11,0.9633036313116796,0.9435661588579094,0.9722142378077991,0.10127431254191818,0.999137104506232,0.9976030680728667,0.9998082454458294,0.10038350910834132,0.9633036313116796,0.9435661588579094,0.9722142378077991,0.10127431254191818,0.964301969102832,0.9427999159104149,0.9639286566032575,0.04256288269691068,0.939693192713327,0.9054650047938638,3.581687440076702,3.2285714285714286,3.221098440992195,3.883287858361486,86.11680327868852,-0.019737472453770222,0.11299412030513056,-0.07351917539759009
12,0.9635910702309093,0.9406917696656127,0.9669445242885887,0.10127431254191818,0.999137104506232,0.9975071907957814,0.999712368168744,0.10038350910834132,0.9635910702309093,0.9406917696656127,0.9669445242885887,0.10127431254191818,0.965175155814587,0.9409978125590556,0.9691535938269807,0.04256288269691068,0.9417066155321189,0.9093959731543624,3.869031639501438,3.5053691275167784,3.678763297029182,4.416586612601449,111.72386587771203,-0.022899300565296543,0.10881720948995098,-0.0630186083593579
13,0.9660822075308997,0.9417457123694548,0.9673277761808949,0.10127431254191818,0.999137104506232,0.9976989453499521,0.999712368168744,0.10038350910834132,0.9660822075308997,0.9417457123694548,0.9673277761808949,0.10127431254191818,0.9676742018214731,0.9397367978977753,0.9678497377448707,0.04256288269691068,0.9476510067114094,0.9142857142857143,4.238063279002876,3.7804410354745923,4.015407278511681,5.015419438871933,131.70576131687244,-0.02433649516144487,0.10388733839211511,-0.05521434806922539
