numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.8659576506659001,0.865574398773594,0.8705566733735748,0.10127431254191818,0.9391179290508149,0.9370086289549376,0.9525407478427612,0.10038350910834132,0.8659576506659001,0.865574398773594,0.8705566733735748,0.10127431254191818,0.8424777232584307,0.8008867142164237,0.8098519273628365,0.04256288269691068,0.38983700862895493,0.3831255992329818,0.3289549376797699,0.3201342281879195,0.22347079910985257,0.2268263618730391,0.004901960784313725,-0.00038325189230614676,0.9884299351711645,-0.987663431386552
2,0.8695985436428092,0.8741017533774073,0.856759605250551,0.10127431254191818,0.9360498561840843,0.9423777564717162,0.949856184084372,0.10038350910834132,0.8695985436428092,0.8741017533774073,0.856759605250551,0.10127431254191818,0.8401227243956995,0.793073204966528,0.8365662771947057,0.04256288269691068,0.6046979865771812,0.6011505273250239,0.6584851390220517,0.6563758389261745,0.44281976718568766,0.44850939106307836,1.3452002542911634,0.004503209734598057,0.49294537846919123,-0.5019517979383874
3,0.9292900258695027,0.9300565296541151,0.9558302194117083,0.10127431254191818,0.9839884947267498,0.9836049856184085,0.9933844678811121,0.10038350910834132,0.9292900258695027,0.9300565296541151,0.9558302194117083,0.10127431254191818,0.9168108048038741,0.9076223453618374,0.9487969681601444,0.04256288269691068,0.7331735378715244,0.7258868648130393,1.014477468839885,0.9893576222435283,0.6613136759432081,0.688822982199737,0.051041666666666666,0.0007665037846124045,0.3317187479946766,-0.3332517555639015
4,0.935901121011785,0.9321644150617994,0.9475903037271246,0.10127431254191818,0.9878235858101629,0.9867689357622244,0.9911792905081496,0.10038350910834132,0.935901121011785,0.9321644150617994,0.9475903037271246,0.10127431254191818,0.9274108395810194,0.9081395789745738,0.9382350785378663,0.04256288269691068,0.8098753595397891,0.7973154362416107,1.3555129434324065,1.3224352828379673,0.9012720830783836,0.9605437979909306,1.6279594137542277,-0.0037367059499856525,0.2543301316243829,-0.24685671972441167
5,0.9514228226501869,0.9506563188655744,0.959566925361694,0.10127431254191818,0.9942473633748802,0.9942473633748802,0.99712368168744,0.10038350910834132,0.9514228226501867,0.9506563188655744,0.959566925361694,0.10127431254191818,0.9362993477588195,0.9379445878607896,0.9341062743977143,0.04256288269691068,0.8541706615532119,0.8490891658676893,1.6845637583892616,1.6746883988494727,1.1833141638327418,1.2037517835002283,0.0763239875389408,-0.0007665037846124045,0.20152478358260612,-0.19999177601338125
6,0.9584171696847753,0.9586087956309284,0.9502730669732682,0.10127431254191818,0.9953978906999041,0.9959731543624161,0.9963566634707575,0.10038350910834132,0.9584171696847753,0.9586087956309284,0.9502730669732681,0.10127431254191818,0.9505688507354374,0.9498609694804007,0.9487317889894976,0.04256288269691068,0.8862895493767977,0.8837967401725791,2.040939597315436,2.017737296260786,1.4314813426075115,1.450162979233675,0.001851851851851852,0.00019162594615307338,0.16750563383290995,-0.16788888572521615
7,0.9599501772540002,0.9668487113155121,0.9596627383347706,0.10127431254191818,0.99712368168744,0.9977948226270373,0.998274209012464,0.10038350910834132,0.9599501772540002,0.9668487113155121,0.9596627383347706,0.10127431254191818,0.9471948218120939,0.9589074376938173,0.946815516544715,0.04256288269691068,0.9039309683604986,0.9070949185043145,2.3349952061361456,2.3859060402684564,1.763761603309649,1.6993036714827687,10.91125541125541,0.006898534061511863,0.13714010186619685,-0.15093716998922074
8,0.9671361502347418,0.9713519210501101,0.9656989556385934,0.10127431254191818,0.9980824544582934,0.9983700862895494,0.9990412272291467,0.10038350910834132,0.9671361502347418,0.9713519210501101,0.9656989556385934,0.10127431254191818,0.9569157311972019,0.9594152960944066,0.9678875352028431,0.04256288269691068,0.9201342281879195,0.9250239693192713,2.7174496644295303,2.761840843720038,2.0063868523518034,1.9416004774057702,4.716836734693878,0.0042157708153683915,0.12200322894950785,-0.13043477058024464
9,0.9679984669924308,0.9767174475423972,0.968381718884737,0.10127431254191818,0.998274209012464,0.998849472674976,0.999137104506232,0.10038350910834132,0.9679984669924308,0.9767174475423972,0.968381718884737,0.10127431254191818,0.9578535106107551,0.9649833854364956,0.9715204740974444,0.04256288269691068,0.9310642377756472,0.938255033557047,3.0291466922339407,3.139980824544583,2.367985174689974,2.188714394269362,21.6,0.008718980549966449,0.10381035756132005,-0.12124831866125298
10,0.9679026540193543,0.9802625275462298,0.967519402127048,0.10127431254191818,0.9987535953978907,0.999424736337488,0.999424736337488,0.10038350910834132,0.9679026540193543,0.9802625275462298,0.967519402127048,0.10127431254191818,0.9603555601928438,0.969888996054904,0.9587876580378322,0.04256288269691068,0.938542665388303,0.9499520613614574,3.35503355704698,3.53758389261745,2.7278618722286674,2.406424475049882,47.7667638483965,0.012359873526875509,0.08912618368684136,-0.11384593074059243
11,0.9707770432116508,0.9807415924116125,0.967519402127048,0.10127431254191818,0.9989453499520614,0.9993288590604027,0.9998082454458294,0.10038350910834132,0.9707770432116508,0.9807415924116125,0.967519402127048,0.10127431254191818,0.9731063803221156,0.9675051243940739,0.9580885297137708,0.04256288269691068,0.9461169702780441,0.9534995206136145,3.7129434324065196,3.863279002876318,3.0163863528947017,2.761023591400351,35.36333333333334,0.009964549199961703,0.0823846506079359,-0.10231374900785925
12,0.9712561080770337,0.9813164702500718,0.9785378940308518,0.10127431254191818,0.9989453499520614,0.999424736337488,1.0,0.10038350910834132,0.9712561080770337,0.9813164702500717,0.9785378940308518,0.10127431254191818,0.9740157593278753,0.9713689778213731,0.9721347539342146,0.04256288269691068,0.9491850431447747,0.9604026845637584,4.028379674017258,4.241706615532119,3.4099635024021566,3.0469639729909033,36.17391304347826,0.010060362173038184,0.07485928746792486,-0.09498001181400131
13,0.9729807415924117,0.9824662259269905,0.9809332183577656,0.10127431254191818,0.999137104506232,0.999712368168744,0.9998082454458294,0.10038350910834132,0.9729807415924117,0.9824662259269905,0.9809332183577656,0.10127431254191818,0.975268894148686,0.9712838357479883,0.9816642938348502,0.04256288269691068,0.9548418024928093,0.9651965484180249,4.385139022051773,4.611601150527325,3.7661648645335952,3.375111827071544,35.17948717948718,0.009485484334578853,0.06900731970430095,-0.08797828837345874
14,0.9713519210501101,0.9835201686308326,0.9786337070039284,0.10127431254191818,0.9993288590604027,0.9998082454458294,0.9998082454458294,0.10038350910834132,0.9713519210501101,0.9835201686308326,0.9786337070039284,0.10127431254191818,0.973120788631208,0.9717252833140678,0.9798713875117183,0.04256288269691068,0.9553211888782358,0.9687440076701822,4.7241610738255035,5.0014381591562795,4.190909108859518,3.6409068036845755,58.15384615384615,0.012168247580722436,0.060943378821964427,-0.08527987398340928
15,0.9730765545654881,0.9851489891731341,0.9828494778192968,0.10127431254191818,0.9993288590604027,0.9998082454458294,1.0,0.10038350910834132,0.9730765545654881,0.9851489891731341,0.9828494778192968,0.10127431254191818,0.9759828176659108,0.9736199395262334,0.9747592045058694,0.04256288269691068,0.959731543624161,0.9733461169702781,5.079386385426654,5.371524448705657,4.559217695260211,3.9618280306389737,62.5,0.012072434607645954,0.056239193111548354,-0.0803840623268401
16,0.9748970010539427,0.9864903707962058,0.9825620389000671,0.10127431254191818,0.9995206136145733,0.9999041227229146,0.9999041227229146,0.10038350910834132,0.9748970010539427,0.9864903707962058,0.9825620389000671,0.10127431254191818,0.9776918829299629,0.97514441193724,0.9826925410665339,0.04256288269691068,0.9632790028763183,0.9748801534036433,5.453116011505273,5.751869606903164,4.870660595125462,4.2582505858404,62.33766233766234,0.011593369742263104,0.052519496541503466,-0.07570623602602967
17,0.9755676918654785,0.9865861837692823,0.9781546421385455,0.10127431254191818,0.9996164908916587,0.9999041227229146,1.0,0.10038350910834132,0.9755676918654785,0.9865861837692823,0.9781546421385455,0.10127431254191818,0.9779100567377781,0.9753588220953854,0.9773562014880387,0.04256288269691068,0.9651006711409396,0.9774688398849473,5.794822627037392,6.134228187919463,5.278463486497376,4.579945825407588,58.80542986425339,0.011018491903803773,0.0494283088749362,-0.07146529268254376
18,0.9771006994347035,0.9865861837692823,0.9787295199770049,0.10127431254191818,0.9996164908916587,0.9999041227229146,1.0,0.10038350910834132,0.9771006994347035,0.9865861837692823,0.9787295199770049,0.10127431254191818,0.9795124492989088,0.9765435254111728,0.9708696732255908,0.04256288269691068,0.9686481303930968,0.9790987535953979,6.165196548418025,6.4949185043144775,5.65456271483053,4.908860525080118,44.669767441860465,0.009485484334578853,0.04771855920655902,-0.06668952787571683
19,0.9773881383539331,0.9872568745808182,0.9796876497077704,0.10127431254191818,0.9996164908916587,0.9999041227229146,1.0,0.10038350910834132,0.9773881383539331,0.9872568745808182,0.9796876497077704,0.10127431254191818,0.9797432391882719,0.9768345703351758,0.9822981099168325,0.04256288269691068,0.9678811121764141,0.9793863854266539,6.482454458293384,6.832406519654842,6.211591036204311,5.348044626140579,51.76119402985075,0.009868736226885111,0.04437936609931474,-0.06411683855308498
20,0.9773881383539331,0.9873526875538948,0.9732681805116413,0.10127431254191818,0.9998082454458294,0.9999041227229146,0.9999041227229146,0.10038350910834132,0.9773881383539331,0.9873526875538948,0.9732681805116413,0.10127431254191818,0.978710632411479,0.9770223385535268,0.9759966401519452,0.04256288269691068,0.9689357622243528,0.9817833173537871,6.827708533077661,7.197890699904122,6.640231994003099,5.69193840039564,52.004901960784316,0.009964549199961703,0.04172448161997621,-0.06165358001989956
21,0.97719651240778,0.986873622688512,0.9773881383539331,0.10127431254191818,0.9998082454458294,0.9999041227229146,1.0,0.10038350910834132,0.97719651240778,0.986873622688512,0.9773881383539331,0.10127431254191818,0.9789748115007825,0.9766166131753112,0.9776259395917664,0.04256288269691068,0.9703739213806328,0.9817833173537871,7.159923298178332,7.516011505273251,7.146988981185794,6.169869314162647,48.78048780487805,0.009677110280731926,0.039684751193683684,-0.05903897175514772
22,0.9776755772731628,0.9864903707962058,0.9758551307847082,0.10127431254191818,0.9999041227229146,0.9999041227229146,1.0,0.10038350910834132,0.9776755772731628,0.9864903707962058,0.9758551307847082,0.10127431254191818,0.9787310931397166,0.9764720629790019,0.9800829384232016,0.04256288269691068,0.9709491850431448,0.9813039309683605,7.505656759348034,7.851006711409396,7.685051508197832,6.5920962232605635,42.25,0.00881479352304304,0.03836520243009675,-0.05599478947618279
23,0.9765258215962441,0.9874485005269713,0.9826578518731436,0.10127431254191818,0.9998082454458294,0.9999041227229146,0.9999041227229146,0.10038350910834132,0.9765258215962441,0.9874485005269713,0.9826578518731436,0.10127431254191818,0.9786391529340982,0.9774728947212598,0.9736268008101528,0.04256288269691068,0.9714285714285714,0.9823585810162991,7.819271332694152,8.221668264621284,8.240746834355102,7.0090436329870025,63.845,0.010922678930727181,0.03435007141922631,-0.056195429280680755
24,0.97719651240778,0.9871610616077416,0.9783462680846987,0.10127431254191818,0.9999041227229146,0.9999041227229146,1.0,0.10038350910834132,0.97719651240778,0.9871610616077416,0.9783462680846987,0.10127431254191818,0.9796484759508363,0.9780495068259425,0.9802029445986794,0.04256288269691068,0.9717162032598274,0.9832214765100671,8.165963566634707,8.569223394055609,8.748064746002944,7.486845774146106,53.58080808080808,0.009964549199961592,0.03351817812496878,-0.05344727652489213
25,0.9769090734885504,0.9866819967423589,0.9830411037654498,0.10127431254191818,0.9998082454458294,0.9999041227229146,1.0,0.10038350910834132,0.9769090734885504,0.9866819967423589,0.9830411037654498,0.10127431254191818,0.9792486917879991,0.9781805639013054,0.9842136949710899,0.04256288269691068,0.9717162032598274,0.9834132310642377,8.483700862895494,8.902396931927134,9.414034769030064,7.961862111926088,52.58247422680412,0.009772923253808519,0.032049447982192,-0.05159529448980914
26,0.9772923253808565,0.9873526875538948,0.9727891156462585,0.10127431254191818,0.9999041227229146,0.9999041227229146,1.0,0.10038350910834132,0.9772923253808565,0.9873526875538948,0.9727891156462585,0.10127431254191818,0.9793141029029427,0.9788146815684984,0.9743812028792572,0.04256288269691068,0.9740172579098754,0.9837967401725791,8.845637583892618,9.259252157238734,9.912389080867616,8.3755016467191,57.22751322751323,0.010060362173038295,0.030220883020808206,-0.05034160736688466
27,0.97719651240778,0.9872568745808182,0.9783462680846987,0.10127431254191818,1.0,0.9999041227229146,1.0,0.10038350910834132,0.97719651240778,0.9872568745808182,0.9783462680846987,0.10127431254191818,0.9797670627139602,0.9779620329169748,0.9706774930177008,0.04256288269691068,0.97392138063279,0.9840843720038351,9.189453499520614,9.607286673058486,10.552573628176768,8.91919425570131,57.839572192513366,0.010060362173038184,0.028811213650659324,-0.048931937996735786
28,0.9777713902462394,0.9878317524192776,0.9829452907923732,0.10127431254191818,0.9999041227229146,0.9999041227229146,1.0,0.10038350910834132,0.9777713902462395,0.9878317524192776,0.9829452907923732,0.10127431254191818,0.9803323363692978,0.9781046498871365,0.9844327586432432,0.04256288269691068,0.9743048897411314,0.9840843720038351,9.536433365292426,9.973058485139022,11.173341278220056,9.386546845050207,59.75690607734806,0.010060362173038184,0.027473501757086505,-0.04759422610316297
29,0.9781546421385455,0.9878317524192776,0.9806457794385359,0.10127431254191818,0.9999041227229146,0.9999041227229146,1.0,0.10038350910834132,0.9781546421385455,0.9878317524192776,0.9806457794385359,0.10127431254191818,0.980592336194179,0.977171871189899,0.9737372801828791,0.04256288269691068,0.9763183125599233,0.9851390220517737,9.91601150527325,10.358389261744966,11.645607969131115,9.845033565782098,55.865921787709496,0.009677110280732037,0.026635348124201687,-0.045989568685665706
30,0.9785378940308518,0.987735939446201,0.9771006994347035,0.10127431254191818,0.9999041227229146,0.9999041227229146,1.0,0.10038350910834132,0.9785378940308518,0.987735939446201,0.9771006994347035,0.10127431254191818,0.9808189320969145,0.977077028030568,0.9779767764339055,0.04256288269691068,0.9763183125599233,0.9854266538830297,10.223681687440077,10.725311601150528,12.379478453784722,10.330501247796558,52.47093023255814,0.009198045415349188,0.025937822844386352,-0.044333913675084824
31,0.9791127718693111,0.9881191913385072,0.9819871610616078,0.10127431254191818,0.9999041227229146,0.9998082454458294,1.0,0.10038350910834132,0.9791127718693111,0.9881191913385072,0.9819871610616078,0.10127431254191818,0.9818120056901992,0.9783005788508814,0.9823990147743614,0.04256288269691068,0.9768935762224353,0.9854266538830297,10.55666347075743,11.06941514860978,13.037249335471767,10.813742962345513,55.44230769230769,0.009006419469196114,0.02495837885533496,-0.042971217793727215
32,0.9792085848423877,0.9884066302577369,0.9786337070039284,0.10127431254191818,0.9999041227229146,0.9999041227229146,1.0,0.10038350910834132,0.9792085848423877,0.9884066302577369,0.9786337070039284,0.10127431254191818,0.9818199098494902,0.9787433536007587,0.982139158524247,0.04256288269691068,0.9771812080536912,0.9857142857142858,10.90843720038351,11.429913710450624,13.596545547590381,11.389757063474347,55.70987654320987,0.009198045415349188,0.023823680016173125,-0.0422197708468716
33,0.9788253329500815,0.9884066302577369,0.9826578518731436,0.10127431254191818,0.9999041227229146,0.9998082454458294,1.0,0.10038350910834132,0.9788253329500815,0.9884066302577369,0.9826578518731436,0.10127431254191818,0.9807740593366473,0.9784571388913026,0.9737271279780092,0.04256288269691068,0.9773729626078619,0.985522531160115,11.228092042186002,11.774688398849472,14.353792091714372,11.980724874890385,62.82692307692308,0.009581297307655445,0.022468403500881178,-0.041630998116192086
34,0.9793043978154642,0.9876401264731245,0.9829452907923732,0.10127431254191818,0.9999041227229146,0.9998082454458294,1.0,0.10038350910834132,0.9793043978154642,0.9876401264731245,0.9829452907923732,0.10127431254191818,0.982169554346734,0.9780992811392298,0.9846129428407906,0.04256288269691068,0.9777564717162033,0.9851390220517737,11.549760306807286,12.1320230105465,15.101996522558077,12.623342704031696,45.374233128834355,0.008335728657660302,0.022890714400520915,-0.03956217171584141
35,0.9798792756539235,0.9871610616077416,0.9772923253808565,0.10127431254191818,0.9999041227229146,0.9998082454458294,0.9999041227229146,0.10038350910834132,0.9798792756539235,0.9871610616077416,0.9772923253808565,0.10127431254191818,0.9829157915328683,0.9778822804413726,0.9784863532868636,0.04256288269691068,0.9788111217641419,0.9859060402684564,11.905369127516778,12.498657718120805,15.661522583917415,13.181117947256174,36.52597402597402,0.007281785953818121,0.023052852807655566,-0.037616424715291856
36,0.9803583405193063,0.9875443135000479,0.9862029318769762,0.10127431254191818,0.9999041227229146,0.9998082454458294,1.0,0.10038350910834132,0.9803583405193063,0.9875443135000479,0.9862029318769762,0.10127431254191818,0.9834318516078772,0.9782284676862595,0.9872373789022499,0.04256288269691068,0.9790987535953979,0.986097794822627,12.248993288590604,12.864621284755513,16.33058392430596,13.728851102365386,36.75167785234899,0.0071859729807416395,0.022332702172559962,-0.036704648134043144
37,0.9803583405193063,0.9871610616077416,0.9794002107885408,0.10127431254191818,0.9999041227229146,0.9999041227229146,1.0,0.10038350910834132,0.9803583405193063,0.9871610616077416,0.9794002107885408,0.10127431254191818,0.9834434650514564,0.9780511227870657,0.9808318790322718,0.04256288269691068,0.9791946308724833,0.9859060402684564,12.61457334611697,13.19242569511026,16.96925512796646,14.433811113930966,32.88590604026846,0.006802721088435382,0.021979788643304972,-0.03558523082017572
38,0.9801667145731532,0.9882150043115838,0.9872568745808182,0.10127431254191818,0.9999041227229146,0.9998082454458294,1.0,0.10038350910834132,0.9801667145731532,0.9882150043115838,0.9872568745808182,0.10127431254191818,0.9828804211456342,0.9790118353048712,0.9891875030186394,0.04256288269691068,0.9790028763183125,0.9867689357622244,12.950335570469798,13.596069031639502,17.795595563632894,14.827966585293703,47.18493150684932,0.008048289738430636,0.02001554809103499,-0.036112127567896155
39,0.9799750886270001,0.9880233783654306,0.9814122832231484,0.10127431254191818,1.0,1.0,1.0,0.10038350910834132,0.9799750886270001,0.9880233783654306,0.9814122832231484,0.10127431254191818,0.9829431370556104,0.9787267327065042,0.9825173516349972,0.04256288269691068,0.9788111217641419,0.9870565675934804,13.297411313518696,13.946883988494728,18.50548804445864,15.494467702381996,46.5472972972973,0.008048289738430525,0.019369733069818817,-0.035466312546679986
