numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.8457411133467472,0.8412379036121491,0.8808086614927662,0.10127431254191818,0.9319271332694151,0.9293384467881112,0.9519654841802493,0.10038350910834132,0.8457411133467472,0.8412379036121491,0.8808086614927662,0.10127431254191818,0.7926151294660052,0.8138046005284895,0.8327221761205806,0.04256288269691068,0.3839884947267498,0.3776605944391179,0.3159156279961649,0.30699904122722915,0.23667440606514284,0.24104448524242353,0.9782709200184928,-0.004503209734598057,0.9932375457312841,-0.984231126262088
2,0.855897288492862,0.8545559068697902,0.8856951231196704,0.10127431254191818,0.9313518696069032,0.9321188878235858,0.9551294343240652,0.10038350910834132,0.855897288492862,0.8545559068697903,0.8856951231196704,0.10127431254191818,0.8286769757464941,0.8187665445734046,0.87232686481984,0.04256288269691068,0.5976030680728668,0.5896452540747843,0.6418024928092042,0.6276126558005752,0.47719227615328624,0.4811290309273111,0.09285714285714286,-0.0013413816230717357,0.49935296436713306,-0.4966702011209896
3,0.9153971447734023,0.9301523426271917,0.9596627383347706,0.10127431254191818,0.9807286673058485,0.9826462128475552,0.9928092042186002,0.10038350910834132,0.9153971447734023,0.9301523426271917,0.9596627383347706,0.10127431254191818,0.9177146811864292,0.9146126389897894,0.9392657095785308,0.04256288269691068,0.7204218600191754,0.7168744007670182,0.9694151486097795,0.9819750719079579,0.7240159732059952,0.7037518128340025,21.75557620817844,0.014755197853789426,0.31807805225287983,-0.3475884479604587
4,0.9332183577656414,0.9411708345309955,0.9378173804733161,0.10127431254191818,0.9847555129434324,0.9878235858101629,0.9919463087248322,0.10038350910834132,0.9332183577656414,0.9411708345309955,0.9378173804733161,0.10127431254191818,0.9383070402740112,0.9323448475550803,0.9332834652999701,0.04256288269691068,0.801150527325024,0.7977948226270374,1.3307766059443913,1.341418983700863,0.9371761985547278,0.9239551047205516,8.15030303030303,0.007952476765354044,0.24244363610376635,-0.25834858963447443
5,0.9488358723771199,0.9508479448117275,0.9485484334578902,0.10127431254191818,0.9923298178331735,0.9933844678811121,0.9969319271332694,0.10038350910834132,0.9488358723771199,0.9508479448117275,0.9485484334578902,0.10127431254191818,0.9501321568975242,0.9430918256027394,0.9350490836242514,0.04256288269691068,0.8488015340364333,0.8439117929050814,1.6519654841802494,1.6503355704697986,1.219857803859589,1.2272267487554025,0.6144393241167435,0.002012072434607659,0.19877957632669577,-0.20280372119591109
6,0.9602376161732299,0.9505605058924979,0.9529558302194117,0.10127431254191818,0.9941514860977948,0.9949185043144775,0.9961649089165868,0.10038350910834132,0.9602376161732298,0.9505605058924979,0.9529558302194117,0.10127431254191818,0.9623050482653458,0.9421204623516625,0.9586409751520314,0.04256288269691068,0.8837008628954938,0.874209012464046,2.0399808245445827,1.9847555129434324,1.4357384040663788,1.521369116693549,17.271157167530223,-0.009677110280732037,0.17753302008350827,-0.15817879952204425
7,0.961291558877072,0.9573632269809332,0.9591836734693877,0.10127431254191818,0.9960690316395014,0.99712368168744,0.9980824544582934,0.10038350910834132,0.961291558877072,0.9573632269809332,0.9591836734693877,0.10127431254191818,0.9620804362239284,0.9478308684971669,0.9497296680098363,0.04256288269691068,0.9041227229146692,0.8980824544582934,2.3592521572387346,2.3311601150527324,1.7437267987420721,1.8256205649420263,3.3264033264033266,-0.003928331896138726,0.14804765279392768,-0.14019098900165017
8,0.9650282648270576,0.961483184823225,0.9637826961770624,0.10127431254191818,0.9966442953020134,0.9979865771812081,0.9987535953978907,0.10038350910834132,0.9650282648270576,0.961483184823225,0.9637826961770624,0.10127431254191818,0.9662260397230678,0.953910088755185,0.9603890045123241,0.04256288269691068,0.9205177372962607,0.9182166826462128,2.7026845637583894,2.6953978906999043,2.0224358991234577,2.088525360326583,3.0069605568445477,-0.003545080003832579,0.12994436607347964,-0.1228542060658146
9,0.9684775318578136,0.9689565967231963,0.952668391300182,0.10127431254191818,0.9980824544582934,0.9990412272291467,0.9990412272291467,0.10038350910834132,0.9684775318578136,0.9689565967231963,0.952668391300182,0.10127431254191818,0.9674414954549145,0.9620267820586985,0.9433642437042081,0.04256288269691068,0.9301054650047939,0.9307766059443912,3.026366251198466,3.0711409395973153,2.36283040627647,2.3111981560853114,0.0469208211143695,0.00047906486538273896,0.11187766443093294,-0.11283579416169848
10,0.971830985915493,0.9725974897001054,0.9752802529462489,0.10127431254191818,0.9979865771812081,0.9989453499520614,0.999712368168744,0.10038350910834132,0.971830985915493,0.9725974897001054,0.9752802529462489,0.10127431254191818,0.9717214889814053,0.9664110047387183,0.9759843887380978,0.04256288269691068,0.9390220517737297,0.9435282837967401,3.3920421860019174,3.454841802492809,2.6565251399831533,2.5573342035023234,0.16666666666666666,0.0007665037846124045,0.10045351631157236,-0.10198652388079722
11,0.9739388713231771,0.9736514324039475,0.9740346842962537,0.10127431254191818,0.998274209012464,0.9992329817833173,0.999712368168744,0.10038350910834132,0.9739388713231771,0.9736514324039475,0.9740346842962537,0.10127431254191818,0.9738074150920842,0.9660949806062734,0.9622699769054588,0.04256288269691068,0.9474592521572387,0.9509108341323106,3.764046021093001,3.7984659635666347,2.9303239364807308,2.8820089213124853,0.014760147601476014,-0.0002874389192296656,0.09246982290669083,-0.0918949450682315
12,0.9745137491616365,0.9738430583501007,0.9790169588962345,0.10127431254191818,0.9987535953978907,0.999137104506232,0.9999041227229146,0.10038350910834132,0.9745137491616365,0.9738430583501007,0.9790169588962345,0.10127431254191818,0.9737034240211692,0.966608740889149,0.9805725648368812,0.04256288269691068,0.9530201342281879,0.9538830297219559,4.127804410354746,4.1274209012464045,3.2288131075603137,3.2399350141415293,0.1469387755102041,-0.0006706908115358123,0.08527681772473865,-0.08393543610166689
13,0.97441793618856,0.9771006994347035,0.9717351729424164,0.10127431254191818,0.9987535953978907,0.9993288590604027,0.9999041227229146,0.10038350910834132,0.97441793618856,0.9771006994347035,0.9717351729424164,0.10127431254191818,0.9740157474586967,0.9696588277793811,0.9696939014047987,0.04256288269691068,0.9567593480345158,0.9603068072866731,4.414669223394055,4.515244487056568,3.6591471505273496,3.529195853394732,2.987704918032787,0.0026827632461434714,0.07563573075166134,-0.0810012572439484
14,0.9756635048385551,0.9770048864616269,0.9757593178116317,0.10127431254191818,0.9990412272291467,0.9992329817833173,0.9999041227229146,0.10038350910834132,0.9756635048385551,0.9770048864616269,0.9757593178116317,0.10127431254191818,0.9750745444930216,0.9705810215092269,0.9676229146427701,0.04256288269691068,0.9607861936720997,0.9641418983700862,4.7841802492809204,4.876414189837009,3.9642619310856846,3.8403342441838966,0.728448275862069,0.0013413816230717357,0.07151911840723423,-0.07420188165337775
15,0.9759509437577848,0.9774839513270097,0.9796876497077704,0.10127431254191818,0.999424736337488,0.9992329817833173,0.9998082454458294,0.10038350910834132,0.9759509437577848,0.9774839513270097,0.9796876497077704,0.10127431254191818,0.9748414208062915,0.9712379946409171,0.9801842177843582,0.04256288269691068,0.9612655800575264,0.9657718120805369,5.1151486097794825,5.2158197507190796,4.391148475129348,4.267794851422215,0.9782608695652174,0.00153300756922492,0.06664850595842764,-0.0697145210968774
16,0.9768132605154738,0.978921145923158,0.9755676918654785,0.10127431254191818,0.9995206136145733,0.999424736337488,1.0,0.10038350910834132,0.9768132605154738,0.978921145923158,0.9755676918654785,0.10127431254191818,0.9768965198615925,0.9724178531341771,0.9757917470104127,0.04256288269691068,0.9651965484180249,0.9678811121764141,5.473825503355704,5.56097794822627,4.770323280517305,4.643150450361617,2.1407766990291264,0.0021078854076842513,0.061837760695637706,-0.0660535315110061
17,0.978921145923158,0.9800709016000767,0.9781546421385455,0.10127431254191818,0.9996164908916587,0.999712368168744,1.0,0.10038350910834132,0.978921145923158,0.9800709016000767,0.9781546421385455,0.10127431254191818,0.9783834523807862,0.9722530836739408,0.9797745469349203,0.04256288269691068,0.9674017257909875,0.9697986577181208,5.840939597315436,5.9156279961649085,5.1265149388415265,5.017790694606205,0.605,0.0011497556769186623,0.05915319486780136,-0.06145270622163867
