numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.8029127143815272,0.8435374149659864,0.9212417361310722,0.10127431254191818,0.9079578139980825,0.9328859060402684,0.9710450623202301,0.10038350910834132,0.8029127143815273,0.8435374149659864,0.9212417361310722,0.10127431254191818,0.7039807913899218,0.8064388878063689,0.8974225600265519,0.04256288269691068,0.35771812080536913,0.38139980824544584,0.2656759348034516,0.3142857142857143,0.2810937033653536,0.23456348522025305,72.73536585365854,0.04062470058445922,0.9487221027296836,-1.029971503898602
2,0.8374053846890869,0.8435374149659864,0.8099070614161158,0.10127431254191818,0.9217641418983701,0.9328859060402684,0.9220517737296261,0.10038350910834132,0.8374053846890869,0.8435374149659864,0.8099070614161158,0.10127431254191818,0.753358373278438,0.8064388878063689,0.7725165764565204,0.04256288269691068,0.5688398849472674,0.5910834132310643,0.5898370086289549,0.648705656759348,0.5248216540985565,0.4643384042041547,1.7423178226514486,0.006132030276899569,0.49283182124637126,-0.5050958818001702
3,0.8955638593465555,0.9198045415349239,0.9301523426271917,0.10127431254191818,0.9740172579098754,0.9818791946308725,0.9870565675934804,0.10038350910834132,0.8955638593465555,0.9198045415349239,0.9301523426271917,0.10127431254191818,0.8459304487329753,0.874667826443965,0.9146151928221985,0.04256288269691068,0.687248322147651,0.7144774688398849,0.8842761265580058,0.9664429530201343,0.8099136760164,0.7236462140495226,50.84387510008006,0.02424068218836839,0.30907910274228667,-0.35756046711902323
4,0.9032288971926798,0.93158953722334,0.952668391300182,0.10127431254191818,0.9790987535953979,0.9871524448705656,0.9940556088207095,0.10038350910834132,0.9032288971926798,0.93158953722334,0.952668391300182,0.10127431254191818,0.8459365049669533,0.8933788708025494,0.9486065379683938,0.04256288269691068,0.760882070949185,0.7945349952061361,1.1896452540747844,1.3116970278044104,1.10389294262452,0.9539438123955153,74.25341296928327,0.02836064003066019,0.22309135497301102,-0.2798126350343313
5,0.9277570183002779,0.9499856280540385,0.9408833956117658,0.10127431254191818,0.9891658676893577,0.9937679769894535,0.9943432406519654,0.10038350910834132,0.9277570183002779,0.9499856280540385,0.9408833956117658,0.10127431254191818,0.8848534885530177,0.9130426813816004,0.9439809759253693,0.04256288269691068,0.8144774688398849,0.8442953020134228,1.5284755512943433,1.6522531160115053,1.3743162712766253,1.2222531750892616,62.77764705882353,0.02222860975376062,0.17926304624531786,-0.2237202657528392
6,0.9420331512886845,0.9530516431924883,0.9511353837309572,0.10127431254191818,0.9942473633748802,0.9948226270373921,0.9975071907957814,0.10038350910834132,0.9420331512886845,0.9530516431924883,0.9511353837309572,0.10127431254191818,0.9319239599186054,0.9442414920968655,0.9433614410598153,0.04256288269691068,0.8560882070949185,0.8731543624161073,1.8999041227229148,1.9604026845637583,1.6145383983375257,1.5457463436497634,18.27848101265823,0.011018491903803773,0.1573267349796822,-0.17936371878728974
7,0.9537223340040242,0.958033917792469,0.9655073296924404,0.10127431254191818,0.9967401725790987,0.9973154362416108,0.998849472674976,0.10038350910834132,0.9537223340040242,0.958033917792469,0.9655073296924404,0.10127431254191818,0.9472120859634213,0.9205559539472224,0.9569111695437688,0.04256288269691068,0.8843720038350911,0.8929050814956855,2.2758389261744965,2.288398849472675,1.8562027657414604,1.872577580734395,3.426548672566372,0.004311583788444873,0.14015298138822935,-0.14877614896511926
8,0.9585129826578519,0.959566925361694,0.9584171696847753,0.10127431254191818,0.9976989453499521,0.9976030680728667,0.999137104506232,0.10038350910834132,0.9585129826578519,0.959566925361694,0.9584171696847753,0.10127431254191818,0.9587644324161432,0.9484336121386249,0.9656704813984036,0.04256288269691068,0.9029721955896453,0.9050814956855225,2.614669223394056,2.6088207094918503,2.1483130308726186,2.250896652778819,0.19342359767891681,0.0010539427038420701,0.12571608338785445,-0.12782396879553864
9,0.9636868832039858,0.9616748107693782,0.964070135096292,0.10127431254191818,0.998274209012464,0.9984659635666348,0.999712368168744,0.10038350910834132,0.9636868832039858,0.9616748107693782,0.964070135096292,0.10127431254191818,0.9545780293063483,0.951006553262311,0.954630782777221,0.04256288269691068,0.9177372962607862,0.9179290508149569,2.951006711409396,2.9218600191754556,2.485129483792901,2.5960631405791648,0.9456264775413712,-0.002012072434607548,0.11476349484345938,-0.11073934997424409
10,0.964932451853981,0.9635910702309093,0.9733639934847178,0.10127431254191818,0.9990412272291467,0.99856184084372,0.999712368168744,0.10038350910834132,0.964932451853981,0.9635910702309093,0.9733639934847178,0.10127431254191818,0.9543692471270787,0.9551307075877081,0.9777711235557957,0.04256288269691068,0.9279961649089166,0.9278044103547459,3.289165867689358,3.2735378715244488,2.7965052033018343,2.9034554406557365,0.40625,-0.0013413816230717357,0.10317171747578353,-0.10048895422964
