numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9194212896426176,0.9067739771965124,0.8741017533774073,0.10127431254191818,0.9677852348993289,0.9559923298178332,0.9546500479386385,0.10038350910834132,0.9194212896426176,0.9067739771965124,0.8741017533774073,0.10127431254191818,0.8860424375534444,0.8510931601730469,0.8197295253435865,0.04256288269691068,0.41888782358581017,0.40508149568552254,0.386673058485139,0.3610738255033557,0.17385055037633554,0.19357841837255577,12.068213783403657,-0.012647312446105174,0.9997330484897202,-0.9744384235975099
2,0.8968094279965507,0.9153971447734023,0.850915013892881,0.10127431254191818,0.9579098753595398,0.9605944391179291,0.9466922339405561,0.10038350910834132,0.8968094279965507,0.9153971447734023,0.850915013892881,0.10127431254191818,0.8520673789529373,0.8791899494156006,0.8092802655554502,0.04256288269691068,0.6283796740172579,0.6305848513902205,0.7071907957813998,0.7375838926174496,0.40616462934630937,0.3779660120861387,27.51033973412112,0.01858771677685156,0.47833166454601517,-0.5155070980997183
3,0.9370508766887037,0.9520935134617227,0.915684583692632,0.10127431254191818,0.9865771812080537,0.991275167785235,0.9868648130393097,0.10038350910834132,0.9370508766887037,0.9520935134617227,0.915684583692632,0.10127431254191818,0.912265753975019,0.9402818881451455,0.8956856851429911,0.04256288269691068,0.7440076701821668,0.7565675934803452,1.0296260786193672,1.0783317353787152,0.6589960233081578,0.5994845951460431,30.382022471910112,0.01504263677301898,0.31694677841265007,-0.34703205195868825
4,0.9503688799463448,0.9645491999616748,0.932260228034876,0.10127431254191818,0.9904122722914669,0.9930968360498562,0.9903163950143816,0.10038350910834132,0.9503688799463448,0.9645491999616748,0.932260228034876,0.10127431254191818,0.934228384187295,0.9601726691719144,0.934705551093569,0.04256288269691068,0.8220517737296261,0.8329817833173538,1.4077660594439119,1.45503355704698,0.8684356169474529,0.7996376458994907,35.65841584158416,0.014180320015329984,0.23545060150226577,-0.2638112415329259
5,0.9689565967231963,0.9800709016000767,0.9405001437194597,0.10127431254191818,0.9955896452540748,0.9976989453499521,0.9951102588686481,0.10038350910834132,0.9689565967231963,0.9800709016000767,0.9405001437194597,0.10127431254191818,0.9569411427637182,0.9759179751212743,0.9440032215411479,0.04256288269691068,0.8757430488974113,0.8806327900287632,1.809012464046021,1.866059443911793,1.0664244319306107,0.972195261529961,36.13387978142077,0.011114304876880365,0.18848471712906276,-0.21071332688282343
6,0.9671361502347418,0.9783462680846987,0.9493149372425026,0.10127431254191818,0.9956855225311602,0.9973154362416108,0.9962607861936721,0.10038350910834132,0.9671361502347418,0.9783462680846987,0.9493149372425026,0.10127431254191818,0.9541941781398244,0.9772003428444066,0.9383987944953013,0.04256288269691068,0.9018216682646213,0.9117929050814957,2.1372962607861936,2.2119846596356663,1.3504796932168364,1.2233165969085493,33.89420654911839,0.011210117849956958,0.15587114880872774,-0.1782913845086415
7,0.978058829165469,0.9853406151192872,0.9755676918654785,0.10127431254191818,0.9983700862895494,0.9987535953978907,0.9986577181208054,0.10038350910834132,0.978058829165469,0.9853406151192872,0.9755676918654785,0.10127431254191818,0.9655602658458999,0.9840277970966933,0.9657151376762197,0.04256288269691068,0.926941514860978,0.935378715244487,2.5516778523489934,2.603547459252157,1.5256254355760144,1.422204733184207,21.97265625,0.007281785953818121,0.13572615487343856,-0.15028972678107486
8,0.9776755772731628,0.9873526875538948,0.9590878604963112,0.10127431254191818,0.9981783317353787,0.9992329817833173,0.999137104506232,0.10038350910834132,0.9776755772731628,0.9873526875538948,0.9590878604963112,0.10127431254191818,0.9635435469664536,0.9852344509079476,0.952283079671396,0.04256288269691068,0.9418983700862895,0.9511025886864813,2.9294343240651965,3.0047938638542666,1.744223602731231,1.6306959099477134,39.52569169960474,0.009677110280732037,0.11581569122866284,-0.13516991179012686
9,0.9810290313308422,0.9899396378269618,0.9698189134808853,0.10127431254191818,0.999137104506232,0.999424736337488,0.999712368168744,0.10038350910834132,0.9810290313308422,0.9899396378269618,0.9698189134808853,0.10127431254191818,0.9669352951156149,0.9881814163293003,0.9613940258245687,0.04256288269691068,0.9508149568552253,0.9590604026845637,3.313326941514861,3.351677852348993,1.9793799934575833,1.8891726967027607,42.10945273631841,0.008910606496119633,0.10264619644608901,-0.12046740943832816
10,0.9807415924116125,0.9901312637731149,0.9659863945578231,0.10127431254191818,0.9993288590604027,0.999712368168744,0.9990412272291467,0.10038350910834132,0.9807415924116125,0.9901312637731149,0.9659863945578231,0.10127431254191818,0.9687843772562162,0.9885303967773713,0.9566073550107418,0.04256288269691068,0.9562799616490891,0.9674976030680729,3.649760306807287,3.7519654841802494,2.277150078628602,2.0993141001521916,47.52020202020202,0.009389671361502372,0.09125894963893137,-0.11003829236193606
11,0.9836159816039092,0.9906103286384976,0.9760467567308614,0.10127431254191818,0.9992329817833173,0.9998082454458294,0.9996164908916587,0.10038350910834132,0.9836159816039092,0.9906103286384976,0.9760467567308614,0.10127431254191818,0.972290872380522,0.9886276667267073,0.97627730187194,0.04256288269691068,0.9618408437200383,0.9704697986577181,4.024736337488015,4.114093959731544,2.569853775449934,2.382879493432278,32.60377358490566,0.006994347034588455,0.08446834611076338,-0.09845704017994035
12,0.9856280540385168,0.9905145156654211,0.9689565967231963,0.10127431254191818,0.9995206136145733,0.9998082454458294,0.9995206136145733,0.10038350910834132,0.9856280540385168,0.9905145156654211,0.9689565967231963,0.10127431254191818,0.9740372590552417,0.9883665816664077,0.9703969683814337,0.04256288269691068,0.9667305848513902,0.9746883988494727,4.431927133269415,4.47967401725791,2.7817488819502114,2.663580836746634,16.778523489932887,0.004886461626904315,0.0790744321517953,-0.08884735540560387
13,0.9864903707962058,0.9902270767461915,0.9762383826770145,0.10127431254191818,0.9996164908916587,0.9999041227229146,0.9999041227229146,0.10038350910834132,0.9864903707962058,0.9902270767461915,0.9762383826770145,0.10127431254191818,0.9764447348612255,0.9893938303621197,0.9789611287364636,0.04256288269691068,0.9694151486097795,0.9767018216682646,4.771620325982742,4.819942473633748,3.1197793719164153,2.984636757520502,11.193798449612403,0.0037367059499856525,0.07378203720058359,-0.08125544910055484
14,0.9847657372808278,0.9902270767461915,0.964932451853981,0.10127431254191818,0.999712368168744,0.9998082454458294,0.9998082454458294,0.10038350910834132,0.9847657372808278,0.9902270767461915,0.964932451853981,0.10127431254191818,0.9851200612580694,0.9879395425624904,0.9670568380362131,0.04256288269691068,0.9711409395973154,0.9799616490891658,5.083892617449664,5.197986577181208,3.5158623352389315,3.297197638106705,21.333333333333332,0.005461339465363646,0.06681794438605523,-0.07774062331678244
15,0.9862029318769762,0.9902270767461915,0.9723100507808757,0.10127431254191818,0.9998082454458294,0.9998082454458294,0.9996164908916587,0.10038350910834132,0.9862029318769762,0.9902270767461915,0.9723100507808757,0.10127431254191818,0.9861607409975358,0.9886442542528973,0.972377120066378,0.04256288269691068,0.9736337488015341,0.9809204218600192,5.4667305848513905,5.551102588686481,3.820693774209735,3.612999396455328,12.007142857142858,0.004024144869215318,0.06353253110459746,-0.07158082084302804
16,0.9863945578231292,0.9908977675577273,0.9694356615885791,0.10127431254191818,0.9998082454458294,0.9999041227229146,0.9998082454458294,0.10038350910834132,0.9863945578231292,0.9908977675577273,0.9694356615885791,0.10127431254191818,0.9862961702452403,0.9885588288689502,0.9635671432170313,0.04256288269691068,0.9764141898370087,0.9832214765100671,5.845158197507191,5.93902205177373,4.121581266969749,3.8686614793204654,15.674074074074074,0.004503209734598057,0.05893046246715034,-0.06793688193634648
17,0.9866819967423589,0.9914726453961866,0.971830985915493,0.10127431254191818,0.9998082454458294,0.9999041227229146,0.9999041227229146,0.10038350910834132,0.9866819967423589,0.9914726453961866,0.971830985915493,0.10127431254191818,0.987503606614799,0.989603800482043,0.9665187178319398,0.04256288269691068,0.978523489932886,0.9844678811121764,6.219271332694151,6.309012464046021,4.452208588674373,4.181006817698814,20.698275862068964,0.004790648653827723,0.05488109446898537,-0.06446239177664083
18,0.9862029318769762,0.9909935805308039,0.9755676918654785,0.10127431254191818,1.0,0.9999041227229146,1.0,0.10038350910834132,0.9862029318769762,0.9909935805308039,0.9755676918654785,0.10127431254191818,0.9872437826334374,0.9896455709430088,0.976510754131962,0.04256288269691068,0.9793863854266539,0.9856184084372004,6.558868648130393,6.6480345158197505,4.866490900490677,4.516708623919418,21.06140350877193,0.004790648653827723,0.05166098630702124,-0.0612422836146767
19,0.9869694356615886,0.9908019545846508,0.9784420810577752,0.10127431254191818,0.9998082454458294,0.9999041227229146,1.0,0.10038350910834132,0.9869694356615886,0.9908019545846508,0.9784420810577752,0.10127431254191818,0.9877414879935263,0.9895680655046806,0.9804044772020067,0.04256288269691068,0.9794822627037392,0.9852348993288591,6.955608820709492,7.036529242569511,5.1483788079107216,4.804108256690318,14.083333333333334,0.0038325189230622447,0.04969941960329661,-0.05736445744942097
20,0.9891731340423493,0.990322889719268,0.9839992334962154,0.10127431254191818,0.9999041227229146,0.9999041227229146,1.0,0.10038350910834132,0.9891731340423493,0.990322889719268,0.9839992334962154,0.10127431254191818,0.9893214648620771,0.9899121697384539,0.9842578879200564,0.04256288269691068,0.9827420901246404,0.9863854266538831,7.36673058485139,7.401725790987536,5.341663905530276,5.118103716733942,1.1634615384615385,0.0011497556769186623,0.04976549605297258,-0.05206500740680989
21,0.9890773210692728,0.990322889719268,0.9796876497077704,0.10127431254191818,0.9998082454458294,0.9999041227229146,0.9998082454458294,0.10038350910834132,0.9890773210692728,0.990322889719268,0.9796876497077704,0.10127431254191818,0.9889805471746512,0.9898250466948461,0.98011378303707,0.04256288269691068,0.9837008628954937,0.9870565675934804,7.748034515819751,7.742665388302973,5.6732847871084235,5.492444120964427,1.4545454545454546,0.0012455686499951435,0.04728977182627399,-0.0497809091262644
22,0.9892689470154259,0.9901312637731149,0.9799750886270001,0.10127431254191818,1.0,0.9999041227229146,1.0,0.10038350910834132,0.9892689470154259,0.9901312637731149,0.9799750886270001,0.10127431254191818,0.9887125505148662,0.9898393152797212,0.9790576872651142,0.04256288269691068,0.9838926174496644,0.9880153403643337,8.10162991371045,8.103163950143816,6.076789291432318,5.830795826977597,0.6213592233009708,0.0008623167576889967,0.04558910471876404,-0.04731373823414202
23,0.9905145156654211,0.9902270767461915,0.9817955351154546,0.10127431254191818,0.9999041227229146,0.9999041227229146,1.0,0.10038350910834132,0.9905145156654211,0.9902270767461915,0.9817955351154546,0.10127431254191818,0.9902566829980972,0.9898391207302603,0.9823080620855426,0.04256288269691068,0.985522531160115,0.9874400767018217,8.503355704697986,8.459443911792905,6.382697172171628,6.209087252573667,0.043010752688172046,-0.0002874389192296656,0.0447071571948647,-0.04413227935640537
24,0.9915684583692632,0.9909935805308039,0.9785378940308518,0.10127431254191818,1.0,1.0,0.9999041227229146,0.10038350910834132,0.9915684583692632,0.9909935805308039,0.9785378940308518,0.10127431254191818,0.9909577698733503,0.9903857887937767,0.9783384549312547,0.04256288269691068,0.9877277085330777,0.9882070949185043,8.917066155321189,8.836912751677852,6.620108728116291,6.60303649685847,0.2840909090909091,-0.0005748778384593312,0.043169904197970274,-0.042020148521051626
25,0.9913768324231101,0.9901312637731149,0.9775797643000862,0.10127431254191818,1.0,1.0,1.0,0.10038350910834132,0.9913768324231101,0.9901312637731149,0.9775797643000862,0.10127431254191818,0.9909479568720191,0.9902041611461834,0.9763407833481573,0.04256288269691068,0.9879194630872483,0.988398849472675,9.25378715244487,9.180632790028763,7.085108371031445,7.045531099023014,1.6179775280898876,-0.0012455686499952545,0.042217369455273934,-0.03972623215528352
26,0.9909935805308039,0.9917600843154163,0.9821787870077608,0.10127431254191818,0.9999041227229146,1.0,1.0,0.10038350910834132,0.9909935805308039,0.9917600843154163,0.9821787870077608,0.10127431254191818,0.9904348309189244,0.9913131777970304,0.982020522475946,0.04256288269691068,0.9884947267497604,0.9887823585810163,9.649856184084372,9.579194630872482,7.398687468817125,7.361453919600753,0.5975609756097561,0.0007665037846124045,0.038626409300472425,-0.040159416869697304
27,0.9919517102615694,0.9915684583692632,0.9806457794385359,0.10127431254191818,0.9999041227229146,1.0,1.0,0.10038350910834132,0.9919517102615694,0.9915684583692632,0.9806457794385359,0.10127431254191818,0.9915534681316095,0.991587251192573,0.9828778478251157,0.04256288269691068,0.9893576222435283,0.988686481303931,10.02339405560882,9.960402684563759,7.783730766307561,7.723176877425281,0.10975609756097561,-0.00038325189230614676,0.038380105894503816,-0.037613602109891384
28,0.992239149180799,0.9918558972884929,0.9847657372808278,0.10127431254191818,0.9999041227229146,1.0,1.0,0.10038350910834132,0.992239149180799,0.9918558972884929,0.9847657372808278,0.10127431254191818,0.9916122032654157,0.9912050144535125,0.9852383781974328,0.04256288269691068,0.9897411313518696,0.9890699904122723,10.418120805369128,10.358389261744966,8.130671644008602,7.991743975656349,0.12162162162162163,-0.00038325189230614676,0.036998728769458554,-0.03623222498484612
29,0.9924307751269522,0.992909839992335,0.9819871610616078,0.10127431254191818,1.0,1.0,1.0,0.10038350910834132,0.9924307751269522,0.992909839992335,0.9819871610616078,0.10127431254191818,0.9918717620008016,0.9922521893749532,0.9818558360320436,0.04256288269691068,0.990124640460211,0.9899328859060402,10.806327900287632,10.746788111217642,8.452676199593142,8.309451700612087,0.24615384615384617,0.00047906486538273896,0.03482810549343554,-0.03578623522420109
30,0.9923349621538756,0.9926224010731053,0.9802625275462298,0.10127431254191818,0.9999041227229146,1.0,0.9999041227229146,0.10038350910834132,0.9923349621538756,0.9926224010731053,0.9802625275462298,0.10127431254191818,0.9917667579372038,0.9920483554200779,0.9818390474714979,0.04256288269691068,0.9902205177372962,0.9899328859060402,11.175743048897411,11.130105465004794,8.813967823673165,8.732389886075472,0.06153846153846154,0.0002874389192296656,0.03389327680410109,-0.03446815464256042
31,0.9923349621538756,0.9923349621538756,0.9829452907923732,0.10127431254191818,1.0,0.9999041227229146,1.0,0.10038350910834132,0.9923349621538756,0.9923349621538756,0.9829452907923732,0.10127431254191818,0.9918601046087115,0.9918713511528052,0.9846574913931648,0.04256288269691068,0.990124640460211,0.9908916586768935,11.539693192713328,11.495302013422819,9.30956294387951,9.199765838201124,0.015151515151515152,0.0,0.033138544240761555,-0.033138544240761555
32,0.9914726453961866,0.992047523234646,0.9806457794385359,0.10127431254191818,0.9999041227229146,1.0,1.0,0.10038350910834132,0.9914726453961866,0.992047523234646,0.9806457794385359,0.10127431254191818,0.9912841544826492,0.9918428055675114,0.983002929326663,0.04256288269691068,0.989837008628955,0.9909875359539789,11.925119846596356,11.863662511984659,9.762126684944414,9.661115948732565,0.33783783783783783,0.0005748778384593312,0.03166561995483275,-0.032815375631751395
33,0.9919517102615694,0.9917600843154163,0.9803583405193063,0.10127431254191818,1.0,0.9999041227229146,1.0,0.10038350910834132,0.9919517102615694,0.9917600843154163,0.9803583405193063,0.10127431254191818,0.9916051539843923,0.9911660165490216,0.9798796877011338,0.04256288269691068,0.990124640460211,0.9906999041227229,12.323969319271333,12.20594439117929,10.058180947980203,10.198912887114524,0.013513513513513514,-0.00019162594615307338,0.031504059970461316,-0.0311208080781551
34,0.9913768324231101,0.9916642713423397,0.9812206572769953,0.10127431254191818,1.0,1.0,1.0,0.10038350910834132,0.9913768324231101,0.9916642713423397,0.9812206572769953,0.10127431254191818,0.991015739139096,0.9912912768353134,0.9828626840544031,0.04256288269691068,0.989837008628955,0.9909875359539789,12.670182166826462,12.593480345158197,10.643373917570663,10.620792669357881,0.05194805194805195,0.00028743891922955456,0.030183980355880012,-0.030758858194339336
35,0.9919517102615694,0.9925265881000287,0.9842866724154451,0.10127431254191818,1.0,0.9999041227229146,1.0,0.10038350910834132,0.9919517102615694,0.9925265881000287,0.9842866724154451,0.10127431254191818,0.9915196416852933,0.9913720289618065,0.9844797523287934,0.04256288269691068,0.989837008628955,0.9913710450623202,13.047555129434324,12.992425695110258,11.134877091789223,10.996771047849087,0.390625,0.0005748778384593312,0.028927510063190408,-0.030077265740109063
36,0.9919517102615694,0.992239149180799,0.9823704129539139,0.10127431254191818,1.0,1.0,1.0,0.10038350910834132,0.9919517102615694,0.992239149180799,0.9823704129539139,0.10127431254191818,0.9916370098972762,0.9913564475693518,0.984436760993554,0.04256288269691068,0.9896452540747843,0.9914669223394056,13.439309683604986,13.371716203259828,11.558903246073465,11.465223960756525,0.057971014492753624,0.0002874389192296656,0.028494722414377567,-0.02906960025283689
37,0.992239149180799,0.992239149180799,0.9823704129539139,0.10127431254191818,1.0,1.0,1.0,0.10038350910834132,0.992239149180799,0.992239149180799,0.9823704129539139,0.10127431254191818,0.9921307475978597,0.9910726002642581,0.9824333567359886,0.04256288269691068,0.9897411313518696,0.9911792905081496,13.789645254074784,13.751869606903163,12.16833392638307,11.957735040059571,0.014285714285714285,0.0,0.02805767902457865,-0.02805767902457865
38,0.9916642713423397,0.9921433362077225,0.9839992334962154,0.10127431254191818,1.0,1.0,1.0,0.10038350910834132,0.9916642713423397,0.9921433362077225,0.9839992334962154,0.10127431254191818,0.9913872043119559,0.9910237766397741,0.9844584095131054,0.04256288269691068,0.9896452540747843,0.9915627996164909,14.146116970278044,14.142473633748802,12.818162068842396,12.395751691396573,0.21333333333333335,0.00047906486538285,0.02693677357579577,-0.027894903306561317
