numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.8465076171313596,0.8222669349429913,0.886844878796589,0.10127431254191818,0.9273250239693193,0.9188878235858101,0.9588686481303931,0.10038350910834132,0.8465076171313596,0.8222669349429913,0.886844878796589,0.10127431254191818,0.8184624231450638,0.8257167403128504,0.8447546754939147,0.04256288269691068,0.37651006711409396,0.3689357622243528,0.3038350910834132,0.287823585810163,0.2448442276665452,0.26061220870045876,27.694723070213694,-0.02424068218836828,1.0132452407163084,-0.9647638763395718
2,0.8780300852735461,0.8207339273737664,0.859538181469771,0.10127431254191818,0.9413231064237776,0.9167785234899329,0.947267497603068,0.10038350910834132,0.8780300852735461,0.8207339273737664,0.859538181469771,0.10127431254191818,0.8685218954252982,0.8120952486185349,0.8112419929677414,0.04256288269691068,0.5952061361457335,0.5618408437200384,0.6550335570469799,0.5547459252157239,0.4583238814771405,0.5619715818241612,198.22525027808678,-0.05729615789977971,0.5553346447542303,-0.44074232895467114
3,0.9410750215579189,0.8733352495927948,0.9396378269617707,0.10127431254191818,0.9853307766059444,0.9681687440076702,0.9900287631831256,0.10038350910834132,0.9410750215579189,0.8733352495927948,0.9396378269617707,0.10127431254191818,0.9365575939437005,0.8746170492331737,0.9185529465925212,0.04256288269691068,0.7284755512943433,0.6787152444870566,1.0219558964525408,0.8222435282837968,0.667570950102361,0.8662724967548805,367.30729550479,-0.06773977196512404,0.4014452910656653,-0.2659657471354171
4,0.9355178691194788,0.8955638593465555,0.9426080291271438,0.10127431254191818,0.985522531160115,0.975934803451582,0.9907957813998083,0.10038350910834132,0.9355178691194788,0.8955638593465555,0.9426080291271438,0.10127431254191818,0.9290682973018921,0.9038859923875179,0.9492155568063794,0.04256288269691068,0.7971236816874401,0.7511984659635667,1.3045062320230105,1.135091083413231,0.9810694368334928,1.147472984060829,157.180744777475,-0.039954009772923293,0.29123221346114886,-0.21132419391530238
5,0.9408833956117658,0.9199961674810769,0.9550637156270959,0.10127431254191818,0.9919463087248322,0.988686481303931,0.9958772770853308,0.10038350910834132,0.9408833956117658,0.9199961674810769,0.9550637156270959,0.10127431254191818,0.9313945519372746,0.9244759044477934,0.9485300831630749,0.04256288269691068,0.837679769894535,0.8006711409395973,1.5969319271332694,1.4465004793863854,1.2980667271778048,1.4542757302451967,50.74245689655172,-0.020887228130688884,0.22262201452831382,-0.180847558266936
6,0.9468237999425122,0.9242119382964453,0.9498898150809619,0.10127431254191818,0.9925215723873442,0.9906999041227229,0.9973154362416108,0.10038350910834132,0.9468237999425122,0.9242119382964453,0.9498898150809619,0.10127431254191818,0.9410154796948677,0.9316579040747476,0.945180127661078,0.04256288269691068,0.8679769894534995,0.837967401725791,1.9389261744966444,1.7543624161073825,1.5884099940410101,1.7889017667461329,68.17901234567901,-0.022611861646066878,0.19130746653188982,-0.14608374323975606
7,0.9620580626616844,0.930727220465651,0.9528600172463352,0.10127431254191818,0.9959731543624161,0.9951102588686481,0.9979865771812081,0.10038350910834132,0.9620580626616844,0.930727220465651,0.9528600172463352,0.10127431254191818,0.9537647006099724,0.9356037498739975,0.955191022772366,0.04256288269691068,0.8945349952061361,0.8578139980824545,2.3230105465004796,2.0305848513902207,1.8087878257477221,2.188402002723181,146.58758620689656,-0.031330842196033326,0.17642293702161665,-0.11376125262954999
8,0.9642617610424451,0.9385838842579285,0.9706812302385743,0.10127431254191818,0.9966442953020134,0.9961649089165868,0.99856184084372,0.10038350910834132,0.9642617610424451,0.9385838842579285,0.9706812302385743,0.10127431254191818,0.9687154702890507,0.9442210877841615,0.9631062118188126,0.04256288269691068,0.9160115052732503,0.8794822627037392,2.680345158197507,2.380920421860019,2.078883527981347,2.4873943718028997,111.04205607476635,-0.025677876784516607,0.15296156803139865,-0.10160581446236543
9,0.9699147264539618,0.9467279869694356,0.9656989556385934,0.10127431254191818,0.9976989453499521,0.9977948226270373,0.9990412272291467,0.10038350910834132,0.9699147264539618,0.9467279869694356,0.9656989556385934,0.10127431254191818,0.9721669903793214,0.9515085201440993,0.957554652026415,0.04256288269691068,0.9268456375838926,0.8944391179290508,3.023106423777565,2.701725790987536,2.40567995691917,2.855010779821049,104.46223021582733,-0.02318673948452621,0.13652602035531203,-0.09015254138625961
10,0.9672319632078183,0.9515186356232634,0.9730765545654881,0.10127431254191818,0.9979865771812081,0.9978906999041227,0.999424736337488,0.10038350910834132,0.9672319632078183,0.9515186356232634,0.9730765545654881,0.10127431254191818,0.9618731003392869,0.956243830115675,0.9743495597334267,0.04256288269691068,0.9357622243528284,0.9085330776605944,3.3441994247363374,3.033940556088207,2.749926852202328,3.2212133126178295,52.92629482071713,-0.015713327584554904,0.11793169211757312,-0.08650503694846323
11,0.9730765545654881,0.9525725783271055,0.9682859059116604,0.10127431254191818,0.9987535953978907,0.9983700862895494,0.9998082454458294,0.10038350910834132,0.9730765545654881,0.9525725783271055,0.9682859059116604,0.10127431254191818,0.976050597307327,0.955926522817852,0.961885024166659,0.04256288269691068,0.9453499520613614,0.9151486097794823,3.7228187919463087,3.350143815915628,3.0098777006256294,3.6795077560794844,94.9142259414226,-0.020503976238382626,0.11371945428449073,-0.07271150180772537
12,0.9710644821308805,0.9537223340040242,0.9717351729424164,0.10127431254191818,0.9987535953978907,0.998849472674976,0.9999041227229146,0.10038350910834132,0.9710644821308805,0.9537223340040242,0.9717351729424164,0.10127431254191818,0.9749564158885295,0.9585131169836884,0.9729833780713903,0.04256288269691068,0.9463087248322147,0.9170661553211888,4.027900287631831,3.6332694151486096,3.442649903897476,4.206896221346252,67.9245283018868,-0.017342148126856305,0.10312375801843154,-0.0684394617647188
13,0.9733639934847178,0.9566925361693973,0.9708728561847274,0.10127431254191818,0.9992329817833173,0.9984659635666348,0.9998082454458294,0.10038350910834132,0.9733639934847178,0.9566925361693973,0.9708728561847274,0.10127431254191818,0.9759883282349003,0.9607060654502715,0.9708601116842756,0.04256288269691068,0.950431447746884,0.9239693192713327,4.3652924256951104,3.9520613614573348,3.8020692706659065,4.62148684446996,66.21460176991151,-0.016671457315320493,0.09606140685657953,-0.06271849222593855
14,0.9745137491616365,0.9571716010347802,0.9715435469962633,0.10127431254191818,0.999424736337488,0.9990412272291467,1.0,0.10038350910834132,0.9745137491616365,0.9571716010347802,0.9715435469962633,0.10127431254191818,0.9777571303824799,0.9597997827550405,0.973596428778981,0.04256288269691068,0.9553211888782358,0.9324065196548418,4.729434324065196,4.277564717162033,4.135001399415707,5.069450853858369,74.48275862068965,-0.017342148126856305,0.0912729966547402,-0.05658870040102745
15,0.9759509437577848,0.9579381048193926,0.9756635048385551,0.10127431254191818,0.9993288590604027,0.9992329817833173,0.9998082454458294,0.10038350910834132,0.9759509437577848,0.9579381048193926,0.9756635048385551,0.10127431254191818,0.9793164995301303,0.9607825727424776,0.9699187746411392,0.04256288269691068,0.9594439117929051,0.9351869606903164,5.084563758389262,4.578331735378716,4.504778141998457,5.60175239406082,82.86492890995261,-0.01801283893839223,0.08721939253616147,-0.05119371465937696
