numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.8657660247197471,0.8703650474274217,0.8557056625467089,0.10127431254191818,0.937967401725791,0.9415148609779482,0.9445829338446788,0.10038350910834132,0.8657660247197471,0.8703650474274216,0.8557056625467089,0.10127431254191818,0.8207264260051783,0.8267641365777952,0.8297026819741099,0.04256288269691068,0.39223394055608823,0.3926174496644295,0.3302013422818792,0.33413231064237775,0.22588388678904478,0.21919781773172783,1.0849705304518664,0.004599022707674649,0.9838750623254864,-0.9930731077408357
2,0.8756347609466322,0.884257928523522,0.8572386701159337,0.10127431254191818,0.9437200383509108,0.9454458293384468,0.9465963566634708,0.10038350910834132,0.8756347609466323,0.884257928523522,0.8572386701159337,0.10127431254191818,0.835253602105651,0.8525803447549009,0.807001082813228,0.04256288269691068,0.6099712368168744,0.610738255033557,0.6828379674017258,0.6913710450623203,0.43807310499733754,0.4304222760562521,4.975502512562814,0.008623167576889856,0.48887159278161874,-0.5061179279353986
3,0.9428954680463735,0.9280444572195076,0.9192296636964645,0.10127431254191818,0.986960690316395,0.9821668264621285,0.985522531160115,0.10038350910834132,0.9428954680463735,0.9280444572195076,0.9192296636964644,0.10127431254191818,0.94150095943129,0.9148579741344401,0.9055168246259107,0.04256288269691068,0.738830297219559,0.7231064237775647,1.0522531160115052,0.9790987535953979,0.6420610058358912,0.7194781827528972,25.096296296296295,-0.014851010826865907,0.34729763430862626,-0.31759561265489433
4,0.9420331512886845,0.933122544792565,0.9390629491233113,0.10127431254191818,0.9879194630872483,0.9864813039309683,0.9923298178331735,0.10038350910834132,0.9420331512886845,0.9331225447925651,0.9390629491233113,0.10127431254191818,0.9357088183473263,0.9278501513717533,0.934338351646328,0.04256288269691068,0.8090124640460211,0.802013422818792,1.346692233940556,1.3192713326941514,0.9161315538210373,0.9576629340832786,10.160864345738295,-0.008910606496119522,0.25933334676874287,-0.2415121337765037
5,0.9530516431924883,0.9533390821117179,0.9450991664271342,0.10127431254191818,0.9942473633748802,0.9941514860977948,0.9962607861936721,0.10038350910834132,0.9530516431924883,0.9533390821117179,0.9450991664271342,0.10127431254191818,0.9567962768211614,0.9505670867098543,0.9406501203016885,0.04256288269691068,0.8538830297219558,0.8527325023969319,1.6544582933844678,1.6695110258868648,1.2057740921516842,1.1975961968115387,0.006568144499178982,0.0002874389192296656,0.20034691654178802,-0.20092179438024735
6,0.9551595286001725,0.9620580626616844,0.9551595286001725,0.10127431254191818,0.9958772770853308,0.9951102588686481,0.9975071907957814,0.10038350910834132,0.9551595286001725,0.9620580626616844,0.9551595286001725,0.10127431254191818,0.9617058723908739,0.9595286857541914,0.9455036578039349,0.04256288269691068,0.8864813039309684,0.8880153403643336,1.9797698945349953,2.0622243528283795,1.4803414264970034,1.391180210455389,9.511320754716982,0.006898534061511863,0.16076015398625987,-0.1745572221092837
7,0.9655073296924404,0.9636868832039858,0.9480693685925075,0.10127431254191818,0.9979865771812081,0.99712368168744,0.9976989453499521,0.10038350910834132,0.9655073296924404,0.9636868832039858,0.9480693685925075,0.10127431254191818,0.9677235357626307,0.9599220507508388,0.952838967234963,0.04256288269691068,0.9064237775647171,0.9052732502396932,2.3665388302972197,2.344678811121764,1.7036868517170591,1.7423157000169767,0.7280898876404495,-0.0018204464884545857,0.14578210713060996,-0.1421412141537009
8,0.9648366388809044,0.9639743221232154,0.9783462680846987,0.10127431254191818,0.9979865771812081,0.9967401725790987,0.999424736337488,0.10038350910834132,0.9648366388809044,0.9639743221232154,0.9783462680846987,0.10127431254191818,0.968743336635856,0.9622455726827231,0.9779381688326385,0.04256288269691068,0.9174496644295302,0.9219558964525407,2.6505273250239694,2.689549376797699,2.0656138168291815,2.03800238163504,0.14645308924485126,-0.0008623167576889967,0.127288087759654,-0.125563454244276
9,0.9678068410462777,0.9710644821308805,0.967519402127048,0.10127431254191818,0.99856184084372,0.998274209012464,0.9993288590604027,0.10038350910834132,0.9678068410462777,0.9710644821308805,0.967519402127048,0.10127431254191818,0.9705792928312779,0.9682261259548354,0.9697907661921007,0.04256288269691068,0.9320230105465005,0.9347075743048897,3.0168744007670183,3.065196548418025,2.3366867765856685,2.286523773404052,3.111428571428571,0.0032576410846028026,0.10914509698359146,-0.11566037915279717
10,0.9696272875347322,0.9703937913193447,0.9749928140270192,0.10127431254191818,0.9992329817833173,0.9978906999041227,0.999712368168744,0.10038350910834132,0.9696272875347322,0.9703937913193447,0.9749928140270192,0.10127431254191818,0.9725676329667675,0.9684130073512454,0.9722833300469121,0.04256288269691068,0.9392138063279003,0.9423777564717162,3.3669223394055607,3.3862895493767975,2.658415482393281,2.64276764974402,0.14497041420118342,0.0007665037846125156,0.10068606768568467,-0.10221907525490953
