numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.8451662355082878,0.8233208776468334,0.8379802625275462,0.10127431254191818,0.9276126558005753,0.9166826462128476,0.9404602109300095,0.10038350910834132,0.8451662355082878,0.8233208776468334,0.8379802625275462,0.10127431254191818,0.8216110274997757,0.7154155428466226,0.8145973778089647,0.04256288269691068,0.37363374880153405,0.3703739213806328,0.3012464046021093,0.28705656759348036,0.2439757037217284,0.2651452042191898,22.249136442141623,-0.021845357861454473,1.0108925988021076,-0.9672018830791986
2,0.8581009868736227,0.8152725879084028,0.8906773977196513,0.10127431254191818,0.9401725790987536,0.9122722914669223,0.9570469798657718,0.10038350910834132,0.8581009868736227,0.8152725879084028,0.8906773977196513,0.10127431254191818,0.8283351274362999,0.7822387442249236,0.8561267935757271,0.04256288269691068,0.587823585810163,0.5651965484180249,0.6344199424736338,0.5557046979865772,0.4757398522734992,0.5656733408911933,101.43600203977563,-0.04282839896521984,0.5411849834309619,-0.45552818550052215
3,0.921050110184919,0.8856951231196704,0.94021270480023,0.10127431254191818,0.9813039309683605,0.9698945349952062,0.9888782358581016,0.10038350910834132,0.921050110184919,0.8856951231196704,0.94021270480023,0.10127431254191818,0.9103466335949038,0.8679395162825215,0.9376940020640188,0.04256288269691068,0.7143815915627996,0.6801534036433365,0.9659635666347076,0.8485139022051774,0.716244042010239,0.8472231359341527,104.41326137239784,-0.035354987065248644,0.36881875372570544,-0.29810877959520815
4,0.9278528312733544,0.9021749544888378,0.9399252658810003,0.10127431254191818,0.9852348993288591,0.9787152444870566,0.9905081495685523,0.10038350910834132,0.9278528312733544,0.9021749544888378,0.9399252658810003,0.10127431254191818,0.9162474746677702,0.8984601888719456,0.939105128525648,0.04256288269691068,0.7848513902205178,0.7579098753595398,1.262895493767977,1.1645254074784277,1.0144170494831661,1.1163144553880349,67.50852272727273,-0.025677876784516607,0.27680029294712516,-0.22544453937809186
5,0.9434703458848328,0.9318769761425697,0.9433745329117562,0.10127431254191818,0.9920421860019175,0.9903163950143816,0.9958772770853308,0.10038350910834132,0.9434703458848328,0.9318769761425697,0.9433745329117562,0.10127431254191818,0.9392983724533503,0.9292048792648403,0.9141505838174907,0.04256288269691068,0.835378715244487,0.815052732502397,1.5977948226270373,1.525503355704698,1.2775080745275098,1.3480751780279394,17.97752808988764,-0.011593369742263104,0.21291294068416128,-0.18972620119963507
6,0.9510395707578806,0.9275653923541247,0.9592794864424643,0.10127431254191818,0.9950143815915627,0.9910834132310642,0.99712368168744,0.10038350910834132,0.9510395707578806,0.9275653923541247,0.9592794864424643,0.10127431254191818,0.9451836306325055,0.9270825190282063,0.9374084801317011,0.04256288269691068,0.8712368168744008,0.8464046021093001,1.9576222435282837,1.8088207094918505,1.5238766639927912,1.7016821093409116,74.14196762141968,-0.023474178403755874,0.1921480846642263,-0.14519972785671456
7,0.9601418032001533,0.9378173804733161,0.9667528983424356,0.10127431254191818,0.9969319271332694,0.9953020134228188,0.9987535953978907,0.10038350910834132,0.9601418032001533,0.9378173804733161,0.9667528983424356,0.10127431254191818,0.9586857087812231,0.9371901511776207,0.9672801657248523,0.04256288269691068,0.8980824544582934,0.8686481303930969,2.306423777564717,2.101629913710451,1.78901626120331,2.0724801129038655,82.93374422187982,-0.022324422726837212,0.16712768372354866,-0.12247883826987424
8,0.9627287534732203,0.9398294529079237,0.9648366388809044,0.10127431254191818,0.9975071907957814,0.9953020134228188,0.998274209012464,0.10038350910834132,0.9627287534732203,0.9398294529079237,0.9648366388809044,0.10127431254191818,0.9622676300477492,0.9411349600818514,0.9660796424031286,0.04256288269691068,0.9144774688398849,0.8839884947267498,2.642569511025887,2.395589645254075,2.083096621177013,2.430665421282297,94.56427378964942,-0.022899300565296543,0.15001639563651775,-0.10421779450592467
9,0.9698189134808853,0.9478777426463543,0.9540097729232538,0.10127431254191818,0.9989453499520614,0.9960690316395014,0.999424736337488,0.10038350910834132,0.9698189134808853,0.9478777426463543,0.9540097729232538,0.10127431254191818,0.9703766510103758,0.9486411642660676,0.9413927642803409,0.04256288269691068,0.9284755512943432,0.8983700862895494,3.0194630872483224,2.713902205177373,2.3432454620689835,2.815210171573193,95.38348623853211,-0.021941170834531065,0.13523430418061913,-0.09135196251155714
10,0.9734598064577944,0.9482609945386605,0.961483184823225,0.10127431254191818,0.999137104506232,0.9965484180249281,0.9993288590604027,0.10038350910834132,0.9734598064577944,0.9482609945386605,0.961483184823225,0.10127431254191818,0.9730624347646821,0.9506587884005578,0.9533040268246021,0.04256288269691068,0.9395973154362416,0.9084372003835091,3.3874400767018216,3.0296260786193674,2.640898086916248,3.221283034134222,128.78799249530957,-0.025198811919133868,0.1275612305477897,-0.07716360670952199
