numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.812206572769953,0.9110855609849574,0.8562805403851681,0.10127431254191818,0.9165867689357622,0.9601150527325024,0.9465004793863854,0.10038350910834132,0.8122065727699531,0.9110855609849574,0.8562805403851681,0.10127431254191818,0.7483899295656542,0.8684197874016518,0.8485304444787638,0.04256288269691068,0.36644295302013424,0.4055608820709492,0.28302972195589643,0.36567593480345156,0.2648950307403783,0.1862266382848568,473.6902852049911,0.0988789882150044,0.8902169684490471,-1.0879749448790557
2,0.8467950560505892,0.8755389479735556,0.8741017533774073,0.10127431254191818,0.9319271332694151,0.9426653883029722,0.9529242569511026,0.10038350910834132,0.8467950560505892,0.8755389479735556,0.8741017533774073,0.10127431254191818,0.8047505199770892,0.8513099945682439,0.8289379005149663,0.04256288269691068,0.5856184084372004,0.6112176414189837,0.6265580057526366,0.6611697027804411,0.47098702191875125,0.43914920198201396,48.69335511982571,0.028743891922966336,0.4693216623392207,-0.5268094461851534
3,0.9346555523617898,0.9398294529079237,0.92881096100412,0.10127431254191818,0.984372003835091,0.9862895493767977,0.9887823585810163,0.10038350910834132,0.9346555523617898,0.9398294529079237,0.92881096100412,0.10127431254191818,0.9254276872712427,0.9415254843293566,0.8995132413037513,0.04256288269691068,0.7186001917545541,0.7311601150527325,0.9924256951102589,1.0046979865771812,0.6817019838125945,0.6728105397363975,2.9819532908704884,0.00517390054613398,0.32725738014650707,-0.3376051812387749
4,0.9308230334387276,0.9400210788540768,0.9084027977388138,0.10127431254191818,0.9862895493767977,0.9878235858101629,0.9868648130393097,0.10038350910834132,0.9308230334387276,0.9400210788540768,0.9084027977388138,0.10127431254191818,0.9242144977078816,0.9418707217010883,0.8946079976820407,0.04256288269691068,0.7917545541706615,0.797986577181208,1.3103547459252156,1.3148609779482263,0.9654996737438972,0.9552297278534299,10.302511415525114,0.009198045415349188,0.24136293308757828,-0.25975902391827677
5,0.9556385934655552,0.956117658330938,0.9553511545463256,0.10127431254191818,0.9944391179290508,0.9954937679769894,0.9966442953020134,0.10038350910834132,0.9556385934655552,0.956117658330938,0.9553511545463256,0.10127431254191818,0.9480874521415911,0.9556612703345109,0.95274012011476,0.04256288269691068,0.8468839884947268,0.84928092042186,1.680249280920422,1.642281879194631,1.1792583729117279,1.2064816233548386,0.02831858407079646,0.00047906486538273896,0.19998474340390962,-0.20094287313467515
6,0.9596627383347706,0.9636868832039858,0.9433745329117562,0.10127431254191818,0.9953978906999041,0.9967401725790987,0.9965484180249281,0.10038350910834132,0.9596627383347706,0.9636868832039858,0.9433745329117562,0.10127431254191818,0.9598032265013771,0.9620780258073914,0.917622707343475,0.04256288269691068,0.8800575263662512,0.8808245445829338,2.0254074784276126,2.0163950143815916,1.4467342475384573,1.4558491815133914,3.576595744680851,0.004024144869215207,0.16338118490684,-0.17142947464527059
7,0.9658905815847466,0.9677110280732011,0.9572674140078566,0.10127431254191818,0.9972195589645254,0.9976030680728667,0.998274209012464,0.10038350910834132,0.9658905815847466,0.9677110280732011,0.9572674140078566,0.10127431254191818,0.9677621533577287,0.9670221006723655,0.953196352377048,0.04256288269691068,0.9012464046021093,0.8995206136145734,2.366634707574305,2.3331735378715246,1.7171464636153535,1.7830035052717583,0.8161209068010076,0.0018204464884544747,0.14192147403724945,-0.1455623670141585
8,0.9665612723962824,0.9685733448308901,0.9663696464501293,0.10127431254191818,0.9976030680728667,0.9978906999041227,0.9993288590604027,0.10038350910834132,0.9665612723962824,0.9685733448308902,0.9663696464501293,0.10127431254191818,0.968385814716596,0.9691799619313364,0.968351663345583,0.04256288269691068,0.9193672099712368,0.9185043144774688,2.7377756471716204,2.6837008628954937,1.9882805072427103,2.0522294321548578,1.0554089709762533,0.002012072434607659,0.12414407921092911,-0.1281682240801444
9,0.9734598064577944,0.9695314745616557,0.9633994442847561,0.10127431254191818,0.9983700862895494,0.9986577181208054,0.9987535953978907,0.10038350910834132,0.9734598064577944,0.9695314745616557,0.9633994442847561,0.10127431254191818,0.9755758981097129,0.9696375239563623,0.9671937429458731,0.04256288269691068,0.9340364333652924,0.9294343240651965,3.121955896452541,3.0053691275167784,2.221811001305214,2.390558910522006,5.2805280528052805,-0.003928331896138726,0.11608698997652064,-0.10823032618424319
10,0.9733639934847178,0.9710644821308805,0.9758551307847082,0.10127431254191818,0.99856184084372,0.999137104506232,0.999712368168744,0.10038350910834132,0.9733639934847178,0.9710644821308805,0.9758551307847082,0.10127431254191818,0.97608306633865,0.9719329513558946,0.9647442689678404,0.04256288269691068,0.9426653883029722,0.9392138063279003,3.4715244487056567,3.3827420901246406,2.538925353402355,2.6661938684148536,1.9592592592592593,-0.0022995113538373246,0.10338558759139652,-0.0987865648837219
11,0.97441793618856,0.9702021653731915,0.9648366388809044,0.10127431254191818,0.998849472674976,0.999424736337488,0.9996164908916587,0.10038350910834132,0.97441793618856,0.9702021653731915,0.9648366388809044,0.10127431254191818,0.9763776380091622,0.9707710318067962,0.9649502526174145,0.04256288269691068,0.9467881112176414,0.9433365292425695,3.811025886864813,3.6718120805369128,2.900551961814248,3.0428522754432272,6.651079136690647,-0.0042157708153685025,0.09643886651018817,-0.08800732487945136
12,0.9741304972693303,0.9704896042924211,0.9725974897001054,0.10127431254191818,0.9984659635666348,0.9996164908916587,1.0,0.10038350910834132,0.9741304972693303,0.9704896042924211,0.9725974897001054,0.10127431254191818,0.973943460376031,0.9705129952433983,0.9716752874606346,0.04256288269691068,0.9502396931927133,0.9491850431447747,4.133365292425695,4.012943432406519,3.2949522835776626,3.3891975183395933,5.1856060606060606,-0.0036408929769091714,0.08835964110828647,-0.08107785515446832
13,0.9773881383539331,0.9717351729424164,0.9674235891539714,0.10127431254191818,0.9989453499520614,0.999424736337488,0.9998082454458294,0.10038350910834132,0.9773881383539331,0.9717351729424164,0.9674235891539714,0.10127431254191818,0.9776315449594389,0.972448183558836,0.968716001010501,0.04256288269691068,0.9572387344199424,0.9509108341323106,4.503835091083413,4.285522531160115,3.589089660305235,3.8507658317173314,14.314893617021276,-0.005652965411516719,0.0839184416870977,-0.07261251086406426
14,0.9778672032193159,0.970106352400115,0.9793043978154642,0.10127431254191818,0.9993288590604027,0.9996164908916587,1.0,0.10038350910834132,0.9778672032193159,0.970106352400115,0.9793043978154642,0.10127431254191818,0.9779454600180881,0.972600918767217,0.9801427847145759,0.04256288269691068,0.9598274209012464,0.9538830297219559,4.853211888782359,4.577564717162033,3.9186463070126236,4.30037004842564,25.49800796812749,-0.00776085081920086,0.08073978161057446,-0.06521807997217263
15,0.9802625275462298,0.9719267988885695,0.9802625275462298,0.10127431254191818,0.9996164908916587,0.9995206136145733,0.9999041227229146,0.10038350910834132,0.9802625275462298,0.9719267988885695,0.9802625275462298,0.10127431254191818,0.9796053200327542,0.9741324207693566,0.9715581324994926,0.04256288269691068,0.9651006711409396,0.9556088207094918,5.241610738255034,4.915340364333653,4.201431065896304,4.748206990658783,33.16591928251121,-0.008335728657660302,0.07647797214811553,-0.05980651483279503
16,0.9806457794385359,0.9730765545654881,0.97719651240778,0.10127431254191818,0.9995206136145733,0.9996164908916587,0.9999041227229146,0.10038350910834132,0.9806457794385359,0.9730765545654881,0.97719651240778,0.10127431254191818,0.9790297900637938,0.974973947391086,0.9762514273337056,0.04256288269691068,0.9665388302972195,0.9598274209012464,5.600767018216683,5.298370086289549,4.55488516523686,5.040655701824591,28.036866359447004,-0.007569224873047786,0.0715894037053514,-0.05645095395925577
17,0.9821787870077608,0.9737472453770241,0.9661780205039763,0.10127431254191818,0.9996164908916587,0.9996164908916587,0.9999041227229146,0.10038350910834132,0.9821787870077608,0.9737472453770241,0.9661780205039763,0.10127431254191818,0.9819909663089642,0.9760226692704732,0.9578152349605987,0.04256288269691068,0.9692233940556089,0.9610738255033557,5.962511984659636,5.614573346116971,4.895636904449438,5.5521735349773085,36.74271844660194,-0.008431541630736783,0.06877879290653308,-0.05191570964505948
18,0.9816039091693015,0.9728849286193351,0.9839992334962154,0.10127431254191818,0.9996164908916587,0.9996164908916587,1.0,0.10038350910834132,0.9816039091693015,0.9728849286193351,0.9839992334962154,0.10127431254191818,0.9808624678232437,0.9748847506250695,0.9843815040303472,0.04256288269691068,0.9718120805369127,0.9619367209971237,6.296836049856184,5.915148609779482,5.328274889903506,6.103761635380657,36.65158371040724,-0.008718980549966449,0.06596018193039788,-0.048522220830464945
19,0.9808374053846891,0.9764300086231675,0.9753760659193255,0.10127431254191818,0.999712368168744,0.9998082454458294,0.9999041227229146,0.10038350910834132,0.9808374053846891,0.9764300086231675,0.9753760659193255,0.10127431254191818,0.9799212425330021,0.9772983671943863,0.9681180346560714,0.04256288269691068,0.9714285714285714,0.9663470757430489,6.602972195589645,6.317833173537871,5.817007094873348,6.415596773955888,10.227272727272727,-0.004407396761521576,0.05863018441114568,-0.04981539088810267
20,0.9807415924116125,0.9771006994347035,0.9808374053846891,0.10127431254191818,0.9996164908916587,0.9999041227229146,1.0,0.10038350910834132,0.9807415924116125,0.9771006994347035,0.9808374053846891,0.10127431254191818,0.9804320784819961,0.9778451296584246,0.984456481015343,0.04256288269691068,0.9718120805369127,0.9682646212847555,6.947075743048897,6.689837008628955,6.322866868155177,6.802222750145084,7.521978021978022,-0.0036408929769090603,0.05517532759231044,-0.04789354163849229
21,0.9806457794385359,0.9761425697039379,0.9749928140270192,0.10127431254191818,0.9996164908916587,0.9999041227229146,0.9999041227229146,0.10038350910834132,0.9806457794385359,0.9761425697039379,0.9749928140270192,0.10127431254191818,0.9802951638576519,0.977420000393337,0.9773895685269877,0.04256288269691068,0.9726749760306808,0.9689357622243528,7.249089165867689,6.989741131351869,6.864498355981294,7.41163871381494,11.437837837837838,-0.004503209734598057,0.05372560386134905,-0.04471918439215292
22,0.9818913480885312,0.9770048864616269,0.9830411037654498,0.10127431254191818,0.9998082454458294,0.9998082454458294,1.0,0.10038350910834132,0.9818913480885312,0.9770048864616269,0.9830411037654498,0.10127431254191818,0.981933012573684,0.9781337432180978,0.9827583416819067,0.04256288269691068,0.9738255033557047,0.9705656759348035,7.603547459252157,7.355992329817833,7.317157826969486,7.830455589405167,14.285714285714286,-0.004886461626904315,0.05191795794507059,-0.04214503469126203
23,0.9827536648462202,0.97719651240778,0.9748011880808661,0.10127431254191818,1.0,0.9998082454458294,1.0,0.10038350910834132,0.9827536648462203,0.97719651240778,0.9748011880808661,0.10127431254191818,0.9832421728080208,0.9784221287597488,0.9741705556113791,0.04256288269691068,0.9748801534036433,0.9710450623202301,7.977852348993289,7.717833173537872,7.752087462471575,8.284117466602712,19.339285714285715,-0.005557152438440127,0.050602262927026874,-0.03948795805014655
24,0.9831369167385264,0.9765258215962441,0.9791127718693111,0.10127431254191818,0.9998082454458294,0.9998082454458294,1.0,0.10038350910834132,0.9831369167385264,0.9765258215962441,0.9791127718693111,0.10127431254191818,0.9826761470774485,0.976814681995462,0.9821115212527,0.04256288269691068,0.975647171620326,0.9709491850431448,8.325503355704697,8.028571428571428,8.234933831319964,8.896380325906938,28.368098159509202,-0.006611095142282308,0.04984536700624265,-0.03662317672167811
