numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9708029197080292,0.9927007299270073,0.9635036496350365,0.9124087591240876,0.9706959706959707,0.9706959706959707,0.967032967032967,0.8534798534798534,0.9708029197080292,0.9927007299270073,0.9635036496350365,0.9124087591240876,0.9679307116104868,0.9920205020676801,0.9601025103384007,0.4687173458725183,0.4084249084249084,0.4249084249084249,0.3791208791208791,0.3956043956043956,0.16798401986884356,0.16928931440928324,1.3333333333333333,0.021897810218978075,0.9831517361694638,-1.02694735660742
2,0.9708029197080292,0.9927007299270073,0.927007299270073,0.9124087591240876,0.967032967032967,0.9706959706959707,0.9487179487179487,0.8534798534798534,0.9708029197080292,0.9927007299270073,0.927007299270073,0.9124087591240876,0.967612293144208,0.9920205020676801,0.9172705314009661,0.4687173458725183,0.6483516483516484,0.6593406593406593,0.7673992673992674,0.782051282051282,0.3413173530264168,0.33552006224694225,1.3333333333333333,0.021897810218978075,0.49315173616946373,-0.5369473566074199
3,0.9854014598540146,0.9854014598540146,0.9927007299270073,0.9124087591240876,0.9835164835164835,0.9706959706959707,0.989010989010989,0.8534798534798534,0.9854014598540146,0.9854014598540146,0.9927007299270073,0.9124087591240876,0.9839653558052435,0.9842528735632183,0.9920923520923521,0.4687173458725183,0.7673992673992674,0.7967032967032966,1.164835164835165,1.1794871794871795,0.5834126522489529,0.5447740758109779,0.25,0.0,0.3552798053527981,-0.3552798053527981
4,0.9854014598540146,0.9854014598540146,0.9927007299270073,0.9124087591240876,0.9798534798534798,0.9706959706959707,0.9926739926739927,0.8534798534798534,0.9854014598540146,0.9854014598540146,0.9927007299270073,0.9124087591240876,0.9839653558052435,0.9841141001855287,0.9920923520923521,0.4687173458725183,0.8443223443223443,0.8589743589743589,1.5476190476190477,1.575091575091575,0.8080559342417001,0.7747564884725645,0.25,0.0,0.2736131386861314,-0.2736131386861314
5,0.9854014598540146,0.9927007299270073,0.9854014598540146,0.9124087591240876,0.9908424908424909,0.9706959706959707,0.9926739926739927,0.8534798534798534,0.9854014598540146,0.9927007299270073,0.9854014598540146,0.9124087591240876,0.9839653558052435,0.9920923520923521,0.9841141001855287,0.4687173458725183,0.8754578754578755,0.8846153846153846,1.9065934065934067,1.9175824175824177,1.0954711402388584,1.0542562142108092,0.0,0.007299270072992692,0.2135105622232237,-0.2281091023692091
6,0.9854014598540146,0.9927007299270073,0.9854014598540146,0.9124087591240876,0.9908424908424909,0.9706959706959707,0.989010989010989,0.8534798534798534,0.9854014598540146,0.9927007299270073,0.9854014598540146,0.9124087591240876,0.9839653558052435,0.9920923520923521,0.9842528735632183,0.4687173458725183,0.9084249084249084,0.924908424908425,2.293040293040293,2.291208791208791,1.3483500066609624,1.3863618406847675,0.0,0.007299270072992692,0.180843895556557,-0.19544243570254238
7,0.9781021897810219,0.9927007299270073,0.9854014598540146,0.9124087591240876,0.9945054945054945,0.9706959706959707,1.0,0.8534798534798534,0.9781021897810219,0.9927007299270073,0.9854014598540146,0.9124087591240876,0.9760615062030403,0.9920923520923521,0.9842528735632183,0.4687173458725183,0.924908424908425,0.945054945054945,2.6758241758241756,2.7124542124542126,1.6369205749886466,1.6636514255499333,0.25,0.014598540145985384,0.15411883618476505,-0.18331591647673587
8,0.9708029197080292,0.9927007299270073,0.9854014598540146,0.9124087591240876,0.9963369963369964,0.9706959706959707,0.9981684981684982,0.8534798534798534,0.9708029197080292,0.9927007299270073,0.9854014598540146,0.9124087591240876,0.9679307116104868,0.9920923520923521,0.9842528735632183,0.4687173458725183,0.9340659340659341,0.9505494505494505,3.051282051282051,3.1153846153846154,2.0047446141955154,1.9711649099937967,0.8,0.021897810218978075,0.13280212187726387,-0.17659774231522007
9,0.9781021897810219,0.9927007299270073,0.9781021897810219,0.9124087591240876,0.9963369963369964,0.9706959706959707,1.0,0.8534798534798534,0.9781021897810219,0.9927007299270073,0.9781021897810219,0.9124087591240876,0.9760615062030403,0.9920923520923521,0.9762770562770562,0.4687173458725183,0.945054945054945,0.9523809523809523,3.412087912087912,3.5347985347985347,2.3210236445543324,2.3474948090133902,0.25,0.014598540145985384,0.12300772507365394,-0.15220480536562475
10,0.9854014598540146,0.9927007299270073,0.9854014598540146,0.9124087591240876,0.9981684981684982,0.9706959706959707,0.9981684981684982,0.8534798534798534,0.9854014598540146,0.9927007299270073,0.9854014598540146,0.9124087591240876,0.9839653558052435,0.9920923520923521,0.9841141001855287,0.4687173458725183,0.9468864468864469,0.9560439560439561,3.8223443223443225,3.9249084249084247,2.6482773777625006,2.70159271918555,0.0,0.007299270072992692,0.11551056222322369,-0.13010910236920908
11,0.9781021897810219,0.9927007299270073,0.9781021897810219,0.9124087591240876,0.9981684981684982,0.9706959706959707,0.9945054945054945,0.8534798534798534,0.9781021897810219,0.9927007299270073,0.9781021897810219,0.9124087591240876,0.9760615062030403,0.9920923520923521,0.9760615062030403,0.4687173458725183,0.9505494505494505,0.9578754578754579,4.201465201465202,4.336996336996337,3.0323656109484833,3.027356497758187,0.5,0.014598540145985384,0.0948720610570743,-0.12406914134904509
