numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9436619718309859,0.9647887323943662,0.9225352112676056,0.8309859154929577,0.9796672828096118,0.9759704251386322,0.9815157116451017,0.8724584103512015,0.9436619718309859,0.9647887323943662,0.9225352112676056,0.8309859154929577,0.9388062917474682,0.9612339612339613,0.9138872043662827,0.42827910783711887,0.4269870609981516,0.43253234750462105,0.4066543438077634,0.40850277264325324,0.15437192201334327,0.16088792917886716,0.8,0.021126760563380365,0.9899322774289778,-1.0321857985557383
2,0.9225352112676056,0.9507042253521126,0.9084507042253521,0.8309859154929577,0.9685767097966729,0.9611829944547134,0.9759704251386322,0.8724584103512015,0.9225352112676056,0.9507042253521126,0.9084507042253521,0.8309859154929577,0.9138872043662827,0.9446393762183236,0.896076113269155,0.42827910783711887,0.6432532347504621,0.6506469500924215,0.7948243992606284,0.7966728280961183,0.35593086938498936,0.3780164237790375,1.125,0.028169014084507005,0.5011452177474921,-0.5574832459165061
3,0.9436619718309859,0.9647887323943662,0.9577464788732394,0.8309859154929577,0.9833641404805915,0.988909426987061,0.988909426987061,0.8724584103512015,0.9436619718309859,0.9647887323943662,0.9577464788732394,0.8309859154929577,0.9388062917474682,0.960857820166492,0.9541047188106011,0.42827910783711887,0.7781885397412199,0.7597042513863216,1.1700554528650646,1.179297597042514,0.6034261179830023,0.5737143237632357,0.5714285714285714,0.021126760563380365,0.3422236811249273,-0.3844772022516879
4,0.9225352112676056,0.9577464788732394,0.9436619718309859,0.8309859154929577,0.988909426987061,0.9870609981515711,0.9926062846580407,0.8724584103512015,0.9225352112676056,0.9577464788732394,0.9436619718309859,0.8309859154929577,0.9147147147147147,0.9527925531914894,0.9382608695652175,0.42827910783711887,0.8595194085027726,0.8354898336414048,1.5859519408502774,1.5693160813308689,0.8003934984621002,0.8259889410782344,2.2857142857142856,0.035211267605633756,0.24676394218509073,-0.31718647739635836
5,0.9436619718309859,0.9507042253521126,0.9507042253521126,0.8309859154929577,0.9926062846580407,0.9963031423290203,1.0,0.8724584103512015,0.9436619718309859,0.9507042253521126,0.9507042253521126,0.8309859154929577,0.9388062917474682,0.9457275457275457,0.9462208515933561,0.42827910783711887,0.9020332717190388,0.8872458410351202,1.977818853974122,1.9611829944547134,0.9987676814602998,1.0579290317778056,0.0,0.007042253521126751,0.21984351094077206,-0.23392801798302557
6,0.9366197183098591,0.9436619718309859,0.9647887323943662,0.8309859154929577,0.9907578558225508,0.9944547134935305,0.9944547134935305,0.8724584103512015,0.9366197183098592,0.9436619718309859,0.9647887323943662,0.8309859154929577,0.9302211302211303,0.9376782971253017,0.9612339612339613,0.42827910783711887,0.9279112754158965,0.9205175600739371,2.3659889094269873,2.3696857670979665,1.2653971100869446,1.2300145144954278,0.0,0.007042253521126751,0.18022630359574943,-0.19431081063800298
7,0.9366197183098591,0.9577464788732394,0.9507042253521126,0.8309859154929577,0.9944547134935305,0.9981515711645101,1.0,0.8724584103512015,0.9366197183098592,0.9577464788732394,0.9507042253521126,0.8309859154929577,0.9308553806200293,0.953695652173913,0.9457275457275457,0.42827910783711887,0.9426987060998152,0.9390018484288355,2.731977818853974,2.77634011090573,1.5477573611755742,1.5688232698293536,1.3333333333333333,0.021126760563380254,0.1430316402980828,-0.18528516142484336
8,0.9366197183098591,0.9577464788732394,0.9507042253521126,0.8309859154929577,1.0,0.9944547134935305,0.9963031423290203,0.8724584103512015,0.9366197183098592,0.9577464788732394,0.9507042253521126,0.8309859154929577,0.9302211302211303,0.953695652173913,0.9457275457275457,0.42827910783711887,0.9463955637707948,0.9408502772643254,3.1182994454713495,3.162661737523105,1.8226042653826833,1.8773498601683096,1.3333333333333333,0.021126760563380254,0.1255316402980828,-0.16778516142484337
9,0.9366197183098591,0.9577464788732394,0.9507042253521126,0.8309859154929577,0.9963031423290203,1.0,0.9981515711645101,0.8724584103512015,0.9366197183098592,0.9577464788732394,0.9507042253521126,0.8309859154929577,0.9308553806200293,0.9541047188106011,0.9462208515933561,0.42827910783711887,0.9519408502772643,0.9500924214417745,3.5286506469500925,3.593345656192237,2.129078461173452,2.1944974545004925,0.8,0.021126760563380254,0.11882116631786688,-0.16107468744462744
10,0.9366197183098591,0.9436619718309859,0.9436619718309859,0.8309859154929577,1.0,1.0,0.9963031423290203,0.8724584103512015,0.9366197183098592,0.9436619718309859,0.9436619718309859,0.8309859154929577,0.9302211302211303,0.9382608695652175,0.9382608695652175,0.42827910783711887,0.9500924214417745,0.9537892791127541,3.9279112754158967,3.990757855822551,2.4737101271944564,2.4253507853906813,0.0,0.007042253521126751,0.1048090795822487,-0.11889358662450222
