numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.976,0.968,0.96,0.84,0.978494623655914,0.9695340501792115,0.9767025089605734,0.8691756272401434,0.976,0.968,0.96,0.8399999999999999,0.9747321609055993,0.9661796536796536,0.9575551782682513,0.4380246913580247,0.41397849462365593,0.4175627240143369,0.3924731182795699,0.3870967741935484,0.15530572478030927,0.17073314868403616,0.0,-0.008000000000000007,1.0295090797199842,-1.0135090797199842
2,0.944,0.944,0.928,0.84,0.9713261648745519,0.9802867383512545,0.974910394265233,0.8691756272401434,0.944,0.944,0.928,0.8399999999999999,0.9400725977672764,0.9400725977672764,0.9222475637569978,0.4380246913580247,0.6881720430107527,0.6397849462365591,0.8297491039426523,0.7795698924731183,0.29305039737106575,0.33304045133853716,0.1,0.0,0.5395845137114401,-0.5395845137114401
3,0.96,0.968,0.968,0.84,0.992831541218638,0.989247311827957,0.9910394265232975,0.8691756272401434,0.96,0.968,0.968,0.8399999999999999,0.9578869348426655,0.9661796536796536,0.9661796536796536,0.4380246913580247,0.8136200716845878,0.7706093189964157,1.2329749103942653,1.1666666666666667,0.48943458394756945,0.558783861429589,0.0,0.008000000000000007,0.35375625057984517,-0.3697562505798452
4,0.944,0.968,0.928,0.84,0.992831541218638,0.989247311827957,0.989247311827957,0.8691756272401434,0.944,0.968,0.928,0.8399999999999999,0.9405772495755518,0.9661796536796536,0.9222475637569978,0.4380246913580247,0.8691756272401434,0.8781362007168458,1.6200716845878136,1.5770609318996416,0.709954782610069,0.7607697878427008,0.8,0.02400000000000002,0.2563130867073384,-0.3043130867073384
5,0.952,0.968,0.952,0.84,0.992831541218638,0.992831541218638,0.989247311827957,0.8691756272401434,0.952,0.968,0.952,0.8399999999999999,0.9492694805194806,0.9661796536796536,0.9488543371522095,0.4380246913580247,0.9086021505376344,0.9193548387096774,1.9838709677419355,1.9802867383512546,0.9705503387833863,0.9615485648270043,0.16666666666666666,0.016000000000000014,0.21851028429913238,-0.25051028429913236
6,0.952,0.96,0.96,0.84,0.9910394265232975,0.9946236559139785,0.996415770609319,0.8691756272401434,0.952,0.96,0.96,0.8399999999999999,0.9488543371522095,0.9575551782682513,0.9575551782682513,0.4380246913580247,0.9175627240143369,0.9247311827956989,2.369175627240143,2.3637992831541217,1.2429397261247748,1.2256464745770623,0.0,0.008000000000000007,0.182528077296092,-0.198528077296092
7,0.952,0.96,0.976,0.84,0.992831541218638,0.9946236559139785,0.9982078853046595,0.8691756272401434,0.952,0.96,0.976,0.8399999999999999,0.9492694805194806,0.9575551782682513,0.9749147100140478,0.4380246913580247,0.9247311827956989,0.9354838709677419,2.7544802867383513,2.781362007168459,1.4988383540555406,1.5329642034255346,0.0,0.008000000000000007,0.15919474396275865,-0.17519474396275866
8,0.96,0.96,0.952,0.84,0.996415770609319,0.9946236559139785,0.9982078853046595,0.8691756272401434,0.96,0.96,0.952,0.8399999999999999,0.9575551782682513,0.9575551782682513,0.9488543371522095,0.4380246913580247,0.9408602150537635,0.9444444444444444,3.1469534050179213,3.172043010752688,1.8025923876933467,1.8668838376008423,0.5,0.0,0.14467486865801013,-0.14467486865801013
9,0.96,0.968,0.968,0.84,0.996415770609319,0.992831541218638,0.996415770609319,0.8691756272401434,0.96,0.968,0.968,0.8399999999999999,0.9575551782682513,0.9661796536796536,0.9661796536796536,0.4380246913580247,0.9498207885304659,0.9516129032258065,3.5519713261648747,3.5931899641577063,2.109267825942701,2.226965844173486,0.0,0.008000000000000007,0.12808363285164756,-0.14408363285164758
10,0.96,0.968,0.976,0.84,0.9982078853046595,1.0,0.996415770609319,0.8691756272401434,0.96,0.968,0.976,0.8399999999999999,0.9575551782682513,0.9661796536796536,0.9747321609055993,0.4380246913580247,0.9516129032258065,0.956989247311828,3.949820788530466,3.9767025089605736,2.4818574359967593,2.6402288256276183,0.0,0.008000000000000007,0.11719474396275867,-0.13319474396275868
