numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9594594594594594,0.9391891891891891,0.9594594594594594,0.8986486486486487,0.9794392523364486,0.9644859813084112,0.9850467289719627,0.8542056074766355,0.9594594594594594,0.9391891891891891,0.9594594594594594,0.8986486486486488,0.9508305647840531,0.9285982310372555,0.9508305647840531,0.45423948220064725,0.41682242990654206,0.40373831775700936,0.39626168224299063,0.36822429906542054,0.1539757704767723,0.17833762609169787,0.36363636363636365,-0.020270270270270285,1.0443143802047867,-1.0037738396642464
2,0.9391891891891891,0.918918918918919,0.9391891891891891,0.8986486486486487,0.9719626168224299,0.9644859813084112,0.9794392523364486,0.8542056074766355,0.9391891891891891,0.918918918918919,0.9391891891891891,0.8986486486486488,0.9246563719667402,0.8987918851151129,0.9235142118863051,0.45423948220064725,0.6635514018691588,0.6579439252336449,0.8018691588785046,0.7700934579439253,0.3349241426220131,0.335918504571372,0.3076923076923077,-0.020270270270270174,0.5581310120439119,-0.5175904715033713
3,0.9797297297297297,0.9459459459459459,0.972972972972973,0.8986486486486487,0.994392523364486,0.9850467289719627,0.9869158878504672,0.8542056074766355,0.9797297297297298,0.9459459459459459,0.972972972972973,0.8986486486486488,0.9758996906041362,0.9344407530454042,0.9672203765227021,0.45423948220064725,0.8018691588785046,0.7775700934579439,1.188785046728972,1.1233644859813083,0.4955426494203554,0.5734072888523509,3.2,-0.03378378378378377,0.3905593037629861,-0.32299173619541854
4,0.9594594594594594,0.9527027027027027,0.9594594594594594,0.8986486486486487,0.9887850467289719,0.9869158878504672,0.994392523364486,0.8542056074766355,0.9594594594594594,0.9527027027027027,0.9594594594594594,0.8986486486486488,0.9508305647840531,0.9422358516866463,0.9501347708894878,0.45423948220064725,0.8672897196261682,0.8504672897196262,1.594392523364486,1.5009345794392523,0.7438884958751993,0.7948423217885715,0.0,-0.006756756756756688,0.2650446653653978,-0.2515311518518843
5,0.972972972972973,0.9527027027027027,0.9932432432432432,0.8986486486486487,0.994392523364486,0.9887850467289719,0.9962616822429906,0.8542056074766355,0.972972972972973,0.9527027027027027,0.9932432432432432,0.8986486486486488,0.9676573426573427,0.9422358516866463,0.991966563534712,0.45423948220064725,0.9046728971962616,0.8841121495327103,1.9813084112149533,1.8728971962616823,1.0143664473171403,1.1208845791638893,1.3333333333333333,-0.020270270270270285,0.23943955353769425,-0.19889901299715373
6,0.9594594594594594,0.9527027027027027,0.972972972972973,0.8986486486486487,0.9962616822429906,0.9925233644859813,0.9981308411214953,0.8542056074766355,0.9594594594594594,0.9527027027027027,0.972972972972973,0.8986486486486488,0.9508305647840531,0.9422358516866463,0.9667565139263252,0.45423948220064725,0.9252336448598131,0.9065420560747663,2.3813084112149534,2.278504672897196,1.2380910130607448,1.4253222134170336,0.0,-0.006756756756756688,0.18337799869873117,-0.16986448518521763
7,0.9594594594594594,0.9527027027027027,0.9662162162162162,0.8986486486486487,0.994392523364486,0.9925233644859813,0.9962616822429906,0.8542056074766355,0.9594594594594594,0.9527027027027027,0.9662162162162162,0.8986486486486488,0.951486013986014,0.9422358516866463,0.9598328176735602,0.45423948220064725,0.9383177570093458,0.9177570093457944,2.7401869158878505,2.6654205607476635,1.57244700197159,1.836374043435362,0.0,-0.006756756756756688,0.16972054343036552,-0.15620702991685204
8,0.9594594594594594,0.9527027027027027,0.9662162162162162,0.8986486486486487,0.9962616822429906,0.9925233644859813,0.9962616822429906,0.8542056074766355,0.9594594594594594,0.9527027027027027,0.9662162162162162,0.8986486486486488,0.9508305647840531,0.9422358516866463,0.9581424288704112,0.45423948220064725,0.9457943925233645,0.9364485981308411,3.130841121495327,3.0822429906542057,1.9031271570719581,2.1593292278577834,0.0,-0.006756756756756688,0.14254466536539784,-0.1290311518518843
9,0.9527027027027027,0.9527027027027027,0.9797297297297297,0.8986486486486487,0.994392523364486,0.994392523364486,1.0,0.8542056074766355,0.9527027027027027,0.9527027027027027,0.9797297297297298,0.8986486486486488,0.9430237034592752,0.9422358516866463,0.9755815871968322,0.45423948220064725,0.9420560747663551,0.9439252336448598,3.5233644859813085,3.4822429906542056,2.260511423882963,2.5168708215403,0.5,0.0,0.12761766309328934,-0.12761766309328934
10,0.9594594594594594,0.9527027027027027,0.9662162162162162,0.8986486486486487,0.9981308411214953,0.9925233644859813,0.9981308411214953,0.8542056074766355,0.9594594594594594,0.9527027027027027,0.9662162162162162,0.8986486486486488,0.9508305647840531,0.9422358516866463,0.9587398940618901,0.45423948220064725,0.9420560747663551,0.9420560747663551,3.8953271028037384,3.839252336448598,2.689120888138934,2.967206059718402,0.0,-0.006756756756756688,0.11804466536539784,-0.10453115185188433
