numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9172932330827067,0.924812030075188,0.9323308270676691,0.8195488721804511,0.9872727272727273,0.9854545454545455,0.9781818181818182,0.8690909090909091,0.9172932330827067,0.924812030075188,0.9323308270676691,0.8195488721804511,0.9115103127079175,0.9198795180722892,0.9281728172817283,0.4255155770074594,0.4690909090909091,0.42727272727272725,0.45636363636363636,0.4127272727272727,0.14419165754878957,0.14496817336522785,0.0,0.007518796992481258,1.0213744802415314,-1.036412074226494
2,0.8796992481203008,0.9022556390977443,0.9172932330827067,0.8195488721804511,0.9763636363636363,0.9818181818181818,0.9836363636363636,0.8690909090909091,0.8796992481203008,0.9022556390977443,0.9172932330827067,0.8195488721804511,0.8683819891142999,0.8945281522601111,0.9107545903739401,0.4255155770074594,0.7,0.6872727272727273,0.8727272727272727,0.8472727272727273,0.3354669571815613,0.29281169738490403,0.3076923076923077,0.022556390977443552,0.5207161602838664,-0.5658289422387537
3,0.9172932330827067,0.9398496240601504,0.9398496240601504,0.8195488721804511,0.9890909090909091,0.990909090909091,0.990909090909091,0.8690909090909091,0.9172932330827067,0.9398496240601504,0.9398496240601504,0.8195488721804511,0.9122112211221123,0.9363940698230512,0.9363940698230512,0.4255155770074594,0.8218181818181818,0.8109090909090909,1.2836363636363637,1.2472727272727273,0.5196179930840135,0.5140387673623471,0.4444444444444444,0.022556390977443663,0.3484866957447782,-0.3935994776996654
4,0.9097744360902256,0.9323308270676691,0.9097744360902256,0.8195488721804511,0.9872727272727273,0.9945454545454545,0.9927272727272727,0.8690909090909091,0.9097744360902256,0.9323308270676691,0.9097744360902256,0.8195488721804511,0.903061224489796,0.9281728172817283,0.903061224489796,0.4255155770074594,0.8836363636363637,0.8618181818181818,1.6727272727272726,1.690909090909091,0.7703735050147074,0.6969651474762428,0.5714285714285714,0.022556390977443552,0.2616216338129432,-0.3067344157678304
5,0.9323308270676691,0.9548872180451128,0.9323308270676691,0.8195488721804511,0.9945454545454545,0.9927272727272727,0.9963636363636363,0.8690909090909091,0.9323308270676691,0.9548872180451128,0.9323308270676691,0.8195488721804511,0.9281728172817283,0.9526353276353277,0.9281728172817283,0.4255155770074594,0.9145454545454546,0.9254545454545454,2.0745454545454547,2.118181818181818,0.9596906753498626,0.9009452355748376,0.8,0.022556390977443663,0.20661842772598338,-0.2517312096808706
6,0.924812030075188,0.9473684210526315,0.924812030075188,0.8195488721804511,0.9890909090909091,0.9945454545454545,0.9927272727272727,0.8690909090909091,0.924812030075188,0.9473684210526315,0.924812030075188,0.8195488721804511,0.9198795180722892,0.9445470248376914,0.9198795180722892,0.4255155770074594,0.9272727272727272,0.9545454545454546,2.449090909090909,2.561818181818182,1.2515652368324184,1.1115898999544875,0.8,0.022556390977443552,0.1739517610593167,-0.21906454301420392
7,0.9398496240601504,0.9548872180451128,0.9473684210526315,0.8195488721804511,0.9927272727272727,0.9927272727272727,0.9963636363636363,0.8690909090909091,0.9398496240601504,0.9548872180451128,0.9473684210526315,0.8195488721804511,0.9363940698230512,0.9526353276353277,0.9445470248376914,0.4255155770074594,0.9345454545454546,0.9672727272727273,2.841818181818182,2.978181818181818,1.5457151796204094,1.3942964965068239,0.5,0.015037593984962405,0.14595956284254397,-0.17603475081246878
8,0.9172932330827067,0.9548872180451128,0.9398496240601504,0.8195488721804511,0.990909090909091,0.9945454545454545,1.0,0.8690909090909091,0.9172932330827067,0.9548872180451128,0.9398496240601504,0.8195488721804511,0.9115103127079175,0.9526353276353277,0.9363940698230512,0.4255155770074594,0.94,0.9654545454545455,3.2654545454545456,3.3927272727272726,1.8683112395241142,1.6671362033931023,3.2,0.03759398496240607,0.11847229057535932,-0.19366026050017135
9,0.924812030075188,0.9548872180451128,0.9548872180451128,0.8195488721804511,0.9890909090909091,0.9945454545454545,0.9981818181818182,0.8690909090909091,0.924812030075188,0.9548872180451128,0.9548872180451128,0.8195488721804511,0.9198795180722892,0.9526353276353277,0.9526353276353277,0.4255155770074594,0.9490909090909091,0.9709090909090909,3.6945454545454544,3.8236363636363637,2.122396675303801,1.97611700019789,2.25,0.03007518796992481,0.10872731518427414,-0.16887769112412376
10,0.9097744360902256,0.9548872180451128,0.9398496240601504,0.8195488721804511,0.990909090909091,0.9945454545454545,0.9981818181818182,0.8690909090909091,0.9097744360902256,0.9548872180451128,0.9398496240601504,0.8195488721804511,0.903061224489796,0.9526353276353277,0.9363940698230512,0.4255155770074594,0.96,0.9690909090909091,4.123636363636364,4.256363636363637,2.479130104300449,2.3004826358775223,4.166666666666667,0.045112781954887216,0.0897902148167111,-0.18001577872648553
11,0.9172932330827067,0.9548872180451128,0.9398496240601504,0.8195488721804511,0.990909090909091,0.9963636363636363,1.0,0.8690909090909091,0.9172932330827067,0.9548872180451128,0.9398496240601504,0.8195488721804511,0.9115103127079175,0.9526353276353277,0.9363940698230512,0.4255155770074594,0.9581818181818181,0.9654545454545455,4.545454545454546,4.6454545454545455,2.8881362668136057,2.765478159061482,3.2,0.03759398496240607,0.08506319966626841,-0.16025116959108043
12,0.9172932330827067,0.9548872180451128,0.9398496240601504,0.8195488721804511,0.9890909090909091,1.0,1.0,0.8690909090909091,0.9172932330827067,0.9548872180451128,0.9398496240601504,0.8195488721804511,0.9115103127079175,0.9526353276353277,0.9363940698230512,0.4255155770074594,0.9545454545454546,0.9672727272727273,4.932727272727273,5.056363636363637,3.410749807740822,3.1151618767460243,3.2,0.03759398496240607,0.07763895724202598,-0.152826927166838
13,0.9172932330827067,0.9548872180451128,0.9323308270676691,0.8195488721804511,0.9945454545454545,1.0,1.0,0.8690909090909091,0.9172932330827067,0.9548872180451128,0.9323308270676691,0.8195488721804511,0.9115103127079175,0.9526353276353277,0.9281728172817283,0.4255155770074594,0.9581818181818181,0.9690909090909091,5.321818181818182,5.467272727272727,3.8333413443695945,3.459321978572157,3.2,0.03759398496240607,0.07135690595997471,-0.14654487588478673
14,0.9172932330827067,0.9548872180451128,0.9323308270676691,0.8195488721804511,0.9927272727272727,1.0,0.9981818181818182,0.8690909090909091,0.9172932330827067,0.9548872180451128,0.9323308270676691,0.8195488721804511,0.9115103127079175,0.9526353276353277,0.9281728172817283,0.4255155770074594,0.9581818181818181,0.9709090909090909,5.7272727272727275,5.8963636363636365,4.395474506407551,3.7777415987238787,3.2,0.03759398496240607,0.0659722905753593,-0.14116026050017133
15,0.9323308270676691,0.9548872180451128,0.9398496240601504,0.8195488721804511,0.9945454545454545,1.0,0.9981818181818182,0.8690909090909091,0.9323308270676691,0.9548872180451128,0.9398496240601504,0.8195488721804511,0.9281728172817283,0.9526353276353277,0.9363940698230512,0.4255155770074594,0.96,0.9672727272727273,6.143636363636364,6.298181818181818,4.756001344401237,4.212978289864698,1.3333333333333333,0.022556390977443663,0.06858817180228252,-0.11370095375716974
16,0.9323308270676691,0.9548872180451128,0.9398496240601504,0.8195488721804511,0.9963636363636363,1.0,1.0,0.8690909090909091,0.9323308270676691,0.9548872180451128,0.9398496240601504,0.8195488721804511,0.9281728172817283,0.9526353276353277,0.9363940698230512,0.4255155770074594,0.96,0.9709090909090909,6.5218181818181815,6.7,5.223828020593227,4.68665346467412,1.3333333333333333,0.022556390977443663,0.06450483846894918,-0.1096176204238364
17,0.9323308270676691,0.9548872180451128,0.9473684210526315,0.8195488721804511,0.9945454545454545,0.9981818181818182,1.0,0.8690909090909091,0.9323308270676691,0.9548872180451128,0.9473684210526315,0.8195488721804511,0.9281728172817283,0.9526353276353277,0.9445470248376914,0.4255155770074594,0.9618181818181818,0.9690909090909091,6.918181818181818,7.101818181818182,5.910353728085612,5.144854134199186,1.3333333333333333,0.022556390977443663,0.06090189729247861,-0.10601467924736582
18,0.9323308270676691,0.9548872180451128,0.9323308270676691,0.8195488721804511,0.9927272727272727,0.9981818181818182,1.0,0.8690909090909091,0.9323308270676691,0.9548872180451128,0.9323308270676691,0.8195488721804511,0.9281728172817283,0.9526353276353277,0.9281728172817283,0.4255155770074594,0.96,0.9709090909090909,7.3545454545454545,7.527272727272727,6.4754740209106005,5.59835768617925,1.3333333333333333,0.022556390977443663,0.057699282913393615,-0.10281206486828083
19,0.9323308270676691,0.9624060150375939,0.9398496240601504,0.8195488721804511,0.9963636363636363,0.9981818181818182,0.9981818181818182,0.8690909090909091,0.9323308270676691,0.9624060150375939,0.9398496240601504,0.8195488721804511,0.9281728172817283,0.9606625258799172,0.9363940698230512,0.4255155770074594,0.9636363636363636,0.9727272727272728,7.787272727272727,7.950909090909091,6.94077302634857,5.930699656698621,2.25,0.03007518796992481,0.05141737366380632,-0.11156774960365594
20,0.924812030075188,0.9548872180451128,0.9473684210526315,0.8195488721804511,0.9981818181818182,1.0,1.0,0.8690909090909091,0.924812030075188,0.9548872180451128,0.9473684210526315,0.8195488721804511,0.9198795180722892,0.9526353276353277,0.9445470248376914,0.4255155770074594,0.9636363636363636,0.9709090909090909,8.190909090909091,8.365454545454545,7.500011652722286,6.405262252450179,2.25,0.03007518796992481,0.048838426295385276,-0.1089888022352349
21,0.9323308270676691,0.9624060150375939,0.9548872180451128,0.8195488721804511,0.9945454545454545,1.0,1.0,0.8690909090909091,0.9323308270676691,0.9624060150375939,0.9548872180451128,0.8195488721804511,0.9281728172817283,0.9606625258799172,0.9526353276353277,0.4255155770074594,0.9654545454545455,0.9745454545454545,8.610909090909091,8.774545454545455,8.02124153792487,6.845697797373199,2.25,0.03007518796992481,0.046505092962051936,-0.10665546890190156
22,0.924812030075188,0.9624060150375939,0.9398496240601504,0.8195488721804511,0.9945454545454545,1.0,1.0,0.8690909090909091,0.924812030075188,0.9624060150375939,0.9398496240601504,0.8195488721804511,0.9198795180722892,0.9606625258799172,0.9363940698230512,0.4255155770074594,0.9618181818181818,0.9727272727272728,8.994545454545454,9.187272727272727,8.848007143597535,7.436828978335129,3.2,0.03759398496240596,0.04051774512081387,-0.11570571504562589
23,0.9323308270676691,0.9624060150375939,0.9398496240601504,0.8195488721804511,0.9963636363636363,1.0,1.0,0.8690909090909091,0.9323308270676691,0.9624060150375939,0.9398496240601504,0.8195488721804511,0.9281728172817283,0.9606625258799172,0.9363940698230512,0.4255155770074594,0.9618181818181818,0.9727272727272728,9.41090909090909,9.592727272727272,9.320510668130101,8.01194367887902,2.25,0.03007518796992481,0.04244712194755919,-0.10259749788740881
24,0.9323308270676691,0.9624060150375939,0.9473684210526315,0.8195488721804511,0.9963636363636363,1.0,1.0,0.8690909090909091,0.9323308270676691,0.9624060150375939,0.9473684210526315,0.8195488721804511,0.9281728172817283,0.9606625258799172,0.9445470248376914,0.4255155770074594,0.9618181818181818,0.9727272727272728,9.809090909090909,10.016363636363636,9.925996353252433,8.639364396841366,2.25,0.03007518796992481,0.04067175962871859,-0.10082213556856821
25,0.9323308270676691,0.9624060150375939,0.9473684210526315,0.8195488721804511,0.9963636363636363,1.0,1.0,0.8690909090909091,0.9323308270676691,0.9624060150375939,0.9473684210526315,0.8195488721804511,0.9281728172817283,0.9606625258799172,0.9445470248376914,0.4255155770074594,0.9618181818181818,0.9709090909090909,10.236363636363636,10.387272727272727,10.668328132140147,9.251445145052404,2.25,0.03007518796992481,0.03903842629538527,-0.0991888022352349
26,0.9323308270676691,0.9624060150375939,0.9473684210526315,0.8195488721804511,0.9963636363636363,1.0,0.9981818181818182,0.8690909090909091,0.9323308270676691,0.9624060150375939,0.9473684210526315,0.8195488721804511,0.9281728172817283,0.9606625258799172,0.9445470248376914,0.4255155770074594,0.9636363636363636,0.9709090909090909,10.658181818181818,10.78,11.096800928369165,10.00074291505955,2.25,0.03007518796992481,0.037530733987692966,-0.09768110992754259
27,0.9323308270676691,0.9624060150375939,0.9548872180451128,0.8195488721804511,0.9981818181818182,1.0,1.0,0.8690909090909091,0.9323308270676691,0.9624060150375939,0.9548872180451128,0.8195488721804511,0.9281728172817283,0.9606625258799172,0.9526353276353277,0.4255155770074594,0.9636363636363636,0.9709090909090909,11.032727272727273,11.176363636363636,11.678696462597397,10.415358735032504,2.25,0.03007518796992481,0.03613472259168157,-0.0962850985315312
28,0.9323308270676691,0.9624060150375939,0.9398496240601504,0.8195488721804511,0.9981818181818182,1.0,1.0,0.8690909090909091,0.9323308270676691,0.9624060150375939,0.9398496240601504,0.8195488721804511,0.9281728172817283,0.9606625258799172,0.9363940698230512,0.4255155770074594,0.9636363636363636,0.9709090909090909,11.421818181818182,11.57090909090909,12.763845604667825,11.103104395099223,2.25,0.03007518796992481,0.03483842629538528,-0.0949888022352349
29,0.9323308270676691,0.9624060150375939,0.9473684210526315,0.8195488721804511,0.9981818181818182,1.0,1.0,0.8690909090909091,0.9323308270676691,0.9624060150375939,0.9473684210526315,0.8195488721804511,0.9281728172817283,0.9606625258799172,0.9445470248376914,0.4255155770074594,0.9636363636363636,0.9709090909090909,11.834545454545454,11.98,13.549248863479258,11.78943847761298,2.25,0.03007518796992481,0.03363152974366114,-0.09378190568351076
30,0.9323308270676691,0.9624060150375939,0.9473684210526315,0.8195488721804511,0.9963636363636363,1.0,1.0,0.8690909090909091,0.9323308270676691,0.9624060150375939,0.9473684210526315,0.8195488721804511,0.9281728172817283,0.9606625258799172,0.9445470248376914,0.4255155770074594,0.9636363636363636,0.9727272727272728,12.245454545454546,12.394545454545455,14.269592625829672,12.35340463361457,2.25,0.03007518796992481,0.03250509296205194,-0.09265546890190156
