numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9315068493150684,0.952054794520548,0.9383561643835616,0.8698630136986302,0.9795158286778398,0.9739292364990689,0.9813780260707635,0.8584729981378026,0.9315068493150684,0.952054794520548,0.9383561643835615,0.8698630136986303,0.922406462585034,0.9459688078244779,0.9297889393534597,0.44345549738219897,0.43947858472998136,0.43202979515828677,0.41899441340782123,0.4059590316573557,0.1554307142146128,0.16428370115986968,0.4444444444444444,0.020547945205479534,0.9998637165941332,-1.0409596070050922
2,0.8972602739726028,0.9315068493150684,0.910958904109589,0.8698630136986302,0.9813780260707635,0.9757914338919925,0.9776536312849162,0.8584729981378026,0.8972602739726028,0.9315068493150684,0.910958904109589,0.8698630136986303,0.8787845242707699,0.9215559853857727,0.8974442102988058,0.44345549738219897,0.6499068901303539,0.6703910614525139,0.8305400372439479,0.8249534450651769,0.3384588102238337,0.35153174329474074,2.2857142857142856,0.03424657534246567,0.49170352678912255,-0.5601966774740541
3,0.9383561643835616,0.952054794520548,0.952054794520548,0.8698630136986302,0.994413407821229,0.9851024208566108,0.9925512104283054,0.8584729981378026,0.9383561643835615,0.952054794520548,0.952054794520548,0.8698630136986303,0.9305313243457574,0.9459688078244779,0.9459688078244779,0.44345549738219897,0.7672253258845437,0.7895716945996276,1.229050279329609,1.217877094972067,0.5419119924397183,0.5738768350875628,0.16666666666666666,0.013698630136986356,0.34592658857452996,-0.37332384884850256
4,0.9383561643835616,0.9383561643835616,0.9315068493150684,0.8698630136986302,0.9925512104283054,0.9888268156424581,0.9906890130353817,0.8584729981378026,0.9383561643835615,0.9383561643835615,0.9315068493150684,0.8698630136986303,0.9289998378991733,0.9297889393534597,0.9215559853857727,0.44345549738219897,0.8640595903165735,0.8621973929236499,1.6424581005586592,1.6480446927374302,0.7021285383016418,0.7629972843163961,0.25,0.0,0.27184931506849314,-0.27184931506849314
5,0.952054794520548,0.9726027397260274,0.958904109589041,0.8698630136986302,0.994413407821229,0.9869646182495344,0.9981378026070763,0.8584729981378026,0.952054794520548,0.9726027397260274,0.958904109589041,0.8698630136986303,0.9459688078244779,0.9698658410732715,0.9539238375762676,0.44345549738219897,0.9087523277467412,0.9031657355679702,2.0391061452513966,2.037243947858473,0.9534720890759304,1.0288974374716546,0.8,0.020547945205479423,0.2056549799799899,-0.2467508703909488
6,0.9383561643835616,0.9726027397260274,0.9452054794520548,0.8698630136986302,0.9925512104283054,0.994413407821229,1.0,0.8584729981378026,0.9383561643835615,0.9726027397260274,0.9452054794520548,0.8698630136986303,0.9297889393534597,0.9695833333333332,0.9385651167683569,0.44345549738219897,0.9348230912476723,0.9199255121042831,2.445065176908752,2.458100558659218,1.2618497194783969,1.2983860567832013,3.2,0.03424657534246578,0.1596148922844667,-0.2281080429693982
7,0.9452054794520548,0.9726027397260274,0.9315068493150684,0.8698630136986302,0.9925512104283054,0.9962756052141527,0.9962756052141527,0.8584729981378026,0.9452054794520548,0.9726027397260274,0.9315068493150684,0.8698630136986303,0.9379251700680271,0.9695833333333332,0.9215559853857727,0.44345549738219897,0.9534450651769087,0.9422718808193669,2.8491620111731844,2.8472998137802605,1.502975649585153,1.5868797541102122,2.25,0.0273972602739726,0.13981736839033546,-0.19461188893828066
8,0.9383561643835616,0.9726027397260274,0.9452054794520548,0.8698630136986302,0.994413407821229,0.9981378026070763,0.9962756052141527,0.8584729981378026,0.9383561643835615,0.9726027397260274,0.9452054794520548,0.8698630136986303,0.9297889393534597,0.9695833333333332,0.9379251700680271,0.44345549738219897,0.9515828677839852,0.9459962756052142,3.2346368715083798,3.2532588454376166,1.8446697774634466,1.8894720941203091,3.2,0.03424657534246578,0.1187815589511334,-0.1872747096360649
9,0.952054794520548,0.9657534246575342,0.9452054794520548,0.8698630136986302,0.994413407821229,0.9962756052141527,1.0,0.8584729981378026,0.952054794520548,0.9657534246575342,0.9452054794520548,0.8698630136986303,0.9459688078244779,0.9621585195168731,0.9385651167683569,0.44345549738219897,0.9534450651769087,0.9553072625698324,3.640595903165736,3.670391061452514,2.2423717811693944,2.148400884946304,0.25,0.013698630136986245,0.122131366618311,-0.1495286268922836
10,0.9452054794520548,0.9657534246575342,0.9726027397260274,0.8698630136986302,0.994413407821229,1.0,0.9981378026070763,0.8584729981378026,0.9452054794520548,0.9657534246575342,0.9726027397260274,0.8698630136986303,0.9379251700680271,0.9621585195168731,0.9695833333333332,0.44345549738219897,0.9497206703910615,0.962756052141527,4.039106145251397,4.07635009310987,2.6440155501797418,2.470850277500923,0.8,0.020547945205479423,0.1076549799799899,-0.1487508703909488
