numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9664429530201343,0.959731543624161,0.9463087248322147,0.8523489932885906,0.9831460674157303,0.9700374531835206,0.9681647940074907,0.8689138576779026,0.9664429530201343,0.959731543624161,0.9463087248322147,0.8523489932885905,0.9632371083148286,0.9548484848484848,0.9391836734693877,0.44231849678506774,0.44756554307116103,0.41947565543071164,0.4307116104868914,0.3895131086142322,0.14994139330041747,0.17001647615379537,0.0,-0.006711409395973256,1.0215312611740819,-1.0081084423821354
2,0.9530201342281879,0.959731543624161,0.9395973154362416,0.8523489932885906,0.9737827715355806,0.9700374531835206,0.9831460674157303,0.8689138576779026,0.9530201342281879,0.959731543624161,0.9395973154362416,0.8523489932885905,0.9470585249479722,0.9548484848484848,0.9312201877211879,0.44231849678506774,0.6741573033707865,0.6198501872659176,0.8202247191011236,0.7602996254681648,0.3410268952313396,0.3846216440447981,0.0,0.006711409395973145,0.5227663891621791,-0.5361892079541254
3,0.9664429530201343,0.959731543624161,0.9664429530201343,0.8523489932885906,0.9831460674157303,0.9700374531835206,0.9887640449438202,0.8689138576779026,0.9664429530201343,0.959731543624161,0.9664429530201343,0.8523489932885905,0.9629076425192931,0.9548484848484848,0.9621846606771229,0.44231849678506774,0.7940074906367042,0.7565543071161048,1.1910112359550562,1.151685393258427,0.5583862702324124,0.5579148301391124,0.0,-0.006711409395973256,0.36281185897786916,-0.3493890401859229
4,0.9664429530201343,0.9664429530201343,0.9395973154362416,0.8523489932885906,0.9850187265917603,0.9700374531835206,0.9962546816479401,0.8689138576779026,0.9664429530201343,0.9664429530201343,0.9395973154362416,0.8523489932885905,0.9629076425192931,0.9621846606771229,0.9319323892188214,0.44231849678506774,0.8632958801498127,0.8426966292134831,1.5674157303370786,1.548689138576779,0.8032277931292983,0.755980666331515,0.16666666666666666,0.0,0.27722147581110756,-0.27722147581110756
5,0.9664429530201343,0.9731543624161074,0.959731543624161,0.8523489932885906,0.9831460674157303,0.9700374531835206,0.9887640449438202,0.8689138576779026,0.9664429530201343,0.9731543624161074,0.959731543624161,0.8523489932885905,0.9629076425192931,0.9698989898989898,0.9543877551020409,0.44231849678506774,0.9063670411985019,0.8764044943820225,1.9232209737827715,1.9475655430711611,1.1280224739630302,0.9850233141239614,0.0,0.006711409395973145,0.21872237351925625,-0.23214519231120254
6,0.9664429530201343,0.9731543624161074,0.9798657718120806,0.8523489932885906,0.9812734082397003,0.9700374531835206,0.9925093632958801,0.8689138576779026,0.9664429530201343,0.9731543624161074,0.9798657718120806,0.8523489932885905,0.9629076425192931,0.9698989898989898,0.9775343016535155,0.44231849678506774,0.9325842696629213,0.9250936329588015,2.338951310861423,2.3745318352059925,1.4688027347231312,1.1684761985038263,0.0,0.006711409395973145,0.18605570685258957,-0.19947852564453586
7,0.9664429530201343,0.9731543624161074,0.9664429530201343,0.8523489932885906,0.9850187265917603,0.9700374531835206,0.9925093632958801,0.8689138576779026,0.9664429530201343,0.9731543624161074,0.9664429530201343,0.8523489932885905,0.9629076425192931,0.9698989898989898,0.9621846606771229,0.44231849678506774,0.9456928838951311,0.947565543071161,2.745318352059925,2.7734082397003745,1.759553443889194,1.4325592694851927,0.0,0.006711409395973145,0.16272237351925622,-0.17614519231120251
8,0.9798657718120806,0.9731543624161074,0.9664429530201343,0.8523489932885906,0.9831460674157303,0.9700374531835206,0.99812734082397,0.8689138576779026,0.9798657718120806,0.9731543624161074,0.9664429530201343,0.8523489932885905,0.9775343016535155,0.9698989898989898,0.9621846606771229,0.44231849678506774,0.949438202247191,0.9550561797752809,3.146067415730337,3.157303370786517,2.15328928581691,1.6807068266329173,0.0,-0.006711409395973145,0.1520209046896497,-0.13859808589770342
9,0.9664429530201343,0.9731543624161074,0.9664429530201343,0.8523489932885906,0.9868913857677902,0.9700374531835206,1.0,0.8689138576779026,0.9664429530201343,0.9731543624161074,0.9664429530201343,0.8523489932885905,0.9629076425192931,0.9698989898989898,0.9621846606771229,0.44231849678506774,0.951310861423221,0.9588014981273408,3.548689138576779,3.5580524344569286,2.5168708159592734,2.0402942610507764,0.0,0.006711409395973145,0.13161126240814514,-0.14503408120009142
10,0.9731543624161074,0.9731543624161074,0.9798657718120806,0.8523489932885906,0.9868913857677902,0.9700374531835206,1.0,0.8689138576779026,0.9731543624161074,0.9731543624161074,0.9798657718120806,0.8523489932885905,0.970188075230092,0.9698989898989898,0.9775343016535155,0.44231849678506774,0.9531835205992509,0.9588014981273408,3.945692883895131,3.951310861423221,2.9521791898386347,2.3201263926012756,0.25,0.0,0.12430872483221475,-0.12430872483221475
