numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9448818897637795,0.937007874015748,0.9448818897637795,0.889763779527559,0.9694244604316546,0.9784172661870504,0.9838129496402878,0.8597122302158273,0.9448818897637795,0.9370078740157481,0.9448818897637795,0.889763779527559,0.9394620360912496,0.9304490690032858,0.9394620360912496,0.611596870685688,0.4118705035971223,0.420863309352518,0.381294964028777,0.39928057553956836,0.17046173595855021,0.15598636411073993,0.0,-0.007874015748031482,1.0341934772923618,-1.0184454457962988
2,0.9212598425196851,0.9212598425196851,0.905511811023622,0.889763779527559,0.9730215827338129,0.9730215827338129,0.9784172661870504,0.8597122302158273,0.9212598425196851,0.9212598425196851,0.905511811023622,0.889763779527559,0.9110644257703081,0.9110644257703081,0.8919455473624504,0.611596870685688,0.6492805755395683,0.6294964028776978,0.8039568345323741,0.7787769784172662,0.35550224420256166,0.31848304220965923,0.25,0.0,0.5208661417322834,-0.5208661417322834
3,0.952755905511811,0.9448818897637795,0.968503937007874,0.889763779527559,0.987410071942446,0.9910071942446043,0.9946043165467626,0.8597122302158273,0.952755905511811,0.9448818897637795,0.968503937007874,0.889763779527559,0.9483739837398373,0.9388120311101934,0.9659151905528718,0.611596870685688,0.7787769784172662,0.7823741007194245,1.1942446043165467,1.1942446043165467,0.5443512781290586,0.5328485020520466,0.0,-0.007874015748031482,0.3753957086053394,-0.3596476771092764
4,0.9291338582677166,0.937007874015748,0.9606299212598425,0.889763779527559,0.9856115107913669,0.9892086330935251,0.9892086330935251,0.8597122302158273,0.9291338582677164,0.9370078740157481,0.9606299212598425,0.889763779527559,0.9213297542845342,0.9296788482834994,0.9575903292593334,0.611596870685688,0.8489208633093526,0.8435251798561151,1.5701438848920863,1.60431654676259,0.7755002646601356,0.7951105993552513,0.0,0.007874015748031482,0.27166254187312233,-0.2874105733691853
5,0.952755905511811,0.9606299212598425,0.984251968503937,0.889763779527559,0.9946043165467626,0.9964028776978417,0.9910071942446043,0.8597122302158273,0.952755905511811,0.9606299212598425,0.984251968503937,0.889763779527559,0.9483739837398373,0.9571900492145891,0.9829575952764358,0.611596870685688,0.89568345323741,0.9100719424460432,1.973021582733813,2.0107913669064748,0.9887331123926757,0.9928593786554972,0.0,0.007874015748031482,0.21489190399332192,-0.23063993548938494
6,0.9448818897637795,0.9448818897637795,0.9606299212598425,0.889763779527559,0.9910071942446043,0.9982014388489209,0.9982014388489209,0.8597122302158273,0.9448818897637795,0.9448818897637795,0.9606299212598425,0.889763779527559,0.9394620360912496,0.9388120311101934,0.9575903292593334,0.611596870685688,0.9280575539568345,0.9280575539568345,2.3884892086330933,2.4244604316546763,1.3124239514744214,1.246556187162703,0.25,0.0,0.19419947506561677,-0.19419947506561677
7,0.9606299212598425,0.952755905511811,0.9606299212598425,0.889763779527559,0.9946043165467626,1.0,0.9982014388489209,0.8597122302158273,0.9606299212598425,0.952755905511811,0.9606299212598425,0.889763779527559,0.9571900492145891,0.9488727858293076,0.9571900492145891,0.611596870685688,0.9406474820143885,0.9460431654676259,2.7805755395683454,2.8129496402877696,1.6071886942417575,1.5070885260275768,0.0,-0.007874015748031482,0.1746399354893849,-0.15889190399332193
8,0.9606299212598425,0.9448818897637795,0.9606299212598425,0.889763779527559,0.9910071942446043,0.9982014388489209,1.0,0.8597122302158273,0.9606299212598425,0.9448818897637795,0.9606299212598425,0.889763779527559,0.9571900492145891,0.9400660689004248,0.9571900492145891,0.611596870685688,0.9496402877697842,0.947841726618705,3.1924460431654675,3.226618705035971,1.8787107168827422,1.772534538759101,0.25,-0.015748031496062964,0.1692354551954845,-0.1377393922033585
9,0.9606299212598425,0.9606299212598425,0.9763779527559056,0.889763779527559,0.9946043165467626,0.9964028776978417,0.9982014388489209,0.8597122302158273,0.9606299212598425,0.9606299212598425,0.9763779527559056,0.889763779527559,0.9571900492145891,0.9575903292593334,0.9743140295287533,0.611596870685688,0.9622302158273381,0.9550359712230215,3.6241007194244603,3.6420863309352516,2.1125852950954647,2.02454477632272,0.5,0.0,0.1307145470168516,-0.1307145470168516
10,0.9606299212598425,0.952755905511811,0.9763779527559056,0.889763779527559,0.9946043165467626,0.9964028776978417,0.9982014388489209,0.8597122302158273,0.9606299212598425,0.952755905511811,0.9763779527559056,0.889763779527559,0.9571900492145891,0.9488727858293076,0.9745541975556,0.611596870685688,0.9586330935251799,0.9532374100719424,4.023381294964029,4.0413669064748206,2.4122033167288683,2.4488865826085244,0.0,-0.007874015748031482,0.12136772759774225,-0.10561969610167926
