numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9621212121212122,0.946969696969697,0.9545454545454546,0.8787878787878788,0.9745916515426497,0.9836660617059891,0.985480943738657,0.867513611615245,0.9621212121212122,0.946969696969697,0.9545454545454546,0.8787878787878788,0.9548409168662333,0.9367772836127266,0.9476190476190476,0.45032679738562087,0.4319419237749546,0.4337568058076225,0.40653357531760437,0.41742286751361163,0.16316233568355196,0.14829735291548776,0.125,-0.015151515151515138,1.0372288386737958,-1.0069258083707655
2,0.9545454545454546,0.9318181818181818,0.9696969696969697,0.8787878787878788,0.9709618874773139,0.9745916515426497,0.9764065335753176,0.867513611615245,0.9545454545454546,0.9318181818181818,0.9696969696969697,0.8787878787878788,0.944568868980963,0.9161904761904762,0.9630459126539754,0.45032679738562087,0.6533575317604355,0.6751361161524501,0.7876588021778584,0.822141560798548,0.37174067727130045,0.33418492629358815,0.36363636363636365,-0.022727272727272818,0.5621265144444006,-0.5166719689898552
3,0.9621212121212122,0.9772727272727273,0.9696969696969697,0.8787878787878788,0.9818511796733213,0.9927404718693285,0.9872958257713249,0.867513611615245,0.9621212121212122,0.9772727272727273,0.9696969696969697,0.8787878787878788,0.9554746002833434,0.9732847601700061,0.96462074510855,0.45032679738562087,0.7876588021778584,0.7985480943738656,1.177858439201452,1.2123411978221417,0.5662523079194379,0.5428518179700671,0.25,0.015151515151515138,0.3413243974904515,-0.3716274277934818
4,0.9621212121212122,0.9696969696969697,0.9772727272727273,0.8787878787878788,0.985480943738657,0.9927404718693285,0.985480943738657,0.867513611615245,0.9621212121212122,0.9696969696969697,0.9772727272727273,0.8787878787878788,0.9548409168662333,0.9641304347826087,0.9732847601700061,0.45032679738562087,0.8566243194192378,0.8602540834845736,1.558983666061706,1.5807622504537204,0.8006474389990949,0.7829884520027808,0.0,0.007575757575757569,0.26317502476178223,-0.27832653991329737
5,0.9621212121212122,0.9848484848484849,0.9772727272727273,0.8787878787878788,0.9891107078039928,0.9909255898366606,0.9945553539019963,0.867513611615245,0.9621212121212122,0.9848484848484849,0.9772727272727273,0.8787878787878788,0.9548409168662333,0.982310372554275,0.9732847601700061,0.45032679738562087,0.8983666061705989,0.9074410163339383,1.9473684210526316,1.9927404718693285,1.0548039026926324,1.0273186092800153,1.3333333333333333,0.022727272727272707,0.1992816692708509,-0.24473621472539636
6,0.9621212121212122,0.9696969696969697,0.9621212121212122,0.8787878787878788,0.9909255898366606,0.9945553539019963,0.9945553539019963,0.867513611615245,0.9621212121212122,0.9696969696969697,0.9621212121212122,0.8787878787878788,0.9548409168662333,0.9641304347826087,0.9554746002833434,0.45032679738562087,0.9310344827586207,0.9274047186932849,2.32486388384755,2.3883847549909256,1.2915937477225372,1.3300267553285494,0.0,0.007575757575757569,0.18150835809511556,-0.1966598732466307
7,0.9772727272727273,0.9772727272727273,0.9696969696969697,0.8787878787878788,0.9891107078039928,0.9909255898366606,0.9981851179673321,0.867513611615245,0.9772727272727273,0.9772727272727273,0.9696969696969697,0.8787878787878788,0.9732847601700061,0.9736404180256939,0.96462074510855,0.45032679738562087,0.9401088929219601,0.9401088929219601,2.733212341197822,2.807622504537205,1.6263618700042188,1.6188614011926676,0.5,0.0,0.16099892865341867,-0.16099892865341867
8,0.9772727272727273,0.9696969696969697,0.9772727272727273,0.8787878787878788,0.9927404718693285,0.9927404718693285,0.9963702359346642,0.867513611615245,0.9772727272727273,0.9696969696969697,0.9772727272727273,0.8787878787878788,0.9732847601700061,0.9641304347826087,0.9736404180256939,0.45032679738562087,0.9473684210526315,0.9437386569872959,3.1270417422867514,3.192377495462795,1.8677768549907983,2.030573613048615,0.0,-0.007575757575757569,0.14498038056340756,-0.12982886541189242
9,0.9772727272727273,0.9696969696969697,0.9848484848484849,0.8787878787878788,0.9945553539019963,0.9945553539019963,1.0,0.867513611615245,0.9772727272727273,0.9696969696969697,0.9848484848484849,0.8787878787878788,0.9732847601700061,0.96462074510855,0.982310372554275,0.45032679738562087,0.9509981851179673,0.9473684210526315,3.515426497277677,3.5843920145190564,2.1562271664628354,2.4113142858983574,0.0,-0.007575757575757569,0.13136926945229646,-0.1162177543007813
10,0.9772727272727273,0.9772727272727273,0.9848484848484849,0.8787878787878788,0.9945553539019963,0.9963702359346642,1.0,0.867513611615245,0.9772727272727273,0.9772727272727273,0.9848484848484849,0.8787878787878788,0.9732847601700061,0.9732847601700061,0.982310372554275,0.45032679738562087,0.9582577132486388,0.9509981851179673,3.9346642468239565,3.9818511796733214,2.4804298920701484,2.78113884667746,0.0,0.0,0.098,-0.098
