numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9324324324324325,0.9054054054054054,0.9324324324324325,0.8243243243243243,0.9738317757009346,0.9719626168224299,0.9682242990654205,0.8766355140186916,0.9324324324324325,0.9054054054054054,0.9324324324324325,0.8243243243243243,0.9265143992055611,0.8952900747928036,0.9258814102564102,0.4366910866910867,0.44672897196261685,0.4411214953271028,0.4205607476635514,0.4130841121495327,0.16529405651910362,0.16815760977482536,0.5,-0.027027027027027084,1.063381824748827,-1.009327770694773
2,0.918918918918919,0.8986486486486487,0.8783783783783784,0.8243243243243243,0.9775700934579439,0.9588785046728971,0.9738317757009346,0.8766355140186916,0.918918918918919,0.8986486486486488,0.8783783783783784,0.8243243243243243,0.9110576923076923,0.8849919701600788,0.8612500000000001,0.4366910866910867,0.6785046728971963,0.6635514018691588,0.8355140186915888,0.7906542056074767,0.3216687896308412,0.3685000727619455,0.26666666666666666,-0.020270270270270285,0.5616649936017819,-0.5211244530612413
3,0.9459459459459459,0.9527027027027027,0.9662162162162162,0.8243243243243243,0.9850467289719627,0.9850467289719627,0.983177570093458,0.8766355140186916,0.9459459459459459,0.9527027027027027,0.9662162162162162,0.8243243243243243,0.9416863672182822,0.9491733307167738,0.963695236226267,0.4366910866910867,0.794392523364486,0.788785046728972,1.2093457943925234,1.1962616822429906,0.5675849510159956,0.573236192134552,0.0,0.006756756756756799,0.3596545504038087,-0.3731680639173222
4,0.9391891891891891,0.9256756756756757,0.9527027027027027,0.8243243243243243,0.983177570093458,0.983177570093458,0.9906542056074766,0.8766355140186916,0.9391891891891891,0.9256756756756757,0.9527027027027027,0.8243243243243243,0.9335826477187734,0.9181045324211481,0.9487712011076497,0.4366910866910867,0.8579439252336448,0.8411214953271028,1.6,1.5682242990654205,0.7801823941107707,0.8716181185902153,0.1,-0.013513513513513487,0.30044888057241304,-0.27342185354538606
5,0.9391891891891891,0.9662162162162162,0.972972972972973,0.8243243243243243,0.9869158878504672,0.9925233644859813,0.994392523364486,0.8766355140186916,0.9391891891891891,0.9662162162162162,0.972972972972973,0.8243243243243243,0.9341344014241211,0.963963963963964,0.9710654936461387,0.4366910866910867,0.908411214953271,0.8859813084112149,2.0149532710280376,1.9850467289719627,0.9987603767465096,1.1144086255883594,1.5,0.027027027027027084,0.20170310170887143,-0.25575715576292546
6,0.9324324324324325,0.9594594594594594,0.9459459459459459,0.8243243243243243,0.9869158878504672,0.9887850467289719,0.9869158878504672,0.8766355140186916,0.9324324324324325,0.9594594594594594,0.9459459459459459,0.8243243243243243,0.9265143992055611,0.9565982404692082,0.9412115193644488,0.4366910866910867,0.9271028037383178,0.908411214953271,2.411214953271028,2.3738317757009346,1.285479499024733,1.3947823362156306,1.5,0.027027027027026973,0.16903643504220475,-0.2230904890962588
7,0.9527027027027027,0.9662162162162162,0.9662162162162162,0.8243243243243243,0.9869158878504672,0.994392523364486,0.9925233644859813,0.8766355140186916,0.9527027027027027,0.9662162162162162,0.9662162162162162,0.8243243243243243,0.9491733307167738,0.963963963963964,0.9634080007911783,0.4366910866910867,0.9457943925233645,0.9383177570093458,2.805607476635514,2.7813084112149533,1.4910730996113992,1.6701775351753356,0.25,0.013513513513513487,0.15306230370376864,-0.18008933073079567
8,0.9391891891891891,0.9594594594594594,0.9527027027027027,0.8243243243243243,0.9906542056074766,0.994392523364486,0.9962616822429906,0.8766355140186916,0.9391891891891891,0.9594594594594594,0.9527027027027027,0.8243243243243243,0.9341344014241211,0.9565982404692082,0.9491733307167738,0.4366910866910867,0.9476635514018692,0.9532710280373832,3.2130841121495326,3.205607476635514,1.825834699773289,1.9732817708715076,0.8,0.020270270270270285,0.13202205542487389,-0.17256259596541446
9,0.9527027027027027,0.9662162162162162,0.9527027027027027,0.8243243243243243,0.9869158878504672,0.9962616822429906,0.9981308411214953,0.8766355140186916,0.9527027027027027,0.9662162162162162,0.9527027027027027,0.8243243243243243,0.9491733307167738,0.963963963963964,0.9491733307167738,0.4366910866910867,0.9495327102803738,0.9607476635514018,3.601869158878505,3.6093457943925236,2.168187033827137,2.271113578322502,0.25,0.013513513513513487,0.12195119259265752,-0.14897821961968455
10,0.9527027027027027,0.972972972972973,0.9527027027027027,0.8243243243243243,0.9887850467289719,0.9962616822429906,0.9962616822429906,0.8766355140186916,0.9527027027027027,0.972972972972973,0.9527027027027027,0.8243243243243243,0.9487712011076497,0.9710654936461387,0.9483420593368237,0.4366910866910867,0.9514018691588785,0.9588785046728971,3.9981308411214953,4.016822429906542,2.547710942836641,2.6706817334139563,1.3333333333333333,0.020270270270270285,0.10089901299715372,-0.14143955353769427
