numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9545454545454546,0.946969696969697,0.9772727272727273,0.8787878787878788,0.9709618874773139,0.9637023593466425,0.9764065335753176,0.8566243194192378,0.9545454545454546,0.946969696969697,0.9772727272727273,0.8787878787878788,0.9476190476190476,0.9392704567860664,0.9732847601700061,0.44870860659055944,0.41742286751361163,0.42286751361161523,0.38838475499092556,0.38656987295825773,0.16827483963121456,0.18125616088695048,0.0,-0.007575757575757569,1.0268824084147452,-1.01173089326323
2,0.9621212121212122,0.9621212121212122,0.9924242424242424,0.8787878787878788,0.9673321234119783,0.9745916515426497,0.9727767695099818,0.8566243194192378,0.9621212121212122,0.9621212121212122,0.9924242424242424,0.8787878787878788,0.9548409168662334,0.9560673633761565,0.9910949200566687,0.44870860659055944,0.647912885662432,0.6660617059891107,0.8076225045372051,0.7803992740471869,0.3588143682409201,0.37433664213299583,0.16666666666666666,0.0,0.5263712113322351,-0.5263712113322351
3,0.9848484848484849,0.9696969696969697,0.9924242424242424,0.8787878787878788,0.9909255898366606,0.9764065335753176,0.9927404718693285,0.8566243194192378,0.9848484848484849,0.9696969696969697,0.9924242424242424,0.8787878787878788,0.982310372554275,0.9650793650793652,0.9912134726752313,0.44870860659055944,0.7749546279491834,0.7931034482758621,1.1996370235934664,1.1705989110707804,0.5383346455979187,0.6195615453764945,0.5,-0.015151515151515138,0.36297559520036465,-0.3326725648973344
4,0.9848484848484849,0.9621212121212122,0.9696969696969697,0.8787878787878788,0.9891107078039928,0.985480943738657,0.9891107078039928,0.8566243194192378,0.9848484848484849,0.9621212121212122,0.9696969696969697,0.8787878787878788,0.982310372554275,0.9560673633761565,0.9641304347826087,0.44870860659055944,0.8511796733212341,0.8584392014519057,1.6061705989110708,1.5662431941923776,0.7278652769144442,0.8869214719695837,1.3333333333333333,-0.022727272727272707,0.29373621472539635,-0.2482816692708509
5,0.9848484848484849,0.9772727272727273,0.9696969696969697,0.8787878787878788,0.9945553539019963,0.9836660617059891,0.9945553539019963,0.8566243194192378,0.9848484848484849,0.9772727272727273,0.9696969696969697,0.8787878787878788,0.982310372554275,0.9739730529083142,0.96462074510855,0.44870860659055944,0.9147005444646098,0.9056261343012704,2.0054446460980038,1.9818511796733211,0.912180559341438,1.1023012511224226,0.0,-0.007575757575757569,0.2293265399132974,-0.21417502476178227
6,0.9848484848484849,0.9848484848484849,0.9848484848484849,0.8787878787878788,0.9945553539019963,0.9891107078039928,0.9963702359346642,0.8566243194192378,0.9848484848484849,0.9848484848484849,0.9848484848484849,0.8787878787878788,0.982310372554275,0.9825396825396826,0.9820652173913044,0.44870860659055944,0.9364791288566243,0.9165154264972777,2.3720508166969148,2.3720508166969148,1.212573093292918,1.4785713970431718,0.5,0.0,0.184332261986752,-0.184332261986752
7,0.9848484848484849,0.9848484848484849,0.9924242424242424,0.8787878787878788,0.9945553539019963,0.9891107078039928,0.9963702359346642,0.8566243194192378,0.9848484848484849,0.9848484848484849,0.9924242424242424,0.8787878787878788,0.982310372554275,0.9825396825396826,0.9912134726752313,0.44870860659055944,0.9491833030852994,0.9292196007259528,2.7459165154264973,2.7749546279491835,1.49578717172419,1.8366302852929965,0.5,0.0,0.16099892865341867,-0.16099892865341867
8,0.9848484848484849,0.9924242424242424,0.9621212121212122,0.8787878787878788,0.9963702359346642,0.9927404718693285,0.9945553539019963,0.8566243194192378,0.9848484848484849,0.9924242424242424,0.9621212121212122,0.8787878787878788,0.982310372554275,0.9912134726752313,0.9548409168662334,0.44870860659055944,0.9491833030852994,0.9346642468239564,3.1125226860254083,3.147005444646098,1.9163889612695932,2.1588807059513733,0.0,0.007575757575757569,0.12982886541189242,-0.14498038056340756
9,0.9848484848484849,0.9924242424242424,0.9924242424242424,0.8787878787878788,0.9963702359346642,0.9909255898366606,0.9981851179673321,0.8566243194192378,0.9848484848484849,0.9924242424242424,0.9924242424242424,0.8787878787878788,0.982310372554275,0.9912134726752313,0.9910949200566687,0.44870860659055944,0.9546279491833031,0.941923774954628,3.511796733212341,3.509981851179673,2.1667678958172365,2.6871882299386414,0.0,0.007575757575757569,0.1162177543007813,-0.13136926945229646
10,0.9848484848484849,0.9848484848484849,0.9772727272727273,0.8787878787878788,0.9981851179673321,0.9927404718693285,1.0,0.8566243194192378,0.9848484848484849,0.9848484848484849,0.9772727272727273,0.8787878787878788,0.982310372554275,0.982310372554275,0.9732847601700061,0.44870860659055944,0.9546279491833031,0.941923774954628,3.9092558983666064,3.9201451905626135,2.598857885771091,3.0891781934108367,0.5,0.0,0.11899892865341868,-0.11899892865341868
11,0.9848484848484849,0.9848484848484849,0.9848484848484849,0.8787878787878788,0.9963702359346642,0.9909255898366606,1.0,0.8566243194192378,0.9848484848484849,0.9848484848484849,0.9848484848484849,0.8787878787878788,0.982310372554275,0.982310372554275,0.982310372554275,0.44870860659055944,0.9546279491833031,0.9509981851179673,4.281306715063521,4.272232304900181,3.005448420183974,3.617646221281175,0.5,0.0,0.11008983774432776,-0.11008983774432776
12,0.9772727272727273,0.9848484848484849,0.9772727272727273,0.8787878787878788,0.9981851179673321,0.9927404718693285,1.0,0.8566243194192378,0.9772727272727273,0.9848484848484849,0.9772727272727273,0.8787878787878788,0.9732847601700061,0.982310372554275,0.9732847601700061,0.44870860659055944,0.9600725952813067,0.9528130671506352,4.666061705989111,4.6442831215970966,3.3857155662246914,4.001765972481554,0.0,0.007575757575757569,0.08899553207855906,-0.10414704723007423
13,0.9772727272727273,0.9848484848484849,0.9772727272727273,0.8787878787878788,0.9981851179673321,0.9909255898366606,0.9963702359346642,0.8566243194192378,0.9772727272727273,0.9848484848484849,0.9772727272727273,0.8787878787878788,0.9732847601700061,0.982310372554275,0.9732847601700061,0.44870860659055944,0.956442831215971,0.9528130671506352,5.043557168784029,5.043557168784029,3.825611579935648,4.463005346343132,0.0,0.007575757575757569,0.08271348079650781,-0.09786499594802295
