numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9517241379310345,0.9448275862068966,0.9655172413793104,0.8827586206896552,0.9646840148698885,0.9795539033457249,0.9758364312267658,0.8568773234200744,0.9517241379310345,0.9448275862068966,0.9655172413793104,0.8827586206896552,0.9457828107472892,0.9370386452453322,0.9604279242399432,0.45218769816106535,0.40892193308550184,0.41821561338289964,0.3736059479553903,0.39776951672862454,0.1784447071291829,0.15389832409015958,0.0,-0.006896551724137945,1.0226774238573229,-1.008884320409047
2,0.9379310344827586,0.9310344827586207,0.9448275862068966,0.8827586206896552,0.9702602230483272,0.9684014869888475,0.9739776951672863,0.8568773234200744,0.9379310344827586,0.9310344827586207,0.9448275862068966,0.8827586206896552,0.9287702636318977,0.9194444444444445,0.9363197189284146,0.45218769816106535,0.6319702602230484,0.6468401486988847,0.7788104089219331,0.79182156133829,0.37891640255603876,0.35739196548956065,0.0,-0.006896551724137945,0.5374638099458174,-0.5236707064975415
3,0.9655172413793104,0.9724137931034482,0.9586206896551724,0.8827586206896552,0.9814126394052045,0.9888475836431226,0.9944237918215614,0.8568773234200744,0.9655172413793104,0.9724137931034482,0.9586206896551724,0.8827586206896552,0.9612734362480637,0.9688573883161512,0.9532860824742269,0.45218769816106535,0.7732342007434945,0.7936802973977695,1.178438661710037,1.228624535315985,0.624155811621865,0.5141351323869365,0.0,0.006896551724137834,0.3500164235040418,-0.36380952695231766
4,0.9517241379310345,0.9586206896551724,0.9517241379310345,0.8827586206896552,0.9851301115241635,0.9962825278810409,0.9944237918215614,0.8568773234200744,0.9517241379310345,0.9586206896551724,0.9517241379310345,0.8827586206896552,0.9452091767881242,0.9527789839339991,0.9452091767881242,0.45218769816106535,0.8550185873605948,0.8717472118959108,1.5910780669144982,1.6449814126394051,0.8453564565130336,0.6884702828720151,0.0,0.006896551724137945,0.26154289265036,-0.2753359960986359
5,0.9724137931034482,0.9793103448275862,0.9724137931034482,0.8827586206896552,0.9888475836431226,0.9962825278810409,0.9981412639405205,0.8568773234200744,0.9724137931034482,0.9793103448275862,0.9724137931034482,0.8827586206896552,0.9691751700680271,0.9767640617488382,0.9691751700680271,0.45218769816106535,0.8977695167286245,0.9107806691449815,1.9925650557620818,2.074349442379182,1.0875285804084043,0.9578556295961569,0.0,0.006896551724137945,0.21254289265035997,-0.22633599609863586
6,0.9586206896551724,0.9586206896551724,0.9517241379310345,0.8827586206896552,0.9907063197026023,1.0,0.9981412639405205,0.8568773234200744,0.9586206896551724,0.9586206896551724,0.9517241379310345,0.8827586206896552,0.9532860824742269,0.9527789839339991,0.9452091767881242,0.45218769816106535,0.9200743494423792,0.929368029739777,2.3773234200743496,2.475836431226766,1.4100576648703032,1.1390140215931366,0.25,0.0,0.19036781609195402,-0.19036781609195402
7,0.9724137931034482,0.9586206896551724,0.9655172413793104,0.8827586206896552,0.9944237918215614,0.9981412639405205,0.9962825278810409,0.8568773234200744,0.9724137931034482,0.9586206896551724,0.9655172413793104,0.8827586206896552,0.9691751700680271,0.9532860824742269,0.9612734362480637,0.45218769816106535,0.9312267657992565,0.9312267657992565,2.7806691449814127,2.8271375464684017,1.6902457221640417,1.4735850223518094,0.5,-0.013793103448275779,0.1730407543510569,-0.14545454745450517
8,0.9586206896551724,0.9448275862068966,0.9517241379310345,0.8827586206896552,0.9981412639405205,1.0,0.9944237918215614,0.8568773234200744,0.9586206896551724,0.9448275862068966,0.9517241379310345,0.8827586206896552,0.9532860824742269,0.9370386452453322,0.9452091767881242,0.45218769816106535,0.9368029739776952,0.9368029739776952,3.1654275092936803,3.200743494423792,2.0011062727519375,1.8046937873477715,0.25,-0.01379310344827589,0.16342064838489717,-0.13583444148834545
9,0.9586206896551724,0.9724137931034482,0.9655172413793104,0.8827586206896552,0.9944237918215614,0.9981412639405205,0.9981412639405205,0.8568773234200744,0.9586206896551724,0.9724137931034482,0.9655172413793104,0.8827586206896552,0.9532860824742269,0.9691751700680271,0.9612734362480637,0.45218769816106535,0.9442379182156134,0.9516728624535316,3.5446096654275094,3.613382899628253,2.3590672212048482,2.082392171280285,0.5,0.013793103448275779,0.11434343634339408,-0.1419296432399458
10,0.9586206896551724,0.9655172413793104,0.9793103448275862,0.8827586206896552,0.9981412639405205,0.9981412639405205,1.0,0.8568773234200744,0.9586206896551724,0.9655172413793104,0.9793103448275862,0.8827586206896552,0.9532860824742269,0.9612734362480637,0.9769950817071236,0.45218769816106535,0.949814126394052,0.9553903345724907,3.9386617100371746,3.975836431226766,2.653742399621279,2.428204836044934,0.0,0.006896551724137945,0.11454289265035998,-0.12833599609863583
11,0.9586206896551724,0.9655172413793104,0.9655172413793104,0.8827586206896552,0.9981412639405205,0.9981412639405205,0.9981412639405205,0.8568773234200744,0.9586206896551724,0.9655172413793104,0.9655172413793104,0.8827586206896552,0.9532860824742269,0.9612734362480637,0.9612734362480637,0.45218769816106535,0.9516728624535316,0.9553903345724907,4.29368029739777,4.362453531598513,3.0581019090401527,2.8067391191752726,0.0,0.006896551724137945,0.10563380174126907,-0.11942690518954494
