numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9701492537313433,0.9626865671641791,0.9477611940298507,0.8656716417910447,0.9617486338797814,0.970856102003643,0.9726775956284153,0.8652094717668488,0.9701492537313433,0.9626865671641791,0.9477611940298507,0.8656716417910447,0.966541822721598,0.9579436319126232,0.9404330983679431,0.4419047619047619,0.41894353369763204,0.40619307832422585,0.3806921675774135,0.3770491803278688,0.18440992660660868,0.16751239890167058,0.0,-0.007462686567164201,1.0128286520345822,-0.9979032789002539
2,0.9626865671641791,0.9626865671641791,0.9701492537313433,0.8656716417910447,0.9672131147540983,0.970856102003643,0.9690346083788707,0.8652094717668488,0.9626865671641791,0.9626865671641791,0.9701492537313433,0.8656716417910447,0.9579436319126232,0.9579436319126232,0.966541822721598,0.4419047619047619,0.644808743169399,0.6284153005464481,0.7777777777777778,0.7140255009107468,0.38492118104121353,0.3558381663209587,0.25,0.0,0.5192537313432836,-0.5192537313432836
3,0.9701492537313433,0.9776119402985075,0.9626865671641791,0.8656716417910447,0.9781420765027322,0.970856102003643,0.9963570127504554,0.8652094717668488,0.9701492537313433,0.9776119402985075,0.9626865671641791,0.8656716417910447,0.966541822721598,0.975041907245297,0.9579436319126232,0.4419047619047619,0.7668488160291439,0.7704918032786885,1.1402550091074681,1.116575591985428,0.636580230999127,0.5555755070512576,0.0,0.007462686567164201,0.3519350448980506,-0.366860418032379
4,0.9552238805970149,0.9776119402985075,0.9552238805970149,0.8656716417910447,0.97632058287796,0.970856102003643,0.9890710382513661,0.8652094717668488,0.9552238805970149,0.9776119402985075,0.9552238805970149,0.8656716417910447,0.9492424242424242,0.975041907245297,0.948632762586251,0.4419047619047619,0.8214936247723132,0.8415300546448088,1.5191256830601092,1.4990892531876139,0.9423742596533733,0.7966009073062913,0.8,0.022388059701492602,0.25553754508521886,-0.30031366448820396
5,0.9626865671641791,0.9701492537313433,0.9701492537313433,0.8656716417910447,0.9872495446265938,0.970856102003643,0.9963570127504554,0.8652094717668488,0.9626865671641791,0.9701492537313433,0.9701492537313433,0.8656716417910447,0.9579436319126232,0.966541822721598,0.966541822721598,0.4419047619047619,0.8688524590163934,0.8779599271402551,1.8852459016393444,1.9052823315118397,1.2033385696061338,0.9590448511083021,0.0,0.007462686567164201,0.221268378231384,-0.23619375136571236
6,0.9626865671641791,0.9776119402985075,0.9701492537313433,0.8656716417910447,0.9836065573770492,0.970856102003643,0.9908925318761385,0.8652094717668488,0.9626865671641791,0.9776119402985075,0.9701492537313433,0.8656716417910447,0.9579436319126232,0.975041907245297,0.966541822721598,0.4419047619047619,0.9034608378870674,0.9143897996357013,2.278688524590164,2.2950819672131146,1.467897298350939,1.1618871710596423,0.16666666666666666,0.014925373134328401,0.18432533232057724,-0.21417607858923393
7,0.9701492537313433,0.9776119402985075,0.9776119402985075,0.8656716417910447,0.9908925318761385,0.970856102003643,0.9908925318761385,0.8652094717668488,0.9701492537313433,0.9776119402985075,0.9776119402985075,0.8656716417910447,0.966541822721598,0.975041907245297,0.975041907245297,0.4419047619047619,0.9253187613843351,0.9234972677595629,2.6648451730418943,2.6775956284153004,1.8117198404832382,1.480483567449035,0.0,0.007462686567164201,0.16526837823138402,-0.18019375136571236
8,0.9626865671641791,0.9776119402985075,0.9701492537313433,0.8656716417910447,0.994535519125683,0.970856102003643,0.9981785063752276,0.8652094717668488,0.9626865671641791,0.9776119402985075,0.9701492537313433,0.8656716417910447,0.9579436319126232,0.975041907245297,0.966541822721598,0.4419047619047619,0.9398907103825137,0.9398907103825137,3.1001821493624773,3.0564663023679417,2.0544754691909417,1.8150485166507424,0.25,0.014925373134328401,0.1369373110305601,-0.16678805729921678
9,0.9701492537313433,0.9850746268656716,0.9850746268656716,0.8656716417910447,0.994535519125683,0.970856102003643,0.994535519125683,0.8652094717668488,0.9701492537313433,0.9850746268656716,0.9850746268656716,0.8656716417910447,0.966541822721598,0.9834486166007905,0.9834486166007905,0.4419047619047619,0.9453551912568307,0.941712204007286,3.493624772313297,3.4608378870673953,2.3706354365398714,2.2078092691010767,0.5,0.01492537313432829,0.1148028253068102,-0.1446535715754669
10,0.9701492537313433,0.9850746268656716,0.9701492537313433,0.8656716417910447,0.9981785063752276,0.970856102003643,0.9981785063752276,0.8652094717668488,0.9701492537313433,0.9850746268656716,0.9701492537313433,0.8656716417910447,0.966541822721598,0.9834486166007905,0.966541822721598,0.4419047619047619,0.9508196721311475,0.9453551912568307,3.877959927140255,3.8342440801457194,2.6991524431645857,2.663961420961119,0.5,0.01492537313432829,0.1039139364179213,-0.133764682686578
11,0.9701492537313433,0.9850746268656716,0.9626865671641791,0.8656716417910447,0.9981785063752276,0.970856102003643,0.9981785063752276,0.8652094717668488,0.9701492537313433,0.9850746268656716,0.9626865671641791,0.8656716417910447,0.966541822721598,0.9834486166007905,0.9579436319126232,0.4419047619047619,0.9526411657559198,0.9508196721311475,4.24408014571949,4.231329690346084,3.041621760539967,2.9902634206680663,0.5,0.01492537313432829,0.09500484550883039,-0.1248555917774871
12,0.9701492537313433,0.9850746268656716,0.9552238805970149,0.8656716417910447,0.9981785063752276,0.970856102003643,1.0,0.8652094717668488,0.9701492537313433,0.9850746268656716,0.9552238805970149,0.8656716417910447,0.966541822721598,0.9834486166007905,0.9492424242424242,0.4419047619047619,0.9526411657559198,0.9544626593806922,4.632058287795993,4.581056466302368,3.562917920316693,3.4322957133729854,0.5,0.01492537313432829,0.08758060308458795,-0.11743134935324467
13,0.9701492537313433,0.9925373134328358,0.9626865671641791,0.8656716417910447,0.9981785063752276,0.970856102003643,0.9981785063752276,0.8652094717668488,0.9701492537313433,0.9925373134328358,0.9626865671641791,0.8656716417910447,0.966541822721598,0.9917665130568356,0.9579436319126232,0.4419047619047619,0.9562841530054644,0.9599271402550091,5.020036429872495,4.972677595628415,3.8732117438014146,3.868285923761042,1.3333333333333333,0.02238805970149249,0.07861305528432147,-0.12338917468730654
14,0.9626865671641791,0.9925373134328358,0.9701492537313433,0.8656716417910447,0.9981785063752276,0.970856102003643,0.994535519125683,0.8652094717668488,0.9626865671641791,0.9925373134328358,0.9701492537313433,0.8656716417910447,0.9579436319126232,0.9917665130568356,0.966541822721598,0.4419047619047619,0.9562841530054644,0.9617486338797814,5.406193078324226,5.371584699453552,4.321881239450376,4.238149663094471,2.25,0.02985074626865669,0.06983639729472646,-0.12953788983203987
15,0.9626865671641791,0.9925373134328358,0.9701492537313433,0.8656716417910447,0.9981785063752276,0.970856102003643,0.9981785063752276,0.8652094717668488,0.9626865671641791,0.9925373134328358,0.9701492537313433,0.8656716417910447,0.9579436319126232,0.9917665130568356,0.966541822721598,0.4419047619047619,0.9526411657559198,0.9617486338797814,5.795992714025501,5.783242258652095,4.685728575056951,4.553447075034421,2.25,0.02985074626865669,0.06516973062805978,-0.12487122316537322
16,0.9626865671641791,0.9925373134328358,0.9701492537313433,0.8656716417910447,0.9981785063752276,0.970856102003643,1.0,0.8652094717668488,0.9626865671641791,0.9925373134328358,0.9701492537313433,0.8656716417910447,0.9579436319126232,0.9917665130568356,0.966541822721598,0.4419047619047619,0.9508196721311475,0.9599271402550091,6.193078324225866,6.156648451730419,5.048326061144433,4.933746253282796,2.25,0.02985074626865669,0.06108639729472646,-0.12078788983203989
17,0.9626865671641791,0.9925373134328358,0.9701492537313433,0.8656716417910447,0.9981785063752276,0.970856102003643,1.0,0.8652094717668488,0.9626865671641791,0.9925373134328358,0.9701492537313433,0.8656716417910447,0.9579436319126232,0.9917665130568356,0.966541822721598,0.4419047619047619,0.9526411657559198,0.9599271402550091,6.617486338797814,6.551912568306011,5.4540364259315774,5.2083454887505996,2.25,0.02985074626865669,0.05748345611825587,-0.1171849486555693
18,0.9626865671641791,0.9776119402985075,0.9776119402985075,0.8656716417910447,0.9981785063752276,0.970856102003643,0.9981785063752276,0.8652094717668488,0.9626865671641791,0.9776119402985075,0.9776119402985075,0.8656716417910447,0.9579436319126232,0.975041907245297,0.975041907245297,0.4419047619047619,0.9562841530054644,0.9635701275045537,7.005464480874317,6.961748633879782,5.934896603138148,5.519447846221844,0.5,0.014925373134328401,0.06035838086236574,-0.09020912713102246
19,0.9626865671641791,0.9850746268656716,0.9850746268656716,0.8656716417910447,0.9981785063752276,0.970856102003643,0.9963570127504554,0.8652094717668488,0.9626865671641791,0.9850746268656716,0.9850746268656716,0.8656716417910447,0.9579436319126232,0.9834486166007905,0.9834486166007905,0.4419047619047619,0.9599271402550091,0.9599271402550091,7.39344262295082,7.347905282331512,6.508200220095232,6.12570230015864,1.3333333333333333,0.02238805970149249,0.05480738726812713,-0.0995835066711122
20,0.9626865671641791,0.9850746268656716,0.9701492537313433,0.8656716417910447,0.9981785063752276,0.970856102003643,0.9981785063752276,0.8652094717668488,0.9626865671641791,0.9850746268656716,0.9701492537313433,0.8656716417910447,0.9579436319126232,0.9834486166007905,0.966541822721598,0.4419047619047619,0.9599271402550091,0.9581056466302368,7.790528233151184,7.730418943533698,7.161265014206603,6.771468787566314,1.3333333333333333,0.02238805970149249,0.05222843989970609,-0.09700455930269115
21,0.9626865671641791,0.9850746268656716,0.9776119402985075,0.8656716417910447,0.9981785063752276,0.970856102003643,0.9981785063752276,0.8652094717668488,0.9626865671641791,0.9850746268656716,0.9776119402985075,0.8656716417910447,0.9579436319126232,0.9834486166007905,0.975041907245297,0.4419047619047619,0.9599271402550091,0.9617486338797814,8.200364298724955,8.162112932604735,7.588802798263228,7.002322044788977,1.3333333333333333,0.02238805970149249,0.04989510656637275,-0.09467122596935781
