numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9758064516129032,0.9516129032258065,0.967741935483871,0.9193548387096774,0.9731663685152058,0.9660107334525939,0.9946332737030411,0.8479427549194991,0.9758064516129032,0.9516129032258065,0.967741935483871,0.9193548387096774,0.9724994455533378,0.9438914027149321,0.9630952380952382,0.4669512195121951,0.4293381037567084,0.41681574239713776,0.40250447227191416,0.3828264758497317,0.16539452291306314,0.17677055846056736,0.5714285714285714,-0.024193548387096753,1.046229737801729,-0.9978426410275354
2,0.9758064516129032,0.9354838709677419,0.9596774193548387,0.9193548387096774,0.964221824686941,0.9588550983899821,0.9731663685152058,0.8479427549194991,0.9758064516129032,0.9354838709677419,0.9596774193548389,0.9193548387096774,0.9724994455533378,0.9241126070991432,0.9535615309714628,0.4669512195121951,0.6601073345259392,0.6511627906976745,0.8014311270125224,0.7674418604651163,0.3587791922662602,0.35230894340061136,1.7777777777777777,-0.040322580645161366,0.5782701245852865,-0.4976249632949639
3,0.9919354838709677,0.967741935483871,0.967741935483871,0.9193548387096774,0.9874776386404294,0.9946332737030411,0.9910554561717353,0.8479427549194991,0.9919354838709677,0.967741935483871,0.967741935483871,0.9193548387096774,0.9909456005841548,0.9630952380952382,0.9630952380952382,0.4669512195121951,0.778175313059034,0.7710196779964222,1.184257602862254,1.1753130590339893,0.5644679943846114,0.5332508038384732,1.3333333333333333,-0.024193548387096753,0.3785669934687764,-0.3301798966945829
4,0.9838709677419355,0.9596774193548387,0.9596774193548387,0.9193548387096774,0.9856887298747764,0.9910554561717353,0.9946332737030411,0.8479427549194991,0.9838709677419355,0.9596774193548389,0.9596774193548389,0.9193548387096774,0.9817807816632382,0.9535615309714628,0.9535615309714628,0.4669512195121951,0.8354203935599285,0.855098389982111,1.5635062611806798,1.5813953488372092,0.8577052348980798,0.7243245872903441,1.3333333333333333,-0.024193548387096753,0.29690032680210976,-0.24851323002791623
5,0.9838709677419355,0.967741935483871,0.9838709677419355,0.9193548387096774,0.9892665474060823,0.9964221824686941,0.9910554561717353,0.8479427549194991,0.9838709677419355,0.967741935483871,0.9838709677419355,0.9193548387096774,0.9817807816632382,0.9630952380952382,0.9817807816632382,0.4669512195121951,0.8908765652951699,0.8998211091234347,1.9695885509838997,1.9534883720930232,1.1148571680004593,0.9838441058350337,0.5,-0.016129032258064502,0.23466228116348042,-0.20240421664735136
6,0.9758064516129032,0.967741935483871,0.9758064516129032,0.9193548387096774,0.9910554561717353,0.998211091234347,0.9946332737030411,0.8479427549194991,0.9758064516129032,0.967741935483871,0.9758064516129032,0.9193548387096774,0.9724994455533378,0.9630952380952382,0.9724994455533378,0.4669512195121951,0.9230769230769231,0.924865831842576,2.370304114490161,2.3506261180679786,1.37755219963547,1.239773143833723,0.0,-0.008064516129032251,0.187267908783423,-0.1711388765253585
7,0.9758064516129032,0.967741935483871,0.9758064516129032,0.9193548387096774,0.9874776386404294,0.998211091234347,0.9892665474060823,0.8479427549194991,0.9758064516129032,0.967741935483871,0.9758064516129032,0.9193548387096774,0.9724994455533378,0.9630952380952382,0.9724994455533378,0.4669512195121951,0.9373881932021467,0.9302325581395349,2.7656529516994635,2.7656529516994635,1.7121246563134942,1.5478526314454966,0.0,-0.008064516129032251,0.16393457545008966,-0.14780554319202516
8,0.9758064516129032,0.967741935483871,0.9758064516129032,0.9193548387096774,0.9856887298747764,0.9964221824686941,1.0,0.8479427549194991,0.9758064516129032,0.967741935483871,0.9758064516129032,0.9193548387096774,0.9724994455533378,0.9630952380952382,0.9724994455533378,0.4669512195121951,0.9427549194991055,0.9409660107334525,3.1663685152057246,3.1663685152057246,2.028339963759577,1.8976368345770078,0.0,-0.008064516129032251,0.14643457545008967,-0.13030554319202517
9,0.9758064516129032,0.967741935483871,0.967741935483871,0.9193548387096774,0.9910554561717353,1.0,0.9928443649373881,0.8479427549194991,0.9758064516129032,0.967741935483871,0.967741935483871,0.9193548387096774,0.9724994455533378,0.9630952380952382,0.9630952380952382,0.4669512195121951,0.9481216457960644,0.9481216457960644,3.5384615384615383,3.559928443649374,2.3778435186417743,2.1805535222374672,0.0,-0.008064516129032251,0.13282346433897857,-0.11669443208091404
10,0.9758064516129032,0.9596774193548387,0.9758064516129032,0.9193548387096774,0.9874776386404294,1.0,0.998211091234347,0.8479427549194991,0.9758064516129032,0.9596774193548389,0.9758064516129032,0.9193548387096774,0.9724994455533378,0.9535615309714628,0.9724994455533378,0.4669512195121951,0.9499105545617174,0.9516994633273703,3.9463327370304113,3.9499105545617175,2.732932835312011,2.5205318895784807,0.5,-0.016129032258064502,0.1366622811634804,-0.10440421664735137
11,0.9758064516129032,0.967741935483871,0.9758064516129032,0.9193548387096774,0.9928443649373881,1.0,0.998211091234347,0.8479427549194991,0.9758064516129032,0.967741935483871,0.9758064516129032,0.9193548387096774,0.9724994455533378,0.9630952380952382,0.9724994455533378,0.4669512195121951,0.9516994633273703,0.9463327370304114,4.341681574239714,4.316636851520572,3.200687350771068,2.9846707492901023,0.0,-0.008064516129032251,0.11302548454099878,-0.09689645228293425
12,0.9758064516129032,0.967741935483871,0.967741935483871,0.9193548387096774,0.9928443649373881,0.998211091234347,1.0,0.8479427549194991,0.9758064516129032,0.967741935483871,0.967741935483871,0.9193548387096774,0.9724994455533378,0.9630952380952382,0.9630952380952382,0.4669512195121951,0.9516994633273703,0.9499105545617174,4.726296958855098,4.677996422182469,3.7049903043160586,3.357745872753786,0.0,-0.008064516129032251,0.10560124211675637,-0.08947220985869184
13,0.9758064516129032,0.967741935483871,0.9758064516129032,0.9193548387096774,0.9964221824686941,0.998211091234347,0.998211091234347,0.8479427549194991,0.9758064516129032,0.967741935483871,0.9758064516129032,0.9193548387096774,0.9724994455533378,0.9630952380952382,0.9724994455533378,0.4669512195121951,0.9534883720930233,0.9516994633273703,5.089445438282648,5.080500894454383,4.196379162880248,3.736493212319711,0.0,-0.008064516129032251,0.09931919083470508,-0.08319015857664055
14,0.9758064516129032,0.967741935483871,0.9758064516129032,0.9193548387096774,0.9964221824686941,0.9964221824686941,1.0,0.8479427549194991,0.9758064516129032,0.967741935483871,0.9758064516129032,0.9193548387096774,0.9724994455533378,0.9630952380952382,0.9724994455533378,0.4669512195121951,0.9516994633273703,0.9552772808586762,5.4973166368515205,5.490161001788909,4.647003840477719,4.103310666161833,0.0,-0.008064516129032251,0.09393457545008968,-0.07780554319202518
15,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9193548387096774,0.9964221824686941,1.0,1.0,0.8479427549194991,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9193548387096774,0.9724994455533378,0.9724994455533378,0.9724994455533378,0.4669512195121951,0.9516994633273703,0.9588550983899821,5.912343470483005,5.869409660107334,5.134425526134911,4.480059846157107,0.0,0.0,0.06533333333333333,-0.06533333333333333
16,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9193548387096774,0.9946332737030411,0.998211091234347,0.998211091234347,0.8479427549194991,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9193548387096774,0.9724994455533378,0.9724994455533378,0.9724994455533378,0.4669512195121951,0.9481216457960644,0.9588550983899821,6.316636851520572,6.254025044722719,5.571008730470647,4.987306710027264,0.0,0.0,0.06125,-0.06125
17,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9193548387096774,0.9964221824686941,1.0,0.9964221824686941,0.8479427549194991,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9193548387096774,0.9724994455533378,0.9724994455533378,0.9724994455533378,0.4669512195121951,0.9499105545617174,0.9570661896243292,6.715563506261181,6.618962432915922,6.141878629816487,5.570252463221054,0.0,0.0,0.05764705882352941,-0.05764705882352941
18,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9193548387096774,0.998211091234347,1.0,1.0,0.8479427549194991,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9193548387096774,0.9724994455533378,0.9724994455533378,0.9724994455533378,0.4669512195121951,0.9552772808586762,0.9552772808586762,7.1449016100178895,6.985688729874776,6.675069867323435,6.196958985884315,0.0,0.0,0.05444444444444444,-0.05444444444444444
19,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9193548387096774,0.998211091234347,1.0,1.0,0.8479427549194991,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9193548387096774,0.9724994455533378,0.9724994455533378,0.9724994455533378,0.4669512195121951,0.9588550983899821,0.9588550983899821,7.529516994633274,7.389982110912343,7.220082703524617,6.636553685546972,0.0,0.0,0.05157894736842105,-0.05157894736842105
20,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9193548387096774,0.998211091234347,1.0,1.0,0.8479427549194991,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9193548387096774,0.9724994455533378,0.9724994455533378,0.9724994455533378,0.4669512195121951,0.9570661896243292,0.9588550983899821,7.935599284436494,7.790697674418604,7.74681615837761,7.068188210512305,0.0,0.0,0.049,-0.049
21,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9193548387096774,0.998211091234347,0.998211091234347,1.0,0.8479427549194991,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9193548387096774,0.9724994455533378,0.9724994455533378,0.9724994455533378,0.4669512195121951,0.9570661896243292,0.9588550983899821,8.330948121645797,8.207513416815742,8.473973849604851,7.5727541614307,0.0,0.0,0.04666666666666666,-0.04666666666666666
22,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9193548387096774,0.998211091234347,1.0,1.0,0.8479427549194991,0.9758064516129032,0.9758064516129032,0.9758064516129032,0.9193548387096774,0.9724994455533378,0.9724994455533378,0.9724994455533378,0.4669512195121951,0.9570661896243292,0.9588550983899821,8.735241502683364,8.590339892665474,9.252610506250157,8.129417524647566,0.0,0.0,0.04454545454545455,-0.04454545454545455
