numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.925,0.95625,0.9625,0.825,0.9636711281070746,0.9789674952198852,0.9847036328871893,0.875717017208413,0.925,0.95625,0.9625000000000001,0.825,0.9210006583278473,0.9531752999707345,0.9602583209140587,0.43652480431289203,0.4091778202676864,0.4168260038240918,0.372848948374761,0.39579349904397704,0.18024411054133316,0.15475626632243694,1.0666666666666667,0.03125,0.9964405102260923,-1.0589405102260923
2,0.94375,0.89375,0.89375,0.825,0.9655831739961759,0.9732313575525813,0.9770554493307839,0.875717017208413,0.94375,0.89375,0.89375,0.825,0.9393709738537325,0.8817339884342797,0.8817339884342797,0.43652480431289203,0.638623326959847,0.6692160611854685,0.7552581261950286,0.7954110898661568,0.3528600584104761,0.326711115135827,3.5,-0.04999999999999993,0.5864854816044752,-0.48648548160447513
3,0.95,0.94375,0.975,0.825,0.9866156787762906,0.9847036328871893,0.9904397705544933,0.875717017208413,0.9500000000000001,0.94375,0.975,0.825,0.9473337722185649,0.9397968142480873,0.973505547276039,0.43652480431289203,0.7667304015296367,0.8107074569789675,1.1567877629063097,1.1739961759082218,0.5342949724915234,0.512587948287018,0.0,-0.006249999999999978,0.373556860940624,-0.36105686094062406
4,0.95625,0.9375,0.93125,0.825,0.982791586998088,0.9847036328871893,0.9789674952198852,0.875717017208413,0.95625,0.9375,0.93125,0.825,0.9534864404667968,0.9328746433965431,0.9253446447507954,0.43652480431289203,0.8451242829827916,0.8604206500956023,1.5717017208413002,1.5774378585086042,0.7306169216015459,0.7180442186345598,0.4444444444444444,-0.018750000000000044,0.30061466486522015,-0.26311466486522017
5,0.975,0.9625,0.95625,0.825,0.994263862332696,0.9904397705544933,0.9961759082217974,0.875717017208413,0.975,0.9625000000000001,0.95625,0.825,0.9736668861092824,0.9602583209140587,0.9534864404667968,0.43652480431289203,0.8891013384321224,0.904397705544933,1.965583173996176,1.9694072657743786,0.9716014926421181,0.9563768174311216,0.5,-0.012499999999999956,0.2259320556016782,-0.20093205560167818
6,0.9625,0.9625,0.9625,0.825,0.994263862332696,0.9904397705544933,0.9904397705544933,0.875717017208413,0.9625000000000001,0.9625000000000001,0.9625000000000001,0.825,0.9602583209140587,0.9602583209140587,0.9602583209140587,0.43652480431289203,0.9082217973231358,0.9235181644359465,2.3862332695984705,2.35755258126195,1.2108093445232364,1.275132274683566,0.25,0.0,0.18783333333333332,-0.18783333333333332
7,0.96875,0.96875,0.95,0.825,0.9923518164435946,0.9923518164435946,0.9961759082217974,0.875717017208413,0.96875,0.96875,0.9500000000000001,0.825,0.9669844414180182,0.9669844414180182,0.9470110945520781,0.43652480431289203,0.9216061185468452,0.9426386233269598,2.7609942638623326,2.7552581261950286,1.5084424902431077,1.5318510513501604,0.25,0.0,0.16449999999999998,-0.16449999999999998
8,0.9625,0.96875,0.95,0.825,0.994263862332696,0.994263862332696,0.9961759082217974,0.875717017208413,0.9625000000000001,0.96875,0.9500000000000001,0.825,0.9602583209140587,0.9669844414180182,0.9466666666666667,0.43652480431289203,0.9311663479923518,0.9483747609942639,3.1663479923518163,3.135755258126195,1.8465837664555083,1.7974370889796938,0.0,0.006249999999999978,0.14365894727319894,-0.15615894727319896
9,0.975,0.96875,0.95,0.825,0.9980879541108987,0.9923518164435946,0.988527724665392,0.875717017208413,0.975,0.96875,0.9500000000000001,0.825,0.9736668861092824,0.9669844414180182,0.9466666666666667,0.43652480431289203,0.9426386233269598,0.9502868068833652,3.5736137667304013,3.552581261950287,2.1050382563357575,2.1152483384890703,0.0,-0.006249999999999978,0.1363786014722785,-0.1238786014722785
10,0.95625,0.96875,0.94375,0.825,0.994263862332696,0.994263862332696,0.9980879541108987,0.875717017208413,0.95625,0.96875,0.94375,0.825,0.9534864404667968,0.9669844414180182,0.9397968142480873,0.43652480431289203,0.9426386233269598,0.9579349904397706,3.9655831739961758,3.9445506692160612,2.5307535620866477,2.46183835786606,0.16666666666666666,0.012499999999999956,0.11556869738615229,-0.1405686973861523
11,0.9625,0.975,0.96875,0.825,0.9961759082217974,0.994263862332696,0.9980879541108987,0.875717017208413,0.9625000000000001,0.975,0.96875,0.825,0.9602583209140587,0.9736668861092824,0.9669844414180182,0.43652480431289203,0.9502868068833652,0.9579349904397706,4.361376673040153,4.32887189292543,2.950047527363718,2.9125696620888473,0.25,0.012499999999999956,0.10116735233438923,-0.12616735233438922
12,0.95625,0.975,0.95625,0.825,0.9961759082217974,0.9923518164435946,0.9961759082217974,0.875717017208413,0.95625,0.975,0.95625,0.825,0.9534864404667968,0.9736668861092824,0.9534864404667968,0.43652480431289203,0.9502868068833652,0.9579349904397706,4.75717017208413,4.711281070745698,3.346088058024055,3.442526748568311,0.8,0.018749999999999933,0.09046214752333351,-0.1279621475233335
13,0.9625,0.975,0.96875,0.825,0.994263862332696,0.994263862332696,0.9980879541108987,0.875717017208413,0.9625000000000001,0.975,0.96875,0.825,0.9602583209140587,0.9736668861092824,0.9667760289048548,0.43652480431289203,0.9521988527724665,0.9579349904397706,5.1586998087954115,5.118546845124283,3.7462439912825443,3.9667648173304433,0.25,0.012499999999999956,0.08746105862809553,-0.11246105862809552
14,0.95625,0.96875,0.96875,0.825,0.994263862332696,0.9961759082217974,1.0,0.875717017208413,0.95625,0.96875,0.96875,0.825,0.9534864404667968,0.9669844414180182,0.9669844414180182,0.43652480431289203,0.9541108986615678,0.9579349904397706,5.5544933078393885,5.546845124282982,4.122767420849063,4.379145486909113,0.25,0.012499999999999956,0.08207644324348014,-0.10707644324348013
15,0.9625,0.96875,0.95625,0.825,0.994263862332696,0.9961759082217974,0.9980879541108987,0.875717017208413,0.9625000000000001,0.96875,0.95625,0.825,0.9602583209140587,0.9669844414180182,0.9534864404667968,0.43652480431289203,0.9579349904397706,0.9598470363288719,5.952198852772467,5.934990439770554,4.462616138912603,4.87677985791223,0.0,0.006249999999999978,0.08032304591672296,-0.09282304591672297
16,0.9625,0.96875,0.9875,0.825,0.9961759082217974,0.9980879541108987,0.9980879541108987,0.875717017208413,0.9625000000000001,0.96875,0.9875,0.825,0.9602583209140587,0.9669844414180182,0.9869088528882344,0.43652480431289203,0.9579349904397706,0.9579349904397706,6.338432122370937,6.336520076481835,4.9826669339000285,5.439389086385767,0.0,0.006249999999999978,0.07623971258338963,-0.08873971258338964
17,0.95625,0.975,0.95625,0.825,0.9961759082217974,0.9961759082217974,1.0,0.875717017208413,0.95625,0.975,0.95625,0.825,0.9537782179852254,0.9736668861092824,0.9534864404667968,0.43652480431289203,0.9579349904397706,0.9598470363288719,6.762906309751434,6.741873804971319,5.393793256261573,5.92363739422839,0.8,0.018749999999999933,0.06644253968019626,-0.10394253968019626
18,0.95625,0.95625,0.96875,0.825,0.9961759082217974,0.9961759082217974,0.9980879541108987,0.875717017208413,0.95625,0.95625,0.96875,0.825,0.9537782179852254,0.9534864404667968,0.9669844414180182,0.43652480431289203,0.9617590822179732,0.9598470363288719,7.160611854684513,7.135755258126195,5.937978597750154,6.446182192455395,0.5,0.0,0.07176856058351484,-0.07176856058351484
19,0.95625,0.975,0.975,0.825,0.9961759082217974,0.9961759082217974,0.9961759082217974,0.875717017208413,0.95625,0.975,0.975,0.825,0.9537782179852254,0.9736668861092824,0.9736668861092824,0.43652480431289203,0.9617590822179732,0.9636711281070746,7.552581261950287,7.569789674952199,6.5255896526898205,6.876407008052194,0.8,0.018749999999999933,0.06037442822508791,-0.0978744282250879
20,0.95625,0.9625,0.95625,0.825,0.9961759082217974,0.9980879541108987,0.9980879541108987,0.875717017208413,0.95625,0.9625000000000001,0.95625,0.825,0.9534864404667968,0.9602583209140587,0.9534864404667968,0.43652480431289203,0.9617590822179732,0.9636711281070746,7.934990439770554,7.988527724665392,7.012126151622889,7.3159499646993655,0.0,0.006249999999999978,0.06398971258338965,-0.07648971258338963
21,0.95625,0.9625,0.975,0.825,0.9980879541108987,0.9980879541108987,0.9980879541108987,0.875717017208413,0.95625,0.9625000000000001,0.975,0.825,0.9534864404667968,0.9602583209140587,0.9736668861092824,0.43652480431289203,0.9636711281070746,0.9636711281070746,8.315487571701722,8.38623326959847,7.72808461804737,7.77712862412401,0.0,0.006249999999999978,0.0616563792500563,-0.0741563792500563
22,0.95,0.95625,0.975,0.825,0.9980879541108987,0.9980879541108987,0.9980879541108987,0.875717017208413,0.9500000000000001,0.95625,0.975,0.825,0.9466666666666667,0.9534864404667968,0.9736668861092824,0.43652480431289203,0.9617590822179732,0.9636711281070746,8.732313575525813,8.766730401529637,8.139134807680017,8.255816621522115,0.0,0.006250000000000089,0.05953516712884417,-0.07203516712884418
