numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9682539682539683,0.9126984126984127,0.9126984126984127,0.8571428571428571,0.9766606822262118,0.9766606822262118,0.9820466786355476,0.8725314183123878,0.9682539682539683,0.9126984126984127,0.9126984126984127,0.8571428571428571,0.9657608695652173,0.9044599159026677,0.9053989488772097,0.44516129032258067,0.43447037701974867,0.4362657091561939,0.4111310592459605,0.4129263913824057,0.1598588619112506,0.15997035818212224,4.0,-0.05555555555555558,1.0832197904355376,-0.9721086793244265
2,0.9523809523809523,0.8968253968253969,0.9047619047619048,0.8571428571428571,0.9766606822262118,0.9730700179533214,0.9587073608617595,0.8725314183123878,0.9523809523809523,0.8968253968253969,0.9047619047619048,0.8571428571428571,0.9481481481481482,0.8846072560760831,0.8928571428571428,0.44516129032258067,0.6696588868940754,0.6624775583482945,0.829443447037702,0.8168761220825853,0.3277398261777621,0.34379865070131144,4.0,-0.05555555555555547,0.5932197904355377,-0.4821086793244266
3,0.9523809523809523,0.9285714285714286,0.9444444444444444,0.8571428571428571,0.9910233393177738,0.9892280071813285,0.9892280071813285,0.8725314183123878,0.9523809523809523,0.9285714285714286,0.9444444444444444,0.8571428571428571,0.9486413043478261,0.9233110164333536,0.9397993311036789,0.44516129032258067,0.8186714542190305,0.7809694793536804,1.2477558348294435,1.2136445242369838,0.4931088137714545,0.5389046481973155,0.4444444444444444,-0.023809523809523725,0.39732767634798605,-0.3497086287289385
4,0.9523809523809523,0.9285714285714286,0.9523809523809523,0.8571428571428571,0.9910233393177738,0.9874326750448833,0.9964093357271095,0.8725314183123878,0.9523809523809523,0.9285714285714286,0.9523809523809523,0.8571428571428571,0.9481481481481482,0.9218308402840008,0.9490977646108267,0.44516129032258067,0.874326750448833,0.8653500897666068,1.6606822262118492,1.637342908438061,0.6926348049133042,0.7324804990264302,0.8,-0.023809523809523725,0.30384037441048917,-0.2562213267914416
5,0.9761904761904762,0.9444444444444444,0.9523809523809523,0.8571428571428571,0.992818671454219,0.9964093357271095,0.992818671454219,0.8725314183123878,0.9761904761904762,0.9444444444444444,0.9523809523809523,0.8571428571428571,0.9744370054777846,0.9397993311036789,0.9490977646108267,0.44516129032258067,0.9102333931777379,0.9066427289048474,2.0556552962298027,2.023339317773788,0.964387753921657,0.9294485710603643,2.25,-0.031746031746031744,0.2593471117574414,-0.19585504826537795
6,0.9523809523809523,0.9444444444444444,0.9365079365079365,0.8571428571428571,0.9946140035906643,0.9910233393177738,0.9946140035906643,0.8725314183123878,0.9523809523809523,0.9444444444444444,0.9365079365079365,0.8571428571428571,0.9481481481481482,0.9397993311036789,0.9308641975308642,0.44516129032258067,0.9371633752244165,0.9228007181328546,2.481149012567325,2.4183123877917416,1.2184172360701497,1.170688492111864,0.0,-0.007936507936507908,0.19824846919795136,-0.1823754533249355
7,0.9682539682539683,0.9523809523809523,0.9444444444444444,0.8571428571428571,0.9982046678635548,0.9946140035906643,0.9964093357271095,0.8725314183123878,0.9682539682539683,0.9523809523809523,0.9444444444444444,0.8571428571428571,0.9660651764072179,0.9486413043478261,0.9403530127814973,0.44516129032258067,0.947935368043088,0.9461400359066428,2.881508078994614,2.81508078994614,1.408340718132334,1.4003539529079183,0.25,-0.015873015873015928,0.18710733978754626,-0.15536130804151452
8,0.9523809523809523,0.9444444444444444,0.9444444444444444,0.8571428571428571,0.9982046678635548,0.9946140035906643,0.9964093357271095,0.8725314183123878,0.9523809523809523,0.9444444444444444,0.9444444444444444,0.8571428571428571,0.9486413043478261,0.9397993311036789,0.9397993311036789,0.44516129032258067,0.9622980251346499,0.9551166965888689,3.258527827648115,3.2100538599640935,1.6855975256775935,1.7271194447718645,0.0,-0.007936507936507908,0.15741513586461803,-0.14154211999160216
9,0.9523809523809523,0.9523809523809523,0.9603174603174603,0.8571428571428571,0.9946140035906643,0.992818671454219,0.9982046678635548,0.8725314183123878,0.9523809523809523,0.9523809523809523,0.9603174603174603,0.8571428571428571,0.9490977646108267,0.9486413043478261,0.9577606436473349,0.44516129032258067,0.9694793536804309,0.9605026929982047,3.673249551166966,3.6122082585278275,1.9781402521014955,2.0958599947480714,0.25,0.0,0.13999999999999999,-0.13999999999999999
10,0.9523809523809523,0.9523809523809523,0.9603174603174603,0.8571428571428571,0.9964093357271095,0.9964093357271095,0.9946140035906643,0.8725314183123878,0.9523809523809523,0.9523809523809523,0.9603174603174603,0.8571428571428571,0.9486413043478261,0.9486413043478261,0.9573950091296409,0.44516129032258067,0.9676840215439856,0.9640933572710951,4.070017953321364,4.03770197486535,2.396444451629101,2.428076522192388,0.25,0.0,0.12911111111111112,-0.12911111111111112
11,0.9603174603174603,0.9523809523809523,0.9523809523809523,0.8571428571428571,0.9964093357271095,0.9964093357271095,0.9964093357271095,0.8725314183123878,0.9603174603174603,0.9523809523809523,0.9523809523809523,0.8571428571428571,0.9573950091296409,0.9486413043478261,0.9490977646108267,0.44516129032258067,0.9694793536804309,0.9640933572710951,4.459605026929982,4.430879712746858,2.645844097876099,2.8191289274974256,0.0,-0.00793650793650802,0.12400604495552713,-0.10813302908251125
12,0.9603174603174603,0.9523809523809523,0.9682539682539683,0.8571428571428571,0.9964093357271095,0.9982046678635548,0.9964093357271095,0.8725314183123878,0.9603174603174603,0.9523809523809523,0.9682539682539683,0.8571428571428571,0.9573950091296409,0.9486413043478261,0.9660651764072179,0.44516129032258067,0.9694793536804309,0.9640933572710951,4.85278276481149,4.838420107719928,2.9815951356225723,3.112782699533022,0.0,-0.00793650793650802,0.11658180253128468,-0.10070878665826881
13,0.9603174603174603,0.9603174603174603,0.9682539682539683,0.8571428571428571,0.9964093357271095,0.9946140035906643,0.9982046678635548,0.8725314183123878,0.9603174603174603,0.9603174603174603,0.9682539682539683,0.8571428571428571,0.9573950091296409,0.9573950091296409,0.9660651764072179,0.44516129032258067,0.9694793536804309,0.9640933572710951,5.242369838420108,5.210053859964093,3.3102718899058408,3.548687017317198,0.5,0.0,0.0973834930215302,-0.0973834930215302
14,0.9603174603174603,0.9603174603174603,0.9444444444444444,0.8571428571428571,0.9982046678635548,0.9982046678635548,0.9982046678635548,0.8725314183123878,0.9603174603174603,0.9603174603174603,0.9444444444444444,0.8571428571428571,0.9573950091296409,0.9573950091296409,0.9397993311036789,0.44516129032258067,0.9676840215439856,0.9640933572710951,5.642728904847397,5.599640933572711,3.7587617959343578,4.066230920895672,0.5,0.0,0.0919988776369148,-0.0919988776369148
15,0.9523809523809523,0.9682539682539683,0.9603174603174603,0.8571428571428571,0.9964093357271095,0.9946140035906643,1.0,0.8725314183123878,0.9523809523809523,0.9682539682539683,0.9603174603174603,0.8571428571428571,0.9490977646108267,0.9660651764072179,0.9573950091296409,0.44516129032258067,0.9676840215439856,0.9640933572710951,6.050269299820466,5.996409335727109,4.211782483053467,4.501562532827923,0.25,0.015873015873015928,0.08069464137484784,-0.11244067312087959
16,0.9603174603174603,0.9523809523809523,0.9603174603174603,0.8571428571428571,0.9964093357271095,0.9982046678635548,0.9964093357271095,0.8725314183123878,0.9603174603174603,0.9523809523809523,0.9603174603174603,0.8571428571428571,0.9573950091296409,0.9486413043478261,0.9573950091296409,0.44516129032258067,0.9712746858168761,0.9658886894075404,6.456014362657092,6.414721723518851,4.585011703267987,4.940342413645585,0.0,-0.00793650793650802,0.08480366989377314,-0.06893065402075726
17,0.9523809523809523,0.9603174603174603,0.9603174603174603,0.8571428571428571,0.9964093357271095,0.9982046678635548,1.0,0.8725314183123878,0.9523809523809523,0.9603174603174603,0.9603174603174603,0.8571428571428571,0.9490977646108267,0.9573950091296409,0.9577606436473349,0.44516129032258067,0.9694793536804309,0.9694793536804309,6.842010771992818,6.81508078994614,5.063308430020002,5.294218608556019,0.0,0.00793650793650802,0.07668917881513156,-0.09256219468814743
18,0.9523809523809523,0.9523809523809523,0.9682539682539683,0.8571428571428571,0.9964093357271095,1.0,1.0,0.8725314183123878,0.9523809523809523,0.9523809523809523,0.9682539682539683,0.8571428571428571,0.9490977646108267,0.9486413043478261,0.9660651764072179,0.44516129032258067,0.9676840215439856,0.9694793536804309,7.224416517055655,7.18491921005386,5.744616663492547,5.81508891626666,0.5,0.0,0.07644332208135925,-0.07644332208135925
19,0.9603174603174603,0.9603174603174603,0.9682539682539683,0.8571428571428571,0.9964093357271095,0.9964093357271095,1.0,0.8725314183123878,0.9603174603174603,0.9603174603174603,0.9682539682539683,0.8571428571428571,0.9577606436473349,0.9573950091296409,0.9660651764072179,0.44516129032258067,0.9694793536804309,0.9712746858168761,7.624775583482944,7.597845601436266,6.200339526171714,6.104296948281914,0.25,0.0,0.08269005847953216,-0.08269005847953216
20,0.9603174603174603,0.9603174603174603,0.9761904761904762,0.8571428571428571,0.9982046678635548,0.9964093357271095,1.0,0.8725314183123878,0.9603174603174603,0.9603174603174603,0.9761904761904762,0.8571428571428571,0.9577606436473349,0.9573950091296409,0.974656386188401,0.44516129032258067,0.9694793536804309,0.9730700179533214,7.985637342908438,7.989228007181328,6.79949104548773,6.6829439272834,0.25,0.0,0.0801111111111111,-0.0801111111111111
21,0.9603174603174603,0.9682539682539683,0.9682539682539683,0.8571428571428571,0.9982046678635548,0.9964093357271095,1.0,0.8725314183123878,0.9603174603174603,0.9682539682539683,0.9682539682539683,0.8571428571428571,0.9577606436473349,0.9660651764072179,0.9660651764072179,0.44516129032258067,0.9694793536804309,0.9730700179533214,8.409335727109514,8.384201077199283,7.149471840502243,7.222661920738418,0.0,0.007936507936507908,0.07354103321166741,-0.08941404908468328
22,0.9603174603174603,0.9523809523809523,0.9603174603174603,0.8571428571428571,0.9982046678635548,0.9964093357271095,1.0,0.8725314183123878,0.9603174603174603,0.9523809523809523,0.9603174603174603,0.8571428571428571,0.9577606436473349,0.9486413043478261,0.9573950091296409,0.44516129032258067,0.9712746858168761,0.9712746858168761,8.809694793536805,8.782764811490125,7.626830234355136,7.778157807298314,0.0,-0.00793650793650802,0.07946059041007257,-0.0635875745370567
23,0.9603174603174603,0.9523809523809523,0.9682539682539683,0.8571428571428571,0.9964093357271095,0.9946140035906643,1.0,0.8725314183123878,0.9603174603174603,0.9523809523809523,0.9682539682539683,0.8571428571428571,0.9577606436473349,0.9486413043478261,0.9660651764072179,0.44516129032258067,0.9712746858168761,0.9712746858168761,9.195691202872531,9.199281867145421,8.250103079463878,8.420880009011347,0.0,-0.00793650793650802,0.07752383151679194,-0.06165081564377607
24,0.9682539682539683,0.9523809523809523,0.9682539682539683,0.8571428571428571,0.9982046678635548,0.9946140035906643,0.9982046678635548,0.8725314183123878,0.9682539682539683,0.9523809523809523,0.9682539682539683,0.8571428571428571,0.9660651764072179,0.9486413043478261,0.9660651764072179,0.44516129032258067,0.9712746858168761,0.9712746858168761,9.581687612208258,9.61938958707361,8.8512551363458,9.023215366842551,0.5,-0.015873015873015928,0.07887913372056514,-0.047133101974533395
25,0.9682539682539683,0.9523809523809523,0.9682539682539683,0.8571428571428571,0.9982046678635548,0.9946140035906643,1.0,0.8725314183123878,0.9682539682539683,0.9523809523809523,0.9682539682539683,0.8571428571428571,0.9660651764072179,0.9486413043478261,0.9663461538461539,0.44516129032258067,0.9712746858168761,0.9730700179533214,9.949730700179533,10.012567324955116,9.68233299093581,9.58806836779183,0.5,-0.015873015873015928,0.07724580038723183,-0.04549976864120008
26,0.9682539682539683,0.9523809523809523,0.9603174603174603,0.8571428571428571,0.9982046678635548,0.9946140035906643,1.0,0.8725314183123878,0.9682539682539683,0.9523809523809523,0.9603174603174603,0.8571428571428571,0.9660651764072179,0.9486413043478261,0.9573950091296409,0.44516129032258067,0.9676840215439856,0.9730700179533214,10.337522441651705,10.402154398563734,10.255440963518916,10.431495158803745,0.5,-0.015873015873015928,0.07573810807953951,-0.04399207633350777
27,0.9603174603174603,0.9523809523809523,0.9682539682539683,0.8571428571428571,0.9982046678635548,0.9946140035906643,1.0,0.8725314183123878,0.9603174603174603,0.9523809523809523,0.9682539682539683,0.8571428571428571,0.9577606436473349,0.9486413043478261,0.9660651764072179,0.44516129032258067,0.9658886894075404,0.9712746858168761,10.70915619389587,10.789946140035907,11.077822329698337,11.13811653533336,0.0,-0.00793650793650802,0.07121143216091433,-0.055338416287898456
28,0.9603174603174603,0.9523809523809523,0.9444444444444444,0.8571428571428571,0.9982046678635548,0.9946140035906643,1.0,0.8725314183123878,0.9603174603174603,0.9523809523809523,0.9444444444444444,0.8571428571428571,0.9577606436473349,0.9486413043478261,0.9403530127814973,0.44516129032258067,0.9676840215439856,0.9730700179533214,11.12028725314183,11.179533213644524,11.747348796654517,12.045895376463827,0.0,-0.00793650793650802,0.06991513586461802,-0.05404211999160215
29,0.9603174603174603,0.9603174603174603,0.9761904761904762,0.8571428571428571,0.9982046678635548,0.9946140035906643,1.0,0.8725314183123878,0.9603174603174603,0.9603174603174603,0.9761904761904762,0.8571428571428571,0.9577606436473349,0.9573950091296409,0.974656386188401,0.44516129032258067,0.9676840215439856,0.9748653500897666,11.500897666068223,11.576301615798922,12.408193222620245,12.731221522432561,0.25,0.0,0.06490421455938697,-0.06490421455938697
30,0.9682539682539683,0.9523809523809523,0.9603174603174603,0.8571428571428571,0.9982046678635548,0.992818671454219,1.0,0.8725314183123878,0.9682539682539683,0.9523809523809523,0.9603174603174603,0.8571428571428571,0.9660651764072179,0.9486413043478261,0.9573950091296409,0.44516129032258067,0.9676840215439856,0.9748653500897666,11.876122082585278,11.983842010771992,12.999172538722407,13.517687005794857,0.5,-0.015873015873015928,0.07071246705389848,-0.03896643530786674
31,0.9682539682539683,0.9523809523809523,0.9682539682539683,0.8571428571428571,0.9982046678635548,0.992818671454219,0.9982046678635548,0.8725314183123878,0.9682539682539683,0.9523809523809523,0.9682539682539683,0.8571428571428571,0.9660651764072179,0.9486413043478261,0.9660651764072179,0.44516129032258067,0.9676840215439856,0.9748653500897666,12.299820466786356,12.36983842010772,13.653985654093843,14.362680017090797,0.5,-0.015873015873015928,0.06965870361303828,-0.037912671867006524
32,0.9682539682539683,0.9523809523809523,0.9603174603174603,0.8571428571428571,0.9982046678635548,0.992818671454219,1.0,0.8725314183123878,0.9682539682539683,0.9523809523809523,0.9603174603174603,0.8571428571428571,0.9660651764072179,0.9486413043478261,0.9573950091296409,0.44516129032258067,0.9676840215439856,0.9748653500897666,12.691202872531418,12.809694793536805,14.355139145456873,15.03618773111285,0.5,-0.015873015873015928,0.06867080038723182,-0.036924768641200076
33,0.9682539682539683,0.9523809523809523,0.9682539682539683,0.8571428571428571,1.0,0.9946140035906643,1.0,0.8725314183123878,0.9682539682539683,0.9523809523809523,0.9682539682539683,0.8571428571428571,0.9660651764072179,0.9486413043478261,0.9660651764072179,0.44516129032258067,0.9676840215439856,0.9730700179533214,13.080789946140037,13.211849192100539,15.110650966343327,15.828499845145863,0.5,-0.015873015873015928,0.06774277008420151,-0.03599673833816977
34,0.9682539682539683,0.9523809523809523,0.9603174603174603,0.8571428571428571,0.9982046678635548,0.9964093357271095,1.0,0.8725314183123878,0.9682539682539683,0.9523809523809523,0.9603174603174603,0.8571428571428571,0.9660651764072179,0.9486413043478261,0.9573950091296409,0.44516129032258067,0.9676840215439856,0.9730700179533214,13.450628366247756,13.631956912028725,16.15382865507725,16.461612644524617,0.5,-0.015873015873015928,0.06686932979899651,-0.035123298052964776
35,0.9603174603174603,0.9523809523809523,0.9523809523809523,0.8571428571428571,1.0,0.9946140035906643,1.0,0.8725314183123878,0.9603174603174603,0.9523809523809523,0.9523809523809523,0.8571428571428571,0.9577606436473349,0.9486413043478261,0.9490977646108267,0.44516129032258067,0.9676840215439856,0.9730700179533214,13.845601436265708,14.048473967684021,17.031937229445916,17.57675889425824,0.0,-0.00793650793650802,0.06291513586461803,-0.047042119991602155
