numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9337748344370861,0.9337748344370861,0.9337748344370861,0.8211920529801324,0.9868421052631579,0.9793233082706767,0.9793233082706767,0.8759398496240601,0.9337748344370861,0.9337748344370861,0.9337748344370861,0.8211920529801325,0.9273199845976127,0.9273199845976127,0.9273199845976127,0.426133999167707,0.4398496240601504,0.43609022556390975,0.4266917293233083,0.41541353383458646,0.14356869006694023,0.15554396149748964,0.1,0.0,1.0210467828737089,-1.0210467828737089
2,0.9271523178807947,0.9139072847682119,0.9271523178807947,0.8211920529801324,0.9774436090225563,0.9718045112781954,0.9736842105263158,0.8759398496240601,0.9271523178807947,0.9139072847682119,0.9271523178807947,0.8211920529801325,0.9181813703758437,0.9033052558987242,0.9181813703758437,0.426133999167707,0.6654135338345865,0.6710526315789473,0.8139097744360902,0.8082706766917294,0.3197599404281918,0.3342023752414721,0.125,-0.013245033112582738,0.5400191252898608,-0.5135290590646954
3,0.9470198675496688,0.9602649006622517,0.9602649006622517,0.8211920529801324,0.9887218045112782,0.9887218045112782,0.9962406015037594,0.8759398496240601,0.9470198675496688,0.9602649006622517,0.9602649006622517,0.8211920529801325,0.942344406261932,0.956758304696449,0.9571022727272727,0.426133999167707,0.793233082706767,0.7875939849624061,1.2236842105263157,1.218045112781955,0.5333185948503253,0.5235514523553659,0.25,0.013245033112582849,0.3394677177463456,-0.3659577839715112
4,0.9205298013245033,0.9536423841059603,0.9536423841059603,0.8211920529801324,0.9887218045112782,0.9943609022556391,0.9849624060150376,0.8759398496240601,0.9205298013245033,0.9536423841059603,0.9536423841059603,0.8211920529801325,0.912004662004662,0.9493410016774502,0.9493410016774502,0.426133999167707,0.8740601503759399,0.8703007518796992,1.6541353383458646,1.6259398496240602,0.730889370306763,0.6990825273551198,2.2857142857142856,0.0331125827814569,0.2466333744543629,-0.3128585400172768
5,0.9470198675496688,0.9602649006622517,0.9602649006622517,0.8211920529801324,0.9943609022556391,0.9906015037593985,0.9924812030075187,0.8759398496240601,0.9470198675496688,0.9602649006622517,0.9602649006622517,0.8211920529801325,0.942344406261932,0.956758304696449,0.956758304696449,0.426133999167707,0.8984962406015038,0.9116541353383458,2.0676691729323307,2.043233082706767,0.9553014441153487,0.8995702941397857,0.5,0.013245033112582849,0.20123281375587326,-0.2277228799810388
6,0.9403973509933775,0.9602649006622517,0.9536423841059603,0.8211920529801324,0.9943609022556391,0.9887218045112782,0.9943609022556391,0.8759398496240601,0.9403973509933775,0.9602649006622517,0.9536423841059603,0.8211920529801325,0.9348670021567218,0.956758304696449,0.9493410016774502,0.426133999167707,0.9285714285714286,0.9360902255639098,2.4718045112781954,2.4323308270676693,1.2240831174316806,1.194864427389719,1.3333333333333333,0.019867549668874163,0.16617026776715435,-0.20590536710490268
7,0.9536423841059603,0.9602649006622517,0.9470198675496688,0.8211920529801324,0.9943609022556391,0.9924812030075187,1.0,0.8759398496240601,0.9536423841059603,0.9602649006622517,0.9470198675496688,0.8211920529801325,0.949755193230974,0.956758304696449,0.942344406261932,0.426133999167707,0.9473684210526315,0.9511278195488722,2.8703007518796992,2.8402255639097747,1.5138880934152308,1.433490008271232,0.0,0.0066225165562914245,0.15588453350127665,-0.16912956661385944
8,0.9470198675496688,0.9602649006622517,0.9668874172185431,0.8211920529801324,0.9943609022556391,0.9924812030075187,0.9962406015037594,0.8759398496240601,0.9470198675496688,0.9602649006622517,0.9668874172185431,0.8211920529801325,0.942344406261932,0.956758304696449,0.9641108523078386,0.426133999167707,0.9548872180451128,0.956766917293233,3.244360902255639,3.2349624060150375,1.8344634453492115,1.658001790107672,0.25,0.013245033112582849,0.13530105107967896,-0.16179111730484455
9,0.9668874172185431,0.9602649006622517,0.9668874172185431,0.8211920529801324,0.9962406015037594,0.9906015037593985,0.9981203007518797,0.8759398496240601,0.9668874172185431,0.9602649006622517,0.9668874172185431,0.8211920529801325,0.9643884722418754,0.956758304696449,0.9643884722418754,0.426133999167707,0.956766917293233,0.9605263157894737,3.6090225563909772,3.669172932330827,2.266365610185101,1.9490890977406996,0.0,-0.0066225165562914245,0.13801845550274836,-0.12477342239016556
10,0.9536423841059603,0.9602649006622517,0.9668874172185431,0.8211920529801324,0.9962406015037594,0.9962406015037594,0.9981203007518797,0.8759398496240601,0.9536423841059603,0.9602649006622517,0.9668874172185431,0.8211920529801325,0.949755193230974,0.956758304696449,0.9641108523078386,0.426133999167707,0.9605263157894737,0.9624060150375939,4.0056390977443606,4.090225563909774,2.5585360023215937,2.2072904396685984,0.0,0.0066225165562914245,0.1138845335012767,-0.12712956661385946
