numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9536423841059603,0.9271523178807947,0.9536423841059603,0.847682119205298,0.9868421052631579,0.9699248120300752,0.9774436090225563,0.8703007518796992,0.9536423841059603,0.9271523178807947,0.9536423841059603,0.847682119205298,0.9479335993300823,0.9134940888495391,0.9474050853361198,0.43630751964085296,0.43796992481203006,0.424812030075188,0.424812030075188,0.39473684210526316,0.14345543982453107,0.17060252892234604,0.5,-0.026490066225165587,1.061721956323711,-1.00874182387338
2,0.9403973509933775,0.9139072847682119,0.9668874172185431,0.847682119205298,0.9736842105263158,0.9586466165413534,0.9755639097744361,0.8703007518796992,0.9403973509933775,0.9139072847682119,0.9668874172185431,0.847682119205298,0.9300818027473374,0.8950547981823043,0.9616069158403255,0.43630751964085296,0.674812030075188,0.6372180451127819,0.8327067669172933,0.7725563909774437,0.31966893498978144,0.4079512824045378,0.6428571428571429,-0.026490066225165587,0.5652407208889265,-0.5122605884385953
3,0.9735099337748344,0.9403973509933775,0.9867549668874173,0.847682119205298,0.9906015037593985,0.981203007518797,0.9924812030075187,0.8703007518796992,0.9735099337748344,0.9403973509933775,0.9867549668874173,0.847682119205298,0.9700990099009901,0.9308924485125858,0.9851960784313725,0.43630751964085296,0.8007518796992481,0.7631578947368421,1.2650375939849625,1.1597744360902256,0.4832610410387457,0.7019761870606854,2.2857142857142856,-0.0331125827814569,0.3945252066839434,-0.3283000411210295
4,0.9602649006622517,0.9470198675496688,0.9602649006622517,0.847682119205298,0.9887218045112782,0.9793233082706767,0.9906015037593985,0.8703007518796992,0.9602649006622517,0.9470198675496688,0.9602649006622517,0.847682119205298,0.9546818727490998,0.9374741200828158,0.9541868932038835,0.43630751964085296,0.8740601503759399,0.8308270676691729,1.6748120300751879,1.5394736842105263,0.6927238266231007,0.9506230384543826,0.125,-0.013245033112582849,0.2950191252898609,-0.2685290590646953
5,0.9735099337748344,0.9602649006622517,0.9735099337748344,0.847682119205298,0.9924812030075187,0.9849624060150376,0.9962406015037594,0.8703007518796992,0.9735099337748344,0.9602649006622517,0.9735099337748344,0.847682119205298,0.9700990099009901,0.9546818727490998,0.9697879151660664,0.43630751964085296,0.9041353383458647,0.8778195488721805,2.0789473684210527,1.9454887218045114,0.9356018446614908,1.218235306814811,0.25,-0.013245033112582738,0.23529111730484456,-0.20880105107967897
6,0.9668874172185431,0.9602649006622517,0.9735099337748344,0.847682119205298,0.9924812030075187,0.9868421052631579,0.9981203007518797,0.8703007518796992,0.9668874172185431,0.9602649006622517,0.9735099337748344,0.847682119205298,0.9620316821724918,0.9541868932038835,0.9697879151660664,0.43630751964085296,0.924812030075188,0.9097744360902256,2.456766917293233,2.357142857142857,1.155574435993139,1.4479233254757067,0.0,-0.0066225165562914245,0.1989995235406998,-0.185754490428117
7,0.9801324503311258,0.9668874172185431,0.9602649006622517,0.847682119205298,0.9943609022556391,0.9906015037593985,1.0,0.8703007518796992,0.9801324503311258,0.9668874172185431,0.9602649006622517,0.847682119205298,0.9776858282843208,0.9620316821724918,0.9555882352941176,0.43630751964085296,0.9379699248120301,0.9304511278195489,2.8646616541353382,2.742481203007519,1.5377433768878312,1.7060681488793434,0.25,-0.013245033112582738,0.17929111730484454,-0.15280105107967895
8,0.9801324503311258,0.9668874172185431,0.9735099337748344,0.847682119205298,0.9943609022556391,0.9906015037593985,0.9943609022556391,0.8703007518796992,0.9801324503311258,0.9668874172185431,0.9735099337748344,0.847682119205298,0.9776858282843208,0.9620316821724918,0.9700990099009901,0.43630751964085296,0.9511278195488722,0.9454887218045113,3.2669172932330826,3.1334586466165413,1.778255146496223,1.993535368284805,0.25,-0.013245033112582738,0.16179111730484455,-0.13530105107967896
9,0.9801324503311258,0.9735099337748344,0.9668874172185431,0.847682119205298,0.9981203007518797,0.9962406015037594,0.9943609022556391,0.8703007518796992,0.9801324503311258,0.9735099337748344,0.9668874172185431,0.847682119205298,0.9776858282843208,0.9700990099009901,0.9620316821724918,0.43630751964085296,0.9530075187969925,0.9492481203007519,3.6503759398496243,3.5169172932330826,2.1163007691953895,2.3472298357386743,0.0,-0.0066225165562914245,0.13801845550274836,-0.12477342239016556
10,0.9867549668874173,0.9735099337748344,0.9602649006622517,0.847682119205298,0.9981203007518797,0.9924812030075187,0.9962406015037594,0.8703007518796992,0.9867549668874173,0.9735099337748344,0.9602649006622517,0.847682119205298,0.985049504950495,0.9697879151660664,0.9546818727490998,0.43630751964085296,0.9511278195488722,0.9530075187969925,4.046992481203008,3.917293233082707,2.4566815090324954,2.7771630057592906,0.5,-0.013245033112582849,0.12972287998103882,-0.10323281375587325
11,0.9867549668874173,0.9735099337748344,0.9801324503311258,0.847682119205298,0.9981203007518797,0.9943609022556391,0.9962406015037594,0.8703007518796992,0.9867549668874173,0.9735099337748344,0.9801324503311258,0.847682119205298,0.985049504950495,0.9700990099009901,0.9776858282843208,0.43630751964085296,0.9548872180451128,0.956766917293233,4.456766917293233,4.304511278195489,2.783823383111753,3.1765197391866775,0.5,-0.013245033112582849,0.12081378907194788,-0.09432372284678232
12,0.9867549668874173,0.9801324503311258,0.9668874172185431,0.847682119205298,0.9962406015037594,0.9943609022556391,0.9981203007518797,0.8703007518796992,0.9867549668874173,0.9801324503311258,0.9668874172185431,0.847682119205298,0.985049504950495,0.9774593222869085,0.9624322038115141,0.43630751964085296,0.9624060150375939,0.956766917293233,4.853383458646617,4.701127819548872,3.1938721357311115,3.699313219674375,0.0,-0.0066225165562914245,0.10131222531908894,-0.08806719220650615
13,0.9801324503311258,0.9801324503311258,0.9801324503311258,0.847682119205298,1.0,0.9962406015037594,0.9962406015037594,0.8703007518796992,0.9801324503311258,0.9801324503311258,0.9801324503311258,0.847682119205298,0.9776858282843208,0.9774593222869085,0.9776858282843208,0.43630751964085296,0.9661654135338346,0.9586466165413534,5.2819548872180455,5.092105263157895,3.468306539253131,4.094077549577735,0.5,0.0,0.09374129473727279,-0.09374129473727279
14,0.9867549668874173,0.9801324503311258,0.9668874172185431,0.847682119205298,0.9981203007518797,0.9962406015037594,0.9962406015037594,0.8703007518796992,0.9867549668874173,0.9801324503311258,0.9668874172185431,0.847682119205298,0.985049504950495,0.9774593222869085,0.9624322038115141,0.43630751964085296,0.9661654135338346,0.9586466165413534,5.665413533834586,5.496240601503759,3.9195923603140077,4.514986106630626,0.0,-0.0066225165562914245,0.08964555865242227,-0.07640052553983948
15,0.9801324503311258,0.9735099337748344,0.9735099337748344,0.847682119205298,1.0,0.9981203007518797,0.9981203007518797,0.8703007518796992,0.9801324503311258,0.9735099337748344,0.9735099337748344,0.847682119205298,0.9776858282843208,0.9700990099009901,0.9700990099009901,0.43630751964085296,0.9661654135338346,0.9586466165413534,6.052631578947368,5.885338345864661,4.427046321150555,5.053268909293098,0.0,-0.0066225165562914245,0.08497889198575562,-0.07173385887317282
