numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9546827794561934,0.9546827794561934,0.8398791540785498,0.48942598187311176,0.9749463135289907,0.9742304939155333,0.9513242662848962,0.5118110236220472,0.9546827794561934,0.9546827794561934,0.8398791540785498,0.48942598187311176,0.9061086451067427,0.9057786573277604,0.7229920190185091,0.20457756655213385,0.4309234073013601,0.42448103078024335,0.4058697208303508,0.39871152469577664,0.16249934486747847,0.1632579789360842,0.0625,0.0,1.0036858006042295,-1.0036858006042295
2,0.9607250755287009,0.9577039274924471,0.8700906344410876,0.48942598187311176,0.9727988546886185,0.9778095919828204,0.9627773801002147,0.5118110236220472,0.9607250755287009,0.957703927492447,0.8700906344410876,0.48942598187311176,0.8892623710640208,0.9095287774556067,0.760501058663928,0.20457756655213385,0.6535433070866141,0.6564065855404438,0.7981388690050107,0.800286327845383,0.3646472782895215,0.3291086822664374,0.0,-0.0030211480362537513,0.5159571352749411,-0.5099148392024336
3,0.9667673716012085,0.9637462235649547,0.9093655589123867,0.48942598187311176,0.9921259842519685,0.9878310665712241,0.9863994273443092,0.5118110236220472,0.9667673716012085,0.9637462235649547,0.9093655589123866,0.48942598187311176,0.9145193713450293,0.8876342963220791,0.8527720605050803,0.20457756655213385,0.7866857551896922,0.7895490336435218,1.2183249821045097,1.2226198997852542,0.5325490065380383,0.4909591893825492,0.0,-0.0030211480362538623,0.34932973983889926,-0.34328744376639175
4,0.9697885196374623,0.9667673716012085,0.9214501510574018,0.48942598187311176,0.9885468861846815,0.9885468861846815,0.9935576234788833,0.5118110236220472,0.9697885196374623,0.9667673716012085,0.9214501510574018,0.48942598187311176,0.9375400641025642,0.9223550395194611,0.8418968599634772,0.20457756655213385,0.8697208303507517,0.8604151753758053,1.6206156048675733,1.611309949892627,0.7162138659676406,0.7210699937501579,0.0,-0.0030211480362537513,0.26578847983549936,-0.25974618376299186
5,0.9637462235649547,0.9697885196374623,0.9577039274924471,0.48942598187311176,0.9949892627057981,0.9914101646385111,0.9964209019327129,0.5118110236220472,0.9637462235649547,0.9697885196374623,0.957703927492447,0.48942598187311176,0.9122016052696412,0.9246337228055346,0.8912847021399652,0.20457756655213385,0.9076592698639943,0.9026485325697924,2.0100214745884037,1.9935576234788832,0.9614791261214015,0.9477653826184951,0.25,0.006042296072507614,0.20181848031570948,-0.2139030724607246
6,0.9667673716012085,0.9637462235649547,0.9365558912386707,0.48942598187311176,0.9957050823192556,0.9914101646385111,0.9914101646385111,0.5118110236220472,0.9667673716012085,0.9637462235649547,0.9365558912386707,0.48942598187311176,0.935222298027176,0.9122016052696412,0.8648805008886614,0.20457756655213385,0.9312813171080888,0.9305654974946314,2.4194702934860417,2.41159627773801,1.1926216363577653,1.1587460576980002,0.0,-0.0030211480362538623,0.17959924605978272,-0.17355694998727517
7,0.9667673716012085,0.972809667673716,0.9335347432024169,0.48942598187311176,0.9957050823192556,0.9935576234788833,0.9978525411596277,0.5118110236220472,0.9667673716012085,0.972809667673716,0.9335347432024169,0.48942598187311176,0.9280980537078097,0.9184781230183894,0.8503955872229414,0.20457756655213385,0.9477451682176091,0.9506084466714388,2.8332140300644237,2.828203292770222,1.4379279571632575,1.4136427765822968,0.25,0.0060422960725075026,0.14581848031570946,-0.15790307246072458
8,0.9667673716012085,0.972809667673716,0.9395770392749244,0.48942598187311176,0.9957050823192556,0.9942734430923408,0.9985683607730852,0.5118110236220472,0.9667673716012085,0.972809667673716,0.9395770392749244,0.48942598187311176,0.9143549637145072,0.9184781230183894,0.8697655748233782,0.20457756655213385,0.9549033643521833,0.9549033643521833,3.2412312097351466,3.2376521116678596,1.633922162711135,1.6156540294147153,0.5,0.0060422960725075026,0.12485716062113467,-0.13694175276614978
9,0.9667673716012085,0.972809667673716,0.9546827794561934,0.48942598187311176,1.0,0.9957050823192556,0.9992841803865425,0.5118110236220472,0.9667673716012085,0.972809667673716,0.9546827794561934,0.48942598187311176,0.9259307765405327,0.9184781230183894,0.9170194980917288,0.20457756655213385,0.9627773801002147,0.9599141016463851,3.6599856836077307,3.639942734430923,1.8417673322730428,1.928652192925228,0.25,0.0060422960725075026,0.11470736920459836,-0.12679196134961346
10,0.9697885196374623,0.972809667673716,0.9486404833836858,0.48942598187311176,0.9992841803865425,0.9957050823192556,0.9992841803865425,0.5118110236220472,0.9697885196374623,0.972809667673716,0.9486404833836858,0.48942598187311176,0.9481485587583148,0.9184781230183894,0.8803210678210679,0.20457756655213385,0.9663564781675018,0.9634931997136722,4.058697208303507,4.043664996420902,2.148887735336811,2.2368718208069676,0.0,0.0030211480362537513,0.10822361665394184,-0.1142659127264494
