numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9283582089552239,0.9313432835820895,0.8925373134328358,0.5044776119402985,0.9748743718592965,0.9755922469490309,0.9605168700646087,0.5154343144292893,0.9283582089552239,0.9313432835820895,0.8925373134328358,0.5044776119402985,0.8639198462177701,0.9253896855149739,0.7925163494342159,0.22444098169068957,0.4321608040201005,0.42569992821249103,0.40703517587939697,0.4012921751615219,0.16270128380480756,0.16105595582563678,0.0,0.0029850746268655914,1.0116298831123662,-1.0176000323660974
2,0.9462686567164179,0.9432835820895522,0.9223880597014925,0.5044776119402985,0.9806173725771715,0.9806173725771715,0.9669777458722182,0.5154343144292893,0.9462686567164178,0.9432835820895522,0.9223880597014925,0.5044776119402985,0.8752387746782365,0.9261034982561747,0.8234274860638756,0.22444098169068957,0.6625987078248384,0.6590093323761665,0.8241206030150754,0.8076094759511845,0.3328633600127483,0.34864421420508823,0.0,-0.0029850746268657025,0.5156471720868273,-0.5096770228330959
3,0.9552238805970149,0.9432835820895522,0.9253731343283582,0.5044776119402985,0.9949748743718593,0.9885139985642498,0.9870782483847811,0.5154343144292893,0.9552238805970149,0.9432835820895522,0.9253731343283582,0.5044776119402985,0.9409989959839358,0.9448609636706771,0.8470671240300854,0.22444098169068957,0.7982770997846375,0.7889447236180904,1.2383345297918162,1.2074659009332376,0.4800941274792949,0.5491431992624496,0.6428571428571429,-0.011940298507462699,0.3605357629321341,-0.3366551659172087
4,0.9492537313432836,0.9582089552238806,0.9014925373134328,0.5044776119402985,0.990667623833453,0.990667623833453,0.9877961234745154,0.5154343144292893,0.9492537313432836,0.9582089552238806,0.9014925373134329,0.5044776119402985,0.9120984816082123,0.9558333333333333,0.8562168976275121,0.22444098169068957,0.8700646087580761,0.8614501076812635,1.6568557071069634,1.630294328786791,0.6794452222120714,0.7500032441089086,0.4444444444444444,0.008955223880596996,0.25362319277557344,-0.27153364053676743
5,0.9582089552238806,0.9492537313432836,0.9283582089552239,0.5044776119402985,0.9949748743718593,0.9949748743718593,0.9956927494615937,0.5154343144292893,0.9582089552238806,0.9492537313432836,0.9283582089552239,0.5044776119402985,0.9427407095166511,0.9492976118803933,0.850208472201017,0.22444098169068957,0.9167264895908112,0.9059583632447954,2.0818377602297202,2.0516870064608757,0.8793526890894967,0.9517747898379529,0.4444444444444444,-0.008955223880596996,0.22253364053676744,-0.2046231927755734
6,0.9641791044776119,0.9522388059701492,0.9582089552238806,0.5044776119402985,0.9921033740129217,0.990667623833453,0.994256999282125,0.5154343144292893,0.9641791044776119,0.9522388059701492,0.9582089552238806,0.5044776119402985,0.9472717982742755,0.9390566028299748,0.9500741462605837,0.22444098169068957,0.9396984924623115,0.9318018664752333,2.4867193108399137,2.4558506819813353,1.1127795038292922,1.2014903993971489,1.5,-0.011940298507462699,0.18966190192131194,-0.16578130490638654
7,0.9671641791044776,0.9492537313432836,0.9402985074626866,0.5044776119402985,0.9949748743718593,0.9956927494615937,1.0,0.5154343144292893,0.9671641791044776,0.9492537313432836,0.9402985074626865,0.5044776119402985,0.9492453145917001,0.9514835449598342,0.9153414635342346,0.22444098169068957,0.9490308686288585,0.9411342426417804,2.8880114860014356,2.860732232591529,1.377018014680382,1.465543429939997,2.0833333333333335,-0.017910447761193993,0.17826857544885,-0.14244767992646196
8,0.9611940298507463,0.9552238805970149,0.9492537313432836,0.5044776119402985,0.9956927494615937,0.9964106245513281,0.9971284996410624,0.5154343144292893,0.9611940298507463,0.9552238805970149,0.9492537313432836,0.5044776119402985,0.9453125,0.9487250554323725,0.9143651699533485,0.22444098169068957,0.9547738693467337,0.9475951184493898,3.2857142857142856,3.2613065326633164,1.596989275640951,1.721905723704376,0.125,-0.005970149253731405,0.14503090365468693,-0.13309060514722423
9,0.9582089552238806,0.9582089552238806,0.9343283582089552,0.5044776119402985,0.9971284996410624,0.9964106245513281,0.9992821249102656,0.5154343144292893,0.9582089552238806,0.9582089552238806,0.9343283582089552,0.5044776119402985,0.9429554693274206,0.9581492589145897,0.8920129724350152,0.22444098169068957,0.964824120603015,0.9569274946159368,3.6963388370423544,3.6870064608758075,1.8602933945420757,1.9879737727086317,0.1,0.0,0.12739057310957552,-0.12739057310957552
10,0.9582089552238806,0.9641791044776119,0.9582089552238806,0.5044776119402985,0.9978463747307968,0.9956927494615937,1.0,0.5154343144292893,0.9582089552238806,0.9641791044776119,0.9582089552238806,0.5044776119402985,0.9431642005521251,0.9628421530170475,0.9333025659793796,0.22444098169068957,0.9662598707824839,0.9612347451543432,4.128499641062455,4.104809763101221,2.102873344232274,2.2502998823851,0.16666666666666666,0.005970149253731294,0.10637544667423099,-0.11831574518169369
11,0.9582089552238806,0.9611940298507463,0.9641791044776119,0.5044776119402985,0.9985642498205313,0.9978463747307968,0.9985642498205313,0.5154343144292893,0.9582089552238806,0.9611940298507463,0.9641791044776119,0.5044776119402985,0.9429554693274206,0.9603347680535629,0.9507076650124491,0.22444098169068957,0.9698492462311558,0.964824120603015,4.532663316582915,4.49748743718593,2.4114758242320598,2.5926143858370687,0.0,0.0029850746268657025,0.10366098384773127,-0.10963113310146262
12,0.9582089552238806,0.9611940298507463,0.9671641791044776,0.5044776119402985,0.9971284996410624,0.9964106245513281,1.0,0.5154343144292893,0.9582089552238806,0.9611940298507463,0.9671641791044776,0.5044776119402985,0.9431642005521251,0.9532634591359423,0.9376906850676405,0.22444098169068957,0.9712849964106246,0.9669777458722182,4.949030868628858,4.903086862885858,2.6768977574455906,2.936863195767115,0.0,0.0029850746268657025,0.09176816310646295,-0.0977383123601943
13,0.9552238805970149,0.9641791044776119,0.9731343283582089,0.5044776119402985,0.9971284996410624,0.9978463747307968,0.9992821249102656,0.5154343144292893,0.9552238805970149,0.9641791044776119,0.9731343283582089,0.5044776119402985,0.9409989959839358,0.9553951567576956,0.9561344464529222,0.22444098169068957,0.9698492462311558,0.9676956209619526,5.3582196697774584,5.324479540559943,3.0475278373364403,3.270981552682389,0.8,0.008955223880596996,0.07954715825515125,-0.09745760601634527
14,0.9641791044776119,0.9611940298507463,0.9731343283582089,0.5044776119402985,0.9956927494615937,0.9978463747307968,1.0,0.5154343144292893,0.9641791044776119,0.9611940298507463,0.9731343283582089,0.5044776119402985,0.9552253042616067,0.9454975600105513,0.9471184738955823,0.22444098169068957,0.9712849964106246,0.9698492462311558,5.76597272074659,5.755204594400574,3.390246890453874,3.5803215689678525,0.0,-0.0029850746268655914,0.08607164569352763,-0.0801014964397963
15,0.9641791044776119,0.9611940298507463,0.9761194029850746,0.5044776119402985,0.9964106245513281,0.9985642498205313,1.0,0.5154343144292893,0.9641791044776119,0.9611940298507463,0.9761194029850746,0.5044776119402985,0.955050505050505,0.9530757165125373,0.9761331718548473,0.22444098169068957,0.9720028715003589,0.9712849964106246,6.18664752333094,6.1529073941134245,3.7806408272661467,3.9330596312171915,0.0,-0.0029850746268655914,0.08772577083319122,-0.0817556215794599
16,0.9582089552238806,0.9641791044776119,0.9582089552238806,0.5044776119402985,0.9964106245513281,0.9978463747307968,1.0,0.5154343144292893,0.9582089552238806,0.9641791044776119,0.9582089552238806,0.5044776119402985,0.9433671054895887,0.9474442536039077,0.9235102350898283,0.22444098169068957,0.9712849964106246,0.9727207465900933,6.585786073223259,6.564967695620962,4.192463906718643,4.313975388144982,0.25,0.005970149253731294,0.0669987951837156,-0.07893909369117827
17,0.9611940298507463,0.9611940298507463,0.9641791044776119,0.5044776119402985,0.9978463747307968,0.9992821249102656,1.0,0.5154343144292893,0.9611940298507463,0.9611940298507463,0.9641791044776119,0.5044776119402985,0.945122155287818,0.9453125,0.941812386423329,0.22444098169068957,0.9705671213208902,0.9727207465900933,6.997128499641063,6.981335247666906,4.54938629269074,4.634085920987608,0.25,0.0,0.06934855136084284,-0.06934855136084284
18,0.9641791044776119,0.9671641791044776,0.9522388059701492,0.5044776119402985,0.9978463747307968,0.9978463747307968,1.0,0.5154343144292893,0.9641791044776119,0.9671641791044776,0.9522388059701492,0.5044776119402985,0.9472717982742755,0.957358217844795,0.9493866555266344,0.22444098169068957,0.9720028715003589,0.9734386216798278,7.417085427135678,7.396984924623116,4.964067524208732,5.099835543733298,0.0,0.0029850746268657025,0.06694228963533908,-0.07291243888907042
19,0.9582089552238806,0.9641791044776119,0.9701492537313433,0.5044776119402985,0.9985642498205313,0.9992821249102656,1.0,0.5154343144292893,0.9582089552238806,0.9641791044776119,0.9701492537313433,0.5044776119402985,0.9429554693274206,0.9552253042616067,0.9392439807179084,0.22444098169068957,0.9712849964106246,0.9734386216798278,7.826992103374013,7.8040201005025125,5.4024707034602235,5.403296238158567,0.16666666666666666,0.005970149253731294,0.059954394042652036,-0.07189469255011471
20,0.9641791044776119,0.9671641791044776,0.9731343283582089,0.5044776119402985,0.9971284996410624,0.9985642498205313,1.0,0.5154343144292893,0.9641791044776119,0.9671641791044776,0.9731343283582089,0.5044776119402985,0.955050505050505,0.957358217844795,0.9740179855343077,0.22444098169068957,0.9741564967695621,0.9734386216798278,8.241923905240489,8.206748025843503,5.78371219698534,5.82907478256867,0.0,0.0029850746268657025,0.05910149643979629,-0.06507164569352764
21,0.9611940298507463,0.9641791044776119,0.982089552238806,0.5044776119402985,0.9985642498205313,0.9992821249102656,0.9992821249102656,0.5154343144292893,0.9611940298507463,0.9641791044776119,0.982089552238806,0.5044776119402985,0.9528824833702882,0.9552253042616067,0.9722776610644257,0.22444098169068957,0.9734386216798278,0.9712849964106246,8.651112706389089,8.59224694903087,6.179858154291479,6.33458605932169,0.0,0.0029850746268655914,0.05916451185756131,-0.06513466111129265
22,0.9611940298507463,0.9641791044776119,0.9761194029850746,0.5044776119402985,0.9978463747307968,0.9985642498205313,1.0,0.5154343144292893,0.9611940298507463,0.9641791044776119,0.9761194029850746,0.5044776119402985,0.945122155287818,0.9553951567576956,0.9534160061252218,0.22444098169068957,0.9712849964106246,0.9734386216798278,9.054558506819813,8.997128499641063,6.6859276773686265,6.876360801222297,0.0,0.0029850746268655914,0.054646950985250846,-0.06061710023898218
23,0.9641791044776119,0.9611940298507463,0.9641791044776119,0.5044776119402985,0.9992821249102656,0.9992821249102656,1.0,0.5154343144292893,0.9641791044776119,0.9611940298507463,0.9641791044776119,0.5044776119402985,0.955050505050505,0.9532634591359423,0.9230081589235284,0.22444098169068957,0.9712849964106246,0.9741564967695621,9.45656855707107,9.408470926058866,7.124133594278375,7.247273461589683,0.0,-0.0029850746268655914,0.05868034134570155,-0.05271019209197021
24,0.9611940298507463,0.9641791044776119,0.9641791044776119,0.5044776119402985,0.9992821249102656,0.9992821249102656,1.0,0.5154343144292893,0.9611940298507463,0.9641791044776119,0.9641791044776119,0.5044776119402985,0.945122155287818,0.9553951567576956,0.9399512475115162,0.22444098169068957,0.9720028715003589,0.9755922469490309,9.859296482412061,9.823402727925341,7.676605529896358,7.619315521879683,0.0,0.0029850746268655914,0.05093482977312963,-0.056904979026860966
25,0.9582089552238806,0.9611940298507463,0.9492537313432836,0.5044776119402985,1.0,0.9992821249102656,1.0,0.5154343144292893,0.9582089552238806,0.9611940298507463,0.9492537313432836,0.5044776119402985,0.9429554693274206,0.9532634591359423,0.9045789309634455,0.22444098169068957,0.9720028715003589,0.9741564967695621,10.264178033022255,10.2505384063173,8.178482190916961,8.123202591597652,0.0,0.0029850746268657025,0.0493014964397963,-0.055271645693527646
26,0.9582089552238806,0.9611940298507463,0.9671641791044776,0.5044776119402985,1.0,0.9992821249102656,0.9992821249102656,0.5154343144292893,0.9582089552238806,0.9611940298507463,0.9671641791044776,0.5044776119402985,0.9429554693274206,0.9454975600105513,0.9169894095748266,0.22444098169068957,0.9741564967695621,0.9741564967695621,10.683417085427136,10.660445082555634,8.71372296314531,8.647332629640474,0.0,0.0029850746268657025,0.04779380413210399,-0.05376395338583534
27,0.9582089552238806,0.9611940298507463,0.9731343283582089,0.5044776119402985,1.0,1.0,1.0,0.5154343144292893,0.9582089552238806,0.9611940298507463,0.9731343283582089,0.5044776119402985,0.9429554693274206,0.9454975600105513,0.9659800133657297,0.22444098169068957,0.9727207465900933,0.9748743718592965,11.086145010768126,11.05886575735822,9.298949012686137,9.18583047868256,0.0,0.0029850746268657025,0.04639779273609259,-0.05236794198982394
28,0.9611940298507463,0.9611940298507463,0.9671641791044776,0.5044776119402985,1.0,1.0,1.0,0.5154343144292893,0.9611940298507463,0.9611940298507463,0.9671641791044776,0.5044776119402985,0.945122155287818,0.9454975600105513,0.961877353939571,0.22444098169068957,0.9734386216798278,0.9748743718592965,11.492462311557789,11.47451543431443,9.751891708609056,9.649278956540321,0.25,0.0,0.04670149253731343,-0.04670149253731343
29,0.9611940298507463,0.9671641791044776,0.9641791044776119,0.5044776119402985,1.0,1.0,1.0,0.5154343144292893,0.9611940298507463,0.9671641791044776,0.9641791044776119,0.5044776119402985,0.945122155287818,0.957358217844795,0.9572422622754198,0.22444098169068957,0.9734386216798278,0.9741564967695621,11.879396984924623,11.867193108399139,10.383689615941488,10.197900949443474,0.25,0.005970149253731294,0.03954189863199146,-0.05148219713945414
