numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9629629629629629,0.9715099715099715,0.8547008547008547,0.5270655270655271,0.9738562091503268,0.9832970225127088,0.9477124183006536,0.4887436456063907,0.9629629629629629,0.9715099715099715,0.8547008547008547,0.5270655270655271,0.9096852892592606,0.9193423573423427,0.7717996289424862,0.2275656713982705,0.42701525054466233,0.4422657952069717,0.4008714596949891,0.42556281771968046,0.16406947153255497,0.14941166645006754,0.26666666666666666,0.008547008547008628,0.9930983836550362,-1.0101924007490533
2,0.9658119658119658,0.9629629629629629,0.8746438746438746,0.5270655270655271,0.9796659404502541,0.9847494553376906,0.9593318809005084,0.4887436456063907,0.9658119658119658,0.9629629629629629,0.8746438746438746,0.5270655270655271,0.9163578423736947,0.9107681147171511,0.7209340399897317,0.2275656713982705,0.6695715323166304,0.673202614379085,0.8104575163398693,0.8242556281771968,0.3255728383957418,0.3187099717158605,0.0,-0.002849002849002913,0.5076260049793625,-0.5019279992813569
3,0.9772079772079773,0.9715099715099715,0.9145299145299145,0.5270655270655271,0.9876543209876543,0.990559186637618,0.9883805374001452,0.4887436456063907,0.9772079772079773,0.9715099715099715,0.9145299145299145,0.5270655270655271,0.9325208643569041,0.9468401657998973,0.8323611801070818,0.2275656713982705,0.7879448075526507,0.7981118373275236,1.205519244734931,1.2222222222222223,0.5331498806308397,0.5000687776858157,0.1,-0.005698005698005715,0.3500330338143949,-0.33863702241838345
4,0.9772079772079773,0.9686609686609686,0.9344729344729344,0.5270655270655271,0.990559186637618,0.990559186637618,0.9898329702251271,0.4887436456063907,0.9772079772079773,0.9686609686609686,0.9344729344729344,0.5270655270655271,0.932771319069946,0.9375220633285148,0.8697840574582456,0.2275656713982705,0.8649237472766884,0.8743645606390704,1.6151053013798111,1.6456063907044298,0.729283897957781,0.6577768557956617,0.4444444444444444,-0.008547008547008628,0.27032299176922703,-0.2532289746752099
5,0.9886039886039886,0.9743589743589743,0.9487179487179487,0.5270655270655271,0.9920116194625999,0.9978213507625272,0.9934640522875817,0.4887436456063907,0.9886039886039886,0.9743589743589743,0.9487179487179487,0.5270655270655271,0.9836696727882552,0.9638489754021655,0.9185350761763694,0.2275656713982705,0.90559186637618,0.9121278140885984,2.0130718954248366,2.042846768336964,0.9563670773586401,0.860240771543126,3.2,-0.014245014245014231,0.22281993908047792,-0.19432991059044946
6,0.9886039886039886,0.98005698005698,0.9173789173789174,0.5270655270655271,0.9941902687000727,0.9978213507625272,0.9956427015250545,0.4887436456063907,0.9886039886039886,0.98005698005698,0.9173789173789174,0.5270655270655271,0.9837536656891496,0.9613464827998119,0.8571659289751856,0.2275656713982705,0.9273783587509078,0.9331880900508351,2.391430646332607,2.477850399419027,1.236614749627487,1.0656280977243253,1.3333333333333333,-0.008547008547008517,0.1815934372965293,-0.1644994202025122
7,0.9857549857549858,0.98005698005698,0.9601139601139601,0.5270655270655271,0.9927378358750908,0.9992737835875091,0.9970951343500363,0.4887436456063907,0.9857549857549858,0.98005698005698,0.9601139601139601,0.5270655270655271,0.9815300930937432,0.9684060056435029,0.9053190639269406,0.2275656713982705,0.9419026870007262,0.9477124183006536,2.8097312999273782,2.8852578068264343,1.4699279866425543,1.2622756781312643,0.5,-0.005698005698005715,0.15361750540698027,-0.1422214940109689
8,0.9886039886039886,0.98005698005698,0.9686609686609686,0.5270655270655271,0.9934640522875817,0.9978213507625272,0.9978213507625272,0.4887436456063907,0.9886039886039886,0.98005698005698,0.9686609686609686,0.5270655270655271,0.9837536656891496,0.9613464827998119,0.9547677684378497,0.2275656713982705,0.9571532316630356,0.9578794480755265,3.2091503267973858,3.3151779230210603,1.7172067796730839,1.4958645960770904,1.3333333333333333,-0.008547008547008517,0.14076010396319596,-0.12366608686917888
9,0.9886039886039886,0.98005698005698,0.9658119658119658,0.5270655270655271,0.9956427015250545,0.9978213507625272,0.9985475671750181,0.4887436456063907,0.9886039886039886,0.98005698005698,0.9658119658119658,0.5270655270655271,0.9837536656891496,0.9684060056435029,0.9054490487824965,0.2275656713982705,0.9586056644880174,0.9636891793754538,3.624546114742193,3.726942628903413,2.0364741924745364,1.785219246849037,1.3333333333333333,-0.008547008547008517,0.12714899285208486,-0.11005497575806776
10,0.9886039886039886,0.9829059829059829,0.9544159544159544,0.5270655270655271,0.9934640522875817,0.9970951343500363,0.9985475671750181,0.4887436456063907,0.9886039886039886,0.9829059829059829,0.9544159544159544,0.5270655270655271,0.9837536656891496,0.9706519331137329,0.9414809034971967,0.2275656713982705,0.9578794480755265,0.9680464778503994,4.026870007262164,4.135076252723311,2.3804035323155532,2.0126072753822335,0.5,-0.005698005698005715,0.1116175054069803,-0.1002214940109689
11,0.9857549857549858,0.9829059829059829,0.9515669515669516,0.5270655270655271,0.9949164851125636,0.9985475671750181,0.9992737835875091,0.4887436456063907,0.9857549857549858,0.9829059829059829,0.9515669515669516,0.5270655270655271,0.9744705867398821,0.9706519331137329,0.8841523381140547,0.2275656713982705,0.9564270152505446,0.9724037763253449,4.423384168482207,4.5584604212055195,2.701978936899171,2.2600943053303624,0.0,-0.002849002849002913,0.10161635403511718,-0.09591834833711146
