numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9411764705882353,0.9438502673796791,0.946524064171123,0.5213903743315508,0.982274741506647,0.9785819793205317,0.9763663220088626,0.5014771048744461,0.9411764705882353,0.9438502673796791,0.946524064171123,0.5213903743315508,0.8664180453472592,0.8269767742143745,0.8889037259959278,0.22472998827377647,0.43131462333825704,0.4468242245199409,0.413589364844904,0.4254062038404727,0.1503965868893015,0.1573743906872547,0.0,0.002673796791443861,1.0013433693711296,-1.0066909629540173
2,0.9438502673796791,0.9572192513368984,0.8342245989304813,0.5213903743315508,0.981536189069424,0.981536189069424,0.9527326440177253,0.5014771048744461,0.9438502673796791,0.9572192513368984,0.8342245989304813,0.5213903743315508,0.849829975311855,0.8462094515225445,0.6515885606286438,0.22472998827377647,0.6536189069423929,0.6964549483013294,0.8212703101920237,0.8589364844903988,0.32286428140220597,0.2939667842956435,1.0666666666666667,0.013368983957219305,0.4969731087035743,-0.5237110766180129
3,0.9679144385026738,0.9598930481283422,0.9171122994652406,0.5213903743315508,0.9955686853766618,0.9903988183161004,0.982274741506647,0.5014771048744461,0.9679144385026738,0.9598930481283422,0.9171122994652406,0.5213903743315508,0.9268701796142051,0.8969286368306549,0.8319412442396313,0.22472998827377647,0.7939438700147711,0.810192023633678,1.2311669128508125,1.2651403249630724,0.4989110352615901,0.49564763312000243,0.4444444444444444,-0.008021390374331583,0.3504309867600515,-0.33438820601138847
4,0.9572192513368984,0.9545454545454546,0.9331550802139037,0.5213903743315508,0.9933530280649926,0.9859675036927622,0.9859675036927622,0.5014771048744461,0.9572192513368984,0.9545454545454546,0.9331550802139037,0.5213903743315508,0.8931456398220028,0.872139662882697,0.8086610829988949,0.22472998827377647,0.8670605612998523,0.8810930576070901,1.6418020679468242,1.6683899556868538,0.6870617744015365,0.7112011454553901,0.0,-0.002673796791443861,0.2633980571535363,-0.2580504635706486
5,0.9598930481283422,0.9572192513368984,0.9438502673796791,0.5213903743315508,0.9970457902511078,0.9918759231905465,0.9933530280649926,0.5014771048744461,0.9598930481283422,0.9572192513368984,0.9438502673796791,0.5213903743315508,0.9084487446288191,0.8808455798587378,0.8509357097493325,0.22472998827377647,0.9076809453471196,0.9224519940915805,2.0531757754800593,2.0819793205317576,0.8529926659049729,0.9572386601319831,0.0,-0.00267379679144375,0.21439805715353627,-0.2090504635706486
6,0.9652406417112299,0.9625668449197861,0.9438502673796791,0.5213903743315508,0.9963072378138847,0.9918759231905465,0.9940915805022157,0.5014771048744461,0.9652406417112299,0.9625668449197861,0.9438502673796791,0.5213903743315508,0.8988259706825572,0.8967745907592857,0.852225801819351,0.22472998827377647,0.9387001477104875,0.9423929098966026,2.471196454948301,2.483751846381093,1.080642080334993,1.1422457749077182,0.0,-0.002673796791443861,0.17508823196662282,-0.1697406383837351
7,0.9652406417112299,0.9705882352941176,0.9358288770053476,0.5213903743315508,0.9963072378138847,0.9948301329394387,0.9985228951255539,0.5014771048744461,0.9652406417112299,0.9705882352941176,0.9358288770053476,0.5213903743315508,0.9250034510613421,0.9026987138941598,0.8723627099615204,0.22472998827377647,0.947562776957164,0.9556868537666174,2.878877400295421,2.877400295420975,1.3058373792829838,1.354702449422317,0.16666666666666666,0.005347593582887722,0.1475007405260538,-0.1581959276918292
8,0.9705882352941176,0.9679144385026738,0.9518716577540107,0.5213903743315508,0.9970457902511078,0.9918759231905465,0.9985228951255539,0.5014771048744461,0.9705882352941176,0.9679144385026738,0.9518716577540107,0.5213903743315508,0.9291285515924255,0.9056569988504731,0.8869361573960631,0.22472998827377647,0.9571639586410635,0.9615952732644018,3.3028064992614476,3.2732644017725256,1.5251418196642905,1.6885673492501525,0.0,-0.002673796791443861,0.13904187931369272,-0.13369428573080505
9,0.9679144385026738,0.9679144385026738,0.9491978609625669,0.5213903743315508,0.9963072378138847,0.9948301329394387,0.9970457902511078,0.5014771048744461,0.9679144385026738,0.9679144385026738,0.9491978609625669,0.5213903743315508,0.9272738875999313,0.9054590017825311,0.8574487264553812,0.22472998827377647,0.9556868537666174,0.965288035450517,3.693500738552437,3.6802067946824226,1.8116229179667918,1.936311959393054,0.125,0.0,0.12371166205600795,-0.12371166205600795
10,0.9705882352941176,0.9625668449197861,0.9598930481283422,0.5213903743315508,0.9963072378138847,0.9940915805022157,0.9992614475627769,0.5014771048744461,0.9705882352941176,0.9625668449197861,0.9598930481283422,0.5213903743315508,0.9291285515924255,0.9017994517640817,0.8483603511955784,0.22472998827377647,0.9608567208271788,0.9675036927621861,4.091580502215657,4.088626292466765,2.093874297171992,2.2625249669648446,0.5714285714285714,-0.008021390374331583,0.1199106374758877,-0.10386785672722462
11,0.9679144385026738,0.9652406417112299,0.9545454545454546,0.5213903743315508,0.9970457902511078,0.9948301329394387,1.0,0.5014771048744461,0.9679144385026738,0.9652406417112299,0.9545454545454546,0.5213903743315508,0.9270746055020249,0.8769567256179929,0.8720195584892527,0.22472998827377647,0.9645494830132939,0.9675036927621861,4.516248153618907,4.48301329394387,2.3247471086231015,2.5776573708180255,0.0,-0.002673796791443861,0.10748896624444537,-0.10214137266155768
12,0.9705882352941176,0.9625668449197861,0.9438502673796791,0.5213903743315508,0.9970457902511078,0.9948301329394387,0.9992614475627769,0.5014771048744461,0.9705882352941176,0.9625668449197861,0.9438502673796791,0.5213903743315508,0.9291285515924255,0.9017994517640817,0.855367188653147,0.22472998827377647,0.965288035450517,0.9689807976366323,4.937223042836042,4.89807976366322,2.6575849748729996,2.822555168654195,0.5714285714285714,-0.008021390374331583,0.10357730414255437,-0.08753452339389126
13,0.9652406417112299,0.9652406417112299,0.9625668449197861,0.5213903743315508,0.9985228951255539,0.9977843426883308,1.0,0.5014771048744461,0.9652406417112299,0.9652406417112299,0.9625668449197861,0.5213903743315508,0.9252212051073532,0.9036222355382448,0.9023500834196928,0.22472998827377647,0.96602658788774,0.9719350073855244,5.333825701624815,5.32274741506647,2.9956445215711374,3.0645701519925552,0.125,0.0,0.09020738855173446,-0.09020738855173446
14,0.9679144385026738,0.9625668449197861,0.9572192513368984,0.5213903743315508,0.9970457902511078,0.9992614475627769,1.0,0.5014771048744461,0.9679144385026738,0.9625668449197861,0.9572192513368984,0.5213903743315508,0.9272738875999313,0.9017994517640817,0.8742329463650725,0.22472998827377647,0.9675036927621861,0.9734121122599705,5.721565731166913,5.744460856720827,3.3749552679954196,3.371505635779614,0.16666666666666666,-0.005347593582887722,0.08819592769182918,-0.0775007405260538
15,0.9679144385026738,0.9652406417112299,0.9598930481283422,0.5213903743315508,0.9970457902511078,0.9992614475627769,1.0,0.5014771048744461,0.9679144385026738,0.9652406417112299,0.9598930481283422,0.5213903743315508,0.9272738875999313,0.9038329204514176,0.8903013052728423,0.22472998827377647,0.9689807976366323,0.9726735598227474,6.133677991137371,6.158050221565731,3.7391586571207407,3.697158163347372,0.0,-0.002673796791443861,0.08187521264702605,-0.07652761906413835
16,0.9652406417112299,0.9652406417112299,0.9545454545454546,0.5213903743315508,0.9963072378138847,0.9992614475627769,0.9992614475627769,0.5014771048744461,0.9652406417112299,0.9652406417112299,0.9545454545454546,0.5213903743315508,0.9162376791154059,0.9102587135298918,0.9103629277798075,0.22472998827377647,0.9689807976366323,0.9741506646971935,6.539881831610044,6.57533234859675,4.157736857327437,4.013366332926446,0.16666666666666666,0.0,0.07408689811725944,-0.07408689811725944
17,0.9679144385026738,0.9652406417112299,0.9545454545454546,0.5213903743315508,0.9977843426883308,0.9985228951255539,0.9992614475627769,0.5014771048744461,0.9679144385026738,0.9652406417112299,0.9545454545454546,0.5213903743315508,0.9272738875999313,0.9038329204514176,0.8860134924563237,0.22472998827377647,0.9682422451994092,0.9741506646971935,6.938700147710487,6.980059084194978,4.491342943362593,4.372864811872312,0.0,-0.002673796791443861,0.07418893813722213,-0.06884134455433444
18,0.9705882352941176,0.9652406417112299,0.9518716577540107,0.5213903743315508,0.9977843426883308,0.9977843426883308,0.9985228951255539,0.5014771048744461,0.9705882352941176,0.9652406417112299,0.9518716577540107,0.5213903743315508,0.9201122260657983,0.9038329204514176,0.8627254976116774,0.22472998827377647,0.9704579025110783,0.9734121122599705,7.321270310192023,7.370014771048744,4.850592750251684,4.8141514337683535,0.16666666666666666,-0.005347593582887722,0.07264037213627364,-0.061945184970498245
19,0.9705882352941176,0.9679144385026738,0.9679144385026738,0.5213903743315508,0.9992614475627769,0.9977843426883308,1.0,0.5014771048744461,0.9705882352941176,0.9679144385026738,0.9679144385026738,0.5213903743315508,0.9293098337240953,0.9182724252491694,0.8961195855426625,0.22472998827377647,0.9697193500738552,0.9719350073855244,7.73781388478582,7.757754800590842,5.250951708437392,5.240187462583852,0.0,-0.002673796791443861,0.06333384600171052,-0.05798625241882283
20,0.9732620320855615,0.9679144385026738,0.9518716577540107,0.5213903743315508,0.9985228951255539,0.9977843426883308,1.0,0.5014771048744461,0.9732620320855615,0.9679144385026738,0.9518716577540107,0.5213903743315508,0.9378460686600221,0.9182724252491694,0.8898462812954792,0.22472998827377647,0.9711964549483013,0.9741506646971935,8.137370753323486,8.144017725258493,5.636073808957011,5.7085954975371624,0.25,-0.005347593582887722,0.0648428800622566,-0.05414769289648118
21,0.9705882352941176,0.9652406417112299,0.9759358288770054,0.5213903743315508,0.9985228951255539,0.9992614475627769,1.0,0.5014771048744461,0.9705882352941176,0.9652406417112299,0.9759358288770054,0.5213903743315508,0.9293098337240953,0.9102587135298918,0.8946592560497244,0.22472998827377647,0.9726735598227474,0.9726735598227474,8.556129985228951,8.547267355982274,6.026967823749788,6.10532175569073,0.25,-0.005347593582887722,0.06250954672892325,-0.051814359563147845
22,0.9732620320855615,0.9652406417112299,0.9652406417112299,0.5213903743315508,0.9985228951255539,0.9977843426883308,1.0,0.5014771048744461,0.9732620320855615,0.9652406417112299,0.9652406417112299,0.5213903743315508,0.9378460686600221,0.9102587135298918,0.9098355938141234,0.22472998827377647,0.9704579025110783,0.9741506646971935,8.96381093057607,8.938700147710488,6.480693369641898,6.569898041122391,1.3333333333333333,-0.008021390374331583,0.061680235225602786,-0.045637454476939676
23,0.9732620320855615,0.9679144385026738,0.9705882352941176,0.5213903743315508,0.9992614475627769,0.9985228951255539,1.0,0.5014771048744461,0.9732620320855615,0.9679144385026738,0.9705882352941176,0.5213903743315508,0.9378460686600221,0.9246982183276438,0.898539493670578,0.22472998827377647,0.9689807976366323,0.9741506646971935,9.3397341211226,9.351550960118168,6.915771946175549,7.010482101591362,0.5,-0.005347593582887722,0.05538746593818589,-0.044692278772410485
24,0.9732620320855615,0.9652406417112299,0.9679144385026738,0.5213903743315508,0.9985228951255539,0.9985228951255539,1.0,0.5014771048744461,0.9732620320855615,0.9652406417112299,0.9679144385026738,0.5213903743315508,0.931165634412725,0.9102587135298918,0.9121938317753082,0.22472998827377647,0.9704579025110783,0.9726735598227474,9.744460856720828,9.766617429837519,7.45248379901544,7.445175776206443,0.8,-0.008021390374331583,0.060601320404458384,-0.04455853965579527
25,0.9732620320855615,0.9679144385026738,0.9705882352941176,0.5213903743315508,0.9985228951255539,0.9992614475627769,1.0,0.5014771048744461,0.9732620320855615,0.9679144385026738,0.9705882352941176,0.5213903743315508,0.9378460686600221,0.9246982183276438,0.9042423257978766,0.22472998827377647,0.9726735598227474,0.9726735598227474,10.137370753323486,10.1602658788774,7.926596747683253,8.016620824307942,0.5,-0.005347593582887722,0.05197877028601197,-0.04128358312023658
26,0.9732620320855615,0.9679144385026738,0.9652406417112299,0.5213903743315508,0.9985228951255539,0.9992614475627769,1.0,0.5014771048744461,0.9732620320855615,0.9679144385026738,0.9652406417112299,0.5213903743315508,0.9378460686600221,0.9246982183276438,0.9063009731953862,0.22472998827377647,0.9697193500738552,0.9719350073855244,10.548744460856721,10.581240768094535,8.378394321863972,8.5177344381275,0.5,-0.005347593582887722,0.050471077978319664,-0.039775890812544276
27,0.9732620320855615,0.9652406417112299,0.9598930481283422,0.5213903743315508,0.9985228951255539,0.9992614475627769,1.0,0.5014771048744461,0.9732620320855615,0.9652406417112299,0.9598930481283422,0.5213903743315508,0.9378460686600221,0.9226652587542052,0.8762481340625595,0.22472998827377647,0.9697193500738552,0.9711964549483013,10.974889217134416,10.971935007385524,8.948715718814702,9.210348919919705,1.3333333333333333,-0.008021390374331583,0.05343107697644453,-0.037388296227781434
28,0.9732620320855615,0.9679144385026738,0.9652406417112299,0.5213903743315508,0.9985228951255539,0.9985228951255539,1.0,0.5014771048744461,0.9732620320855615,0.9679144385026738,0.9652406417112299,0.5213903743315508,0.9378460686600221,0.9246982183276438,0.8956165739094504,0.22472998827377647,0.9711964549483013,0.9711964549483013,11.380354505169867,11.402511078286558,9.490912762554649,9.688731169109566,0.5,-0.005347593582887722,0.047778770286011976,-0.037083583120236574
29,0.9732620320855615,0.9679144385026738,0.9679144385026738,0.5213903743315508,1.0,0.9992614475627769,1.0,0.5014771048744461,0.9732620320855615,0.9679144385026738,0.9679144385026738,0.5213903743315508,0.9378460686600221,0.9246982183276438,0.9144573275373934,0.22472998827377647,0.9711964549483013,0.9719350073855244,11.779911373707533,11.833825701624816,10.018011662691483,10.116021648215519,0.5,-0.005347593582887722,0.04657187373428784,-0.035876686568512436
30,0.9732620320855615,0.9679144385026738,0.9625668449197861,0.5213903743315508,1.0,0.9992614475627769,1.0,0.5014771048744461,0.9732620320855615,0.9679144385026738,0.9625668449197861,0.5213903743315508,0.9378460686600221,0.9246982183276438,0.9015708556149733,0.22472998827377647,0.9704579025110783,0.9711964549483013,12.180206794682423,12.242245199409158,10.491336427435906,10.649775499656277,0.5,-0.005347593582887722,0.045445436952678636,-0.03475024978690325
31,0.9732620320855615,0.9679144385026738,0.9598930481283422,0.5213903743315508,1.0,1.0,1.0,0.5014771048744461,0.9732620320855615,0.9679144385026738,0.9598930481283422,0.5213903743315508,0.9378460686600221,0.9246982183276438,0.9059336177060515,0.22472998827377647,0.9697193500738552,0.9741506646971935,12.581979320531758,12.649187592319056,11.096984140161087,11.158828413031237,0.5,-0.005347593582887722,0.04439167351181843,-0.033696486346043025
32,0.9732620320855615,0.9679144385026738,0.9625668449197861,0.5213903743315508,0.9992614475627769,0.9992614475627769,1.0,0.5014771048744461,0.9732620320855615,0.9679144385026738,0.9625668449197861,0.5213903743315508,0.9378460686600221,0.9246982183276438,0.8884336589977939,0.22472998827377647,0.9689807976366323,0.9756277695716395,13.00738552437223,13.05834564254062,11.663932402114172,11.604869121419982,0.5,-0.005347593582887722,0.04340377028601197,-0.032708583120236584
33,0.9732620320855615,0.9705882352941176,0.9679144385026738,0.5213903743315508,1.0,1.0,1.0,0.5014771048744461,0.9732620320855615,0.9705882352941176,0.9679144385026738,0.5213903743315508,0.9378460686600221,0.9265380019658078,0.8955418894655126,0.22472998827377647,0.9682422451994092,0.9756277695716395,13.407680945347119,13.460118168389956,12.325806078661078,12.104887648161146,0.0,-0.002673796791443861,0.041451868330259184,-0.036104274747371476
34,0.9732620320855615,0.9705882352941176,0.9705882352941176,0.5213903743315508,0.9992614475627769,1.0,1.0,0.5014771048744461,0.9732620320855615,0.9705882352941176,0.9705882352941176,0.5213903743315508,0.9378460686600221,0.9201122260657983,0.9137084796111261,0.22472998827377647,0.9682422451994092,0.9748892171344166,13.827178729689807,13.877400295420975,12.785707231341894,12.679257860149477,0.0,-0.002673796791443861,0.04057842804505418,-0.03523083446216649
35,0.9732620320855615,0.9705882352941176,0.9625668449197861,0.5213903743315508,0.9992614475627769,1.0,1.0,0.5014771048744461,0.9732620320855615,0.9705882352941176,0.9625668449197861,0.5213903743315508,0.9378460686600221,0.9201122260657983,0.8878055620716325,0.22472998827377647,0.9675036927621861,0.9756277695716395,14.217872968980798,14.296898079763663,13.468777325804151,13.186031951281745,0.0,-0.002673796791443861,0.03975489863328949,-0.03440730505040178
36,0.9732620320855615,0.9705882352941176,0.9759358288770054,0.5213903743315508,0.9992614475627769,1.0,1.0,0.5014771048744461,0.9732620320855615,0.9705882352941176,0.9759358288770054,0.5213903743315508,0.9378460686600221,0.9265380019658078,0.9208467477159219,0.22472998827377647,0.9682422451994092,0.9748892171344166,14.615214180206795,14.690546528803544,14.103018299939482,13.77886101453646,0.0,-0.002673796791443861,0.03897712085551171,-0.033629527272624
37,0.9732620320855615,0.9705882352941176,0.9732620320855615,0.5213903743315508,1.0,1.0,1.0,0.5014771048744461,0.9732620320855615,0.9705882352941176,0.9732620320855615,0.5213903743315508,0.9378460686600221,0.9201122260657983,0.8924836482078622,0.22472998827377647,0.9689807976366323,0.9741506646971935,15.010339734121123,15.093796159527326,14.807191880100962,14.465276986832288,0.0,-0.002673796791443861,0.03824138511977597,-0.03289379153688826
38,0.9732620320855615,0.9705882352941176,0.9652406417112299,0.5213903743315508,0.9992614475627769,1.0,1.0,0.5014771048744461,0.9732620320855615,0.9705882352941176,0.9652406417112299,0.5213903743315508,0.9378460686600221,0.9265380019658078,0.8744781783681214,0.22472998827377647,0.9697193500738552,0.9741506646971935,15.435745937961595,15.49261447562777,15.521384063656873,15.105426282125736,0.0,-0.002673796791443861,0.037544372317500005,-0.0321967787346123
