numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9410029498525073,0.943952802359882,0.8938053097345132,0.48672566371681414,0.9690424766018718,0.9827213822894169,0.9438444924406048,0.5003599712023038,0.9410029498525073,0.943952802359882,0.8938053097345132,0.48672566371681414,0.8506897032521107,0.8539923014173548,0.7808505815042919,0.2100787520823868,0.42764578833693306,0.4406047516198704,0.3966882649388049,0.42332613390928725,0.17231424564189787,0.15025095882663225,0.0,0.002949852507374673,1.0047800370247744,-1.0106797420395235
2,0.9557522123893806,0.9469026548672567,0.8849557522123894,0.48672566371681414,0.9812814974802015,0.9791216702663786,0.9640028797696184,0.5003599712023038,0.9557522123893806,0.9469026548672567,0.8849557522123894,0.48672566371681414,0.8946918047688972,0.8831460400975804,0.7395148410966061,0.2100787520823868,0.660187185025198,0.6810655147588193,0.7976961843052556,0.830093592512599,0.33470704326872636,0.31478874121285333,0.23529411764705882,-0.008849557522123908,0.522706769272576,-0.5050076542283282
3,0.967551622418879,0.9469026548672567,0.9823008849557522,0.48672566371681414,0.9920806335493161,0.9906407487401008,0.9899208063354932,0.5003599712023038,0.967551622418879,0.9469026548672567,0.9823008849557522,0.48672566371681414,0.9252965803584359,0.8492770976199888,0.9573574530247877,0.2100787520823868,0.7782577393808495,0.8207343412526998,1.195104391648668,1.2562994960403169,0.5256977487277238,0.49080881429718937,2.4,-0.020648967551622377,0.3698157346283419,-0.328517799525097
4,0.9528023598820059,0.9528023598820059,0.9469026548672567,0.48672566371681414,0.9870410367170627,0.9870410367170627,0.9892008639308856,0.5003599712023038,0.9528023598820059,0.9528023598820059,0.9469026548672567,0.48672566371681414,0.9025719495367632,0.897720297605208,0.9047229131445416,0.2100787520823868,0.857451403887689,0.8833693304535637,1.593952483801296,1.6645068394528437,0.7205759218170844,0.6919529287935747,0.125,0.0,0.26135314797788356,-0.26135314797788356
5,0.9734513274336283,0.9616519174041298,0.9528023598820059,0.48672566371681414,0.9949604031677466,0.9935205183585313,0.9971202303815695,0.5003599712023038,0.9734513274336283,0.9616519174041298,0.9528023598820059,0.48672566371681414,0.9618654479335593,0.9120512319305984,0.9232421325444581,0.2100787520823868,0.912167026637869,0.9128869690424766,2.021598272138229,2.0532757379409645,0.8505780934201315,0.9694396516377581,1.5,-0.01179941002949847,0.2220172445288587,-0.19841842446986166
6,0.9705014749262537,0.9646017699115044,0.9587020648967551,0.48672566371681414,0.994240460763139,0.9935205183585313,0.9949604031677466,0.5003599712023038,0.9705014749262537,0.9646017699115044,0.9587020648967551,0.48672566371681414,0.9599342828879744,0.9141311697092629,0.9200139445101534,0.2100787520823868,0.9366450683945284,0.9352051835853131,2.4204463642908567,2.4715622750179986,1.037591458327079,1.1890580554235994,0.16666666666666666,-0.005899705014749346,0.1834091985970794,-0.17160978856758088
7,0.976401179941003,0.967551622418879,0.943952802359882,0.48672566371681414,0.9978401727861771,0.994240460763139,0.9971202303815695,0.5003599712023038,0.976401179941003,0.967551622418879,0.943952802359882,0.48672566371681414,0.9638104033884085,0.9453110433087548,0.9042131889506068,0.2100787520823868,0.9460043196544277,0.9474442044636429,2.8070554355651547,2.8545716342692584,1.3237154345776108,1.427302958443727,1.3333333333333333,-0.008849557522123908,0.15890798767446018,-0.14120887263021237
8,0.976401179941003,0.967551622418879,0.9410029498525073,0.48672566371681414,0.9964002879769619,0.9949604031677466,0.9956803455723542,0.5003599712023038,0.976401179941003,0.967551622418879,0.9410029498525073,0.48672566371681414,0.963932962688929,0.9272570488550558,0.8755521809055614,0.2100787520823868,0.9575233981281498,0.9517638588912887,3.2275017998560114,3.2649388048956083,1.5299309615486099,1.7353382169750833,0.8,-0.008849557522123908,0.14431213362898115,-0.1266130185847334
9,0.9793510324483776,0.9646017699115044,0.9734513274336283,0.48672566371681414,0.9985601151907847,0.994240460763139,0.9992800575953924,0.5003599712023038,0.9793510324483776,0.9646017699115044,0.9734513274336283,0.48672566371681414,0.9658787491604828,0.9250338882846159,0.9295312181187513,0.2100787520823868,0.9640028797696184,0.9560835133189345,3.624190064794816,3.663786897048236,1.8141941420616454,2.0432331460771387,2.2857142857142856,-0.014749262536873253,0.1390154877615513,-0.10951696268780498
10,0.976401179941003,0.9646017699115044,0.943952802359882,0.48672566371681414,0.9971202303815695,0.994240460763139,0.9985601151907847,0.5003599712023038,0.976401179941003,0.9646017699115044,0.943952802359882,0.48672566371681414,0.963932962688929,0.9250338882846159,0.900456297515121,0.2100787520823868,0.9704823614110871,0.9582433405327574,4.028797696184305,4.06983441324694,2.09988291205724,2.3646157498827316,1.125,-0.01179941002949858,0.126200726441538,-0.10260190638254095
11,0.976401179941003,0.9616519174041298,0.967551622418879,0.48672566371681414,0.9992800575953924,0.9949604031677466,1.0,0.5003599712023038,0.976401179941003,0.9616519174041298,0.967551622418879,0.48672566371681414,0.963932962688929,0.9120512319305984,0.8663935825226148,0.2100787520823868,0.9690424766018718,0.9582433405327574,4.438444924406047,4.473722102231822,2.356072282292495,2.647213156164888,2.2857142857142856,-0.014749262536873142,0.11921750796357149,-0.08971898288982517
12,0.976401179941003,0.9705014749262537,0.9557522123893806,0.48672566371681414,0.9971202303815695,0.9956803455723542,1.0,0.5003599712023038,0.976401179941003,0.9705014749262537,0.9557522123893806,0.48672566371681414,0.9754171662041577,0.9291434390570661,0.912249325974421,0.2100787520823868,0.9676025917926566,0.9611231101511879,4.854571634269258,4.889848812095033,2.6498989648099656,2.9841847303767244,0.16666666666666666,-0.005899705014749235,0.10174253193041274,-0.08994312190091422
13,0.9793510324483776,0.967551622418879,0.9469026548672567,0.48672566371681414,1.0,0.9971202303815695,0.9985601151907847,0.5003599712023038,0.9793510324483776,0.967551622418879,0.9469026548672567,0.48672566371681414,0.9658787491604828,0.9161957903005937,0.8809661066058952,0.2100787520823868,0.9683225341972642,0.9604031677465803,5.2570194384449245,5.307415406767459,2.9909701105000894,3.280692607703104,2.25,-0.01179941002949858,0.0988154679581218,-0.07521664789912474
14,0.9734513274336283,0.9705014749262537,0.9351032448377581,0.48672566371681414,0.9978401727861771,0.9964002879769619,0.9992800575953924,0.5003599712023038,0.9734513274336283,0.9705014749262537,0.935103244837758,0.48672566371681414,0.9620008768261383,0.9291434390570661,0.8840580231303722,0.2100787520823868,0.9712023038156947,0.9625629949604032,5.657307415406767,5.7105831533477325,3.3386656528392313,3.6229090468648932,0.0,-0.002949852507374562,0.08825004452878624,-0.08235033951403697
15,0.976401179941003,0.9705014749262537,0.976401179941003,0.48672566371681414,0.9985601151907847,0.9978401727861771,1.0,0.5003599712023038,0.976401179941003,0.9705014749262537,0.976401179941003,0.48672566371681414,0.963932962688929,0.9336241312679547,0.9511361948187003,0.2100787520823868,0.9712023038156947,0.9654427645788337,6.064794816414687,6.116630669546436,3.7086274595705415,3.9813777583864933,0.25,-0.005899705014749235,0.0828135028123689,-0.07101409278287038
16,0.976401179941003,0.9705014749262537,0.9646017699115044,0.48672566371681414,0.9978401727861771,0.9971202303815695,1.0,0.5003599712023038,0.976401179941003,0.9705014749262537,0.9646017699115044,0.48672566371681414,0.9754171662041577,0.9336241312679547,0.9448208319575571,0.2100787520823868,0.9719222462203023,0.9683225341972642,6.462203023758099,6.53491720662347,4.085115875841381,4.388333137416518,0.16666666666666666,-0.005899705014749235,0.08132586526374609,-0.06952645523424757
17,0.9793510324483776,0.9734513274336283,0.9587020648967551,0.48672566371681414,0.9992800575953924,0.9964002879769619,1.0,0.5003599712023038,0.9793510324483776,0.9734513274336283,0.9587020648967551,0.48672566371681414,0.977350024634019,0.9494598512236143,0.8734177744923554,0.2100787520823868,0.9719222462203023,0.9690424766018718,6.869690424766019,6.938084953203743,4.4695056039023235,4.830369626865647,0.25,-0.005899705014749346,0.07512722830256499,-0.06332781827306647
