numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9301675977653632,0.952513966480447,0.8854748603351955,0.44692737430167595,0.9569343065693431,0.9773722627737226,0.9554744525547445,0.5233576642335767,0.9301675977653632,0.952513966480447,0.8854748603351955,0.44692737430167595,0.8618756176577875,0.8860304282602818,0.7906923420582361,0.19836829836829836,0.4153284671532847,0.42627737226277373,0.3722627737226277,0.40364963503649637,0.19271633290982335,0.15812341283067818,1.75,0.022346368715083775,0.9867162047578664,-1.031408942188034
2,0.9217877094972067,0.952513966480447,0.8854748603351955,0.44692737430167595,0.9591240875912409,0.9802919708029197,0.9525547445255474,0.5233576642335767,0.9217877094972067,0.952513966480447,0.8854748603351955,0.44692737430167595,0.8066623260245127,0.8892204117419327,0.7716477816464073,0.19836829836829836,0.6510948905109489,0.6664233576642336,0.7554744525547445,0.8131386861313868,0.3924738845852923,0.3221234749657869,3.7037037037037037,0.030726256983240274,0.4878994568605108,-0.5493519708269913
3,0.9553072625698324,0.9804469273743017,0.9189944134078212,0.44692737430167595,0.9832116788321168,0.9912408759124087,0.9861313868613139,0.5233576642335767,0.9553072625698324,0.9804469273743017,0.9189944134078212,0.44692737430167595,0.8720170776914888,0.946801116516595,0.8297898964128297,0.19836829836829836,0.775912408759124,0.7956204379562044,1.1474452554744525,1.2306569343065694,0.5782075055040397,0.5037271240538059,4.923076923076923,0.025139664804469275,0.3214379308318566,-0.37171726044079517
4,0.9608938547486033,0.9776536312849162,0.9357541899441341,0.44692737430167595,0.983941605839416,0.9934306569343065,0.9861313868613139,0.5233576642335767,0.9608938547486033,0.9776536312849162,0.9357541899441341,0.44692737430167595,0.892429219458246,0.942791656040504,0.815392472458935,0.19836829836829836,0.8540145985401459,0.8700729927007299,1.5576642335766424,1.6423357664233578,0.7986321322831248,0.6716721152084046,3.125,0.016759776536312887,0.2438224864698433,-0.277342039542469
5,0.9636871508379888,0.9832402234636871,0.946927374301676,0.44692737430167595,0.9912408759124087,0.9941605839416059,0.9948905109489051,0.5233576642335767,0.9636871508379888,0.9832402234636871,0.946927374301676,0.44692737430167595,0.908706256682293,0.9598919151109873,0.8961192152728901,0.19836829836829836,0.8934306569343066,0.9072992700729927,1.9474452554744526,2.062773722627737,1.0732929056641125,0.8884675234496863,4.0,0.019553072625698276,0.19299592918403252,-0.23210207443542918
6,0.9692737430167597,0.9832402234636871,0.9301675977653632,0.44692737430167595,0.9912408759124087,0.9941605839416059,0.9934306569343065,0.5233576642335767,0.9692737430167597,0.9832402234636871,0.9301675977653632,0.44692737430167595,0.9125541374420298,0.9598919151109873,0.8896250458386417,0.19836829836829836,0.9145985401459854,0.9364963503649635,2.3635036496350366,2.4656934306569345,1.2782375551277603,1.1325190704132166,2.2857142857142856,0.013966480446927387,0.1639240446807088,-0.19185700557456353
7,0.9748603351955307,0.9832402234636871,0.9692737430167597,0.44692737430167595,0.997080291970803,0.9963503649635036,0.9992700729927008,0.5233576642335767,0.9748603351955307,0.9832402234636871,0.9692737430167597,0.44692737430167595,0.9472209371658854,0.9536671911627758,0.911640091107459,0.19836829836829836,0.9291970802919708,0.9496350364963504,2.7905109489051094,2.883941605839416,1.4680561691353906,1.372149153554361,0.4444444444444444,0.008379888268156388,0.1480676160996052,-0.16482739263591803
8,0.9692737430167597,0.9804469273743017,0.9553072625698324,0.44692737430167595,0.9948905109489051,0.9956204379562044,0.9978102189781022,0.5233576642335767,0.9692737430167597,0.9804469273743017,0.9553072625698324,0.44692737430167595,0.9125541374420298,0.9519277284821326,0.9026856803327391,0.19836829836829836,0.9445255474452555,0.962043795620438,3.204379562043796,3.270802919708029,1.7286377600466578,1.6094649705125503,1.125,0.011173184357541999,0.12685525374509915,-0.14920162246018293
9,0.9776536312849162,0.9860335195530726,0.9581005586592178,0.44692737430167595,0.9978102189781022,0.9978102189781022,0.9992700729927008,0.5233576642335767,0.9776536312849162,0.9860335195530726,0.9581005586592178,0.44692737430167595,0.9491239804116024,0.9555767095034111,0.8956535356347438,0.19836829836829836,0.9496350364963504,0.9664233576642336,3.605109489051095,3.6722627737226277,2.0069643649330793,1.8844132779794993,0.4444444444444444,0.008379888268156388,0.11695650498849407,-0.1337162815248069
10,0.9748603351955307,0.9832402234636871,0.9413407821229051,0.44692737430167595,0.997080291970803,0.9978102189781022,0.9985401459854014,0.5233576642335767,0.9748603351955307,0.9832402234636871,0.9413407821229051,0.44692737430167595,0.940785980362207,0.9537469143684032,0.8283892819038894,0.19836829836829836,0.954014598540146,0.9708029197080292,4.028467153284671,4.087591240875913,2.2993402629725117,2.1325873562777073,0.8,0.008379888268156388,0.10189300939979257,-0.11865278593610543
