numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9047619047619048,0.9187675070028011,0.8263305322128851,0.49299719887955185,0.9715536105032823,0.9664478482859227,0.9452954048140044,0.5251641137855579,0.9047619047619048,0.9187675070028011,0.8263305322128852,0.49299719887955185,0.7962713565338331,0.7468306602290175,0.6539913946444882,0.20653175800234624,0.41575492341356673,0.4274252370532458,0.387308533916849,0.3938730853391685,0.1671319354585096,0.17678168620684256,0.5161290322580645,0.014005602240896309,0.9965970225549885,-1.0246082270367811
2,0.9187675070028011,0.9187675070028011,0.8571428571428571,0.49299719887955185,0.9649890590809628,0.9664478482859227,0.9431072210065645,0.5251641137855579,0.9187675070028011,0.9187675070028011,0.8571428571428571,0.49299719887955185,0.7380522328548644,0.7468306602290175,0.6663558663558664,0.20653175800234624,0.6520787746170679,0.6462436177972283,0.7658643326039387,0.7417943107221007,0.3443156866376435,0.400264948232563,0.03571428571428571,0.0,0.519051386945023,-0.519051386945023
3,0.9495798319327731,0.9439775910364145,0.9299719887955182,0.49299719887955185,0.9912472647702407,0.986870897155361,0.987600291757841,0.5251641137855579,0.9495798319327731,0.9439775910364145,0.9299719887955182,0.49299719887955185,0.851650208470485,0.824928489509546,0.816052105236166,0.20653175800234624,0.7782640408460978,0.7658643326039387,1.1692195477753464,1.1210795040116703,0.5386130457860275,0.5980235155842852,0.0625,-0.0056022408963585235,0.35423737988129694,-0.3430328980885799
4,0.9355742296918768,0.9495798319327731,0.9355742296918768,0.49299719887955185,0.987600291757841,0.9897884755652808,0.986870897155361,0.5251641137855579,0.9355742296918768,0.9495798319327731,0.9355742296918768,0.49299719887955185,0.7926941979819068,0.8536356697198991,0.7961301554070189,0.20653175800234624,0.8482859226841721,0.8395331874544129,1.5193289569657185,1.4850474106491611,0.7988476619355865,0.8326210888737557,0.8421052631578947,0.014005602240896309,0.25496966853217784,-0.28298087301397057
5,0.9663865546218487,0.9663865546218487,0.938375350140056,0.49299719887955185,0.9941648431801605,0.9956236323851203,0.9927060539752006,0.5251641137855579,0.9663865546218487,0.9663865546218487,0.938375350140056,0.49299719887955185,0.9168192612822039,0.9250874047512326,0.9010961488420506,0.20653175800234624,0.8898614150255288,0.8825674690007294,1.8905908096280089,1.864332603938731,1.043216256211286,1.0578229181611178,0.07142857142857142,0.0,0.21654243271170007,-0.21654243271170007
6,0.9551820728291317,0.9607843137254902,0.9411764705882353,0.49299719887955185,0.9934354485776805,0.9956236323851203,0.9948942377826404,0.5251641137855579,0.9551820728291317,0.9607843137254902,0.9411764705882353,0.49299719887955185,0.8699487465047632,0.902771039706358,0.8813603953978286,0.20653175800234624,0.9146608315098468,0.9080962800875274,2.271334792122538,2.241429613420861,1.296294258978157,1.2736460987827825,0.1,0.0056022408963585235,0.175102340467008,-0.1863068222597251
7,0.9719887955182073,0.957983193277311,0.9467787114845938,0.49299719887955185,0.9956236323851203,0.9956236323851203,0.9956236323851203,0.5251641137855579,0.9719887955182073,0.957983193277311,0.9467787114845938,0.49299719887955185,0.9339648367147112,0.900988208479101,0.8909939117102895,0.20653175800234624,0.9270605397520059,0.9190371991247265,2.62582056892779,2.599562363238512,1.6282823894406582,1.5642490255849892,1.4545454545454546,-0.014005602240896309,0.17227239136228384,-0.1442611868804911
8,0.969187675070028,0.9607843137254902,0.927170868347339,0.49299719887955185,0.9956236323851203,0.9970824215900802,0.9956236323851203,0.5251641137855579,0.969187675070028,0.9607843137254902,0.927170868347339,0.49299719887955185,0.930062582345191,0.9149412675598447,0.8644171119917964,0.20653175800234624,0.9328956965718453,0.9314369073668854,3.0094821298322394,2.974471188913202,1.9223211190888183,1.8315795261360932,0.36363636363636365,-0.008403361344537785,0.14913313565763434,-0.1323264129685587
9,0.9719887955182073,0.969187675070028,0.9719887955182073,0.49299719887955185,0.9970824215900802,0.9970824215900802,1.0,0.5251641137855579,0.9719887955182073,0.969187675070028,0.9719887955182073,0.49299719887955185,0.9420027713927583,0.9508404461906698,0.9215619307832423,0.20653175800234624,0.9328956965718453,0.9452954048140044,3.361779722830051,3.37126185266229,2.3179726965640484,2.0645693522961657,0.0,-0.0028011204481792618,0.12816316048970997,-0.12256091959335143
10,0.9663865546218487,0.969187675070028,0.9607843137254902,0.49299719887955185,0.9970824215900802,0.9970824215900802,1.0,0.5251641137855579,0.9663865546218487,0.969187675070028,0.9607843137254902,0.49299719887955185,0.9169704907790086,0.9427368439500353,0.9439635965409161,0.20653175800234624,0.9431072210065645,0.9525893508388038,3.75054704595186,3.7563822027716993,2.5641954977407986,2.3782446332249663,0.0,0.0028011204481792618,0.11341011824821452,-0.11901235914457307
11,0.9803921568627451,0.969187675070028,0.9607843137254902,0.49299719887955185,0.9978118161925602,0.9970824215900802,1.0,0.5251641137855579,0.9803921568627451,0.969187675070028,0.9607843137254902,0.49299719887955185,0.9477127244340358,0.9425819038887305,0.8901954602774275,0.20653175800234624,0.9511305616338439,0.9533187454412837,4.088256746900073,4.134208606856309,2.9117089543710506,2.71846604594974,0.9,-0.011204481792717047,0.11769577717517266,-0.09528681358973848
12,0.9803921568627451,0.969187675070028,0.9411764705882353,0.49299719887955185,0.9978118161925602,0.9978118161925602,1.0,0.5251641137855579,0.9803921568627451,0.969187675070028,0.9411764705882353,0.49299719887955185,0.9670265055489832,0.9425819038887305,0.8521393030799993,0.20653175800234624,0.9547775346462436,0.9547775346462436,4.469000729394603,4.5237053245805985,3.263976693491503,3.054232051412172,1.125,-0.011204481792717047,0.1084432047505674,-0.08603424116513322
