numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9317507418397626,0.9317507418397626,0.9317507418397626,0.4836795252225519,0.9647735442127966,0.9698058950395398,0.9662113587347232,0.503235082674335,0.9317507418397626,0.9317507418397626,0.9317507418397626,0.4836795252225519,0.8590844824914781,0.8361092155524703,0.8856326650912638,0.20350306970025275,0.4270309130122214,0.4076204169662114,0.391804457225018,0.3774263120057513,0.17967017504946842,0.1694413647231622,0.038461538461538464,0.0,1.0096560185360293,-1.0096560185360293
2,0.8902077151335311,0.913946587537092,0.8160237388724035,0.4836795252225519,0.9647735442127966,0.9618979151689432,0.9410496046010065,0.503235082674335,0.890207715133531,0.913946587537092,0.8160237388724035,0.4836795252225519,0.7176288306796782,0.7648890325360914,0.6508602665202857,0.20350306970025275,0.6599568655643422,0.6347951114306255,0.7735442127965493,0.7433501078360891,0.3716335436943275,0.38250189758856445,2.0416666666666665,0.023738872403560873,0.494866216741967,-0.5423439615490886
3,0.9554896142433235,0.9584569732937686,0.9169139465875371,0.4836795252225519,0.9892163910855499,0.9892163910855499,0.9899352983465133,0.503235082674335,0.9554896142433235,0.9584569732937686,0.9169139465875371,0.4836795252225519,0.9049827357142408,0.9193503753630337,0.8389376276797361,0.20350306970025275,0.7757009345794392,0.7706685837526959,1.1466570812365204,1.1344356578001438,0.5755329546154959,0.5942199886591878,0.0,0.0029673590504450953,0.3462268986158431,-0.3521616167167333
4,0.9525222551928784,0.9495548961424333,0.9347181008902077,0.4836795252225519,0.9863407620416966,0.9849029475197699,0.9834651329978433,0.503235082674335,0.9525222551928784,0.9495548961424333,0.9347181008902077,0.4836795252225519,0.8716896988286057,0.8574293901849364,0.8670981439627423,0.20350306970025275,0.8511861969805895,0.8483105679367362,1.543493889288282,1.5269590222861251,0.7916811014619627,0.8292955521781018,0.0,-0.0029673590504450953,0.2719495320234783,-0.26601481392258813
5,0.9643916913946587,0.9525222551928784,0.9525222551928784,0.4836795252225519,0.9920920201294033,0.9920920201294033,0.9964054636951833,0.503235082674335,0.9643916913946587,0.9525222551928784,0.9525222551928784,0.4836795252225519,0.907869142351901,0.8902556419737345,0.8978054929453779,0.20350306970025275,0.8892882818116463,0.888569374550683,1.9266714593817398,1.8943206326383897,1.0471463915561259,1.1295361520207419,0.6428571428571429,-0.011869436201780381,0.22966787280409012,-0.2059290004005293
6,0.9584569732937686,0.9495548961424333,0.9673590504451038,0.4836795252225519,0.9906542056074766,0.9899352983465133,0.9928109273903667,0.503235082674335,0.9584569732937686,0.9495548961424333,0.9673590504451038,0.4836795252225519,0.8759166039989071,0.8733201581027668,0.8995621879860902,0.20350306970025275,0.914450035945363,0.9072609633357297,2.3163191948238677,2.265995686556434,1.3061902411357347,1.4421751868710164,0.3076923076923077,-0.008902077151335286,0.19322691081738766,-0.17542275651471703
7,0.9643916913946587,0.9584569732937686,0.9554896142433235,0.4836795252225519,0.9935298346513299,0.9949676491732566,1.0,0.503235082674335,0.9643916913946587,0.9584569732937686,0.9554896142433235,0.4836795252225519,0.9117103511396888,0.8939407993069057,0.8976650977119917,0.20350306970025275,0.9230769230769231,0.9245147375988497,2.6951833213515455,2.6448598130841123,1.5653666314633732,1.72994473052311,0.07142857142857142,-0.005934718100890191,0.16770550924299313,-0.1558360730412127
8,0.9614243323442137,0.9554896142433235,0.9673590504451038,0.4836795252225519,0.9928109273903667,0.9892163910855499,0.9964054636951833,0.503235082674335,0.9614243323442137,0.9554896142433235,0.9673590504451038,0.4836795252225519,0.8963286377600894,0.8834641120997941,0.942456905850543,0.20350306970025275,0.9338605319913731,0.9317038102084831,3.0567936736161037,3.01941049604601,1.8757281177816532,2.0836771431816152,0.08333333333333333,-0.005934718100890191,0.14859197690983572,-0.13672254070805528
9,0.9614243323442137,0.9554896142433235,0.9495548961424333,0.4836795252225519,0.9964054636951833,0.9949676491732566,0.9978432782171099,0.503235082674335,0.9614243323442137,0.9554896142433235,0.9495548961424333,0.4836795252225519,0.9096695101171297,0.883272584333905,0.8702502702098934,0.20350306970025275,0.9410496046010065,0.9410496046010065,3.415528396836808,3.393242271746945,2.205013992506638,2.407004040712308,0.1,-0.005934718100890191,0.13322640075671993,-0.12135696455493951
10,0.9614243323442137,0.9584569732937686,0.9673590504451038,0.4836795252225519,0.99568655643422,0.9949676491732566,0.9992810927390366,0.503235082674335,0.9614243323442137,0.9584569732937686,0.9673590504451038,0.4836795252225519,0.9098462120151908,0.885471501621563,0.9312710893577977,0.20350306970025275,0.9460819554277499,0.9511143062544932,3.7843278217109995,3.7828900071890725,2.5357256532985186,2.68167854199256,0.0,-0.0029673590504450953,0.1184183064017916,-0.11248358830090138
11,0.9643916913946587,0.9643916913946587,0.9584569732937686,0.4836795252225519,0.9971243709561467,0.9964054636951833,0.9992810927390366,0.503235082674335,0.9643916913946587,0.9643916913946587,0.9584569732937686,0.4836795252225519,0.9279783182444863,0.9028215322718388,0.8510576629965653,0.20350306970025275,0.9482386772106398,0.9496764917325665,4.1639108554996405,4.148813803019411,2.940904776724591,3.098493752710433,0.125,0.0,0.10554110839210355,-0.10554110839210355
12,0.9643916913946587,0.9584569732937686,0.9495548961424333,0.4836795252225519,0.99568655643422,0.9964054636951833,1.0,0.503235082674335,0.9643916913946587,0.9584569732937686,0.9495548961424333,0.4836795252225519,0.9404136870513453,0.8708692528735632,0.8867830086580086,0.20350306970025275,0.9518332135154565,0.9511143062544932,4.528396836808052,4.521926671459382,3.299715033109891,3.5029144324977284,0.1,-0.005934718100890191,0.10600417853449773,-0.09413474233271729
13,0.9643916913946587,0.9614243323442137,0.9614243323442137,0.4836795252225519,0.9971243709561467,0.9978432782171099,1.0,0.503235082674335,0.9643916913946587,0.9614243323442137,0.9614243323442137,0.4836795252225519,0.9279783182444863,0.887494824628852,0.9147958144228265,0.20350306970025275,0.9525521207764198,0.9532710280373832,4.913012221423436,4.907979870596693,3.6928087599437087,3.88971658753435,0.0,-0.0029673590504450953,0.09580292178640698,-0.08986820368551676
14,0.9703264094955489,0.9643916913946587,0.9554896142433235,0.4836795252225519,0.9964054636951833,0.9964054636951833,0.9992810927390366,0.503235082674335,0.9703264094955489,0.9643916913946587,0.9554896142433235,0.4836795252225519,0.9353893440439791,0.9028215322718388,0.8574946462652233,0.20350306970025275,0.9568655643421998,0.9575844716031632,5.299065420560748,5.310567936736161,4.032316917808477,4.305151286717652,0.16666666666666666,-0.005934718100890191,0.09019509291728432,-0.07832565671550391
15,0.9703264094955489,0.9673590504451038,0.9614243323442137,0.4836795252225519,0.9971243709561467,0.9985621854780733,1.0,0.503235082674335,0.9703264094955489,0.9673590504451038,0.9614243323442137,0.4836795252225519,0.9446604950956217,0.9218935813860818,0.8934463156587826,0.20350306970025275,0.9568655643421998,0.9597411933860532,5.675053918044572,5.7016534867002155,4.451055490468256,4.674601028543486,0.0,-0.0029673590504450953,0.08130957530795596,-0.07537485720706574
16,0.9703264094955489,0.9703264094955489,0.9673590504451038,0.4836795252225519,0.9964054636951833,0.9964054636951833,1.0,0.503235082674335,0.9703264094955489,0.9703264094955489,0.9673590504451038,0.4836795252225519,0.9282715615212527,0.9191978958575501,0.9133495638060458,0.20350306970025275,0.9597411933860532,0.9604601006470166,6.058231488138031,6.108554996405464,4.8507607674355215,5.186654692708726,0.25,0.0,0.0728820474777448,-0.0728820474777448
17,0.9673590504451038,0.9673590504451038,0.9762611275964391,0.4836795252225519,0.9985621854780733,0.9978432782171099,1.0,0.503235082674335,0.9673590504451038,0.9673590504451038,0.9762611275964391,0.4836795252225519,0.942456905850543,0.9209102152031003,0.9273493237624196,0.20350306970025275,0.9583033788641265,0.9618979151689432,6.426312005751258,6.488138030194105,5.388766498446304,5.693424491503747,0.16666666666666666,0.0,0.07189334931568084,-0.07189334931568084
18,0.973293768545994,0.973293768545994,0.9554896142433235,0.4836795252225519,0.9971243709561467,0.9971243709561467,1.0,0.503235082674335,0.973293768545994,0.973293768545994,0.9554896142433235,0.4836795252225519,0.9467215328332506,0.9374512691708934,0.8839811846942287,0.20350306970025275,0.9618979151689432,0.9611790079079798,6.819554277498202,6.8892882818116465,5.828424584127883,6.1917913818313925,0.25,0.0,0.06607649192218924,-0.06607649192218924
19,0.9703264094955489,0.9703264094955489,0.9703264094955489,0.4836795252225519,0.9985621854780733,0.9985621854780733,1.0,0.503235082674335,0.9703264094955489,0.9703264094955489,0.9703264094955489,0.4836795252225519,0.9445168696246283,0.9352677960382867,0.9163722774064738,0.20350306970025275,0.9647735442127966,0.9640546369518332,7.222142343637671,7.2796549245147375,6.195402382350891,6.6689733062565235,0.16666666666666666,0.0,0.06582523786057247,-0.06582523786057247
20,0.973293768545994,0.9703264094955489,0.9881305637982196,0.4836795252225519,0.9985621854780733,0.9978432782171099,1.0,0.503235082674335,0.973293768545994,0.9703264094955489,0.9881305637982196,0.4836795252225519,0.9467215328332506,0.9191978958575501,0.9724688394043233,0.20350306970025275,0.9676491732566499,0.9633357296908699,7.610352264557872,7.654924514737599,6.622854361410558,7.185756349263481,0.0,-0.0029673590504450953,0.06497624197462262,-0.05904152387373242
