numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9404761904761905,0.8988095238095238,0.8809523809523809,0.5178571428571429,0.9425287356321839,0.9547413793103449,0.9554597701149425,0.514367816091954,0.9404761904761905,0.8988095238095238,0.8809523809523809,0.5178571428571429,0.8668920274476735,0.7793886632885285,0.6888578248017373,0.2133757435558493,0.40301724137931033,0.4109195402298851,0.34554597701149425,0.3656609195402299,0.21821362575864228,0.1963262716955972,4.225,-0.04166666666666663,1.0588279455486986,-0.9754946122153653
2,0.9464285714285714,0.9107142857142857,0.875,0.5178571428571429,0.9619252873563219,0.9576149425287356,0.9554597701149425,0.514367816091954,0.9464285714285714,0.9107142857142857,0.875,0.5178571428571429,0.8919018786448264,0.8124992167919799,0.7512796027501909,0.2133757435558493,0.6314655172413793,0.6408045977011494,0.7320402298850575,0.7521551724137931,0.40437824556802515,0.383811393830174,5.041666666666667,-0.0357142857142857,0.5545456922009626,-0.4831171207723912
3,0.9732142857142857,0.9315476190476191,0.9494047619047619,0.5178571428571429,0.9877873563218391,0.9870689655172413,0.9899425287356322,0.514367816091954,0.9732142857142857,0.9315476190476191,0.9494047619047619,0.5178571428571429,0.9538746233634643,0.8517316017316017,0.8229883900642271,0.2133757435558493,0.7650862068965517,0.7636494252873564,1.1278735632183907,1.105603448275862,0.6267820967634619,0.5836579038488863,7.041666666666667,-0.04166666666666663,0.39725592318458464,-0.31392258985125127
4,0.9583333333333334,0.9375,0.8898809523809523,0.5178571428571429,0.9863505747126436,0.9813218390804598,0.9806034482758621,0.514367816091954,0.9583333333333334,0.9375,0.8898809523809523,0.5178571428571429,0.9543956043956044,0.8443987385163856,0.7536640493500477,0.2133757435558493,0.8326149425287356,0.8362068965517241,1.4755747126436782,1.4942528735632183,0.8709386892622947,0.7890888793293032,1.565217391304348,-0.02083333333333337,0.29389756810195206,-0.2522309014352854
5,0.9642857142857143,0.9494047619047619,0.9523809523809523,0.5178571428571429,0.9949712643678161,0.992816091954023,0.9942528735632183,0.514367816091954,0.9642857142857143,0.9494047619047619,0.9523809523809523,0.5178571428571429,0.9399698340874811,0.8823335244732625,0.8456384935838959,0.2133757435558493,0.8771551724137931,0.8814655172413793,1.867816091954023,1.8728448275862069,1.0705734493602703,1.0390462364479587,1.2307692307692308,-0.014880952380952439,0.2319734377682844,-0.20221153300637965
6,0.9553571428571429,0.9613095238095238,0.9226190476190477,0.5178571428571429,0.9935344827586207,0.9913793103448276,0.9956896551724138,0.514367816091954,0.9553571428571429,0.9613095238095238,0.9226190476190477,0.5178571428571429,0.9341261808367072,0.9171035302958999,0.8642171605484299,0.2133757435558493,0.9116379310344828,0.9102011494252874,2.2557471264367814,2.2507183908045976,1.30112183059667,1.2519378644409151,0.05555555555555555,0.005952380952380931,0.18213787247600038,-0.1940426343807623
7,0.9761904761904762,0.9702380952380952,0.9464285714285714,0.5178571428571429,0.9971264367816092,0.9978448275862069,0.9978448275862069,0.514367816091954,0.9761904761904762,0.9702380952380952,0.9464285714285714,0.5178571428571429,0.9549545369703758,0.9400122228042606,0.8546909263252898,0.2133757435558493,0.9245689655172413,0.923132183908046,2.605603448275862,2.6307471264367814,1.5806233091014463,1.5305125585567136,0.1,-0.005952380952380931,0.16440997750150863,-0.1525052155967467
8,0.9672619047619048,0.9583333333333334,0.9345238095238095,0.5178571428571429,0.9978448275862069,0.9956896551724138,0.9978448275862069,0.514367816091954,0.9672619047619048,0.9583333333333334,0.9345238095238095,0.5178571428571429,0.9489855072463768,0.9003540305010893,0.8359824112362513,0.2133757435558493,0.9346264367816092,0.9310344827586207,2.9956896551724137,2.9863505747126435,1.8290812800936436,1.8950198742666011,0.3076923076923077,-0.008928571428571397,0.152482610695288,-0.13462546783814516
9,0.9702380952380952,0.9642857142857143,0.9553571428571429,0.5178571428571429,0.9985632183908046,0.9992816091954023,1.0,0.514367816091954,0.9702380952380952,0.9642857142857143,0.9553571428571429,0.5178571428571429,0.9509600021162901,0.912215320910973,0.8779535753030828,0.2133757435558493,0.9439655172413793,0.9367816091954023,3.3735632183908044,3.3649425287356323,2.177155437062193,2.207336238644943,0.08333333333333333,-0.005952380952380931,0.13505855022033975,-0.12315378831557783
10,0.9642857142857143,0.9642857142857143,0.9702380952380952,0.5178571428571429,0.9978448275862069,0.9985632183908046,0.9992816091954023,0.514367816091954,0.9642857142857143,0.9642857142857143,0.9702380952380952,0.5178571428571429,0.9399698340874811,0.9233302209772797,0.9372763052085535,0.2133757435558493,0.9511494252873564,0.9425287356321839,3.7485632183908044,3.7413793103448274,2.4701357615209383,2.536841354052232,0.07142857142857142,0.0,0.11982633475618132,-0.11982633475618132
11,0.9672619047619048,0.9642857142857143,0.9553571428571429,0.5178571428571429,0.9985632183908046,0.9992816091954023,0.9978448275862069,0.514367816091954,0.9672619047619048,0.9642857142857143,0.9553571428571429,0.5178571428571429,0.9419467330124807,0.9233302209772797,0.8729433440646798,0.2133757435558493,0.959051724137931,0.9475574712643678,4.131465517241379,4.10632183908046,2.747065369483343,2.8893906745814966,0.0,-0.0029761904761904656,0.1095699928464448,-0.10361761189406384
12,0.9642857142857143,0.9553571428571429,0.9583333333333334,0.5178571428571429,0.9978448275862069,0.9985632183908046,0.9985632183908046,0.514367816091954,0.9642857142857143,0.9553571428571429,0.9583333333333334,0.5178571428571429,0.9286192068800765,0.8943555371245656,0.8815876152832676,0.2133757435558493,0.9619252873563219,0.951867816091954,4.552442528735632,4.474856321839081,3.0263966184522517,3.261610481516342,0.4444444444444444,-0.008928571428571397,0.10812126041444484,-0.09026411755730199
