numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.8876712328767123,0.9123287671232877,0.8849315068493151,0.4821917808219178,0.9369038884812912,0.9655172413793104,0.9559794570799707,0.4988994864269993,0.8876712328767123,0.9123287671232877,0.8849315068493151,0.4821917808219178,0.8567093071688204,0.8135637158765582,0.7713333336398351,0.20402298850574715,0.3873807776962582,0.40498899486427,0.32428466617754953,0.3705062362435803,0.2274492987106402,0.17664377787559052,1.2549019607843137,0.024657534246575352,0.9937743010366316,-1.0430893695297823
2,0.863013698630137,0.9013698630136986,0.8602739726027397,0.4821917808219178,0.9391049156272927,0.962582538517975,0.9493763756419662,0.4988994864269993,0.863013698630137,0.9013698630136986,0.8602739726027397,0.4821917808219178,0.7902394831265124,0.6738894960534305,0.7507126338143818,0.20402298850574715,0.6111518708730741,0.6375641966250917,0.6713132795304475,0.7329420396184886,0.45472626004307454,0.38577917798277556,3.6739130434782608,0.0383561643835616,0.4882759793484535,-0.5649883081155768
3,0.936986301369863,0.9123287671232877,0.9260273972602739,0.4821917808219178,0.983125458547322,0.9889948642699926,0.9853264856933236,0.4988994864269993,0.936986301369863,0.9123287671232877,0.9260273972602739,0.4821917808219178,0.907493297428811,0.7330635552534722,0.8293756165924451,0.20402298850574715,0.7344093910491563,0.7666911225238444,1.0308143800440206,1.111518708730741,0.67776240853897,0.6263579816159355,1.7297297297297298,-0.024657534246575352,0.3840856105323823,-0.3347705420392316
4,0.9178082191780822,0.9205479452054794,0.9123287671232877,0.4821917808219178,0.9867938371239912,0.987527512839325,0.9882611885546588,0.4988994864269993,0.9178082191780822,0.9205479452054794,0.9123287671232877,0.4821917808219178,0.8553014025081065,0.7323594033504432,0.8448611820287074,0.20402298850574715,0.8085106382978723,0.8202494497432135,1.4064563462949375,1.4922964049889949,0.9198364040199692,0.8861178864893758,0.0,0.002739726027397249,0.27215972703678604,-0.27763917909158053
5,0.9397260273972603,0.9452054794520548,0.9342465753424658,0.4821917808219178,0.9933969185619956,0.9948642699926632,0.9963316214233309,0.4988994864269993,0.9397260273972603,0.9452054794520548,0.9342465753424658,0.4821917808219178,0.89157512043582,0.8562809846579786,0.8400193798449612,0.20402298850574715,0.8532648569332355,0.8642699926632429,1.747615553925165,1.8738077769625825,1.2359319905717685,1.1814144138369906,0.041666666666666664,0.005479452054794498,0.21683340213399213,-0.22779230624358118
6,0.9342465753424658,0.947945205479452,0.9342465753424658,0.4821917808219178,0.9926632428466617,0.9933969185619956,0.9977989728539985,0.4988994864269993,0.9342465753424658,0.947945205479452,0.9342465753424658,0.4821917808219178,0.8660380834929933,0.8525797456301435,0.8433961159135099,0.20402298850574715,0.8833455612619222,0.9046221570066031,2.120322817314747,2.280997798972854,1.5160664486243982,1.3956312371836874,0.9411764705882353,0.013698630136986245,0.1718197729219305,-0.19921703319590311
7,0.958904109589041,0.9561643835616438,0.9397260273972603,0.4821917808219178,0.9955979457079971,0.9963316214233309,0.9992663242846662,0.4988994864269993,0.958904109589041,0.9561643835616438,0.9397260273972603,0.4821917808219178,0.9234181845332614,0.8874643448771224,0.8769280244594142,0.20402298850574715,0.9075568598679383,0.9222303741746148,2.4981658107116655,2.6639765223771095,1.7987656468375781,1.6797121281803056,0.0,-0.002739726027397249,0.16353901526917386,-0.15805956321437936
8,0.9616438356164384,0.9506849315068493,0.958904109589041,0.4821917808219178,0.9963316214233309,0.9970652971386648,0.9992663242846662,0.4988994864269993,0.9616438356164384,0.9506849315068493,0.958904109589041,0.4821917808219178,0.9344824977889494,0.866977463297092,0.9205607203643537,0.20402298850574715,0.921496698459281,0.9369038884812912,2.889214966984593,3.019075568598679,2.09307020691152,1.9777191091730892,0.6428571428571429,-0.010958904109589107,0.15358252261617314,-0.13166471439699504
9,0.9698630136986301,0.9643835616438357,0.9561643835616438,0.4821917808219178,0.9970652971386648,0.9985326485693323,0.9992663242846662,0.4988994864269993,0.9698630136986301,0.9643835616438357,0.9561643835616438,0.4821917808219178,0.9481799276098553,0.9047262230716048,0.9127143734986872,0.20402298850574715,0.9347028613352898,0.9383712399119589,3.243580337490829,3.375641966250917,2.4266189499537005,2.3497272657105173,0.08333333333333333,-0.005479452054794498,0.13297858409442398,-0.12201967998483493
10,0.958904109589041,0.958904109589041,0.947945205479452,0.4821917808219178,0.9970652971386648,0.9992663242846662,0.9985326485693323,0.4988994864269993,0.958904109589041,0.958904109589041,0.947945205479452,0.4821917808219178,0.9225498607180209,0.8945480215675594,0.9114095511314975,0.20402298850574715,0.9413059427732942,0.9457079970652972,3.614820249449743,3.7351430667644903,2.7403558133012003,2.685920935880552,0.08333333333333333,0.0,0.11660175113882192,-0.11660175113882192
