numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9088319088319088,0.9487179487179487,0.8974358974358975,0.4700854700854701,0.9578794480755265,0.9745824255628177,0.9607843137254902,0.49818445896877267,0.9088319088319088,0.9487179487179487,0.8974358974358975,0.4700854700854701,0.7268535688005887,0.8123900528914993,0.7353330406129839,0.19178417205863857,0.41466957153231665,0.4241103848946986,0.37254901960784315,0.39869281045751637,0.19096976385218317,0.16263809405596794,4.447368421052632,0.03988603988603989,0.9747883224195604,-1.0545604021916402
2,0.9230769230769231,0.9373219373219374,0.8746438746438746,0.4700854700854701,0.9636891793754538,0.9767610748002905,0.953522149600581,0.49818445896877267,0.9230769230769231,0.9373219373219374,0.8746438746438746,0.4700854700854701,0.730049600347406,0.8208453851327447,0.684395566397641,0.19178417205863857,0.6405228758169934,0.6419753086419753,0.7407407407407407,0.7835875090777051,0.3847025396825082,0.37095595186911495,0.5517241379310345,0.014245014245014231,0.5058628966199119,-0.5343529251099404
3,0.9487179487179487,0.9629629629629629,0.9202279202279202,0.4700854700854701,0.9854756717501816,0.9854756717501816,0.9920116194625999,0.49818445896877267,0.9487179487179487,0.9629629629629629,0.9202279202279202,0.4700854700854701,0.8285214067111755,0.846363746170486,0.8010122322465378,0.19178417205863857,0.756717501815541,0.7770515613652869,1.1103848946986201,1.1880900508351488,0.6162462234096802,0.593300520630281,0.8421052631578947,0.014245014245014231,0.33680752221961835,-0.3652975507096468
4,0.9601139601139601,0.9458689458689459,0.9259259259259259,0.4700854700854701,0.9854756717501816,0.9840232389251997,0.981118373275236,0.49818445896877267,0.9601139601139601,0.9458689458689459,0.9259259259259259,0.4700854700854701,0.8518155410312271,0.8179275106167874,0.7806226786737301,0.19178417205863857,0.8344226579520697,0.8438634713144517,1.4960058097312998,1.5337690631808278,0.8509144639916257,0.8544078508281228,0.9411764705882353,-0.014245014245014231,0.28231680471809956,-0.2538267762280711
5,0.9715099715099715,0.9658119658119658,0.9686609686609686,0.4700854700854701,0.9927378358750908,0.9912854030501089,0.9956427015250545,0.49818445896877267,0.9715099715099715,0.9658119658119658,0.9686609686609686,0.4700854700854701,0.9056227744381055,0.858960210994848,0.8670878080240336,0.19178417205863857,0.878721859114016,0.8925199709513435,1.8663761801016703,1.9419026870007263,1.1242360423977904,1.0686819658262818,0.0625,-0.005698005698005715,0.22404214109918502,-0.2126461297031736
6,0.98005698005698,0.9629629629629629,0.9544159544159544,0.4700854700854701,0.9920116194625999,0.9912854030501089,0.9956427015250545,0.49818445896877267,0.98005698005698,0.9629629629629629,0.9544159544159544,0.4700854700854701,0.9333591195382622,0.8568659885443413,0.8792926335959123,0.19178417205863857,0.9041394335511983,0.9215686274509803,2.2483660130718954,2.299927378358751,1.3433835588367868,1.3286872310592563,2.0833333333333335,-0.017094017094017144,0.19985354125972524,-0.16566550707169106
7,0.9829059829059829,0.9715099715099715,0.9715099715099715,0.4700854700854701,0.9992737835875091,0.9956427015250545,0.9949164851125636,0.49818445896877267,0.9829059829059829,0.9715099715099715,0.9715099715099715,0.4700854700854701,0.9293469231879313,0.890887464460477,0.9207442823350338,0.19178417205863857,0.9208424110384895,0.9302832244008714,2.6209150326797386,2.684095860566449,1.6060705814666991,1.5839838137850266,0.75,-0.011396011396011319,0.1707764180713263,-0.1479843952793035
8,0.9772079772079773,0.9743589743589743,0.9715099715099715,0.4700854700854701,0.9970951343500363,0.9956427015250545,0.9992737835875091,0.49818445896877267,0.9772079772079773,0.9743589743589743,0.9715099715099715,0.4700854700854701,0.9243765396607253,0.9173932577306809,0.9463801082437838,0.19178417205863857,0.9360929557007989,0.9419026870007262,3.016702977487291,3.056644880174292,1.8668725245565407,1.8897050338461263,0.0,-0.002849002849002913,0.14387158507447703,-0.13817357937647132
9,0.98005698005698,0.9772079772079773,0.9658119658119658,0.4700854700854701,0.9985475671750181,0.9963689179375453,1.0,0.49818445896877267,0.98005698005698,0.9772079772079773,0.9658119658119658,0.4700854700854701,0.9447671949393119,0.9254078221291335,0.9522811857481196,0.19178417205863857,0.9397240377632534,0.9455337690631809,3.4248366013071894,3.4379084967320264,2.198248571449584,2.2108093151213017,0.0,-0.002849002849002802,0.1302604739633659,-0.12456246826536019
10,0.9829059829059829,0.9715099715099715,0.9829059829059829,0.4700854700854701,0.9978213507625272,0.9970951343500363,0.9985475671750181,0.49818445896877267,0.9829059829059829,0.9715099715099715,0.9829059829059829,0.4700854700854701,0.9751333593546709,0.9213529289348962,0.9260545583695325,0.19178417205863857,0.9433551198257081,0.9491648511256354,3.7923021060275963,3.8206245461147423,2.5955359059430596,2.5286143481989862,1.125,-0.011396011396011319,0.12523501081396057,-0.1024429880219378
