numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.8989071038251366,0.9098360655737705,0.8715846994535519,0.5109289617486339,0.9500734214390602,0.9669603524229075,0.959618208516887,0.5073421439060205,0.8989071038251366,0.9098360655737705,0.871584699453552,0.5109289617486339,0.7836103156346337,0.8486517207003106,0.6725628986953028,0.2146665306174509,0.3964757709251101,0.41409691629955947,0.3465491923641703,0.381057268722467,0.2036019763457926,0.17490388493786738,0.16071428571428573,0.010928961748633892,1.009161258960585,-1.0310191824578527
2,0.9153005464480874,0.9234972677595629,0.8743169398907104,0.5109289617486339,0.960352422907489,0.9713656387665198,0.9647577092511013,0.5073421439060205,0.9153005464480873,0.9234972677595629,0.8743169398907104,0.5109289617486339,0.8026444226303892,0.8423683543248761,0.6657226845526436,0.2146665306174509,0.6299559471365639,0.6461086637298091,0.7540381791483113,0.7767988252569751,0.37993532439951705,0.3458295435851802,0.12121212121212122,0.008196721311475419,0.5125779699239361,-0.528971412546887
3,0.9644808743169399,0.9398907103825137,0.9207650273224044,0.5109289617486339,0.9919236417033774,0.9897209985315712,0.9801762114537445,0.5073421439060205,0.9644808743169399,0.9398907103825137,0.9207650273224044,0.5109289617486339,0.8513227513227513,0.8321059431524547,0.8437794523040609,0.2146665306174509,0.7569750367107195,0.7804698972099853,1.143906020558003,1.1674008810572687,0.6051788713426459,0.548350714483599,3.764705882352941,-0.024590163934426146,0.37348010746316807,-0.32429977959431566
4,0.953551912568306,0.9426229508196722,0.9016393442622951,0.5109289617486339,0.9941262848751835,0.9919236417033774,0.9845814977973568,0.5073421439060205,0.953551912568306,0.9426229508196722,0.9016393442622952,0.5109289617486339,0.84434203884456,0.8542700532834102,0.6995208280092001,0.2146665306174509,0.8355359765051396,0.8516886930983847,1.52863436123348,1.5212922173274597,0.837368721714639,0.7326462996723361,0.6428571428571429,-0.010928961748633781,0.2759975121155643,-0.2541395886182965
5,0.9562841530054644,0.953551912568306,0.9590163934426229,0.5109289617486339,0.9963289280469897,0.9948604992657856,0.9970631424375918,0.5073421439060205,0.9562841530054644,0.953551912568306,0.9590163934426229,0.5109289617486339,0.8459359812300988,0.8506844978619171,0.9087917716720962,0.2146665306174509,0.882525697503671,0.895741556534508,1.9140969162995596,1.9045521292217327,1.0693408793883248,0.9556852514692152,0.0,-0.002732240437158473,0.21649560618696442,-0.21103112531264748
6,0.9480874316939891,0.9508196721311475,0.9562841530054644,0.5109289617486339,0.9948604992657856,0.9941262848751835,0.9948604992657856,0.5073421439060205,0.9480874316939891,0.9508196721311475,0.9562841530054644,0.5109289617486339,0.8306667042910623,0.867720398970399,0.8873818552505388,0.2146665306174509,0.9038179148311307,0.9155653450807636,2.2452276064610865,2.2819383259911894,1.3668870362900427,1.2394892641298378,0.0,0.002732240437158362,0.18134354830411342,-0.18680802917843037
7,0.9562841530054644,0.9480874316939891,0.9398907103825137,0.5109289617486339,0.9970631424375918,0.9941262848751835,0.9977973568281938,0.5073421439060205,0.9562841530054644,0.9480874316939891,0.9398907103825137,0.5109289617486339,0.8361223571749887,0.8570305153606294,0.9065763631453613,0.2146665306174509,0.9192364170337739,0.9287812041116006,2.5932452276064613,2.656387665198238,1.648926615807573,1.5464434238831677,0.26666666666666666,-0.008196721311475308,0.16895428136762564,-0.15256083874467485
8,0.9480874316939891,0.9617486338797814,0.9453551912568307,0.5109289617486339,0.9970631424375918,0.9941262848751835,0.9977973568281938,0.5073421439060205,0.9480874316939891,0.9617486338797814,0.9453551912568307,0.5109289617486339,0.8188519060932854,0.8836349820392374,0.8922508281642544,0.2146665306174509,0.9346549192364171,0.9434654919236417,2.9596182085168867,3.0447870778267254,1.9002441491623516,1.8324020138899102,1.0666666666666667,0.013661202185792254,0.12962653424108722,-0.15694893861267195
9,0.9562841530054644,0.9562841530054644,0.9508196721311475,0.5109289617486339,0.9977973568281938,0.9933920704845814,0.9985315712187959,0.5073421439060205,0.9562841530054644,0.9562841530054644,0.9508196721311475,0.5109289617486339,0.8361223571749887,0.8590645631813296,0.8663501442236434,0.2146665306174509,0.9478707782672541,0.9478707782672541,3.3237885462555066,3.3906020558002936,2.1676403910746047,2.1679451847264586,0.1,0.0,0.12582349056629333,-0.12582349056629333
10,0.9508196721311475,0.9590163934426229,0.9699453551912568,0.5109289617486339,0.9970631424375918,0.9963289280469897,0.9992657856093979,0.5073421439060205,0.9508196721311475,0.9590163934426229,0.9699453551912568,0.5109289617486339,0.8324718035700694,0.9007753080774044,0.8938564507413598,0.2146665306174509,0.9515418502202643,0.9522760646108663,3.6923641703377386,3.7525697503671074,2.516100455826472,2.4921440175551646,0.26666666666666666,0.008196721311475419,0.11056083874467487,-0.12695428136762568
11,0.9644808743169399,0.9644808743169399,0.953551912568306,0.5109289617486339,0.9992657856093979,0.9963289280469897,0.9992657856093979,0.5073421439060205,0.9644808743169399,0.9644808743169399,0.953551912568306,0.5109289617486339,0.8663111755618387,0.9046836025363872,0.9297854226496316,0.2146665306174509,0.9552129221732746,0.9559471365638766,4.07856093979442,4.131424375917768,2.863781324510339,2.8211432951100366,0.1,0.0,0.10602551076831353,-0.10602551076831353
12,0.9617486338797814,0.9590163934426229,0.9672131147540983,0.5109289617486339,0.9985315712187959,0.9963289280469897,0.9992657856093979,0.5073421439060205,0.9617486338797814,0.9590163934426229,0.9672131147540983,0.5109289617486339,0.8644490524932317,0.884273490817281,0.8949826848389517,0.2146665306174509,0.9552129221732746,0.9610866372980911,4.472834067547724,4.5176211453744495,3.2265397136862526,3.1505633151078585,0.0,-0.002732240437158473,0.10216227285363111,-0.09669779197931416
13,0.9699453551912568,0.9726775956284153,0.9617486338797814,0.5109289617486339,0.9992657856093979,0.9970631424375918,0.9992657856093979,0.5073421439060205,0.9699453551912568,0.9726775956284153,0.9617486338797814,0.5109289617486339,0.8700792175910905,0.9104733299444838,0.8628352490421455,0.2146665306174509,0.9559471365638766,0.9625550660792952,4.795154185022026,4.889133627019089,3.725807700215262,3.5509716977423245,0.0,0.002732240437158473,0.09041574069726288,-0.09588022157157983
14,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.5109289617486339,0.9992657856093979,0.9977973568281938,1.0,0.5073421439060205,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.5109289617486339,0.8774725274725275,0.906549499097576,0.8926011123379545,0.2146665306174509,0.9588839941262849,0.9647577092511013,5.176211453744493,5.285609397944199,4.065382546200113,3.8412365599301888,0.1,0.0,0.08693460167740442,-0.08693460167740442
