numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9194444444444444,0.9083333333333333,0.8972222222222223,0.5194444444444445,0.9649122807017544,0.9605263157894737,0.9619883040935673,0.49853801169590645,0.9194444444444444,0.9083333333333333,0.8972222222222223,0.5194444444444445,0.8425075483683158,0.7929277159965782,0.7801750536194691,0.21581831290555153,0.41154970760233917,0.42105263157894735,0.37646198830409355,0.3815789473684211,0.17826550331727772,0.18672879129984743,0.225,-0.011111111111111072,1.0255639257054299,-1.0033417034832077
2,0.9222222222222223,0.9416666666666667,0.8944444444444445,0.5194444444444445,0.9590643274853801,0.9627192982456141,0.945906432748538,0.49853801169590645,0.9222222222222223,0.9416666666666667,0.8944444444444444,0.5194444444444445,0.8677344133529701,0.8805354574857662,0.7592745638200183,0.21581831290555153,0.6345029239766082,0.652046783625731,0.7368421052631579,0.7763157894736842,0.3849353076752646,0.3842288571438074,1.0285714285714285,0.019444444444444375,0.5028278925951511,-0.5417167814840401
3,0.9638888888888889,0.9555555555555556,0.9027777777777778,0.5194444444444445,0.9868421052631579,0.9788011695906432,0.9824561403508771,0.49853801169590645,0.9638888888888889,0.9555555555555556,0.9027777777777778,0.5194444444444445,0.9295283524959765,0.9267251152702092,0.7793499697808315,0.21581831290555153,0.7668128654970761,0.7755847953216374,1.0994152046783625,1.1425438596491229,0.597443979283188,0.6121950774820372,0.16,-0.008333333333333304,0.3622358299322559,-0.3455691632655892
4,0.9611111111111111,0.9583333333333334,0.9361111111111111,0.5194444444444445,0.9839181286549707,0.9809941520467836,0.9861111111111112,0.49853801169590645,0.9611111111111111,0.9583333333333334,0.9361111111111111,0.5194444444444445,0.9415355280325082,0.9285415410953148,0.883049839612934,0.21581831290555153,0.8391812865497076,0.8391812865497076,1.4685672514619883,1.5182748538011697,0.8231526989953963,0.8525445023275603,0.0,-0.002777777777777768,0.2727290066112798,-0.26717345105572426
5,0.9722222222222222,0.9694444444444444,0.9388888888888889,0.5194444444444445,0.9941520467836257,0.9861111111111112,0.9941520467836257,0.49853801169590645,0.9722222222222222,0.9694444444444444,0.9388888888888889,0.5194444444444445,0.9581455323702515,0.921578476934328,0.8724857302937983,0.21581831290555153,0.8845029239766082,0.8830409356725146,1.8494152046783625,1.8771929824561404,1.0657675229680375,1.126750891279251,0.0,-0.002777777777777768,0.2198659727799569,-0.2143104172244013
6,0.9666666666666667,0.9666666666666667,0.9416666666666667,0.5194444444444445,0.9919590643274854,0.9861111111111112,0.9926900584795322,0.49853801169590645,0.9666666666666667,0.9666666666666667,0.9416666666666667,0.5194444444444445,0.9095042054719474,0.9084025847530511,0.8378189792663477,0.21581831290555153,0.9115497076023392,0.8998538011695907,2.236111111111111,2.2383040935672516,1.3496482531195007,1.4412265836290847,0.07142857142857142,0.0,0.1837045791057692,-0.1837045791057692
7,0.975,0.9638888888888889,0.9555555555555556,0.5194444444444445,0.9963450292397661,0.9890350877192983,0.9963450292397661,0.49853801169590645,0.975,0.9638888888888889,0.9555555555555556,0.5194444444444445,0.9476522506759477,0.9024870285141284,0.8982977709535659,0.21581831290555153,0.9298245614035088,0.9239766081871345,2.6140350877192984,2.6184210526315788,1.5793741656862013,1.686968826570196,0.6428571428571429,-0.011111111111111072,0.17151466657200604,-0.14929244434978384
8,0.975,0.975,0.95,0.5194444444444445,0.9948830409356725,0.9890350877192983,0.9985380116959064,0.49853801169590645,0.975,0.975,0.9500000000000001,0.5194444444444445,0.9477759625796378,0.9163626380741055,0.8540461252123117,0.21581831290555153,0.935672514619883,0.9334795321637427,2.9883040935672516,3.0065789473684212,1.8855125709798946,1.971545218327072,0.1,0.0,0.1397168450386945,-0.1397168450386945
9,0.9777777777777777,0.9694444444444444,0.9694444444444444,0.5194444444444445,0.9963450292397661,0.9904970760233918,0.9992690058479532,0.49853801169590645,0.9777777777777777,0.9694444444444444,0.9694444444444444,0.5194444444444445,0.9495911365629677,0.9064400240167381,0.9563997630959404,0.21581831290555153,0.9429824561403509,0.9429824561403509,3.3523391812865495,3.372076023391813,2.216091104681314,2.2949897678513906,0.36363636363636365,-0.008333333333333304,0.13529990951285145,-0.11863324284618479
10,0.9777777777777777,0.9722222222222222,0.9611111111111111,0.5194444444444445,0.9963450292397661,0.9912280701754386,1.0,0.49853801169590645,0.9777777777777777,0.9722222222222222,0.9611111111111111,0.5194444444444445,0.9505082030167964,0.9234185703758291,0.9060884644885889,0.21581831290555153,0.9510233918128655,0.945906432748538,3.7521929824561404,3.733187134502924,2.4859856132345466,2.645142728943761,0.08333333333333333,-0.005555555555555536,0.12242439386067946,-0.11131328274956834
