numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9174041297935103,0.9380530973451328,0.911504424778761,0.5103244837758112,0.9690424766018718,0.9690424766018718,0.9625629949604032,0.4946004319654428,0.9174041297935103,0.9380530973451328,0.911504424778761,0.5103244837758112,0.7149185710746955,0.7813840528715233,0.7398720354164501,0.20373813410726163,0.4118070554355652,0.42548596112311016,0.380849532037437,0.39452843772498203,0.17111425150201767,0.1721651031479296,1.1612903225806452,0.020648967551622488,0.9916171976378694,-1.0329151327411141
2,0.9144542772861357,0.9380530973451328,0.8997050147492626,0.5103244837758112,0.9654427645788337,0.9755219582433405,0.9668826493880489,0.4946004319654428,0.9144542772861358,0.9380530973451328,0.8997050147492626,0.5103244837758112,0.7161809073440017,0.7578866711957583,0.8098737600937584,0.20373813410726163,0.6450683945284377,0.6429085673146149,0.7508999280057596,0.7919366450683946,0.3508763266846488,0.36632876805610864,1.4411764705882353,0.02359882005899705,0.500207526717725,-0.547405166835719
3,0.9469026548672567,0.9498525073746312,0.9498525073746312,0.5103244837758112,0.994240460763139,0.9906407487401008,0.9906407487401008,0.4946004319654428,0.9469026548672567,0.9498525073746312,0.9498525073746312,0.5103244837758112,0.7652421515201555,0.826688356502021,0.8340566302214747,0.20373813410726163,0.7840172786177105,0.7681785457163427,1.1475881929445644,1.1540676745860332,0.5223057909103432,0.6136249231216464,0.0,0.002949852507374562,0.3489206640452104,-0.3548203690599596
4,0.9498525073746312,0.943952802359882,0.9026548672566371,0.5103244837758112,0.9884809215262779,0.9884809215262779,0.9848812095032398,0.4946004319654428,0.9498525073746312,0.943952802359882,0.9026548672566371,0.5103244837758112,0.7668207835297512,0.8116511399123462,0.8459643153855284,0.20373813410726163,0.8408927285817135,0.8408927285817135,1.5262778977681786,1.5262778977681786,0.788714746334738,0.8641649118634078,0.038461538461538464,-0.005899705014749235,0.2803874506283365,-0.268588040598838
5,0.9646017699115044,0.9557522123893806,0.9321533923303835,0.5103244837758112,0.9956803455723542,0.9956803455723542,0.9935205183585313,0.4946004319654428,0.9646017699115044,0.9557522123893806,0.9321533923303835,0.5103244837758112,0.8254138428354455,0.8487132424741233,0.8305278354012715,0.20373813410726163,0.8840892728581713,0.8862491000719942,1.9085673146148308,1.8876889848812095,1.041354245551871,1.1105643093199222,0.23529411764705882,-0.008849557522123797,0.22870676927257588,-0.21100765422832807
6,0.9646017699115044,0.9587020648967551,0.9498525073746312,0.5103244837758112,0.9949604031677466,0.994240460763139,0.9964002879769619,0.4946004319654428,0.9646017699115044,0.9587020648967551,0.9498525073746312,0.5103244837758112,0.8089424481449021,0.8381717501815541,0.8243976544379022,0.20373813410726163,0.9172066234701224,0.9100071994240461,2.2879769618430528,2.257739380849532,1.2665381277746945,1.3978059322468221,0.05555555555555555,-0.005899705014749235,0.19377079889351692,-0.1819713888640184
7,0.9734513274336283,0.9557522123893806,0.9734513274336283,0.5103244837758112,0.9992800575953924,0.9971202303815695,0.9992800575953924,0.4946004319654428,0.9734513274336283,0.9557522123893806,0.9734513274336283,0.5103244837758112,0.8721140817177403,0.8677790979405461,0.9371116499599472,0.20373813410726163,0.9395248380129589,0.9280057595392368,2.6767458603311733,2.640748740100792,1.464737191988258,1.6183662530448408,2.0833333333333335,-0.017699115044247704,0.17781597534892035,-0.14241774526042478
8,0.976401179941003,0.9587020648967551,0.9498525073746312,0.5103244837758112,0.9978401727861771,0.9971202303815695,0.9985601151907847,0.4946004319654428,0.976401179941003,0.9587020648967551,0.9498525073746312,0.5103244837758112,0.8742611233682662,0.860208968637883,0.8449387003261263,0.20373813410726163,0.953203743700504,0.9416846652267818,3.084233261339093,3.0453563714902807,1.7055527780683175,1.9024160676670285,1.7857142857142858,-0.017699115044247815,0.16191418885748524,-0.12651595876898966
9,0.9705014749262537,0.9528023598820059,0.9351032448377581,0.5103244837758112,0.9985601151907847,0.9985601151907847,1.0,0.4946004319654428,0.9705014749262537,0.9528023598820059,0.935103244837758,0.5103244837758112,0.8523397852291601,0.8210808756398127,0.7930498006717518,0.20373813410726163,0.9560835133189345,0.9546436285097192,3.4542836573074154,3.4341252699784017,2.010391045510332,2.1902725124023337,1.7857142857142858,-0.017699115044247815,0.14830307774637413,-0.11290484765787856
10,0.9734513274336283,0.9557522123893806,0.9410029498525073,0.5103244837758112,0.9978401727861771,0.9992800575953924,0.9985601151907847,0.4946004319654428,0.9734513274336283,0.9557522123893806,0.9410029498525073,0.5103244837758112,0.8721379578924253,0.8504926403456952,0.8663470268931429,0.20373813410726163,0.9553635709143269,0.9575233981281498,3.810655147588193,3.8250539956803458,2.3797859398828343,2.542649754167174,1.7857142857142858,-0.017699115044247704,0.13741418885748524,-0.10201595876898965
11,0.976401179941003,0.9616519174041298,0.976401179941003,0.5103244837758112,0.9992800575953924,1.0,1.0,0.4946004319654428,0.976401179941003,0.9616519174041298,0.976401179941003,0.5103244837758112,0.8742611233682662,0.856436420722135,0.9032390589863345,0.20373813410726163,0.9546436285097192,0.9568034557235421,4.195824334053276,4.205183585313175,2.7060511307050668,2.8778859063442246,1.4545454545454546,-0.014749262536873142,0.1230801091842626,-0.09358158411051629
