numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.8991097922848664,0.913946587537092,0.8902077151335311,0.49258160237388726,0.9475197699496765,0.9583033788641265,0.9690869877785766,0.501078360891445,0.8991097922848664,0.913946587537092,0.890207715133531,0.49258160237388726,0.8394116689486713,0.8515185227289275,0.759704935951999,0.20961045304677006,0.402588066139468,0.40115025161754136,0.3501078360891445,0.35945363048166784,0.20886499386732496,0.1890720952229385,0.43243243243243246,0.014836795252225587,1.000576143708481,-1.030249734212932
2,0.9287833827893175,0.9258160237388724,0.884272997032641,0.49258160237388726,0.9611790079079798,0.9662113587347232,0.9669302659956865,0.501078360891445,0.9287833827893175,0.9258160237388724,0.884272997032641,0.49258160237388726,0.827210006108057,0.8414873294170924,0.7977777777777778,0.20961045304677006,0.6326383896477354,0.6427030913012222,0.7411933860531992,0.7713874910136592,0.402483128516621,0.34528813262441904,0.0,-0.0029673590504450953,0.5263793738745548,-0.5204446557736646
3,0.9554896142433235,0.9465875370919882,0.8991097922848664,0.49258160237388726,0.9877785765636233,0.98705966930266,0.9820273184759166,0.501078360891445,0.9554896142433235,0.9465875370919882,0.8991097922848664,0.49258160237388726,0.9217814413143963,0.8995726495726496,0.7967886907972813,0.20961045304677006,0.7757009345794392,0.7685118619698059,1.1394680086268871,1.147375988497484,0.5962164640386209,0.5852653052053662,0.14814814814814814,-0.008902077151335286,0.3658046320314202,-0.34800047772874954
4,0.9465875370919882,0.9584569732937686,0.9258160237388724,0.49258160237388726,0.9899352983465133,0.98705966930266,0.9877785765636233,0.501078360891445,0.9465875370919882,0.9584569732937686,0.9258160237388724,0.49258160237388726,0.916707745350682,0.9074602825975546,0.8479471246534172,0.20961045304677006,0.8511861969805895,0.8418404025880661,1.5370237239396118,1.539899352983465,0.828620582107884,0.7891023774702496,0.375,0.011869436201780381,0.2616513134310078,-0.28539018583456865
5,0.9584569732937686,0.9643916913946587,0.9347181008902077,0.49258160237388726,0.9949676491732566,0.9935298346513299,0.9964054636951833,0.501078360891445,0.9584569732937686,0.9643916913946587,0.9347181008902077,0.49258160237388726,0.930594793735589,0.924691274359206,0.867438476617238,0.20961045304677006,0.8907260963335729,0.8792235801581596,1.9151689432063264,1.9367361610352265,1.091878771860223,1.0288745059324087,0.045454545454545456,0.005934718100890191,0.21735220924540669,-0.22922164544718712
6,0.9673590504451038,0.9762611275964391,0.9406528189910979,0.49258160237388726,0.9949676491732566,0.9949676491732566,0.9971243709561467,0.501078360891445,0.9673590504451038,0.9762611275964391,0.9406528189910978,0.49258160237388726,0.9340517609218943,0.9573633010458065,0.8952451849226043,0.20961045304677006,0.9158878504672897,0.9072609633357297,2.3055355859094178,2.321351545650611,1.3516162308665534,1.2516815694618666,0.4444444444444444,0.008902077151335286,0.17190519556881154,-0.18970934987148216
7,0.9851632047477745,0.9762611275964391,0.9436201780415431,0.49258160237388726,0.9985621854780733,0.9971243709561467,0.9971243709561467,0.501078360891445,0.9851632047477745,0.9762611275964391,0.9436201780415431,0.49258160237388726,0.9646802932211402,0.9497364863744173,0.8719235364396655,0.20961045304677006,0.9273903666427031,0.9317038102084831,2.6391085549964055,2.715312724658519,1.6556593166222244,1.474675125574869,0.5714285714285714,-0.008902077151335397,0.16431915513102327,-0.14651500082835264
8,0.9703264094955489,0.9703264094955489,0.9554896142433235,0.49258160237388726,0.9971243709561467,0.99568655643422,0.9985621854780733,0.501078360891445,0.9703264094955489,0.9703264094955489,0.9554896142433235,0.49258160237388726,0.915208671097322,0.9456062775028293,0.884968784522356,0.20961045304677006,0.9388928828181164,0.9468008626887131,3.0143781452192666,3.0934579439252334,1.9613577491160132,1.7065821128067185,0.1,0.0,0.1408918819404452,-0.1408918819404452
9,0.9881305637982196,0.973293768545994,0.9436201780415431,0.49258160237388726,0.9985621854780733,0.9978432782171099,0.9992810927390366,0.501078360891445,0.9881305637982196,0.973293768545994,0.9436201780415431,0.49258160237388726,0.9744078144078144,0.9551347102306502,0.889877309109789,0.20961045304677006,0.9475197699496765,0.9503953989935299,3.4270309130122216,3.4759166067577283,2.2507949668216627,2.025477956992718,1.7777777777777777,-0.014836795252225587,0.14124551707876445,-0.1115719265743134
10,0.9821958456973294,0.9703264094955489,0.9584569732937686,0.49258160237388726,0.9978432782171099,0.9971243709561467,0.9992810927390366,0.501078360891445,0.9821958456973294,0.9703264094955489,0.9584569732937686,0.49258160237388726,0.9607478054522459,0.9530782592337668,0.9068056061802645,0.20961045304677006,0.9518332135154565,0.9554277498202732,3.8296189791516895,3.862688713156003,2.5077533212863274,2.3370796904526587,0.9,-0.011869436201780492,0.12830492669648674,-0.10456605429292591
11,0.9821958456973294,0.9762611275964391,0.9703264094955489,0.49258160237388726,0.9985621854780733,0.9985621854780733,0.9985621854780733,0.501078360891445,0.9821958456973294,0.9762611275964391,0.9703264094955489,0.49258160237388726,0.9538102957068475,0.957208412853574,0.9615987460815048,0.20961045304677006,0.9554277498202732,0.9590222861250899,4.207764198418404,4.262401150251618,2.7884397331807116,2.6342884258600967,0.125,-0.005934718100890302,0.11148802538180498,-0.09961858918002457
12,0.9792284866468842,0.9762611275964391,0.9643916913946587,0.49258160237388726,0.9992810927390366,0.9985621854780733,1.0,0.501078360891445,0.9792284866468842,0.9762611275964391,0.9643916913946587,0.49258160237388726,0.942368674984569,0.9575138732892927,0.9333962687586597,0.20961045304677006,0.9583033788641265,0.9654924514737598,4.605319913731129,4.668583752695902,3.0864219267765756,2.956221506931869,0.0,-0.0029673590504450953,0.10208497306845823,-0.09615025496756804
13,0.9792284866468842,0.9762611275964391,0.9643916913946587,0.49258160237388726,0.9985621854780733,0.9985621854780733,1.0,0.501078360891445,0.9792284866468842,0.9762611275964391,0.9643916913946587,0.49258160237388726,0.9515345582107353,0.9575138732892927,0.9560352622061483,0.20961045304677006,0.9590222861250899,0.9662113587347232,5.0014378145219265,5.083393242271747,3.3948274421780935,3.3151920009919507,0.0,-0.0029673590504450953,0.09580292178640698,-0.08986820368551676
14,0.9792284866468842,0.9762611275964391,0.9643916913946587,0.49258160237388726,0.9985621854780733,0.9992810927390366,0.9992810927390366,0.501078360891445,0.9792284866468842,0.9762611275964391,0.9643916913946587,0.49258160237388726,0.9515345582107353,0.9575138732892927,0.9262605654328184,0.20961045304677006,0.9654924514737598,0.9654924514737598,5.396836808051761,5.461538461538462,3.6747612051617526,3.720494320929979,0.0,-0.0029673590504450953,0.09041830640179158,-0.08448358830090139
15,0.9792284866468842,0.9792284866468842,0.9643916913946587,0.49258160237388726,0.9985621854780733,0.9992810927390366,0.9985621854780733,0.501078360891445,0.9792284866468842,0.9792284866468842,0.9643916913946587,0.49258160237388726,0.9515345582107353,0.9595725989038091,0.9216067086829799,0.20961045304677006,0.9669302659956865,0.9690869877785766,5.744069015097052,5.860531991373112,4.066904204572277,4.143688879471966,0.125,0.0,0.08178353263452778,-0.08178353263452778
16,0.9792284866468842,0.973293768545994,0.9762611275964391,0.49258160237388726,0.9992810927390366,1.0,1.0,0.501078360891445,0.9792284866468842,0.973293768545994,0.9762611275964391,0.49258160237388726,0.9515345582107353,0.9553056344457618,0.9354181104181105,0.20961045304677006,0.9662113587347232,0.9669302659956865,6.130122214234364,6.235082674335011,4.5047216262108085,4.555135007643991,0.125,-0.005934718100890191,0.08364711629089588,-0.07177768008911548
17,0.9792284866468842,0.9762611275964391,0.9554896142433235,0.49258160237388726,0.9985621854780733,1.0,1.0,0.501078360891445,0.9792284866468842,0.9762611275964391,0.9554896142433235,0.49258160237388726,0.9515345582107353,0.9575138732892927,0.9044182247579629,0.20961045304677006,0.9654924514737598,0.9690869877785766,6.4953271028037385,6.624011502516176,5.120916874442729,5.013684743132177,0.0,-0.0029673590504450953,0.07806536522532098,-0.07213064712443079
18,0.973293768545994,0.9762611275964391,0.9703264094955489,0.49258160237388726,0.9992810927390366,1.0,1.0,0.501078360891445,0.973293768545994,0.9762611275964391,0.9703264094955489,0.49258160237388726,0.9471127554317254,0.9575138732892927,0.943510312609025,0.20961045304677006,0.9640546369518332,0.9690869877785766,6.866283249460819,7.024442846872754,5.6225111454173975,5.3420436572570456,0.0,0.0029673590504450953,0.06892803274534581,-0.07486275084623603
19,0.9821958456973294,0.9792284866468842,0.9821958456973294,0.49258160237388726,0.9985621854780733,1.0,1.0,0.501078360891445,0.9821958456973294,0.9792284866468842,0.9821958456973294,0.49258160237388726,0.9612844507620628,0.9595725989038091,0.9779516777924421,0.20961045304677006,0.9647735442127966,0.9669302659956865,7.247304097771387,7.420560747663552,6.134497445595365,5.765245652068943,0.0,-0.0029673590504452063,0.06993732000463146,-0.06400260190374124
20,0.9851632047477745,0.9792284866468842,0.9703264094955489,0.49258160237388726,1.0,0.9992810927390366,1.0,0.501078360891445,0.9851632047477745,0.9792284866468842,0.9703264094955489,0.49258160237388726,0.9635370761198576,0.9595725989038091,0.9509182910345702,0.20961045304677006,0.9669302659956865,0.9690869877785766,7.624730409777139,7.762041696621136,6.639381640810613,6.405645517824938,0.16666666666666666,-0.005934718100890302,0.06919509291728432,-0.0573256567155039
21,0.9821958456973294,0.9762611275964391,0.9762611275964391,0.49258160237388726,0.9992810927390366,1.0,1.0,0.501078360891445,0.9821958456973294,0.9762611275964391,0.9762611275964391,0.49258160237388726,0.9612844507620628,0.9573633010458065,0.932026862026862,0.20961045304677006,0.9712437095614666,0.9669302659956865,8.013659237958304,8.166067577282531,7.013074985525934,6.934477732665024,0.125,-0.005934718100890302,0.06906378295756255,-0.05719434675578214
22,0.9851632047477745,0.9762611275964391,0.973293768545994,0.49258160237388726,0.9992810927390366,1.0,1.0,0.501078360891445,0.9851632047477745,0.9762611275964391,0.973293768545994,0.49258160237388726,0.9635370761198576,0.9573633010458065,0.9309374742024039,0.20961045304677006,0.9712437095614666,0.9669302659956865,8.389647735442129,8.550682961897914,7.46536114993673,7.5223047207430085,0.8,-0.008902077151335397,0.06648724140097899,-0.04868308709830837
23,0.9821958456973294,0.9821958456973294,0.9614243323442137,0.49258160237388726,1.0,1.0,1.0,0.501078360891445,0.9821958456973294,0.9821958456973294,0.9614243323442137,0.49258160237388726,0.9624036487778125,0.9615304349175318,0.9095150390975413,0.20961045304677006,0.9719626168224299,0.9654924514737598,8.780733285406182,8.925952552120776,7.951593546051284,8.216167836270179,0.16666666666666666,0.0,0.05685498614432533,-0.05685498614432533
24,0.9821958456973294,0.9821958456973294,0.9584569732937686,0.49258160237388726,0.9992810927390366,0.9985621854780733,1.0,0.501078360891445,0.9821958456973294,0.9821958456973294,0.9584569732937686,0.49258160237388726,0.9612844507620628,0.9615304349175318,0.926895680328516,0.20961045304677006,0.9726815240833933,0.9647735442127966,9.137311286843998,9.324946081955428,8.51919414715943,8.797470691140264,0.25,0.0,0.05246538081107814,-0.05246538081107814
25,0.9821958456973294,0.9821958456973294,0.9792284866468842,0.49258160237388726,1.0,1.0,0.9992810927390366,0.501078360891445,0.9821958456973294,0.9821958456973294,0.9792284866468842,0.49258160237388726,0.9612844507620628,0.9615304349175318,0.9583495962048012,0.20961045304677006,0.9734004313443566,0.9654924514737598,9.501797268152409,9.693745506829618,9.079132581283359,9.46301193073659,0.25,0.0,0.05083204747774481,-0.05083204747774481
26,0.9851632047477745,0.9821958456973294,0.9703264094955489,0.49258160237388726,1.0,0.9985621854780733,1.0,0.501078360891445,0.9851632047477745,0.9821958456973294,0.9703264094955489,0.49258160237388726,0.9721544482763556,0.9615304349175318,0.9359024270764944,0.20961045304677006,0.9726815240833933,0.9633357296908699,9.875629043853342,10.063982746225737,9.7120878532238,10.177907833400768,0.0,-0.0029673590504450953,0.05366854966693031,-0.04773383156604011
27,0.9881305637982196,0.9821958456973294,0.9703264094955489,0.49258160237388726,1.0,0.9985621854780733,1.0,0.501078360891445,0.9881305637982196,0.9821958456973294,0.9703264094955489,0.49258160237388726,0.9744078144078144,0.9615304349175318,0.9398888864810472,0.20961045304677006,0.9690869877785766,0.9647735442127966,10.264557872034507,10.453630481667865,10.2894742061934,10.799062273405129,0.25,-0.005934718100890191,0.053880307321728854,-0.042010871119948445
28,0.9881305637982196,0.9821958456973294,0.9762611275964391,0.49258160237388726,0.9992810927390366,0.9985621854780733,1.0,0.501078360891445,0.9881305637982196,0.9821958456973294,0.9762611275964391,0.49258160237388726,0.9744078144078144,0.9615304349175318,0.9555227103634747,0.20961045304677006,0.9748382458662832,0.9676491732566499,10.657800143781452,10.850467289719626,10.863579375369348,11.403179074191513,0.25,-0.005934718100890191,0.05258401102543256,-0.04071457482365215
29,0.9851632047477745,0.9821958456973294,0.9703264094955489,0.49258160237388726,1.0,0.9985621854780733,1.0,0.501078360891445,0.9851632047477745,0.9821958456973294,0.9703264094955489,0.49258160237388726,0.9635370761198576,0.9539372893492013,0.9461275894538606,0.20961045304677006,0.9755571531272466,0.9662113587347232,11.024442846872754,11.258087706685837,11.46739094572258,11.916978855992955,0.0,-0.0029673590504450953,0.04683909190319372,-0.040904373802303516
30,0.9881305637982196,0.9851632047477745,0.9643916913946587,0.49258160237388726,1.0,0.9985621854780733,1.0,0.501078360891445,0.9881305637982196,0.9851632047477745,0.9643916913946587,0.49258160237388726,0.9744078144078144,0.9636407018696844,0.9231890085931532,0.20961045304677006,0.9769949676491733,0.9662113587347232,11.394680086268872,11.659956865564343,11.960251634147383,12.583078656692932,0.0,-0.0029673590504450953,0.045712655121584525,-0.03977793702069432
31,0.9851632047477745,0.9851632047477745,0.9762611275964391,0.49258160237388726,1.0,0.9992810927390366,1.0,0.501078360891445,0.9851632047477745,0.9851632047477745,0.9762611275964391,0.49258160237388726,0.9635370761198576,0.9636407018696844,0.957785373084333,0.20961045304677006,0.9777138749101366,0.9669302659956865,11.762041696621136,12.05391804457225,12.458456496677549,13.27130894711723,0.5,0.0,0.039838002876403676,-0.039838002876403676
32,0.9851632047477745,0.9851632047477745,0.973293768545994,0.49258160237388726,1.0,0.9992810927390366,1.0,0.501078360891445,0.9851632047477745,0.9851632047477745,0.973293768545994,0.49258160237388726,0.9635370761198576,0.9636407018696844,0.9401699841297158,0.20961045304677006,0.9762760603882099,0.9654924514737598,12.132997843278217,12.430625449317038,13.214073338668236,14.131523409236493,0.5,0.0,0.03885009965059723,-0.03885009965059723
33,0.9851632047477745,0.9851632047477745,0.9762611275964391,0.49258160237388726,1.0,0.9992810927390366,1.0,0.501078360891445,0.9851632047477745,0.9851632047477745,0.9762611275964391,0.49258160237388726,0.9635370761198576,0.9636407018696844,0.9400939745715866,0.20961045304677006,0.9784327821711,0.9647735442127966,12.535585909417685,12.808051761322789,13.805459636827619,14.996009091780843,0.5,0.0,0.03792206934756692,-0.03792206934756692
34,0.9851632047477745,0.9851632047477745,0.9762611275964391,0.49258160237388726,0.9992810927390366,0.9985621854780733,1.0,0.501078360891445,0.9851632047477745,0.9851632047477745,0.9762611275964391,0.49258160237388726,0.9635370761198576,0.9636407018696844,0.9567161565569209,0.20961045304677006,0.9791516894320632,0.9647735442127966,12.925952552120776,13.203450754852623,14.4175817659596,15.925656238373374,0.5,0.0,0.037048629062361935,-0.037048629062361935
35,0.9851632047477745,0.9851632047477745,0.9673590504451038,0.49258160237388726,1.0,0.9992810927390366,1.0,0.501078360891445,0.9851632047477745,0.9851632047477745,0.9673590504451038,0.49258160237388726,0.9635370761198576,0.9636407018696844,0.9265156714233937,0.20961045304677006,0.9784327821711,0.9654924514737598,13.291876347951114,13.59884974838246,15.171904919157406,16.6079829070601,0.5,0.0,0.03622509965059723,-0.03622509965059723
36,0.9851632047477745,0.9851632047477745,0.9821958456973294,0.49258160237388726,1.0,0.9992810927390366,1.0,0.501078360891445,0.9851632047477745,0.9851632047477745,0.9821958456973294,0.49258160237388726,0.9635370761198576,0.9636407018696844,0.9693538219070135,0.20961045304677006,0.9791516894320632,0.9647735442127966,13.66786484543494,13.97627606038821,15.91682978284448,17.319668240996094,0.5,0.0,0.035447321872819446,-0.035447321872819446
37,0.9851632047477745,0.9851632047477745,0.9703264094955489,0.49258160237388726,1.0,0.9992810927390366,1.0,0.501078360891445,0.9851632047477745,0.9851632047477745,0.9703264094955489,0.49258160237388726,0.9635370761198576,0.9636407018696844,0.9189034983811104,0.20961045304677006,0.9777138749101366,0.9662113587347232,14.05607476635514,14.354421279654925,16.480030459657925,18.195789429685075,0.5,0.0,0.034711586137083715,-0.034711586137083715
