numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9235474006116208,0.944954128440367,0.8929663608562691,0.4740061162079511,0.9700214132762313,0.9771591720199857,0.9650249821556032,0.49750178443968596,0.9235474006116207,0.944954128440367,0.8929663608562692,0.47400611620795113,0.7673331353608049,0.8835428185863824,0.7609948970143963,0.19344308384355868,0.4132762312633833,0.42398286937901497,0.38329764453961457,0.4011420413990007,0.16955235078580197,0.1583123003821014,1.1612903225806452,0.021406727828746197,0.9920463652024909,-1.0348598208599833
2,0.9021406727828746,0.9174311926605505,0.8654434250764526,0.4740061162079511,0.9635974304068522,0.9657387580299786,0.9493219129193433,0.49750178443968596,0.9021406727828746,0.9174311926605505,0.8654434250764526,0.47400611620795113,0.76590934753892,0.8341077914336661,0.6660940839023657,0.19344308384355868,0.6316916488222698,0.6502498215560314,0.7544610992148465,0.7851534618129907,0.3749329875551252,0.350727126759114,0.3902439024390244,0.015290519877675934,0.5131248291986247,-0.5437058689539763
3,0.963302752293578,0.9602446483180428,0.9418960244648318,0.4740061162079511,0.9900071377587437,0.9885795860099929,0.9878658101356174,0.49750178443968596,0.963302752293578,0.9602446483180428,0.9418960244648318,0.47400611620795113,0.8996439428018375,0.9244894387715419,0.84393709887162,0.19344308384355868,0.7623126338329764,0.7694503925767309,1.1170592433975732,1.121341898643826,0.6004508446783853,0.5858312538211302,0.0,-0.003058103975535187,0.35444040935382515,-0.3483242014027548
4,0.9541284403669725,0.9388379204892966,0.9296636085626911,0.4740061162079511,0.9900071377587437,0.9857244825124911,0.9878658101356174,0.49750178443968596,0.9541284403669725,0.9388379204892966,0.9296636085626911,0.47400611620795113,0.9206088347916611,0.8913593263320377,0.8209725868657463,0.19344308384355868,0.8386866523911491,0.8372591006423983,1.510349750178444,1.5010706638115632,0.8169639938232949,0.825415191009303,0.9411764705882353,-0.015290519877675934,0.285059444253836,-0.25447840449848436
5,0.9694189602446484,0.9541284403669725,0.9510703363914373,0.4740061162079511,0.9950035688793719,0.9971448965024983,0.9964311206281228,0.49750178443968596,0.9694189602446482,0.9541284403669725,0.9510703363914372,0.47400611620795113,0.9572140240838884,0.9032272928769745,0.8944633605082398,0.19344308384355868,0.8836545324768023,0.8807994289793005,1.9050678087080657,1.894361170592434,1.0719797597713692,1.07748817408752,1.2307692307692308,-0.015290519877675823,0.23296522963586164,-0.20238418988050993
6,0.9663608562691132,0.944954128440367,0.9357798165137615,0.4740061162079511,0.9964311206281228,0.9957173447537473,0.9957173447537473,0.49750178443968596,0.9663608562691132,0.944954128440367,0.9357798165137615,0.47400611620795113,0.936618598735645,0.8567088964165586,0.8566411263313443,0.19344308384355868,0.9086366880799429,0.9100642398286938,2.294789436117059,2.299072091363312,1.3078306351153592,1.3104423465555322,1.894736842105263,-0.021406727828746197,0.21096961926749874,-0.16815616361000635
7,0.963302752293578,0.9510703363914373,0.9510703363914373,0.4740061162079511,0.9957173447537473,0.9971448965024983,1.0,0.49750178443968596,0.963302752293578,0.9510703363914372,0.9510703363914372,0.47400611620795113,0.9259921607055366,0.883047118861581,0.9006939830195644,0.19344308384355868,0.9293361884368309,0.9250535331905781,2.694503925767309,2.6923625981441828,1.5625721058337547,1.599061226511761,0.5625,-0.012232415902140636,0.1762445829254163,-0.15177975112113498
8,0.9602446483180428,0.9541284403669725,0.9388379204892966,0.4740061162079511,0.9971448965024983,0.9957173447537473,0.9985724482512491,0.49750178443968596,0.9602446483180428,0.9541284403669725,0.9388379204892966,0.47400611620795113,0.9152666076468119,0.902303956408434,0.846502260222329,0.19344308384355868,0.9357601713062098,0.9343326195574589,3.102783725910064,3.0728051391862956,1.8641308278252038,1.8904045433988823,0.08333333333333333,-0.006116207951070263,0.14939021056465246,-0.13715779466251177
9,0.9663608562691132,0.9602446483180428,0.9418960244648318,0.4740061162079511,0.9985724482512491,0.9971448965024983,1.0,0.49750178443968596,0.9663608562691132,0.9602446483180428,0.9418960244648318,0.47400611620795113,0.930848310611182,0.9151084957359036,0.8567404268675455,0.19344308384355868,0.9436117059243397,0.9428979300499644,3.4539614561027836,3.455389007851535,2.149213518840732,2.215549844875657,0.1,-0.006116207951070374,0.13397101096936365,-0.12173859506722295
10,0.9663608562691132,0.9602446483180428,0.9571865443425076,0.4740061162079511,0.9971448965024983,0.9950035688793719,0.9992862241256245,0.49750178443968596,0.9663608562691132,0.9602446483180428,0.9571865443425076,0.47400611620795113,0.9390260061430524,0.9156376612159676,0.8623515188099302,0.19344308384355868,0.9478943611705924,0.9493219129193433,3.8586723768736615,3.8422555317630263,2.468469955834191,2.5356898409668056,0.125,-0.006116207951070374,0.12108242771089808,-0.10885001180875739
11,0.9602446483180428,0.9602446483180428,0.963302752293578,0.4740061162079511,1.0,0.9957173447537473,1.0,0.49750178443968596,0.9602446483180428,0.9602446483180428,0.963302752293578,0.47400611620795113,0.9168335592137634,0.9068390915524673,0.9420401661146531,0.19344308384355868,0.9564596716630978,0.9528907922912205,4.229122055674519,4.216987865810135,2.7659116950366194,2.9483585241272596,0.1,0.0,0.10804523390415076,-0.10804523390415076
12,0.9694189602446484,0.9571865443425076,0.9755351681957186,0.4740061162079511,0.9985724482512491,0.9971448965024983,1.0,0.49750178443968596,0.9694189602446482,0.9571865443425076,0.9755351681957186,0.47400611620795113,0.9501845929084736,0.9045597148900619,0.9341993991320797,0.19344308384355868,0.9578872234118487,0.9564596716630978,4.595289079229122,4.605995717344753,3.149359698108132,3.3366982251754287,1.125,-0.012232415902140747,0.11090411187936697,-0.08643928007508564
