numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9558359621451105,0.8990536277602523,0.9085173501577287,0.48580441640378547,0.9723600283486888,0.9631467044649185,0.9673990077958894,0.49043231750531535,0.9558359621451105,0.8990536277602522,0.9085173501577287,0.48580441640378547,0.914704933211223,0.804724305365845,0.9020465555949428,0.20785133939345185,0.4160170092133239,0.4160170092133239,0.38837703756201275,0.37916371367824236,0.16577946668679405,0.18172178288956056,9.03125,-0.056782334384858135,1.0723126475192597,-0.9587479787495435
2,0.9305993690851735,0.9053627760252366,0.8927444794952681,0.48580441640378547,0.9673990077958894,0.9652728561304039,0.9617292700212615,0.49043231750531535,0.9305993690851735,0.9053627760252366,0.8927444794952681,0.48580441640378547,0.8640427071756969,0.7858815958815959,0.7323197559556243,0.20785133939345185,0.6307583274273565,0.6420978029766123,0.735648476257973,0.7590361445783133,0.39691596477891244,0.3747595393837267,1.8846153846153846,-0.025236593059936863,0.5468858225473381,-0.4964126364274642
3,0.9526813880126183,0.9369085173501577,0.8990536277602523,0.48580441640378547,0.9865343727852587,0.9858256555634302,0.9900779588944011,0.49043231750531535,0.9526813880126181,0.9369085173501577,0.8990536277602522,0.48580441640378547,0.9316704583032858,0.8702472594856702,0.8297843297843297,0.20785133939345185,0.744153082919915,0.771793054571226,1.0829199149539335,1.1218993621545004,0.6600265360401794,0.5695096631025578,0.8421052631578947,-0.01577287066246058,0.36944633366137447,-0.3379005923364533
4,0.9495268138801262,0.9400630914826499,0.9274447949526814,0.48580441640378547,0.9829907866761163,0.9851169383416017,0.9893692416725727,0.49043231750531535,0.9495268138801262,0.9400630914826499,0.9274447949526814,0.48580441640378547,0.9142802994390572,0.8430454124848743,0.8258869464893591,0.20785133939345185,0.81218993621545,0.8504606661941885,1.4500354358610914,1.5152374202693126,0.8897643222107045,0.7943357662443479,0.19047619047619047,-0.009463722397476282,0.282816775592332,-0.2638893307973793
5,0.9589905362776026,0.9558359621451105,0.9558359621451105,0.48580441640378547,0.9914953933380581,0.9936215450035436,0.9943302622253721,0.49043231750531535,0.9589905362776026,0.9558359621451105,0.9558359621451105,0.48580441640378547,0.9437982723577236,0.8993054952016208,0.9109417862838916,0.20785133939345185,0.8561304039688165,0.8880226789510985,1.8199858256555634,1.8781006378454996,1.1731413517855107,1.0367937134936167,0.0,-0.003154574132492094,0.22310361367189763,-0.21679446540691338
6,0.9495268138801262,0.9589905362776026,0.9526813880126183,0.48580441640378547,0.9922041105598866,0.9922041105598866,0.9936215450035436,0.49043231750531535,0.9495268138801262,0.9589905362776026,0.9526813880126181,0.48580441640378547,0.9368948791348601,0.901969897164864,0.898439915709782,0.20785133939345185,0.8823529411764706,0.9184975194897236,2.1651311126860384,2.258681785967399,1.5364751836124932,1.2774895591495383,0.23529411764705882,0.009463722397476393,0.17938390861151135,-0.19831135340646402
7,0.9652996845425867,0.9526813880126183,0.9589905362776026,0.48580441640378547,0.997165131112686,0.9936215450035436,0.9964564138908576,0.49043231750531535,0.9652996845425867,0.9526813880126181,0.9589905362776026,0.48580441640378547,0.9562675856188717,0.8975804199850986,0.8916234599803278,0.20785133939345185,0.9014883061658399,0.9369241672572644,2.5535081502480512,2.6506024096385543,1.8159839535186828,1.5814115696205555,0.5,-0.012618296529968487,0.17888714920006485,-0.15365055614012793
8,0.9526813880126183,0.9558359621451105,0.9526813880126183,0.48580441640378547,0.9964564138908576,0.9936215450035436,0.9957476966690291,0.49043231750531535,0.9526813880126181,0.9558359621451105,0.9526813880126181,0.48580441640378547,0.921105614010638,0.9012382407879097,0.8938360953427114,0.20785133939345185,0.9184975194897236,0.9454287739192062,2.9333805811481217,3.027639971651311,2.1261237469894962,1.830270798651915,0.0,0.003154574132492205,0.14484081005081084,-0.15114995831579509
9,0.9589905362776026,0.9526813880126183,0.9652996845425867,0.48580441640378547,0.9985825655563431,0.9950389794472005,1.0,0.49043231750531535,0.9589905362776026,0.9526813880126181,0.9652996845425867,0.48580441640378547,0.9324513207817309,0.898504971888516,0.9194033637813542,0.20785133939345185,0.9291282778171509,0.9532246633593197,3.3033309709425938,3.428065201984408,2.5019059186669073,2.187058002417077,0.0625,-0.006309148264984299,0.13993964874179304,-0.1273213522118246
10,0.9558359621451105,0.9526813880126183,0.9463722397476341,0.48580441640378547,0.9964564138908576,0.9950389794472005,0.997165131112686,0.49043231750531535,0.9558359621451105,0.9526813880126181,0.9463722397476341,0.48580441640378547,0.9272828321748378,0.8988646309442769,0.8871420704845816,0.20785133939345185,0.9369241672572644,0.9588944011339475,3.687455705173636,3.8086463501063075,2.913500837542171,2.476919202827516,0.0,-0.003154574132492205,0.12510361367189762,-0.11879446540691338
