numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9205479452054794,0.8904109589041096,0.9342465753424658,0.5178082191780822,0.9567131327953045,0.9611151870873074,0.9640498899486427,0.49082905355832723,0.9205479452054794,0.8904109589041096,0.9342465753424658,0.5178082191780822,0.8104222448804776,0.748799828074182,0.8707548108000596,0.22490683229813663,0.40498899486427,0.4101247248716067,0.3617021276595745,0.37123991195891415,0.19227054058998375,0.18483700994338026,2.127659574468085,-0.03013698630136985,1.0470805147614697,-0.98680654215873
2,0.8876712328767123,0.8821917808219178,0.8465753424657534,0.5178082191780822,0.9449743213499633,0.9508437270726339,0.9332355099046221,0.49082905355832723,0.8876712328767123,0.8821917808219178,0.8465753424657534,0.5178082191780822,0.7568452820891846,0.7301675842750894,0.6544734123589441,0.22490683229813663,0.6272927366104182,0.6280264123257521,0.719002201027146,0.7138664710198093,0.40164038486748516,0.4129140232445223,0.022727272727272728,-0.005479452054794498,0.5311035291835864,-0.5201446250739974
3,0.9315068493150684,0.8986301369863013,0.8904109589041096,0.5178082191780822,0.9853264856933236,0.9853264856933236,0.9838591342626559,0.49082905355832723,0.9315068493150684,0.8986301369863015,0.8904109589041096,0.5178082191780822,0.8587737539730845,0.7629336822448278,0.720313285549494,0.22490683229813663,0.7468818782098312,0.7571533382245048,1.0770359501100513,1.0711665443873808,0.6531571260375544,0.6431799838657175,2.75,-0.0328767123287671,0.395322353767553,-0.32956892911001867
4,0.9342465753424658,0.9260273972602739,0.9205479452054794,0.5178082191780822,0.9809244314013206,0.9882611885546588,0.9897285399853265,0.49082905355832723,0.9342465753424658,0.9260273972602739,0.9205479452054794,0.5178082191780822,0.8545649026490629,0.813171211279192,0.8578571428571429,0.22490683229813663,0.826118855465884,0.8319882611885546,1.4688187820983125,1.4526779163609684,0.863107214348651,0.8316222971237868,0.13793103448275862,-0.008219178082191858,0.28214906652586835,-0.26571071036148475
5,0.9534246575342465,0.9315068493150684,0.9534246575342465,0.5178082191780822,0.9911958914159942,0.9948642699926632,0.9948642699926632,0.49082905355832723,0.9534246575342465,0.9315068493150684,0.9534246575342465,0.5178082191780822,0.9094897256413433,0.8426766654690514,0.8889700037393528,0.22490683229813663,0.8723404255319149,0.8767424798239178,1.826118855465884,1.8151137197358767,1.128091773398171,1.091310572250343,1.8846153846153846,-0.021917808219178103,0.24539101741682146,-0.2015554009784653
6,0.9452054794520548,0.947945205479452,0.9260273972602739,0.5178082191780822,0.9904622157006603,0.9941305942773294,0.9948642699926632,0.49082905355832723,0.9452054794520548,0.947945205479452,0.9260273972602739,0.5178082191780822,0.8949499687843846,0.8747126868134147,0.8422536945229673,0.22490683229813663,0.8936170212765957,0.8980190755685987,2.1922230374174614,2.173147468818782,1.4328253784326834,1.4241547293764858,0.0,0.002739726027397249,0.18744439352947095,-0.19292384558426545
7,0.9643835616438357,0.9397260273972603,0.9534246575342465,0.5178082191780822,0.9970652971386648,0.9941305942773294,0.9992663242846662,0.49082905355832723,0.9643835616438357,0.9397260273972603,0.9534246575342465,0.5178082191780822,0.9047348383629648,0.8497257255088595,0.8710781743631109,0.22490683229813663,0.909024211298606,0.9068231841526045,2.5311812179016875,2.5267791636096844,1.7888560166772707,1.7324375760760606,3.3684210526315788,-0.024657534246575352,0.18820052135711648,-0.13888545286396578
8,0.9506849315068493,0.9561643835616438,0.9205479452054794,0.5178082191780822,0.9948642699926632,0.9963316214233309,0.9963316214233309,0.49082905355832723,0.9506849315068493,0.9561643835616438,0.9205479452054794,0.5178082191780822,0.872213556081115,0.8948247999465039,0.7959794429092675,0.22490683229813663,0.9178283198826119,0.917094644167278,2.901687454145268,2.87527512839325,2.1081984379123657,2.10262611979498,0.05555555555555555,0.005479452054794498,0.13980988147747483,-0.15076878558706389
9,0.9643835616438357,0.9506849315068493,0.958904109589041,0.5178082191780822,0.9985326485693323,0.9970652971386648,1.0,0.49082905355832723,0.9643835616438357,0.9506849315068493,0.958904109589041,0.5178082191780822,0.9083114042096815,0.880094417904148,0.908808495714771,0.22490683229813663,0.9280997798972854,0.9236977256052825,3.277329420396185,3.2538517975055026,2.4762462921502952,2.398896734281744,1.0666666666666667,-0.013698630136986356,0.14343233759446014,-0.11603507732048754
10,0.9534246575342465,0.958904109589041,0.947945205479452,0.5178082191780822,0.9985326485693323,0.9963316214233309,0.9985326485693323,0.49082905355832723,0.9534246575342465,0.958904109589041,0.947945205479452,0.5178082191780822,0.8752091980829724,0.896449484402523,0.8439832271940115,0.22490683229813663,0.9332355099046221,0.9317681584739546,3.599413059427733,3.6316947909024213,2.972565467076056,2.780516898053803,0.05555555555555555,0.005479452054794498,0.11530988147747484,-0.1262687855870639
