numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,1.0,1.0,0.9748110831234257,0.9697732997481109,0.9998752339363693,0.9997504678727386,0.9921397379912664,0.9723019338739862,1.0,1.0,0.9748110831234257,0.9697732997481109,1.0,1.0,0.9721171523479466,0.6456408552121414,0.44753587024329383,0.4524017467248908,0.4474111041796631,0.45215221459762944,0.12381096476288034,0.1242417322918294,0,0.0,0.98,-0.98
2,1.0,1.0,0.998992443324937,0.9697732997481109,0.9998752339363693,0.9997504678727386,0.9995009357454773,0.9723019338739862,1.0,1.0,0.998992443324937,0.9697732997481109,1.0,1.0,0.9988846860939178,0.6456408552121414,0.6919525888958203,0.7053025577043044,0.8940736119775421,0.9036805988771054,0.25254538425525846,0.24342422111797035,0,0.0,0.49,-0.49
3,1.0,1.0,1.0,0.9697732997481109,0.9998752339363693,1.0,1.0,0.9723019338739862,1.0,1.0,1.0,0.9697732997481109,1.0,1.0,1.0,0.6456408552121414,0.8263256394260761,0.8365564566437929,1.344853399875234,1.3563318777292577,0.3807388073425321,0.3721762393543885,0,0.0,0.32666666666666666,-0.32666666666666666
4,1.0,1.0,0.9979848866498741,0.9697732997481109,0.9998752339363693,0.9998752339363693,0.9990018714909544,0.9723019338739862,1.0,1.0,0.9979848866498741,0.9697732997481109,1.0,1.0,0.9977693721878357,0.6456408552121414,0.9025577043044292,0.90991890205864,1.7953836556456644,1.8031191515907674,0.5134203165528142,0.4969503167458655,0,0.0,0.245,-0.245
5,1.0,1.0,1.0,0.9697732997481109,1.0,1.0,1.0,0.9723019338739862,1.0,1.0,1.0,0.9697732997481109,1.0,1.0,1.0,0.6456408552121414,0.9457267623206488,0.9479725514660012,2.2426699937616967,2.252776044915783,0.6446264976337447,0.6323812943981818,0,0.0,0.196,-0.196
6,1.0,1.0,0.9994962216624685,0.9697732997481109,1.0,1.0,1.0,0.9723019338739862,1.0,1.0,0.9994962216624685,0.9697732997481109,1.0,1.0,0.9994421494977519,0.6456408552121414,0.9698066126013725,0.97117903930131,2.6885839051777918,2.7000623830318156,0.7737975443389055,0.753591341090666,0,0.0,0.16333333333333333,-0.16333333333333333
7,1.0,1.0,1.0,0.9697732997481109,0.9998752339363693,1.0,1.0,0.9723019338739862,1.0,1.0,1.0,0.9697732997481109,1.0,1.0,1.0,0.6456408552121414,0.9821584529008109,0.98378041172801,3.1296319401122896,3.1466001247660635,0.9117208143493432,0.8914720664001481,0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,0.9994962216624685,0.9697732997481109,1.0,1.0,1.0,0.9723019338739862,1.0,1.0,0.9994962216624685,0.9697732997481109,1.0,1.0,0.9994421494977519,0.6456408552121414,0.9901434809731753,0.9920149719276357,3.5750467872738616,3.5936369307548346,1.0326195667530302,1.0171017872623636,0,0.0,0.1225,-0.1225
9,1.0,1.0,0.9994962216624685,0.9697732997481109,0.9998752339363693,1.0,1.0,0.9723019338739862,1.0,1.0,0.9994962216624685,0.9697732997481109,1.0,1.0,0.9994417610540451,0.6456408552121414,0.993886462882096,0.9952588895820337,4.025452276980661,4.042046163443543,1.15228315966843,1.1237896114489527,0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,1.0,0.9697732997481109,1.0,1.0,1.0,0.9723019338739862,1.0,1.0,1.0,0.9697732997481109,1.0,1.0,1.0,0.6456408552121414,0.9963817841547099,0.9975046787273861,4.4719900187149095,4.491203992514036,1.278065731035166,1.2404710526553406,0,0.0,0.098,-0.098
