numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,1.0,0.9995032290114257,0.9875807252856433,0.970193740685544,0.9998747965443846,1.0,0.9967447101540002,0.9727056466758482,1.0,0.9995032290114257,0.9875807252856433,0.970193740685544,1.0,0.9994668245974765,0.9866853983863735,0.6472738421730965,0.4516088644046576,0.44948040565919617,0.4514836609490422,0.44948040565919617,0.12401701239679278,0.12372388529382028,0.0,-0.0004967709885742577,0.9814706839419386,-0.9804771419647901
2,0.9995032290114257,0.9995032290114257,0.9885742672627919,0.970193740685544,0.9996243896331539,1.0,0.9956178790534619,0.9727056466758482,0.9995032290114257,0.9995032290114257,0.9885742672627919,0.970193740685544,0.9994668245974765,0.9994668245974765,0.9878101277120748,0.6472738421730965,0.7001377238011769,0.696131213221485,0.8989608113183923,0.8957055214723927,0.24545649659119667,0.2472417343042484,0.0,0.0,0.49,-0.49
3,1.0,1.0,1.0,0.970193740685544,1.0,0.9997495930887692,0.9998747965443846,0.9727056466758482,1.0,1.0,1.0,0.970193740685544,1.0,1.0,1.0,0.6472738421730965,0.8361086765994742,0.8322273694753975,1.3456867409540503,1.3464379616877427,0.3633475147387695,0.37184976143082477,0.0,0.0,0.32666666666666666,-0.32666666666666666
4,1.0,1.0,0.998012916045703,0.970193740685544,0.9998747965443846,1.0,0.9998747965443846,0.9727056466758482,1.0,1.0,0.998012916045703,0.970193740685544,1.0,1.0,0.9978690745876824,0.6472738421730965,0.913860022536622,0.9101039188681608,1.793664705145862,1.7965443846250158,0.4752993067584251,0.49279287498860846,0.0,0.0,0.245,-0.245
5,1.0,1.0,1.0,0.970193740685544,0.9998747965443846,0.9998747965443846,1.0,0.9727056466758482,1.0,1.0,1.0,0.970193740685544,1.0,1.0,1.0,0.6472738421730965,0.9511706523100038,0.9497934142982346,2.2425190935269814,2.2452735695505197,0.5923840269075272,0.6204546667470779,0.0,0.0,0.196,-0.196
6,0.9995032290114257,1.0,1.0,0.970193740685544,0.9998747965443846,1.0,1.0,0.9727056466758482,0.9995032290114257,1.0,1.0,0.970193740685544,0.9994668245974765,1.0,1.0,0.6472738421730965,0.9750845123325403,0.9720796293977714,2.6873669713284087,2.694879178665331,0.7179809437257143,0.7452839039374279,0.0,0.0004967709885742577,0.16381047529812337,-0.16480401727527189
7,0.9995032290114257,1.0,1.0,0.970193740685544,0.9998747965443846,1.0,1.0,0.9727056466758482,0.9995032290114257,1.0,1.0,0.970193740685544,0.9994668245974765,1.0,1.0,0.6472738421730965,0.9868536371603857,0.983973957681232,3.1348441216977587,3.1416051083009893,0.8492922192671649,0.8791660762039389,0.0,0.0004967709885742577,0.14047714196479005,-0.14147068394193857
8,0.9995032290114257,1.0,1.0,0.970193740685544,0.9998747965443846,1.0,1.0,0.9727056466758482,0.9995032290114257,1.0,1.0,0.970193740685544,0.9994668245974765,1.0,1.0,0.6472738421730965,0.9923625892074621,0.9903593339176161,3.587955427569801,3.587329410291724,0.9857448628155167,1.0058095365028108,0.0,0.0004967709885742577,0.12297714196479004,-0.12397068394193858
9,0.9995032290114257,1.0,1.0,0.970193740685544,0.9998747965443846,1.0,1.0,0.9727056466758482,0.9995032290114257,1.0,1.0,0.970193740685544,0.9994668245974765,1.0,1.0,0.6472738421730965,0.9954926755978465,0.993990234130462,4.036684612495305,4.034931764116689,1.1108491299287386,1.1336771964980623,0.0,0.0004967709885742577,0.10936603085367892,-0.11035957283082747
10,0.9995032290114257,1.0,1.0,0.970193740685544,0.9998747965443846,1.0,1.0,0.9727056466758482,0.9995032290114257,1.0,1.0,0.970193740685544,0.9994668245974765,1.0,1.0,0.6472738421730965,0.9974959308876925,0.9961186928759234,4.4826593213972705,4.488919494178039,1.2398331846891544,1.260554649225831,0.0,0.0004967709885742577,0.09847714196479004,-0.09947068394193859
11,0.9995032290114257,1.0,1.0,0.970193740685544,0.9998747965443846,1.0,1.0,0.9727056466758482,0.9995032290114257,1.0,1.0,0.970193740685544,0.9994668245974765,1.0,1.0,0.6472738421730965,0.9983723550770002,0.9971203205208464,4.934393389257544,4.9372730687366975,1.379611233160914,1.3952661541573799,0.0,0.0004967709885742577,0.08956805105569914,-0.09056159303284768
