numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,1.0,1.0,1.0,0.9688934217236104,1.0,0.9996268192561264,0.9998756064187088,0.9708919019778579,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6460756510669227,0.44756810548575693,0.44296554297798235,0.44756810548575693,0.4425923622341087,0.12362544821882361,0.12393382949227537,0,0.0,0.98,-0.98
2,1.0,1.0,0.9694033656297807,0.9688934217236104,1.0,0.9998756064187088,0.9873118547082971,0.9708919019778579,1.0,1.0,0.9694033656297807,0.9688934217236104,1.0,1.0,0.9674620030530299,0.6460756510669227,0.6979723846249534,0.6882696852842394,0.8947630302276403,0.887921383256624,0.24469741896931227,0.252157502300478,0,0.0,0.49,-0.49
3,1.0,1.0,0.9943906170321265,0.9688934217236104,1.0,1.0,0.9993780320935439,0.9708919019778579,1.0,1.0,0.9943906170321265,0.9688934217236104,1.0,1.0,0.9939377077053868,0.6460756510669227,0.8360492598581913,0.8313223037691255,1.345814155989551,1.3414603806443588,0.3708820703029413,0.37279002703876946,0,0.0,0.32666666666666666,-0.32666666666666666
4,1.0,1.0,0.9964303926568078,0.9688934217236104,1.0,1.0,0.9998756064187088,0.9708919019778579,1.0,1.0,0.9964303926568078,0.9688934217236104,1.0,1.0,0.996146803772747,0.6460756510669227,0.9065804204503047,0.9076999626819257,1.7894016668739894,1.7942530165443462,0.5043674831670618,0.5020547485483234,0,0.0,0.245,-0.245
5,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9708919019778579,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6460756510669227,0.948501057345441,0.9477546958576938,2.236099017290708,2.2377161338474933,0.6268024540084819,0.6321329108399254,0,0.0,0.196,-0.196
6,1.0,1.0,0.9989801121876594,0.9688934217236104,1.0,1.0,1.0,0.9708919019778579,1.0,1.0,0.9989801121876594,0.9688934217236104,1.0,1.0,0.9988974325527837,0.6460756510669227,0.9720114442094788,0.9723846249533524,2.683791516357756,2.6813036447319316,0.7482968585912486,0.7568382983353498,0,0.0,0.16333333333333333,-0.16333333333333333
7,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9708919019778579,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6460756510669227,0.9861923124766762,0.9835800472695609,3.135091429282249,3.1281253887299414,0.87232903407133,0.887631108293441,0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9708919019778579,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6460756510669227,0.9925363851225277,0.9900485134967035,3.5807936310486377,3.5763154621221545,0.9967910043086747,0.9955139535465237,0,0.0,0.1225,-0.1225
9,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9708919019778579,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6460756510669227,0.9944022888418957,0.9939047145167309,4.028112949371812,4.022764025376291,1.1265049644511025,1.12271057439296,0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9708919019778579,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6460756510669227,0.9962681925612639,0.9965169797238462,4.479039681552432,4.4709540987685035,1.2508225967244635,1.2568394779890222,0,0.0,0.098,-0.098
11,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9708919019778579,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6460756510669227,0.9976365219554671,0.9980097026993408,4.927354148525936,4.91951735290459,1.3875290955373574,1.377867264077738,0,0.0,0.0890909090909091,-0.0890909090909091
12,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9708919019778579,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6460756510669227,0.9981340962806319,0.9985072770245056,5.380271178007215,5.369946510760045,1.4974826344365955,1.5037518680459594,0,0.0,0.08166666666666667,-0.08166666666666667
13,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9708919019778579,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6460756510669227,0.9988804577683792,0.9988804577683792,5.834432143301406,5.810797362856077,1.6191563563028788,1.6295503003696978,0,0.0,0.07538461538461538,-0.07538461538461538
14,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9708919019778579,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6460756510669227,0.9991292449309616,0.9993780320935439,6.2826222166936185,6.25799228759796,1.7441394821953586,1.7451541209291912,0,0.0,0.06999999999999999,-0.06999999999999999
15,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9708919019778579,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6460756510669227,0.9993780320935439,0.9993780320935439,6.732180619480035,6.70182858564498,1.8762412064709462,1.8727599346661277,0,0.0,0.06533333333333333,-0.06533333333333333
16,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9708919019778579,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6460756510669227,0.9996268192561264,0.9995024256748352,7.184351287473566,7.151262594850106,2.000410519887785,2.018693425757536,0,0.0,0.06125,-0.06125
17,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9708919019778579,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6460756510669227,0.9997512128374176,0.9995024256748352,7.631421818634158,7.603557656424928,2.1228880986451957,2.147120380354179,0,0.0,0.05764705882352941,-0.05764705882352941
18,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9708919019778579,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6460756510669227,0.9997512128374176,0.9995024256748352,8.079487498445081,8.048264709540987,2.2579591089703936,2.2674573873039456,0,0.0,0.05444444444444444,-0.05444444444444444
19,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9708919019778579,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6460756510669227,0.9998756064187088,0.9995024256748352,8.527677571837293,8.502674461997762,2.3744703337825004,2.414176825268711,0,0.0,0.05157894736842105,-0.05157894736842105
20,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9708919019778579,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6460756510669227,0.9997512128374176,0.9995024256748352,8.9815897499689,8.953974374922254,2.5035870042386863,2.5596353748343934,0,0.0,0.049,-0.049
21,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9708919019778579,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6460756510669227,0.9998756064187088,0.9995024256748352,9.436870257494713,9.396566737156363,2.6155805699281487,2.696439036070243,0,0.0,0.04666666666666666,-0.04666666666666666
22,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9708919019778579,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6460756510669227,0.9998756064187088,0.9995024256748352,9.88530911804951,9.847120288593109,2.742691504867888,2.8323155807148046,0,0.0,0.04454545454545455,-0.04454545454545455
23,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9708919019778579,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6460756510669227,0.9998756064187088,0.9995024256748352,10.341087199900485,10.292822490359498,2.868496006481568,2.96836885393455,0,0.0,0.042608695652173914,-0.042608695652173914
24,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9708919019778579,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6460756510669227,0.9998756064187088,0.9995024256748352,10.786789401666875,10.74200771240204,2.9830566790094246,3.0861723316228837,0,0.0,0.04083333333333333,-0.04083333333333333
25,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9708919019778579,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6460756510669227,0.9998756064187088,0.9995024256748352,11.24144794128623,11.189451424306506,3.1259319758315205,3.2267391721751864,0,0.0,0.0392,-0.0392
26,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9708919019778579,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6460756510669227,0.9998756064187088,0.9995024256748352,11.689762408259734,11.63664634904839,3.2764800060896824,3.332221892344964,0,0.0,0.03769230769230769,-0.03769230769230769
27,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9708919019778579,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6460756510669227,0.9997512128374176,0.9996268192561264,12.134593854957084,12.089065804204504,3.4117972693691367,3.4644386843277992,0,0.0,0.03629629629629629,-0.03629629629629629
28,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9708919019778579,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6460756510669227,0.9998756064187088,0.9996268192561264,12.57880333374798,12.535016793133474,3.5270666246383566,3.5899997563218444,0,0.0,0.034999999999999996,-0.034999999999999996
