numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,1.0,1.0,0.9871067560598247,0.9726663228468283,0.9998759459124178,0.9997518918248356,0.9950378364967125,0.9715916139436794,1.0,1.0,0.9871067560598247,0.9726663228468283,1.0,1.0,0.9861076123406244,0.486569886661686,0.4518049869743208,0.451929041061903,0.4516809328867386,0.4516809328867386,0.12402475862794596,0.12421698218868608,0,0.0,0.98,-0.98
2,1.0,1.0,0.9860752965446106,0.9726663228468283,0.9998759459124178,0.9998759459124178,0.9954099987594591,0.9715916139436794,1.0,1.0,0.9860752965446106,0.9726663228468283,1.0,1.0,0.9851253870800294,0.486569886661686,0.6997891080511103,0.6959434313360625,0.8966629450440392,0.8935615928544846,0.24415032431445663,0.24612113675181166,0,0.0,0.49,-0.49
3,1.0,1.0,0.998452810727179,0.9726663228468283,1.0,1.0,0.9993797295620891,0.9715916139436794,1.0,1.0,0.998452810727179,0.9726663228468283,1.0,1.0,0.9983358722938613,0.486569886661686,0.8397221188438159,0.8327750899392135,1.3454906339163875,1.3418930653765042,0.3665283808122127,0.368775664243342,0,0.0,0.32666666666666666,-0.32666666666666666
4,1.0,1.0,0.998968540484786,0.9726663228468283,1.0,1.0,0.9996278377372534,0.9715916139436794,1.0,1.0,0.998968540484786,0.9726663228468283,1.0,1.0,0.9988909073853327,0.486569886661686,0.9108051110284083,0.9109291651159905,1.7946904850514824,1.7891080511102841,0.49124060110188583,0.49057966665963926,0,0.0,0.245,-0.245
5,1.0,1.0,0.999484270242393,0.9726663228468283,1.0,1.0,1.0,0.9715916139436794,1.0,1.0,0.999484270242393,0.9726663228468283,1.0,1.0,0.999444963667877,0.486569886661686,0.9524872844560228,0.9503783649671257,2.2422776330480088,2.2405408758218583,0.6201198615000484,0.6253506754475583,0,0.0,0.196,-0.196
6,1.0,1.0,1.0,0.9726663228468283,1.0,1.0,1.0,0.9715916139436794,1.0,1.0,1.0,0.9726663228468283,1.0,1.0,1.0,0.486569886661686,0.9751891824835628,0.9718397221188438,2.69805235082496,2.69296613323409,0.742264033106777,0.75663779648086,0,0.0,0.16333333333333333,-0.16333333333333333
7,1.0,1.0,1.0,0.9726663228468283,1.0,1.0,1.0,0.9715916139436794,1.0,1.0,1.0,0.9726663228468283,1.0,1.0,1.0,0.486569886661686,0.9863540503659596,0.9854856717528843,3.1486167969234584,3.1424140925443496,0.8697937389038265,0.8735760517377403,0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,1.0,0.9726663228468283,1.0,1.0,1.0,0.9715916139436794,1.0,1.0,1.0,0.9726663228468283,1.0,1.0,1.0,0.486569886661686,0.9935491874457263,0.9916883761319936,3.5991812430219574,3.59421907951867,0.9844142470229934,0.998199552298432,0,0.0,0.1225,-0.1225
9,1.0,1.0,1.0,0.9726663228468283,1.0,1.0,1.0,0.9715916139436794,1.0,1.0,1.0,0.9726663228468283,1.0,1.0,1.0,0.486569886661686,0.9962783773725344,0.994665674233966,4.042798660215854,4.042178389777943,1.1030379548892708,1.125369039290638,0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,1.0,0.9726663228468283,1.0,1.0,1.0,0.9715916139436794,1.0,1.0,1.0,0.9726663228468283,1.0,1.0,1.0,0.486569886661686,0.9977670264235207,0.997270810073192,4.488152834635901,4.490633916387545,1.2241749118001486,1.2419727828936475,0,0.0,0.098,-0.098
11,1.0,1.0,1.0,0.9726663228468283,1.0,1.0,1.0,0.9715916139436794,1.0,1.0,1.0,0.9726663228468283,1.0,1.0,1.0,0.486569886661686,0.9983872968614316,0.9985113509490138,4.9333829549683665,4.936112144895175,1.351234367978524,1.3655165488669603,0,0.0,0.0890909090909091,-0.0890909090909091
