numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9995242626070409,1.0,1.0,0.972407231208373,0.9997467713345151,0.9997467713345151,1.0,0.9707520891364902,0.9995242626070409,1.0,1.0,0.972407231208373,0.9994894344259646,1.0,1.0,0.6489616232605667,0.449227652570271,0.4455558369207394,0.44897442390478604,0.4453026082552545,0.12409116621750586,0.12389799957758825,0.0,0.0004757373929591413,0.9804569296704131,-0.9814084044563314
2,1.0,1.0,0.9809705042816366,0.972407231208373,0.9998733856672576,0.9997467713345151,0.9932894403646493,0.9707520891364902,1.0,1.0,0.9809705042816366,0.972407231208373,1.0,1.0,0.9797901133080469,0.6489616232605667,0.6944796150924285,0.694353000759686,0.8955431754874652,0.884654342871613,0.24842646190420886,0.24255502302564205,0.0,0.0,0.49,-0.49
3,1.0,1.0,0.9990485252140818,0.972407231208373,1.0,1.0,0.9997467713345151,0.9707520891364902,1.0,1.0,0.9990485252140818,0.972407231208373,1.0,1.0,0.9989796829736173,0.6489616232605667,0.8294504937958977,0.8359078247657635,1.343124841732084,1.341225626740947,0.375322487705333,0.36882930316151996,0.0,0.0,0.32666666666666666,-0.32666666666666666
4,1.0,1.0,0.99476688867745,0.972407231208373,0.9998733856672576,0.9998733856672576,0.9996201570017726,0.9707520891364902,1.0,1.0,0.99476688867745,0.972407231208373,1.0,1.0,0.9943985815489441,0.6489616232605667,0.9065586224360598,0.9078247657634845,1.7894403646492782,1.7834894910103825,0.49837927909794866,0.49110523989474214,0.0,0.0,0.245,-0.245
5,1.0,1.0,0.9985727878211227,0.972407231208373,1.0,1.0,0.9998733856672576,0.9707520891364902,1.0,1.0,0.9985727878211227,0.972407231208373,1.0,1.0,0.998468303277894,0.6489616232605667,0.9482147379083312,0.9483413522410737,2.238921245885034,2.2324639149151686,0.6279919191580638,0.6147720431134173,0.0,0.0,0.196,-0.196
6,1.0,1.0,0.9995242626070409,0.972407231208373,1.0,1.0,1.0,0.9707520891364902,1.0,1.0,0.9995242626070409,0.972407231208373,1.0,1.0,0.9994897061197636,0.6489616232605667,0.9711319321347176,0.9730311471258547,2.685110154469486,2.6814383388199543,0.7497339577557416,0.7318529965472427,0.0,0.0,0.16333333333333333,-0.16333333333333333
7,1.0,1.0,1.0,0.972407231208373,1.0,1.0,0.9998733856672576,0.9707520891364902,1.0,1.0,1.0,0.972407231208373,1.0,1.0,1.0,0.6489616232605667,0.9846796657381616,0.9844264370726766,3.136237022030894,3.1304127627247404,0.8748700115660109,0.8551930378052723,0.0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,1.0,0.972407231208373,1.0,1.0,1.0,0.9707520891364902,1.0,1.0,1.0,0.972407231208373,1.0,1.0,1.0,0.6489616232605667,0.9911369967080274,0.9903773107115725,3.586604203595847,3.5739427703216005,1.0016028281865996,0.9875036811786838,0.0,0.0,0.1225,-0.1225
9,1.0,1.0,1.0,0.972407231208373,1.0,1.0,1.0,0.9707520891364902,1.0,1.0,1.0,0.972407231208373,1.0,1.0,1.0,0.6489616232605667,0.9950620410230439,0.994555583692074,4.034439098505951,4.028488224867055,1.1169165078836851,1.1126914495496436,0.0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,1.0,0.972407231208373,1.0,1.0,1.0,0.9707520891364902,1.0,1.0,1.0,0.972407231208373,1.0,1.0,1.0,0.6489616232605667,0.9973410990124082,0.9970878703469233,4.479868321093948,4.472651304127627,1.245630866700692,1.2305084255846288,0.0,0.0,0.098,-0.098
