numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.999482936918304,0.999482936918304,0.9870734229576008,0.9694932781799379,0.9998760228118027,0.9998760228118027,0.9957847756012894,0.9726010414083809,0.999482936918304,0.999482936918304,0.9870734229576008,0.9694932781799379,0.9994476234814287,0.9994476234814287,0.9862059363829768,0.6474033611611932,0.45177287379122244,0.4487974212744855,0.45164889660302504,0.4486734440862881,0.12402309499957072,0.12387517104211593,0.0,0.0,0.98,-0.98
2,1.0,1.0,0.9819027921406411,0.9694932781799379,0.9998760228118027,0.9998760228118027,0.994297049342921,0.9726010414083809,1.0,1.0,0.9819027921406411,0.9694932781799379,1.0,1.0,0.9808522813902788,0.6474033611611932,0.7036945202082817,0.6920406645177287,0.9006942722539053,0.8927597322092735,0.2424750821568621,0.2492231993098877,0.0,0.0,0.49,-0.49
3,1.0,1.0,1.0,0.9694932781799379,0.9998760228118027,0.9998760228118027,1.0,0.9726010414083809,1.0,1.0,1.0,0.9694932781799379,1.0,1.0,1.0,0.6474033611611932,0.8411852219191669,0.8320109099925613,1.354574758244483,1.3470121497644434,0.35792424713382814,0.3772049881504229,0.0,0.0,0.32666666666666666,-0.32666666666666666
4,1.0,1.0,1.0,0.9694932781799379,0.9998760228118027,0.9998760228118027,1.0,0.9726010414083809,1.0,1.0,1.0,0.9694932781799379,1.0,1.0,1.0,0.6474033611611932,0.9109843788742872,0.9097446069923134,1.8013885445078106,1.7950657079097445,0.48345220215077395,0.4933568739791908,0.0,0.0,0.245,-0.245
5,1.0,1.0,1.0,0.9694932781799379,0.9998760228118027,0.9998760228118027,1.0,0.9726010414083809,1.0,1.0,1.0,0.9694932781799379,1.0,1.0,1.0,0.6474033611611932,0.9491693528390777,0.9495412844036697,2.2496900570295066,2.2426233573022563,0.6142197065454215,0.6249677764220593,0.0,0.0,0.196,-0.196
6,1.0,1.0,1.0,0.9694932781799379,1.0,1.0,1.0,0.9726010414083809,1.0,1.0,1.0,0.9694932781799379,1.0,1.0,1.0,0.6474033611611932,0.9714852467146046,0.9716092239028019,2.693776345152492,2.694768162658071,0.7396879589030764,0.754561283266812,0.0,0.0,0.16333333333333333,-0.16333333333333333
7,1.0,1.0,1.0,0.9694932781799379,1.0,1.0,1.0,0.9726010414083809,1.0,1.0,1.0,0.9694932781799379,1.0,1.0,1.0,0.6474033611611932,0.9861145549218944,0.9852467146045127,3.143193652367964,3.1462930820728987,0.8518876259117705,0.8772943432460664,0.0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,1.0,0.9694932781799379,0.9998760228118027,1.0,1.0,0.9726010414083809,1.0,1.0,1.0,0.9694932781799379,1.0,1.0,1.0,0.6474033611611932,0.9925613687081577,0.9910736424497892,3.594098685841805,3.5955864121001735,0.9759677508982325,1.00408862040568,0.0,0.0,0.1225,-0.1225
9,1.0,1.0,0.999482936918304,0.9694932781799379,1.0,1.0,1.0,0.9726010414083809,1.0,1.0,0.999482936918304,0.9694932781799379,1.0,1.0,0.9994476234814287,0.6474033611611932,0.9959087527894868,0.9954128440366973,4.050210761219936,4.046367468385817,1.1060678595397246,1.126512062630254,0.0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,1.0,0.9694932781799379,0.9997520456236053,1.0,1.0,0.9726010414083809,1.0,1.0,1.0,0.9694932781799379,1.0,1.0,1.0,0.6474033611611932,0.9976444334242499,0.9977684106124474,4.503595338457724,4.501363749070171,1.226316807496174,1.2571766028232434,0.0,0.0,0.098,-0.098
11,1.0,1.0,1.0,0.9694932781799379,1.0,1.0,1.0,0.9726010414083809,1.0,1.0,1.0,0.9694932781799379,1.0,1.0,1.0,0.6474033611611932,0.9983882965534342,0.9987602281180263,4.952516736920407,4.95189685097942,1.3449289756817837,1.3812196333257625,0.0,0.0,0.0890909090909091,-0.0890909090909091
12,1.0,1.0,1.0,0.9694932781799379,1.0,1.0,1.0,0.9726010414083809,1.0,1.0,1.0,0.9694932781799379,1.0,1.0,1.0,0.6474033611611932,0.9987602281180263,0.999008182494421,5.401438135383089,5.3982147284899575,1.462977485878694,1.5094042642414458,0.0,0.0,0.08166666666666667,-0.08166666666666667
13,1.0,0.999482936918304,1.0,0.9694932781799379,1.0,1.0,1.0,0.9726010414083809,1.0,0.999482936918304,1.0,0.9694932781799379,1.0,0.9994476234814287,1.0,0.6474033611611932,0.9993801140590132,0.9991321596826184,5.848499876022812,5.849615670716588,1.5805492315063707,1.652160828765177,0.0,-0.0005170630816959676,0.07691538407972148,-0.07588125791632955
14,1.0,1.0,0.999482936918304,0.9694932781799379,1.0,1.0,1.0,0.9726010414083809,1.0,1.0,0.999482936918304,0.9694932781799379,1.0,1.0,0.9994476234814287,0.6474033611611932,0.9996280684354079,0.9995040912472105,6.296429456979916,6.2984130919910735,1.7128018649066608,1.7572333550453643,0.0,0.0,0.06999999999999999,-0.06999999999999999
15,1.0,0.999482936918304,1.0,0.9694932781799379,1.0,1.0,1.0,0.9726010414083809,1.0,0.999482936918304,1.0,0.9694932781799379,1.0,0.9994476234814287,1.0,0.6474033611611932,0.9997520456236053,0.9996280684354079,6.746838581700967,6.746838581700967,1.8335478293809166,1.8793832683235405,0.0,-0.0005170630816959676,0.06686410202843943,-0.06582997586504749
