numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9870903674280039,0.9940417080436942,0.9731876861966237,0.9707050645481629,0.993488605058853,0.9986225895316805,0.9921111945905334,0.9704482844978712,0.9870903674280039,0.9940417080436942,0.9731876861966237,0.9707050645481629,0.9859052417943872,0.9935109359309637,0.970906075278885,0.48484913639785476,0.4429000751314801,0.4492862509391435,0.43638868019033306,0.44790884047082397,0.1332947717493901,0.12578722922880345,4.447368421052632,0.006951340615690249,0.9790554682214406,-0.9929581494528209
2,0.993545183714002,1.0,0.9687189672293942,0.9707050645481629,0.9958677685950413,0.9997495617330328,0.9883546205860255,0.9704482844978712,0.993545183714002,1.0,0.9687189672293942,0.9707050645481629,0.9929809887256695,1.0,0.9664755050194795,0.48484913639785476,0.6874530428249437,0.6982218883045329,0.8851740545955422,0.8936889556724268,0.25807129143462726,0.24611385449460849,11.076923076923077,0.006454816285997977,0.48706536818321605,-0.4999750007552121
3,0.9995034756703078,1.0,0.9990069513406157,0.9707050645481629,0.9998747808665164,1.0,0.9998747808665164,0.9704482844978712,0.9995034756703078,1.0,0.9990069513406157,0.9707050645481629,0.999458064148091,1.0,0.9989151045033398,0.48484913639785476,0.8251940896568996,0.8308289506636614,1.3318307037315302,1.3249436513899324,0.3822997734856366,0.3813108145552951,0.0,0.0004965243296921606,0.32714357159886953,-0.32813662025825385
4,0.9995034756703078,1.0,0.9995034756703078,0.9707050645481629,0.9997495617330328,1.0,1.0,0.9704482844978712,0.9995034756703078,1.0,0.9995034756703078,0.9707050645481629,0.999458064148091,1.0,0.999458064148091,0.48484913639785476,0.8995742549461557,0.9045830202854996,1.7663410969196094,1.7718507387928875,0.5284180244866329,0.5104188512033712,0.0,0.0004965243296921606,0.2454769049322029,-0.24646995359158722
5,1.0,1.0,1.0,0.9707050645481629,0.9997495617330328,1.0,1.0,0.9704482844978712,1.0,1.0,1.0,0.9707050645481629,1.0,1.0,1.0,0.48484913639785476,0.9430252942649637,0.9450288004007013,2.1830703731530177,2.1997245179063363,0.6746333386228511,0.646384583228125,0.0,0.0,0.196,-0.196
6,1.0,1.0,1.0,0.9707050645481629,1.0,1.0,1.0,0.9704482844978712,1.0,1.0,1.0,0.9707050645481629,1.0,1.0,1.0,0.48484913639785476,0.9684447783621337,0.9685699974956173,2.6338592536939642,2.6472577009767093,0.8077355765154247,0.7758065605151748,0.0,0.0,0.16333333333333333,-0.16333333333333333
7,1.0,1.0,1.0,0.9707050645481629,1.0,1.0,1.0,0.9704482844978712,1.0,1.0,1.0,0.9707050645481629,1.0,1.0,1.0,0.48484913639785476,0.9803405960430753,0.9802153769095918,3.0748810418231907,3.078762834961182,0.9532161774849757,0.9068507583444495,0.0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,1.0,0.9707050645481629,1.0,1.0,1.0,0.9704482844978712,1.0,1.0,1.0,0.9707050645481629,1.0,1.0,1.0,0.48484913639785476,0.9879789631855748,0.9889807162534435,3.5220385674931127,3.5110192837465566,1.069620375398386,1.039022420505924,0.0,0.0,0.1225,-0.1225
9,1.0,1.0,0.9995034756703078,0.9707050645481629,1.0,1.0,1.0,0.9704482844978712,1.0,1.0,0.9995034756703078,0.9707050645481629,1.0,1.0,0.999458064148091,0.48484913639785476,0.9927372902579514,0.9936138241923366,3.9729526671675433,3.9613072877535687,1.1935655127028173,1.170140604762447,0.0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,1.0,0.9707050645481629,1.0,0.9998747808665164,1.0,0.9704482844978712,1.0,1.0,1.0,0.9707050645481629,1.0,1.0,1.0,0.48484913639785476,0.9946155772602053,0.9952416729276233,4.40145254194841,4.405584773353368,1.3338459098747293,1.301735024445578,0.0,0.0,0.098,-0.098
11,1.0,1.0,1.0,0.9707050645481629,1.0,1.0,1.0,0.9704482844978712,1.0,1.0,1.0,0.9707050645481629,1.0,1.0,1.0,0.48484913639785476,0.9958677685950413,0.9969947407963937,4.845980465815177,4.840846481342349,1.4752493812048728,1.4436179732912784,0.0,0.0,0.0890909090909091,-0.0890909090909091
