numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9994879672299027,1.0,0.9836149513568868,0.9733742959549411,0.9992543805144775,0.9996271902572387,0.9947806636013421,0.972660618864173,0.9994879672299027,1.0,0.9836149513568868,0.9733742959549411,0.9994501789803959,1.0,0.9823802059251407,0.649127514377454,0.4404125761153225,0.44650180191375666,0.43966695662979993,0.4461289921709954,0.12434519279983978,0.12412870551529728,0.0,0.0005120327700972593,0.9804918083604186,-0.9815158739006131
2,0.9994879672299027,1.0,0.9861751152073732,0.9733742959549411,0.9993786504287312,0.9995029203429849,0.9955262830868646,0.972660618864173,0.9994879672299027,1.0,0.9861751152073732,0.9733742959549411,0.9994501789803959,1.0,0.9852544626565791,0.649127514377454,0.6923076923076923,0.6901951037653784,0.8889026966571393,0.8953647321983348,0.24770157992008285,0.25254186353588776,0.0,0.0005120327700972593,0.49049180836041867,-0.4915158739006132
3,0.9994879672299027,1.0,0.9994879672299027,0.9733742959549411,1.0,1.0,0.9998757300857463,0.972660618864173,0.9994879672299027,1.0,0.9994879672299027,0.9733742959549411,0.9994501789803959,1.0,0.9994501789803959,0.649127514377454,0.8295016776438424,0.8303715670436187,1.3362743879706722,1.3444762023114205,0.3766070543458006,0.38059503046432336,0.0,0.0005120327700972593,0.32715847502708534,-0.32818254056727986
4,0.9994879672299027,1.0,0.9994879672299027,0.9733742959549411,1.0,0.9997514601714925,0.9997514601714925,0.972660618864173,0.9994879672299027,1.0,0.9994879672299027,0.9733742959549411,0.9994501789803959,1.0,0.9994498611695225,0.649127514377454,0.9035665465390829,0.9043121660246054,1.7848887784267429,1.7952031813098048,0.5032381174207478,0.5138776854478566,0.0,0.0005120327700972593,0.24549180836041867,-0.24651587390061325
5,1.0,1.0,1.0,0.9733742959549411,1.0,1.0,0.9998757300857463,0.972660618864173,1.0,1.0,1.0,0.9733742959549411,1.0,1.0,1.0,0.649127514377454,0.946315397042376,0.9471852864421524,2.2361128370821426,2.2465515098794584,0.6270664600436212,0.6379265108935283,0.0,0.0,0.196,-0.196
6,1.0,1.0,1.0,0.9733742959549411,1.0,1.0,1.0,0.972660618864173,1.0,1.0,1.0,0.9733742959549411,1.0,1.0,1.0,0.649127514377454,0.9716664595501429,0.9715421896358891,2.689325214365602,2.6926805020504534,0.7541381396777367,0.7556693582341979,0.0,0.0,0.16333333333333333,-0.16333333333333333
7,1.0,1.0,1.0,0.9733742959549411,1.0,1.0,1.0,0.972660618864173,1.0,1.0,1.0,0.9733742959549411,1.0,1.0,1.0,0.649127514377454,0.9840934509755188,0.9843419908040263,3.1409220827637627,3.144028830620107,0.8718868055771887,0.87604493937369,0.0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,1.0,0.9733742959549411,1.0,1.0,1.0,0.972660618864173,1.0,1.0,1.0,0.9733742959549411,1.0,1.0,1.0,0.649127514377454,0.9916739157449982,0.9913011060022369,3.5850627563066984,3.596992668075059,0.9905813086122771,0.9980830081082326,0.0,0.0,0.1225,-0.1225
9,1.0,1.0,1.0,0.9733742959549411,1.0,1.0,0.9998757300857463,0.972660618864173,1.0,1.0,1.0,0.9733742959549411,1.0,1.0,1.0,0.649127514377454,0.9949049335155958,0.9949049335155958,4.03106747856344,4.0488380763017275,1.1024825025369678,1.1335559753768205,0.0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,1.0,0.9733742959549411,1.0,1.0,1.0,0.972660618864173,1.0,1.0,1.0,0.9733742959549411,1.0,1.0,1.0,0.649127514377454,0.996893252143656,0.9966447123151485,4.482042997390332,4.504163042127501,1.2186057471195568,1.270467508897668,0.0,0.0,0.098,-0.098
