numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9989909182643795,0.9989909182643795,0.9434914228052472,0.9717457114026236,1.0,1.0,0.9807932152656523,0.9736842105263158,0.9989909182643795,0.9989909182643795,0.9434914228052472,0.9717457114026237,0.9988913401471351,0.9988913401471351,0.9382785938071728,0.6476484972529638,0.44986280868046896,0.4544774257919681,0.44986280868046896,0.4544774257919681,0.12374313102329434,0.12396384761873709,0.0,0.0,0.98,-0.98
2,1.0,0.9984863773965691,0.9732593340060545,0.9717457114026236,0.9998752806186081,0.999002244948865,0.9920179595909204,0.9736842105263158,1.0,0.9984863773965691,0.9732593340060545,0.9717457114026237,1.0,0.9983397567936364,0.9711237799298094,0.6476484972529638,0.6941880768271389,0.6958094287852332,0.9018458468445997,0.8952357196308306,0.252111961650024,0.24991913770678964,1.3333333333333333,-0.0015136226034309086,0.49322774361714605,-0.49020049841028435
3,1.0,0.9989909182643795,0.9994954591321897,0.9717457114026236,0.9998752806186081,1.0,1.0,0.9736842105263158,1.0,0.9989909182643795,0.9994954591321897,0.9717457114026237,1.0,0.9988913401471351,0.9994458540404145,0.6476484972529638,0.8322524320279372,0.8275130955350462,1.338862559241706,1.3396108755300573,0.3800691650378797,0.3769041465930747,0.5,-0.0010090817356205317,0.32907496976735257,-0.3270568062961114
4,1.0,0.9989909182643795,0.9984863773965691,0.9717457114026236,0.9995011224744326,1.0,0.9996258418558244,0.9736842105263158,1.0,0.9989909182643795,0.9984863773965691,0.9717457114026237,1.0,0.9988913401471351,0.9983397567936364,0.6476484972529638,0.9050885507607882,0.9029683212771265,1.763282614118234,1.786979296582689,0.5237763872753085,0.5031165309555301,0.5,-0.0010090817356205317,0.24740830310068593,-0.24539013962944475
5,0.9994954591321897,0.9989909182643795,0.9979818365287588,0.9717457114026236,1.0,1.0,1.0,0.9736842105263158,0.9994954591321897,0.9989909182643795,0.9979818365287588,0.9717457114026237,0.9994458540404145,0.9988913401471351,0.9977856134141327,0.6476484972529638,0.9474931404340234,0.9437515589922674,2.212895984035919,2.235096033923672,0.6413597507272994,0.6271899899968983,0.0,-0.0005045408678102659,0.19749369040751696,-0.19648460867189638
6,1.0,0.9989909182643795,0.9994954591321897,0.9717457114026236,0.9998752806186081,1.0,1.0,0.9736842105263158,1.0,0.9989909182643795,0.9994954591321897,0.9717457114026237,1.0,0.9988913401471351,0.9994458540404145,0.6476484972529638,0.9700673484659517,0.9683212771264654,2.6520329259166875,2.6785981541531556,0.7703565949366717,0.7551220893243411,0.5,-0.0010090817356205317,0.1657416364340192,-0.16372347296277803
7,0.9994954591321897,0.9989909182643795,1.0,0.9717457114026236,0.9998752806186081,1.0,1.0,0.9736842105263158,0.9994954591321897,0.9989909182643795,1.0,0.9717457114026237,0.9994458540404145,0.9988913401471351,1.0,0.6476484972529638,0.9811673734098278,0.9830381641307059,3.077575455225742,3.129832876028935,0.9180821465649364,0.867648005933807,0.0,-0.0005045408678102659,0.14149369040751694,-0.14048460867189635
8,0.9994954591321897,0.9989909182643795,1.0,0.9717457114026236,0.9998752806186081,1.0,1.0,0.9736842105263158,0.9994954591321897,0.9989909182643795,1.0,0.9717457114026237,0.9994458540404145,0.9988913401471351,1.0,0.6476484972529638,0.9888999750561237,0.991519082065353,3.4980044898977303,3.582314791718633,1.0696847933638207,0.9910144214443188,0.0,-0.0005045408678102659,0.12399369040751695,-0.12298460867189637
9,0.9994954591321897,0.9989909182643795,0.9989909182643795,0.9717457114026236,0.9998752806186081,1.0,1.0,0.9736842105263158,0.9994954591321897,0.9989909182643795,0.9989909182643795,0.9717457114026237,0.9994458540404145,0.9988913401471351,0.9988920751510679,0.6476484972529638,0.9926415564978798,0.9947617859815415,3.933649289099526,4.0311798453479675,1.2175697223573896,1.1230627073183685,0.0,-0.0005045408678102659,0.11038257929640585,-0.10937349756078527
10,0.9994954591321897,0.9989909182643795,0.9989909182643795,0.9717457114026236,0.9998752806186081,1.0,1.0,0.9736842105263158,0.9994954591321897,0.9989909182643795,0.9989909182643795,0.9717457114026237,0.9994458540404145,0.9988913401471351,0.9988913401471351,0.6476484972529638,0.9962584185582439,0.9961336991768521,4.378772761287104,4.481666250935396,1.3327374511281318,1.2570090234043683,0.0,-0.0005045408678102659,0.09949369040751697,-0.09848460867189639
11,0.9994954591321897,0.9989909182643795,0.9989909182643795,0.9717457114026236,1.0,1.0,1.0,0.9736842105263158,0.9994954591321897,0.9989909182643795,0.9989909182643795,0.9717457114026237,0.9994458540404145,0.9988913401471351,0.9988913401471351,0.6476484972529638,0.9976303317535545,0.9975056123721626,4.827388376153654,4.932900972811175,1.4553954009107453,1.3878751035772023,0.0,-0.0005045408678102659,0.09058459949842605,-0.08957551776280546
12,0.9994954591321897,0.9989909182643795,0.9984863773965691,0.9717457114026236,1.0,1.0,1.0,0.9736842105263158,0.9994954591321897,0.9989909182643795,0.9984863773965691,0.9717457114026237,0.9994458540404145,0.9988913401471351,0.998337562121244,0.6476484972529638,0.9986280868046894,0.9985033674232976,5.278623098029434,5.383761536542779,1.5797656781578375,1.518805348029386,0.0,-0.0005045408678102659,0.08316035707418362,-0.08215127533856303
