numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9966085271317829,1.0,0.9811046511627907,0.9646317829457365,0.9988659274193549,0.9998739919354839,0.9910534274193549,0.97265625,0.9966085271317829,1.0,0.9811046511627907,0.9646317829457365,0.9963253163272391,1.0,0.9795147998292899,0.6433572073815976,0.44846270161290325,0.45060483870967744,0.44732862903225806,0.4504788306451613,0.1253778520454277,0.12396913016166966,5.142857142857143,0.0033914728682170603,0.9791252222192135,-0.9859081679556476
2,0.9937015503875969,1.0,0.9893410852713178,0.9646317829457365,0.9978578629032258,0.9992439516129032,0.9962197580645161,0.97265625,0.9937015503875969,1.0,0.9893410852713178,0.9646317829457365,0.9931913528760521,1.0,0.9885070970093344,0.6433572073815976,0.6946824596774194,0.6895161290322581,0.8931451612903226,0.89453125,0.2552243674266907,0.2556249460410417,11.076923076923077,0.006298449612403112,0.48713619222960375,-0.49973309145441
3,0.998546511627907,1.0,0.999031007751938,0.9646317829457365,1.0,0.9998739919354839,0.9996219758064516,0.97265625,0.998546511627907,1.0,0.999031007751938,0.9646317829457365,0.9984242153714837,1.0,0.9989485513544023,0.6433572073815976,0.8317792338709677,0.8301411290322581,1.33984375,1.3462701612903225,0.37438294051703225,0.37722035236388995,1.3333333333333333,0.0014534883720930258,0.32685915012227773,-0.3297661268664638
4,0.998546511627907,1.0,0.9961240310077519,0.9646317829457365,0.9998739919354839,0.9997479838709677,0.9998739919354839,0.97265625,0.998546511627907,1.0,0.9961240310077519,0.9646317829457365,0.9984242153714837,1.0,0.9958040209433024,0.6433572073815976,0.90625,0.9051159274193549,1.7866683467741935,1.7946068548387097,0.4943492343416431,0.5027311814394944,1.3333333333333333,0.0014534883720930258,0.24519248345561112,-0.24809946019979717
5,1.0,1.0,0.999515503875969,0.9646317829457365,1.0,0.9998739919354839,1.0,0.97265625,1.0,1.0,0.999515503875969,0.9646317829457365,1.0,1.0,0.9994741207000004,0.6433572073815976,0.9473286290322581,0.9508568548387096,2.2035030241935485,2.2426915322580645,0.6400379222143113,0.623972310333646,0.0,0.0,0.196,-0.196
6,1.0,1.0,0.999515503875969,0.9646317829457365,1.0,0.9998739919354839,0.9998739919354839,0.97265625,1.0,1.0,0.999515503875969,0.9646317829457365,1.0,1.0,0.9994741207000004,0.6433572073815976,0.9708921370967742,0.9740423387096774,2.649193548387097,2.6907762096774195,0.7605389710193279,0.754926998109113,0.0,0.0,0.16333333333333333,-0.16333333333333333
7,1.0,0.999515503875969,0.999031007751938,0.9646317829457365,1.0,1.0,1.0,0.97265625,1.0,0.999515503875969,0.999031007751938,0.9646317829457365,1.0,0.9994741207000004,0.9989485513544023,0.6433572073815976,0.9842489919354839,0.9851310483870968,3.093623991935484,3.1370967741935485,0.8727387341390997,0.8776298847098306,0.0,-0.0004844961240310086,0.14143433854103923,-0.14046534629297722
8,1.0,1.0,0.998546511627907,0.9646317829457365,1.0,1.0,1.0,0.97265625,1.0,1.0,0.998546511627907,0.9646317829457365,1.0,1.0,0.9984242153714837,0.6433572073815976,0.9908014112903226,0.9913054435483871,3.522681451612903,3.5856854838709675,1.0168464812875466,0.9976330451499519,0.0,0.0,0.1225,-0.1225
9,1.0,1.0,0.999515503875969,0.9646317829457365,1.0,1.0,1.0,0.97265625,1.0,1.0,0.999515503875969,0.9646317829457365,1.0,1.0,0.9994744302954268,0.6433572073815976,0.9935735887096774,0.9965977822580645,3.9729082661290325,4.036164314516129,1.1330805428181956,1.1151129149792218,0.0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,0.999515503875969,0.9646317829457365,0.9998739919354839,1.0,1.0,0.97265625,1.0,1.0,0.999515503875969,0.9646317829457365,1.0,1.0,0.9994741207000004,0.6433572073815976,0.9963457661290323,0.9983618951612904,4.403477822580645,4.473160282258065,1.284099851705984,1.2314764548278747,0.0,0.0,0.098,-0.098
